"","ti","age","id","au","ve","nC","nP","nR","at","msg"
"1",2014-11-03 11:39:38,0.0147856442575101,"z13lwvrh5u3ofhhuj232xjnpcxrnhz04p04","100027220502467769813","post",0,1,0,"photo","Sarath Marrar and #PawanKalyan  [pic snapped at Koti Deepothsavam]﻿"
"2",2014-11-03 11:38:56,0.0152725919750002,"z135elcgzxyvyvqxk04cgfpyip3qyhrw0mo0k","100027220502467769813","post",0,1,0,"photo"," #GopalaGopala  fan made poster  #PawanKalyan   #Venkatesh  ﻿"
"3",2014-11-03 11:29:07,0.022090626510757,"z125txjzquzej50bg04cf5xa0nbfy3k4y5k","111685476277647773201","post",0,1,0,"photo","Sarath Marrar and  #pawankalyan   [pic snapped at Koti Deepothsavam]﻿"
"4",2014-11-03 06:49:37,0.216189552760786,"z13xil4pzobdzzost231zjlytwiwux0wz04","103794396723793144162","post",1,1,0,"photo","#PawanKalyan Latest Photoshoot Gallery at Koti Deepostavam Event by Bhakti TvMore@  http://bit.ly/1ty6cPC#TT﻿"
"5",2014-11-02 01:18:53,1.44586616478584,"z13wgfspbzzxhtpzv04cfl0aeozmd50av50","109792081837579676216","post",0,0,0,"photo","#PawanKalyan to wrap up shoot for Gopala Gopala @ http://goo.gl/iBKZEb﻿"
"6",2014-11-02 01:02:13,1.45743605977131,"z13fvbzj2mqadfr0w22rvtyxlyfiv5mb004","102743287590328913087","post",0,0,0,"article","**The first look of  #Venkatesh ,  #PawanKalyan &#39;s biggest multistarrer #GopalaGopala  will be launch in the 2nd week of November. ﻿"
"7",2014-11-01 06:07:52,2.24517372565689,"z13mffu5zxavzxs2f23fc5ywwlv2tf1om04","114572052899474501383","post",0,0,0,"article","Gopala Gopala Fanmade posters collection.#PawanKalyanhttp://www.pawankalyanfans.com/gopala-gopala/pawan-kalyan-gopala-gopala-fanmade-posters-t6601.html#p9128﻿"
"8",2014-10-31 12:03:36,2.99813930045123,"z13kuvspdmb3ivtwn04cdjuxhlfrj3tybqc0k","113562279888585796916","post",0,0,0,"article","#PawanKalyan not Interested in #Kaththi Remake; #Vijay Wants it to be Dubbed in Teluguhttp://goo.gl/JEa9da﻿"
"9",2014-10-31 11:04:02,3.03950670801655,"z12kwrc50lfpv5xjk04cgnviwkqhcpz55ew","109911452730621329530","share",0,1,0,"photo","Powerstar #PawanKalyan and Victory #Venkatesh starrer Gopala Gopala’s first look by November end!!!Stay tune for More Updates!!   #arentertainments  ﻿"
"10",2014-10-31 07:32:14,3.18658947553624,"z12xvncgtxrrivpri04cjh2jxuuntlkhl5c","111755283935862042392","post",0,1,1,"photo","Powerstar #PawanKalyan and Victory #Venkatesh starrer Gopala Gopala’s first look by November end!!!Stay tune for More Updates!!   #arentertainments  ﻿"
