"score" "text"
"1" 0 "RT @olesovhcom: Je sens qu'il est temps de passer à autre chose que l'iPhone. Let's test the market :)"
"2" 0 "RT @saikyo_anime01: この戦争ゲーム面白すぎｗｗ
友達と一緒に協力プレイや
バトルまでできるｗｗ

iPhone
→http://t.co/AkS84V9clc
Android
→http://t.co/Io9r3WG5CG

スマホの域を超えてるw http…"
"3" 0 "RT @application_inf: これ面白いよ！やろう‼
　
iPhone→http://t.co/VO5Ji5KrZB
※safariで右上から開く
　
Android→http://t.co/eTWqyNS00A
　
アニメコラボがたまらん(^▽^) http://…"
"4" 0 "RT @app_selection: スクウェア・エニックス史上初の【三国志】アプリ！

iPhone ⇒ http://t.co/uygtN6f2ml

Android ⇒ http://t.co/iy7udYfAFk

50万DL突破のオリジナルストーリーを遊び尽くせ ht…"
"5" 0 "France 55. L'agence - George Nolfi http://t.co/ALEQUT83BB #Movies #iTunes #iPhone #Apple"
"6" 0 "RT @danshiaruarurt: 登録したら即効ギャルから連絡きて
しかもエロ可愛いし俺でもモテるとかｗｗ

マジでDLしてみてくれｗｗ

Android→http://t.co/AtPFZJiuUG

iPhone→http://t.co/Oz0Xcb9Xjh http…"
"7" 0 "RT @saikyo_anime01: この戦争ゲーム面白すぎｗｗ
友達と一緒に協力プレイや
バトルまでできるｗｗ

iPhone
→http://t.co/AkS84V9clc
Android
→http://t.co/Io9r3WG5CG

スマホの域を超えてるw http…"
"8" 0 "iPhone 6 : précommandez dès aujourd'hui chez Apple, les opérateurs et les revendeurs http://t.co/oWMYV5kYl7
 #iPhone"
"9" 0 "RT @danshiaruarurt: 登録したら即効ギャルから連絡きて
しかもエロ可愛いし俺でもモテるとかｗｗ

マジでDLしてみてくれｗｗ

Android→http://t.co/AtPFZJiuUG

iPhone→http://t.co/Oz0Xcb9Xjh http…"
"10" 0 "RT @saikyo_anime01: この戦争ゲーム面白すぎｗｗ
友達と一緒に協力プレイや
バトルまでできるｗｗ

iPhone
→http://t.co/AkS84V9clc
Android
→http://t.co/Io9r3WG5CG

スマホの域を超えてるw http…"
"11" 0 "RT @kami_ap_: プレイ中にチャットが楽しめる
モンハンっぽいゲーム見つけたｗｗ

iPhone→http://t.co/wDMY0phYdH 

Android→http://t.co/ywzZZzNATb 

これはハマるわｗ http://t.co/a12KVw…"
"12" 0 "iPhone予約しに行こうか迷う
絶対並んでるし面倒������������
とりあえずやることなくてひま"
"13" 0 "RT @danshiaruarurt: 登録したら即効ギャルから連絡きて
しかもエロ可愛いし俺でもモテるとかｗｗ

マジでDLしてみてくれｗｗ

Android→http://t.co/AtPFZJiuUG

iPhone→http://t.co/Oz0Xcb9Xjh http…"
"14" 0 "iphoneに変えようと思うんだけど新規にも優しくしてくれ｡+ﾟ(ﾟ⊃ω⊂ﾟ)ﾟ+｡"
"16" 0 "RT @application_inf: これ面白いよ！やろう‼
　
iPhone→http://t.co/VO5Ji5KrZB
※safariで右上から開く
　
Android→http://t.co/eTWqyNS00A
　
アニメコラボがたまらん(^▽^) http://…"
"17" 0 "RT @saikyo_anime01: この戦争ゲーム面白すぎｗｗ
友達と一緒に協力プレイや
バトルまでできるｗｗ

iPhone
→http://t.co/AkS84V9clc
Android
→http://t.co/Io9r3WG5CG

スマホの域を超えてるw http…"
"18" 0 "RT @danshiaruarurt: 登録したら即効ギャルから連絡きて
しかもエロ可愛いし俺でもモテるとかｗｗ

マジでDLしてみてくれｗｗ

Android→http://t.co/AtPFZJiuUG

iPhone→http://t.co/Oz0Xcb9Xjh http…"
"19" 0 "Apple Bakal Kapalkan 80 Juta iPhone 6 di 2014 http://t.co/XAMAgUs1vU"
"20" 0 "RT @app_selection: スクウェア・エニックス史上初の【三国志】アプリ！

iPhone ⇒ http://t.co/uygtN6f2ml

Android ⇒ http://t.co/iy7udYfAFk

50万DL突破のオリジナルストーリーを遊び尽くせ ht…"
"21" 0 "RT @yakudatsu_info: 誰かにぐち聞いてもらうだけで
すっきり！ってことあるよね
　
ひまなときにメールで愚痴聞くだけのバイト♪
　
⇒【 http://t.co/AhloaqeGqY】
※iPhoneは右上Safariで開く
　
これならできそう＊＾＾＊ ht…"
"22" 0 "RT @saikyo_anime01: この戦争ゲーム面白すぎｗｗ
友達と一緒に協力プレイや
バトルまでできるｗｗ

iPhone
→http://t.co/AkS84V9clc
Android
→http://t.co/Io9r3WG5CG

スマホの域を超えてるw http…"
"23" 0 "iPhone 6 64GB ordered!!!"
"24" 0 "iPhone 5sの時なかったよね…"
"25" 0 "Apple Store Down Ahead of iPhone 6 and 6 Plus Pre-Orders http://t.co/WoAaINhtGG"
