tweetText,tweetId,createdAt,screenName,image,followers,favorite,retweetcount,longitude,latitude
#Pawanism-more than a religion #PawanKalyan-more than 3 wives. Raskondra #ECF batch,511957261216792576,Wed Sep 17 00:48:17 IST 2014,onlyrams,http://pbs.twimg.com/profile_images/506821842372272128/hPdZU5by_bigger.jpeg,129,52,0,0.0,0.0
RT @MahatOfficial: My buddy #Simbu @iam_str says he is a big fan of #Thala Ajith n #Powerstar #PawanKalyan🌟 soo happy! 😁👍🌟 http://t.co/4F5r…,511954103354675200,Wed Sep 17 00:35:44 IST 2014,venkat_MeMyself,http://pbs.twimg.com/profile_images/424271000029495296/nsA_BeTI_bigger.jpeg,32,1876,214,0.0,0.0
Acche din agaye hai Shri @narendramodi ji agaye hai iss vajah se #CongressHataoDeshBachao Jai Hind #PawanKalyan fans #HappyBirthdayPM,511953445410971648,Wed Sep 17 00:33:07 IST 2014,PowerStarSanju,http://pbs.twimg.com/profile_images/511517202315354112/j3CcL6Q-_bigger.jpeg,3286,1950,0,0.0,0.0
Happy Birthday to @PriyaAnand from #PawanKalyan FANS,511952283186118656,Wed Sep 17 00:28:30 IST 2014,maheshpawanism,http://pbs.twimg.com/profile_images/511936095164985344/6JSsV_8I_bigger.jpeg,102,39,0,0.0,0.0
RT @PawanKalyanFan: Watched #Power twice. #Raviteja's energetic performance & Brahmi comedy rocked :D#PawanKalyan references by Hansika ht…,511950772251422720,Wed Sep 17 00:22:30 IST 2014,krajur,http://pbs.twimg.com/profile_images/508938694074433536/98XDbWGA_bigger.jpeg,116,2189,10,0.0,0.0
RT @mahi2you: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/k60BadW5T3,511949621716074497,Wed Sep 17 00:17:56 IST 2014,manoj_1214,http://pbs.twimg.com/profile_images/511566794197180416/gJELXrOi_bigger.jpeg,68,273,4,0.0,0.0
RT @MahatOfficial: My buddy #Simbu @iam_str says he is a big fan of #Thala Ajith n #Powerstar #PawanKalyan🌟 soo happy! 😁👍🌟 http://t.co/4F5r…,511949609502244864,Wed Sep 17 00:17:53 IST 2014,Ruthvik_Rao,http://pbs.twimg.com/profile_images/476752804518690816/aMbnLh7L_bigger.jpeg,259,2084,214,0.0,0.0
RT @SRTrendulkar: PawanKalyan is greater than #Chiru annavallaki following suitableSame like pakkintodi father is better than your father …,511949554187771906,Wed Sep 17 00:17:39 IST 2014,Vineeth_Nambi,http://pbs.twimg.com/profile_images/511830361756553216/Zlz2DPBH_bigger.jpeg,52,75,13,0.0,0.0
RT @PawanKalyanFan: "Naa Mee Manandari #PawanKalyan #GAV 150 days function ki ide vedhika pai ostadu"  - #Megastar #Chiranjeevi at #GAV a…,511949509518434306,Wed Sep 17 00:17:29 IST 2014,manipamarthi,http://pbs.twimg.com/profile_images/2818062475/c294d8249154970bfcae98c42bae6d44_bigger.jpeg,31,6,6,0.0,0.0
Wishing a very Happy Birthday to our Prime Minister Narendra Modi ji.May god give him loads of energy to run... http://t.co/BUvAe6aaMy,511946751042125825,Wed Sep 17 00:06:31 IST 2014,PawanKalyan_FB,http://pbs.twimg.com/profile_images/378800000438635131/e612eed843f0890137a161d81ae9047c_bigger.jpeg,1396,1,0,0.0,0.0
