"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @mahi2you: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/k60BadW5T3",FALSE,0,NA,2014-09-17 05:42:04,FALSE,NA,"512114243635015681",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","charan_megafan",17,TRUE,FALSE,NA,NA
"2","RT @KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/1ZE2KQwv…",FALSE,0,NA,2014-09-17 05:41:44,FALSE,NA,"512114156263055361",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kumarkovuru",20,TRUE,FALSE,NA,NA
"3","RT @mahi2you: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/k60BadW5T3",FALSE,0,NA,2014-09-17 05:38:59,FALSE,NA,"512113465419243520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","upendra_kadari",17,TRUE,FALSE,NA,NA
"4","RT @crazy_N28: ""@KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://…",FALSE,0,NA,2014-09-17 05:38:28,FALSE,NA,"512113334317875200",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ramsakr",7,TRUE,FALSE,NA,NA
"5","RT @KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/1ZE2KQwv…",FALSE,0,NA,2014-09-17 05:34:19,FALSE,NA,"512112290863132672",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ghari16",20,TRUE,FALSE,NA,NA
"6","RT @KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/1ZE2KQwv…",FALSE,0,NA,2014-09-17 05:33:15,FALSE,NA,"512112020993228800",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Srininaidu79",20,TRUE,FALSE,NA,NA
"7","@PawanKalyan_IN @narendramodi very happy birthday sir",FALSE,0,"PawanKalyan_IN",2014-09-17 05:31:31,FALSE,"512055285511651328","512111586433986561","448470835","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","praveenpranu426",0,FALSE,FALSE,NA,NA
"8","RT @avinash67899: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/arWrzABijV",FALSE,0,NA,2014-09-17 05:31:25,FALSE,NA,"512111561893089280",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","SimplySukiP",1,TRUE,FALSE,NA,NA
"9","RT @KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/1ZE2KQwv…",FALSE,0,NA,2014-09-17 05:26:28,FALSE,NA,"512110316134473728",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RISKISMYAIM",20,TRUE,FALSE,NA,NA
"10","RT @KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/1ZE2KQwv…",FALSE,0,NA,2014-09-17 05:24:37,FALSE,NA,"512109851262988288",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","AdithyaIzOn",20,TRUE,FALSE,NA,NA
"11","""#PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/nPvVyIFr60"""" idhi choodandra",FALSE,0,NA,2014-09-17 05:23:12,FALSE,NA,"512109493363015680",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","swamynadhkone",0,FALSE,FALSE,NA,NA
"12","#PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu @PawanKalyanFan  http://t.co/eTwWGTQXbw",FALSE,0,NA,2014-09-17 05:22:53,FALSE,NA,"512109414652723200",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","manikick",0,FALSE,FALSE,NA,NA
"13","RT @KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/1ZE2KQwv…",FALSE,0,NA,2014-09-17 05:22:15,FALSE,NA,"512109253692121088",NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for  Android</a>","PakkaPKfan",20,TRUE,FALSE,NA,NA
"14","RT @KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/1ZE2KQwv…",FALSE,0,NA,2014-09-17 05:19:03,FALSE,NA,"512108451317567489",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MegastarFC",20,TRUE,FALSE,NA,NA
"15","RT @KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/1ZE2KQwv…",FALSE,0,NA,2014-09-17 05:18:12,FALSE,NA,"512108233217957888",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sarcasm_donor",20,TRUE,FALSE,NA,NA
"16","RT @KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/1ZE2KQwv…",FALSE,0,NA,2014-09-17 05:18:06,FALSE,NA,"512108209465593856",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NaiduBawa",20,TRUE,FALSE,NA,NA
"17","RT @KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/1ZE2KQwv…",FALSE,0,NA,2014-09-17 05:17:41,FALSE,NA,"512108105069383680",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","rajamass",20,TRUE,FALSE,NA,NA
"18","RT @crazy_N28: ""@KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://…",FALSE,0,NA,2014-09-17 05:16:16,FALSE,NA,"512107748960399360",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","meevaasu",7,TRUE,FALSE,NA,NA
"19","RT @KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/1ZE2KQwv…",FALSE,0,NA,2014-09-17 05:16:06,FALSE,NA,"512107705410936832",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","naveen_vfx",20,TRUE,FALSE,NA,NA
"20","#PawanKalyan Daughter Aadhya in the sets of #GAV with MegaStar and Surekha garu. http://t.co/PR6l3beb0L""",FALSE,0,NA,2014-09-17 05:15:43,FALSE,NA,"512107611660242944",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","PowerrStar",0,FALSE,FALSE,"81.2536806","16.4872774"
"21","RT @KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/1ZE2KQwv…",FALSE,0,NA,2014-09-17 05:14:52,FALSE,NA,"512107396148113409",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Harissh_KV",20,TRUE,FALSE,NA,NA
"22","RT @KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/1ZE2KQwv…",FALSE,0,NA,2014-09-17 05:14:38,FALSE,NA,"512107338824970241",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","achantaavinash",20,TRUE,FALSE,NA,NA
"23","RT @KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/1ZE2KQwv…",FALSE,0,NA,2014-09-17 05:14:33,FALSE,NA,"512107317265825792",NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for  Android</a>","AlwaysAbhl",20,TRUE,FALSE,NA,NA
"24","RT @crazy_N28: ""@KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://…",FALSE,0,NA,2014-09-17 05:14:02,FALSE,NA,"512107184906174464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","meghanavirat",7,TRUE,FALSE,NA,NA
