"","text","Source"
"1","RT @mahi2you: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/k60BadW5T3","Twitter"
"2","RT @KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/1ZE2KQwv…","Twitter"
"3","RT @mahi2you: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/k60BadW5T3","Twitter"
"4","RT @crazy_N28: ""@KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://…","Twitter"
"5","RT @KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/1ZE2KQwv…","Twitter"
"6","RT @KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/1ZE2KQwv…","Twitter"
"7","@PawanKalyan_IN @narendramodi very happy birthday sir","Twitter"
"8","RT @avinash67899: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/arWrzABijV","Twitter"
"9","RT @KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/1ZE2KQwv…","Twitter"
"10","RT @KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/1ZE2KQwv…","Twitter"
"11","""#PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/nPvVyIFr60"""" idhi choodandra","Twitter"
"12","#PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu @PawanKalyanFan  http://t.co/eTwWGTQXbw","Twitter"
"13","RT @KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/1ZE2KQwv…","Twitter"
"14","RT @KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/1ZE2KQwv…","Twitter"
"15","RT @KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/1ZE2KQwv…","Twitter"
"16","RT @KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/1ZE2KQwv…","Twitter"
"17","RT @KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/1ZE2KQwv…","Twitter"
"18","RT @crazy_N28: ""@KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://…","Twitter"
"19","RT @KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/1ZE2KQwv…","Twitter"
"20","#PawanKalyan Daughter Aadhya in the sets of #GAV with MegaStar and Surekha garu. http://t.co/PR6l3beb0L""","Twitter"
"21","RT @KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/1ZE2KQwv…","Twitter"
"22","RT @KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/1ZE2KQwv…","Twitter"
"23","RT @KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://t.co/1ZE2KQwv…","Twitter"
"24","RT @crazy_N28: ""@KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://…","Twitter"
"25","RT @crazy_N28: ""@KasapoguPrakash: #PawanKalyan Daughter #Aadhya in the sets of #GovinduduAndarivadele with MegaStar n Surekha garu. http://…","Twitter"
"26","Wishing a happy Birthday to Our Honarable Prime Minister of India Shri Narendra Modi Ji﻿","G+"
"27","Pawan Kalyan Ex Wife Renu Desai Reacted On Anti Comments﻿","G+"
"28","Pawan Kalyan Craze At Govindudu Andarivadele Audio Launch | Ram Charan﻿","G+"
"29","#PawanKalyan Fans Vs #Chiranjeevi at GAV Audio Launch Event﻿","G+"
"30","Sudeep vs Jagapthi babu in LingaaA hero is someone who can change the total composition and scale of a film with his presence. This is one reason why when stars like Superstar Rajnikanth, Amitabh Bachchan, Aamir Khan, Shah Rukh Khan, Mahesh Babu, Pawan Kalyan come with their films the atmo...﻿","G+"
"31"," #Pawankalyan  &#39;s producer praises megapowerstar  #RamCharan For details --&gt; http://goo.gl/IoA6s5 ﻿","G+"
"32","Allu Arjun Skipped GAV FunctionAllu Arjun Skipped GAV Function   Except Varun Tej and Sai Dharam Tej, there is none of the other Mega heroes present at ‘Govindudu Andari Vaadele’ audio release function. Of course, we did not expect Power Star Pawan Kalyan to become a part of this event b...﻿","G+"
"33","RenuDesai strikes back again ..??Read here:http://goo.gl/ZGSPwv#renudesai #pawankalyan #strikesback #moviemint#renudesailatestnews﻿","G+"
"34","Renu desai warning to Pawan kalyan fans | Renu Desai fires on Powerstar Fanst is more or less fact that Power Star Pawan Kalyan and Renu Desai got separated and they are no more together.After leaving Pawan Renu left to Pune and got busy with her work but the painful past of the renu was still hurting her unfortunately it was becau...﻿","G+"
"35","Who is Number 1 Hero? Mahesh Babu, Pawan Kalyan or NTR video free download- video free download Who is Number 1 Hero? Mahesh Babu, Pawan Kalyan or NTR video free download﻿","G+"
"36","दक्षिण फिल्मों के दस बड़े सुपरस्टार, जिनके एक्टिंग की कॉपी करते हेैं बॉलीवुड के स्टार http://www.haribhoomi.com/news/14413-ten-superstar-from-south-indian-film.html #haribhoomi #tollywood #southindustry #bollywood #shivaji #Mohanlal #chiranjeevi #pawankalyan #JUniorNtr #suriya﻿","G+"
"37","Pawan Kalyan Skips Again, http://www.cinesprint.com/tollywood/cine-buzz/1307-pawan-kalyan-skips-again.html﻿","G+"
"38","Allu Arjun Skipped GAV FunctionExcept Varun Tej and Sai Dharam Tej, there is none of the other Mega heroes present at ‘Govindudu Andari Vaadele’ audio release function. Of course, we did not expect Power Star Pawan Kalyan to become a part of this event but at the same time never thought ...﻿","G+"
"39","Yet again, Pawan skips Mega eventhttp://www.andhrawishesh.com/home/movie-news/47143-yet-again-pawan-skips-mega-event.htmlPowerstar Pawan Kalyan has once again skipped the Mega family event and proved things are still on the radar. Ram Charan&#39;s &#39;Govindudu Andarivadele&#39; [GAV] had its audio release program yesterday where all the members of the Mega family attended it.﻿","G+"
"40","Yet again, Pawan skips Mega eventhttp://www.andhrawishesh.com/home/movie-news/47143-yet-again-pawan-skips-mega-event.htmlPowerstar Pawan Kalyan has once again skipped the Mega family event and proved things are still on the radar. Ram Charan&#39;s &#39;Govindudu Andarivadele&#39; [GAV] had its audio release program yesterday where all the members of the Mega family attended it.﻿","G+"
