"dfpv1.score" "dfpv1.text"
"1" 1 "Good evening all â™¥â™¥ #PawanKalyan &amp; @kriti_official í ½í¸Š http://t.co/ctCc9ZLWV3"
"2" 1 "RT @nishchitha1: Good Afternoon #PawanKalyanâ™¥ http://t.co/AG5s9FlKls"
"3" 1 "Good Afternoon #PawanKalyanâ™¥ http://t.co/AG5s9FlKls"
"4" 1 "@meevaasu hmm..cheyali kada..Am fan of both
#PawanKalyan vi n #RamCharan vi chesta
nakeppudu double responsibilty ey
I enjoy sharing both :D"
"5" 1 "@deep_sivam Pls support #PawanKalyan's #Janasena4Change. Add badge 2 ur profile http://t.co/F5ywrPUUxT via http://t.co/q2CXhfwVGb"
"6" 1 "@PradeepZoya13 @GiriC8 Pls support #PawanKalyan's #Janasena4Change. Add badge 2 ur profile http://t.co/F5ywrPUUxT via http://t.co/q2CXhfwVGb"
"7" 1 "@bhanumahesh10 Pls support #PawanKalyan's #Janasena4Change. Add badge 2 ur profile http://t.co/F5ywrPUUxT via http://t.co/q2CXhfwVGb"
"8" 1 "@haribabukunapa2 Pls support #PawanKalyan's #Janasena4Change. Add badge 2 ur profile http://t.co/F5ywrPUUxT via http://t.co/q2CXhfwVGb"
