"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Good evening all ♥♥ #PawanKalyan &amp; @kriti_official ������ http://t.co/ctCc9ZLWV3",FALSE,0,NA,2014-09-16 12:58:07,FALSE,NA,"511861588081405954",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","VyasKalyan",0,FALSE,FALSE,NA,NA
"2","#PawanKalyan On #JaNaSeNa Party Meeting.
#Devudu Lanti Annayaki Yedhurelthana..
#Chiru On #Gav Audio Function.#Thammudiney Marichina #Chiru",FALSE,0,NA,2014-09-16 12:19:52,FALSE,NA,"511851961713311745",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","maheshpawanism",0,FALSE,FALSE,NA,NA
"3","RT @Deepuzoomout: Whatever the function be, the chantings will always be.. Powerstar.. Powerstar... &amp; Powerstar....... #Pawankalyan",FALSE,0,NA,2014-09-16 12:14:51,FALSE,NA,"511850701224296448",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","aanilk",12,TRUE,FALSE,NA,NA
"4","I posted a new photo to Facebook http://t.co/C6ysqVsI9X",FALSE,1,NA,2014-09-16 12:02:45,FALSE,NA,"511847655488503808",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","PawanKalyan_FB",0,FALSE,FALSE,NA,NA
"5","I posted a new photo to Facebook http://t.co/Vg0nhFBfSD",FALSE,0,NA,2014-09-16 11:11:47,FALSE,NA,"511834829235953664",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","PawanKalyan_FB",0,FALSE,FALSE,NA,NA
"6","RT @VyasKalyan: Royality never dies \m/ #PowerStar #PawanKalyan http://t.co/LeaksyODph",FALSE,0,NA,2014-09-16 11:07:46,FALSE,NA,"511833820383809536",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","maheshpawanism",1,TRUE,FALSE,NA,NA
"7","RT @Deepuzoomout: Whatever the function be, the chantings will always be.. Powerstar.. Powerstar... &amp; Powerstar....... #Pawankalyan",FALSE,0,NA,2014-09-16 10:55:51,FALSE,NA,"511830820097916928",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","Powerrstarfan",12,TRUE,FALSE,NA,NA
"8","Chiranjeevi Says Pawankalyan Will Attend Govindudu Andarivadele 150days Celebrations - పవన్ ను కలిసే http://t.co/rrUMZRdBSF",FALSE,0,NA,2014-09-16 10:46:00,FALSE,NA,"511828340291162112",NA,"<a href=""http://pinterest.com"" rel=""nofollow"">Pinterest</a>","teluguwishesh",0,FALSE,FALSE,NA,NA
"9","Chiranjeevi Says Pawankalyan Will Attend Govindudu Andarivadele 150days Celebrations - పవన్ ను కలిసే
http://t.co/q8T0fxk6c9",FALSE,0,NA,2014-09-16 10:45:49,FALSE,NA,"511828296494243840",NA,"<a href=""http://www.scoop.it"" rel=""nofollow"">Scoop.it</a>","teluguwishesh",0,FALSE,FALSE,NA,NA
"10","Royality never dies \m/ #PowerStar #PawanKalyan http://t.co/LeaksyODph",FALSE,0,NA,2014-09-16 10:42:53,FALSE,NA,"511827554919915520",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","VyasKalyan",1,FALSE,FALSE,NA,NA
"11","RT @Deepuzoomout: Whatever the function be, the chantings will always be.. Powerstar.. Powerstar... &amp; Powerstar....... #Pawankalyan",FALSE,0,NA,2014-09-16 09:47:56,FALSE,NA,"511813726723244032",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","c_arjunkumar",12,TRUE,FALSE,NA,NA
"12","RT @nishchitha1: #PawanKalyan♥ simple dance steps
Attracts many !! http://t.co/OeYVpYSD6q",FALSE,0,NA,2014-09-16 09:41:20,FALSE,NA,"511812069230800896",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","meevaasu",2,TRUE,FALSE,NA,NA
"13","RT @nishchitha1: #PawanKalyan♥ simple dance steps
Attracts many !! http://t.co/OeYVpYSD6q",FALSE,0,NA,2014-09-16 09:31:47,FALSE,NA,"511809662824349696",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kapilvarala",2,TRUE,FALSE,NA,NA
"14","RT @nishchitha1: Good Afternoon #PawanKalyan♥ http://t.co/AG5s9FlKls",FALSE,0,NA,2014-09-16 09:29:17,FALSE,NA,"511809036388294656",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kapilvarala",1,TRUE,FALSE,NA,NA
"15","#PawanKalyan♥ simple dance steps
Attracts many !! http://t.co/OeYVpYSD6q",FALSE,2,NA,2014-09-16 09:27:59,FALSE,NA,"511808706346885122",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nishchitha1",2,FALSE,FALSE,NA,NA
"16","Good Afternoon #PawanKalyan♥ http://t.co/AG5s9FlKls",FALSE,2,NA,2014-09-16 09:21:05,FALSE,NA,"511806972530671616",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nishchitha1",1,FALSE,FALSE,NA,NA
"17","Actor Kamal Haasan hospitalised at Chennai Apollo following symptoms of food poisoning. Likely to be discharged today or tomorrow.",FALSE,0,NA,2014-09-16 09:13:22,FALSE,NA,"511805030882500609",NA,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","_PawanKalyan",0,FALSE,FALSE,NA,NA
