"","text","Source"
"1","Good evening all ♥♥ #PawanKalyan &amp; @kriti_official ������ http://t.co/ctCc9ZLWV3","Twitter"
"2","#PawanKalyan On #JaNaSeNa Party Meeting.
#Devudu Lanti Annayaki Yedhurelthana..
#Chiru On #Gav Audio Function.#Thammudiney Marichina #Chiru","Twitter"
"3","RT @Deepuzoomout: Whatever the function be, the chantings will always be.. Powerstar.. Powerstar... &amp; Powerstar....... #Pawankalyan","Twitter"
"4","I posted a new photo to Facebook http://t.co/C6ysqVsI9X","Twitter"
"5","I posted a new photo to Facebook http://t.co/Vg0nhFBfSD","Twitter"
"6","RT @VyasKalyan: Royality never dies \m/ #PowerStar #PawanKalyan http://t.co/LeaksyODph","Twitter"
"7","RT @Deepuzoomout: Whatever the function be, the chantings will always be.. Powerstar.. Powerstar... &amp; Powerstar....... #Pawankalyan","Twitter"
"8","Chiranjeevi Says Pawankalyan Will Attend Govindudu Andarivadele 150days Celebrations - పవన్ ను కలిసే http://t.co/rrUMZRdBSF","Twitter"
"9","Chiranjeevi Says Pawankalyan Will Attend Govindudu Andarivadele 150days Celebrations - పవన్ ను కలిసే
http://t.co/q8T0fxk6c9","Twitter"
"10","Royality never dies \m/ #PowerStar #PawanKalyan http://t.co/LeaksyODph","Twitter"
"11","RT @Deepuzoomout: Whatever the function be, the chantings will always be.. Powerstar.. Powerstar... &amp; Powerstar....... #Pawankalyan","Twitter"
"12","RT @nishchitha1: #PawanKalyan♥ simple dance steps
Attracts many !! http://t.co/OeYVpYSD6q","Twitter"
"13","RT @nishchitha1: #PawanKalyan♥ simple dance steps
Attracts many !! http://t.co/OeYVpYSD6q","Twitter"
"14","RT @nishchitha1: Good Afternoon #PawanKalyan♥ http://t.co/AG5s9FlKls","Twitter"
"15","#PawanKalyan♥ simple dance steps
Attracts many !! http://t.co/OeYVpYSD6q","Twitter"
"16","Good Afternoon #PawanKalyan♥ http://t.co/AG5s9FlKls","Twitter"
"17","Actor Kamal Haasan hospitalised at Chennai Apollo following symptoms of food poisoning. Likely to be discharged today or tomorrow.","Twitter"
"18","Pawankalyan can come for GAV
150days function :
Chiranjeevi","Twitter"
"19","@meevaasu hmm..cheyali kada..Am fan of both
#PawanKalyan vi n #RamCharan vi chesta
nakeppudu double responsibilty ey
I enjoy sharing both :D","Twitter"
"20","Why Pawan Skipped Govindudu Andarivadele Audio Launch? http://t.co/1GRAiZl1XW #pawankalyan #GovinduduAndarivadele #Chiranjeevi #RamCharan","Twitter"
"21","@deep_sivam Pls support #PawanKalyan's #Janasena4Change. Add badge 2 ur profile http://t.co/F5ywrPUUxT via http://t.co/q2CXhfwVGb","Twitter"
"22","@PradeepZoya13 @GiriC8 Pls support #PawanKalyan's #Janasena4Change. Add badge 2 ur profile http://t.co/F5ywrPUUxT via http://t.co/q2CXhfwVGb","Twitter"
"23","@bhanumahesh10 Pls support #PawanKalyan's #Janasena4Change. Add badge 2 ur profile http://t.co/F5ywrPUUxT via http://t.co/q2CXhfwVGb","Twitter"
"24","@haribabukunapa2 Pls support #PawanKalyan's #Janasena4Change. Add badge 2 ur profile http://t.co/F5ywrPUUxT via http://t.co/q2CXhfwVGb","Twitter"
"25","#PawanKalyan fans irritated #Chiranjeevi

Read Complete Article @ http://t.co/ieEAEqLKyw","Twitter"
"26","Renu desai warning to Pawan kalyan fans | Renu Desai fires on Powerstar Fanst is more or less fact that Power Star Pawan Kalyan and Renu Desai got separated and they are no more together.After leaving Pawan Renu left to Pune and got busy with her work but the painful past of the renu was still hurting her unfortunately it was becau...﻿","G+"
"27","Who is Number 1 Hero? Mahesh Babu, Pawan Kalyan or NTR video free download- video free download Who is Number 1 Hero? Mahesh Babu, Pawan Kalyan or NTR video free download﻿","G+"
