"Id","Weekly_Sales"
"10_10_2012-11-02",42412.61
"10_10_2012-11-09",44905.95
"10_10_2012-11-16",44682.22
"10_10_2012-11-23",47140.41
"10_10_2012-11-30",43713.69
"10_10_2012-12-07",46676.3
"10_10_2012-12-14",46738.73
"10_10_2012-12-21",52457.42
"10_10_2012-12-28",45132.17
"10_10_2013-01-04",37412.51
"10_10_2013-01-11",35047.31
"10_10_2013-01-18",38646.7
"10_10_2013-01-25",40020.28
"10_10_2013-02-01",40502.56
"10_10_2013-02-08",47450.32
"10_10_2013-02-15",52156.75
"10_10_2013-02-22",52318.94
"10_10_2013-03-01",50531.26
"10_10_2013-03-08",46783.3
"10_10_2013-03-15",45643.39
"10_10_2013-03-22",45412.68
"10_10_2013-03-29",48747.42
"10_10_2013-04-05",47566.49
"10_10_2013-04-12",48166.45
"10_10_2013-04-19",43905.77
"10_10_2013-04-26",48958.32
"10_10_2013-05-03",45993.9
"10_10_2013-05-10",44854.85
"10_10_2013-05-17",48728.37
"10_10_2013-05-24",55266.82
"10_10_2013-05-31",49545.54
"10_10_2013-06-07",50821.74
"10_10_2013-06-14",51651.93
"10_10_2013-06-21",52022.26
"10_10_2013-06-28",53821.96
"10_10_2013-07-05",53950.75
"10_10_2013-07-12",50923.3
"10_10_2013-07-19",50606.17
"10_10_2013-07-26",48706.88
"10_11_2012-11-02",26724.22
"10_11_2012-11-09",38216.17
"10_11_2012-11-16",33009.21
"10_11_2012-11-23",31489.66
"10_11_2012-11-30",34481.6
"10_11_2012-12-07",47395.29
"10_11_2012-12-14",41868.91
"10_11_2012-12-21",40527.66
"10_11_2012-12-28",32777.36
"10_11_2013-01-04",29346.46
"10_11_2013-01-11",28506.35
"10_11_2013-01-18",27121.7
"10_11_2013-01-25",25419.82
"10_11_2013-02-01",26896.37
"10_11_2013-02-08",29640.09
"10_11_2013-02-15",29141.35
"10_11_2013-02-22",29837.91
"10_11_2013-03-01",29921.11
"10_11_2013-03-08",29044.78
