"","ti","age","id","au","ve","nC","nP","nR","at","msg","path"
"1",2014-11-12 05:55:59,0.161584265651526,"z12cc1nzlnynxlp0v23dubewpz3zd3qre04","109674302471849761463","post",0,0,0,"article","#Dhoni suffered a &#39;hairline crack&#39; in thumb﻿","https://plus.google.com/109674302471849761463"
"2",2014-11-12 05:12:16,0.191947197698885,"z13mv3154lvrdj5me22nuxwz0sn4s3dl5","100139400514308212797","post",0,1,0,"article","Gavaskar said though the Team India&#39;s upcoming Australian tour is likely to be a hard one, it would provide them a good exposure ahead of the upcoming World Cup.#AUSvsIND  #Dhoni  #ViratKohli﻿","https://plus.google.com/100139400514308212797"
"3",2014-11-11 07:11:25,1.10920937663151,"z13rhh24ouvlchcqe04chlkr4wqsxfjaod0","101183797882232517851","post",0,0,0,"article","#Dhoni to miss, #Kohli to lead #India in 1st Test in #Australia http://bit.ly/1tBkSbL
#News #Latestnews﻿","https://plus.google.com/101183797882232517851"
"4",2014-11-11 05:15:36,1.18963612963204,"z121e5viwuivu5mob04civpj0m3tshojqyo0k","110415823327057195014","post",0,0,0,"article","#Rahul #KarnSharma #Australia #Dhoni #Skip #Opener #Cricket #India #Test #Squad﻿","https://plus.google.com/110415823327057195014"
"5",2014-11-10 12:55:54,1.86997934172551,"z12oy5cj3mbrtj5zq04cdjuxhlfrj3tybqc0k","113562279888585796916","post",0,0,0,"article","#AustraliavsIndia Series: #Dhoni Rested for First Testhttp://www.ibtimes.co.in/australia-vs-india-series-dhoni-rested-first-test-613570﻿","https://plus.google.com/113562279888585796916"
"6",2014-11-10 12:02:09,1.90730458223709,"z12lyrapunr1hnkwt04cjrui1w3qcvnry3g","107657737650096326621","post",0,0,0,"article","NDTV: Dhoni to Miss First #Test in Australia Due to Injury; Kohli to Lead. http://google.com/newsstand/s/CBIw3Iqi3xo #India #Cricket #Dhoni #Kholi #Australia﻿","https://plus.google.com/107657737650096326621"
"7",2014-11-10 10:51:35,1.95630696170308,"z12ec3uylzavildek22az52ohljcd5crm04","111378663671814920979","post",0,3,0,"article","Dhoni will miss the first Test due to injury. Kohli will lead in his absence while Raina also returns to the Test fold.#AUSvsIND #Dhoni #KLRahul﻿","https://plus.google.com/111378663671814920979"
"8",2014-11-10 10:51:33,1.9563328336538,"z13yczpwdvigfn3cw22nuxwz0sn4s3dl5","100139400514308212797","post",0,3,0,"article","Dhoni will miss the first Test due to injury. Kohli will lead in his absence while Raina also returns to the Test fold.#AUSvsIND #Dhoni #KLRahul﻿","https://plus.google.com/100139400514308212797"
"9",2014-11-10 08:54:19,2.03774283819452,"z13betqjtkbwwvd2p22zhdr5sz2icjlg404","103417807271675103794","post",0,0,0,NA,"ऑस्ट्रेलिया दौरे के लिए टेस्ट टीम का चयन, चोट के कारण पहला टेस्ट नहीं खेल पाएंगे धोनी#Dhoni #Australia ﻿","https://plus.google.com/103417807271675103794"
"10",2014-11-10 05:47:47,2.16728866876827,"z13ispkobqiou1jey23qxfs4kyi3h3xrp04","110415823327057195014","post",0,0,0,"article","#Dhoni #Captain #ICC #oneday #Team #Cricket #India﻿","https://plus.google.com/110415823327057195014"
"11",2014-11-08 03:26:12,4.26560681649656,"z13mj1dhyvzvy1zia04cg1s5xsrktpny4t40k","102278458637341773682","post",4,44,2,"photo","Thane Stadium Closed for Players, Open for MS #Dhoni&#39;s Ad Shoot http://goo.gl/8OIZLKFollow latest cricket updates here http://goo.gl/VHgTSImage credit: PTI﻿","https://plus.google.com/102278458637341773682"
"12",2014-11-07 05:57:57,5.16021976233081,"z130t335oxv2x1mgp04cjp2zlyu5wrvjylk0k","110433568594277801793","post",0,1,0,"article"," #worldcup2015   #msdhoni   #dhoni   #cricket  ﻿","https://plus.google.com/110433568594277801793"
