"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @KiaaraSandhu: Chennai Masala USA Top 5 Biggest Stars in South,1.@superstarrajini 2.#Vijay 3.#PawanKalyan 4.#Ajith 5.@urstrulyMahesh htt…",FALSE,0,NA,2014-11-03 11:35:15,FALSE,NA,"529235354318942208",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","1995_saran",72,TRUE,FALSE,NA,NA
"2","RT @PawanKalyanFan: #GopalaGopala first look by November end. #Venkatesh #PawanKalyan
@vennelakishore @anuprubens http://t.co/XVoIe1qTfv ht…",FALSE,0,NA,2014-11-03 11:30:50,FALSE,NA,"529234239859212288",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","3a5e4817ab7247a",9,TRUE,FALSE,NA,NA
"3","RT @KiaaraSandhu: Chennai Masala USA Top 5 Biggest Stars in South,1.@superstarrajini 2.#Vijay 3.#PawanKalyan 4.#Ajith 5.@urstrulyMahesh htt…",FALSE,0,NA,2014-11-03 11:29:43,FALSE,NA,"529233958458769408",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Faridah_Shafiqa",72,TRUE,FALSE,NA,NA
"4","RT @KiaaraSandhu: Chennai Masala USA Top 5 Biggest Stars in South,1.@superstarrajini 2.#Vijay 3.#PawanKalyan 4.#Ajith 5.@urstrulyMahesh htt…",FALSE,0,NA,2014-11-03 11:25:56,FALSE,NA,"529233007274504192",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LaVanYaVJAddict",72,TRUE,FALSE,NA,NA
"5","RT @KiaaraSandhu: Chennai Masala USA Top 5 Biggest Stars in South,1.@superstarrajini 2.#Vijay 3.#PawanKalyan 4.#Ajith 5.@urstrulyMahesh htt…",FALSE,0,NA,2014-11-03 11:24:59,FALSE,NA,"529232771005165568",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","manimarg",72,TRUE,FALSE,NA,NA
"6","Is #Pawankalyan A Regionalist? http://t.co/RmHHCxjPvJ RT @pawan_kalyan @urspawan @PSPK_FC @PspkAddicts",FALSE,0,NA,2014-11-03 11:10:20,FALSE,NA,"529229081863536640",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","ITeluguCinema",0,FALSE,FALSE,NA,NA
"7","RT @tollywood_bo: Power star #Pawankalyan at Bakthi TV Koti Deepotsavam Event @PawanKalyanFan @thepawanist @PowerStarrFan @gowrav_pk RT htt…",FALSE,0,NA,2014-11-03 10:58:57,FALSE,NA,"529226218080436224",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","thepawanist",2,TRUE,FALSE,NA,NA
"8","RT @PawanKalyanFan: Watch #PawanKalyan's Bangaram movie on Gemini TV today at 3:00 PM http://t.co/l378ewgb5s",FALSE,0,NA,2014-11-03 10:56:04,FALSE,NA,"529225492051013634",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","charan38650446",2,TRUE,FALSE,NA,NA
"9","@k_manoj1444 Pls support #PawanKalyan's #Janasena4Change. Add badge 2 ur profile http://t.co/z2YX3V0UUX via http://t.co/F6GMKIaGXu",FALSE,0,"k_manoj1444",2014-11-03 10:41:41,FALSE,NA,"529221872185917442","1600374757","<a href=""http://unfollowers.com"" rel=""nofollow"">Unfollowers.me</a>","PawanKalyan_IN",0,FALSE,FALSE,NA,NA
"10","@kurratrinadh Pls support #PawanKalyan's #Janasena4Change. Add badge 2 ur profile http://t.co/z2YX3V0UUX via http://t.co/F6GMKIaGXu",FALSE,0,"kurratrinadh",2014-11-03 10:41:41,FALSE,NA,"529221871137341440","2729833738","<a href=""http://unfollowers.com"" rel=""nofollow"">Unfollowers.me</a>","PawanKalyan_IN",0,FALSE,FALSE,NA,NA
