"","ti","age","id","au","ve","nC","nP","nR","at","msg","path"
"1",2015-01-19 14:25:14,0.878879840906571,"z12nhtwygsqzvz3yr04chlty0yesh3uh4zo0k","117597436469599966063","post",1,0,0,"article","#Healthcare #Technology #Trends – Healthcare for Clinicians &amp; Patients - #Accenture﻿","https://plus.google.com/117597436469599966063"
"2",2015-01-19 13:54:44,0.900057212462028,"z13tzbixbpesgtdxa04cctfqboyjt5goi04","104013354095208906440","post",0,0,0,"article","Happy Martin Luther King, Jr. Day! It&#39;s a day of reflection and service.  #MLK   #mlkday   #mlkday2015   #mlkdayofservice   #Accenture    #corporate   #service   #dc   #volunteers   #nonprofit  ﻿","https://plus.google.com/104013354095208906440"
"3",2015-01-18 15:51:09,1.81921163973985,"z13swf4b2vqmhnfz504cin1hnlujetdonek","105445352162673852207","post",0,0,0,NA,"All this appears 2 explain #Microsoft #Accenture &amp; #Google #PwC hookups to defend turf given #IBM huge presence in enterprise computing mkt﻿","https://plus.google.com/105445352162673852207"
"4",2015-01-15 10:33:46,5.03961623773807,"z12qzdtzmob4s3s2z23oj3gxszuuv5vd4","114469425934703599954","post",0,0,0,"article"," #jobs   #accenture   #freshersjobs   #jobsearch  ﻿","https://plus.google.com/114469425934703599954"
"5",2015-01-14 14:06:31,5.89187092502084,"z13aclq5rwucetdna23cdllyotvhsflmg","115727332305809852961","post",0,0,0,"article","#Energy Selects #Accenture to Deploy New #Ventyx Digital PlatformJACKSON, MI; Jan. 14, 2015 – Accenture (NYSE: ACN) has been selected by Consumers Energy (NYSE: CMS), Michigan’s largest utility, to deploy new mobile workforce management (MWFM) software from Ventyx, an ABB company, to help field workers improve safety,…﻿","https://plus.google.com/115727332305809852961"
"6",2015-01-14 13:49:02,5.90401543148138,"z12njbupsxbje5koq04ccv24hmfwjb3rpk00k","103100286866901131038","post",0,0,0,"article","#Accenture, #Stemettes and #SchoolsNE have teamed up to deliver #NEDigitalGirls and get more women in #STEM http://24n.biz/news/girls-to-be-encouraged-into-stem-careers-at-event-.html﻿","https://plus.google.com/103100286866901131038"
"7",2015-01-13 14:24:19,6.87951414272465,"z13lffhwukv0vzfm123kix2w5nasfuds","117909611958286339585","post",0,0,0,"article","How #HighTech Can Pursue Industrial #InternetOfThings Market | #IIoT #M2M #IoT #Accenture  via Manufacturing.net﻿","https://plus.google.com/117909611958286339585"
"8",2015-01-12 14:10:03,7.88942667064016,"z13zjbjzomrojzbev23cdllyotvhsflmg","115727332305809852961","post",0,0,0,"article","#Accenture Enables #MobileWorkforce with #Accenture #CAS #Software for #Windows #8.1 #DevicesNEW YORK; Jan. 12, 2015 – To better enable the mobile workforce, Accenture (NYSE: ACN) has made its Accenture CAS software available on Windows 8.1 devices, starting with tablets and followed by mobile phones, providing clients with access to a single…﻿","https://plus.google.com/115727332305809852961"
"9",2015-01-12 08:11:07,8.13867993503809,"z13rsf4hloavu3hca23cdllyotvhsflmg","115727332305809852961","post",0,0,0,"article","Zurich Insurance PLC Deploys #Accenture #Duck #Creek #Policy for #CoreProcessing of #Multiple Lines of #Business in the #UKNEW YORK; Jan. 12, 2015 – Accenture (NYSE: ACN) announced that Accenture Duck Creek Policy is now in production at global insurer Zurich, supporting its general insurance business in the United Kingdom. The new system will enable Zurich to streamline…﻿","https://plus.google.com/115727332305809852961"
"10",2015-01-07 10:35:34,13.0383681394077,"z12gs1uqjvvcj3edy23bfnxbjsnsgryi004","107320569931932704012","post",0,0,0,NA,"#Accenture to expand  #smartgrid  solutions with  #Structure  acquisitionhttp://www.cbronline.com/news/accenture-expands-smart-services-with-structure-acquisition-4483338﻿","https://plus.google.com/107320569931932704012"
"11",2015-01-06 23:27:07,13.5025736946419,"z12qzryxto3dvbvnj23buvpi3zzgg5yxg04","101248580021873807478","post",0,0,0,"photo","#Accenture and Avanade to Demo Advanced #CPG #Analytics at #NRF 2015 http://avana.de/1AoaX2o﻿","https://plus.google.com/101248580021873807478"
"12",2015-01-03 10:53:39,17.0258167654745,"z125chga1ljpjt2iz04ci5gyzuyeh3m4bko0k","113119914214021931926","post",0,1,0,"article","Can the Industrial  #IoT   jump-start the lackluster global economy? http://bit.ly/1AaQbAM  #accenture  ﻿","https://plus.google.com/113119914214021931926"
"13",2015-01-01 16:51:27,18.7773425971882,"z12gep4qsrrpgb5nx22cghcj3ne1z5lap04","109013083008126908329","post",0,0,0,"article","#Parallel Companies#Accenture (14th Oct) #Tech Mahindra (17th Oct) #Infosys (20th Oct) These 3 companies conducted their interviews first. I didn&#39;t apply for Tech Mahindra because of their criteria. But i did apply for Accenture and Infosys. #Accenture: I gave Accenture Aptit...﻿","https://plus.google.com/109013083008126908329"
"14",2014-12-31 11:22:50,20.0055460809144,"z13kxn0pwnuhulnfi225hd34wzvbj3r4504","114432128958814840207","post",0,0,0,"photo","Opening for Graphic Designer at #Accentureskills: Graphic Designing, graphical designer, #Photoshop, #illustrator, #Flash, Flash Developerhttp://buff.ly/1BhGccp﻿","https://plus.google.com/114432128958814840207"
