"","score","text","path"
"27",-1,"#Sonusood sorry to #Alluarjun
https://t.co/lc5lNlcfiN","https://twitter.com/abntelugutv"
"33",-1,"RT @PavanSurvi: #AlluArjun has asked Dir. Vijay Konda to develop a story &amp; come up with a bounded script. If everything falls in place, shoâ¦","https://twitter.com/Avinashrepaka"
"34",-1,"#AlluArjun has asked Dir. Vijay Konda to develop a story &amp; come up with a bounded script. If everything falls in place, shooting from June.","https://twitter.com/Avinashrepaka"
"82",-1,"RT @PavanSurvi: #AlluArjun has asked Dir. Vijay Konda to develop a story &amp; come up with a bounded script. If everything falls in place, shoâ¦","https://twitter.com/abhitrendsetter"
"91",-1,"#AlluArjun has asked Dir. Vijay Konda to develop a story &amp; come up with a bounded script. If everything falls in place, shooting from June.","https://twitter.com/ajayhari444"
"93",-1,"#AlluArjun has asked Dir. Vijay Konda to develop a story &amp; come up with a bounded script. If everything falls in place, shooting from June.","https://twitter.com/PavanSurvi"
"148",-1,"RT @SKNonline: Progress report of #MegaHeroes 2014  
#AlluArjun #RamCharan steals the show &amp; upcoming young mega heroes shines RT http://t.â¦","https://twitter.com/kattanaveen630"
"228",-1,"""@SKNonline: #Stylishstar #AlluArjun's aggressive look
Kummesadu as #GonaGannaReddy frm #Rudramadevi RT http://t.co/nrVqiULPBq""","https://twitter.com/bashohasan"
"288",-1,"RT @SKNonline: #Stylishstar #AlluArjun's aggressive look
Kummesadu as #GonaGannaReddy frm #Rudramadevi RT http://t.co/VWeE57IIna","https://twitter.com/jai488"
"297",-1,"RT @SKNonline: #Stylishstar #AlluArjun's aggressive look
Kummesadu as #GonaGannaReddy frm #Rudramadevi RT http://t.co/VWeE57IIna","https://twitter.com/sandeeppri"
"312",-1,"Massive craze in south india #tollywood  for this mega family #chiranjeevi #PawanKalyan #RamCharan #AlluArjun","https://twitter.com/BeHappyQuotes2u"
"313",-1,"RT @abntelugutv: '#Rudhramadevi' #AlluArjun will prove to be a terrifying antagonist for #AnushkaShetty in #Gunasekhar's next
http://t.co/uâ¦","https://twitter.com/kp7819"
"314",-1,"'#Rudhramadevi' #AlluArjun will prove to be a terrifying antagonist for #AnushkaShetty in #Gunasekhar's next
http://t.co/ukzJQxa2H1","https://twitter.com/abntelugutv"
"321",-1,"RT @SKNonline: #Stylishstar #AlluArjun's aggressive look
Kummesadu as #GonaGannaReddy frm #Rudramadevi RT http://t.co/VWeE57IIna","https://twitter.com/rajesh_reddy_"
"336",-1,"RT @_tarak9999: Oh my God this is purely #Shankar's craze.....He did what #AlluArjun #Prabhas unable to do #Imovie #I","https://twitter.com/Karthic12345"
"337",-1,"Oh my God this is purely #Shankar's craze.....He did what #AlluArjun #Prabhas unable to do #Imovie #I","https://twitter.com/_tarak9999"
"394",-1,"RT @SKNonline: #Stylishstar #AlluArjun's aggressive look
Kummesadu as #GonaGannaReddy frm #Rudramadevi RT http://t.co/VWeE57IIna","https://twitter.com/Mvijay_Vj"
"404",-1,"RT @SKNonline: #Stylishstar #AlluArjun's aggressive look
Kummesadu as #GonaGannaReddy frm #Rudramadevi RT http://t.co/VWeE57IIna","https://twitter.com/lakshman0531"
"406",-1,"RT @SKNonline: #Stylishstar #AlluArjun's aggressive look
Kummesadu as #GonaGannaReddy frm #Rudramadevi RT http://t.co/VWeE57IIna","https://twitter.com/Rajashekar3332V"
"408",-1,"AlluArjun looks furious! http://t.co/BcCxrvnZ8e","https://twitter.com/IndianMovieFrnd"
"410",-1,"RT @SKNonline: #Stylishstar #AlluArjun's aggressive look
Kummesadu as #GonaGannaReddy frm #Rudramadevi RT http://t.co/VWeE57IIna","https://twitter.com/jaiprekash1"
"420",-1,"RT @alwaysmurli: ""@SKNonline: #Stylishstar #AlluArjun's aggressive look
Kummesadu as #GonaGannaReddy frm #Rudramadevi RT http://t.co/mkzvyXâ¦","https://twitter.com/MULAKALAGUMADAM"
"421",-1,"RT @SKNonline: #Stylishstar #AlluArjun's aggressive look
Kummesadu as #GonaGannaReddy frm #Rudramadevi RT http://t.co/VWeE57IIna","https://twitter.com/jayavivekreddy"
"451",-1,"RT @SKNonline: #Stylishstar #AlluArjun's aggressive look
Kummesadu as #GonaGannaReddy frm #Rudramadevi RT http://t.co/VWeE57IIna","https://twitter.com/pasupuleti7"
"465",-1,"RT @SKNonline: #Stylishstar #AlluArjun's aggressive look
Kummesadu as #GonaGannaReddy frm #Rudramadevi RT http://t.co/VWeE57IIna","https://twitter.com/4Invincibles"
"466",-1,"RT @SKNonline: #Stylishstar #AlluArjun's aggressive look
Kummesadu as #GonaGannaReddy frm #Rudramadevi RT http://t.co/VWeE57IIna","https://twitter.com/VenkateshVijaya"
"478",-1,"RT @SKNonline: #Stylishstar #AlluArjun's aggressive look
Kummesadu as #GonaGannaReddy frm #Rudramadevi RT http://t.co/VWeE57IIna","https://twitter.com/RaghavaJulaay"
"496",-1,"RT @SKNonline: #Stylishstar #AlluArjun's aggressive look
Kummesadu as #GonaGannaReddy frm #Rudramadevi RT http://t.co/VWeE57IIna","https://twitter.com/Marathibunny"
"498",-1,"@Samanthaprabhu2#Stylishstar #AlluArjun's aggressive look as #GonaGannaReddy frm #Rudramadevi RT http://t.co/uQXo6cdEJA","https://twitter.com/iluvvirat18"
"499",-1,"RT @SKNonline: #Stylishstar #AlluArjun's aggressive look
Kummesadu as #GonaGannaReddy frm #Rudramadevi RT http://t.co/VWeE57IIna","https://twitter.com/ShivangChauhans"
"508",-1,"RT @SKNonline: #Stylishstar #AlluArjun's aggressive look
Kummesadu as #GonaGannaReddy frm #Rudramadevi RT http://t.co/VWeE57IIna","https://twitter.com/GunvantSr"
"511",-1,"RT @SKNonline: #Stylishstar #AlluArjun's aggressive look
Kummesadu as #GonaGannaReddy frm #Rudramadevi RT http://t.co/VWeE57IIna","https://twitter.com/nagoorvali9703"
"524",-1,"RT @SKNonline: #Stylishstar #AlluArjun's aggressive look
Kummesadu as #GonaGannaReddy frm #Rudramadevi RT http://t.co/VWeE57IIna","https://twitter.com/sairamsuman"
"526",-1,"RT @SKNonline: #Stylishstar #AlluArjun's aggressive look
Kummesadu as #GonaGannaReddy frm #Rudramadevi RT http://t.co/VWeE57IIna","https://twitter.com/Suvigneyasai"
"527",-1,"RT @SKNonline: #Stylishstar #AlluArjun's aggressive look
Kummesadu as #GonaGannaReddy frm #Rudramadevi RT http://t.co/VWeE57IIna","https://twitter.com/kondamarun12"
"532",-1,"RT @SKNonline: #Stylishstar #AlluArjun's aggressive look
Kummesadu as #GonaGannaReddy frm #Rudramadevi RT http://t.co/VWeE57IIna","https://twitter.com/vicky82143"
"534",-1,"RT @SKNonline: #Stylishstar #AlluArjun's aggressive look
Kummesadu as #GonaGannaReddy frm #Rudramadevi RT http://t.co/VWeE57IIna","https://twitter.com/happybittu09"
"535",-1,"RT @SKNonline: #Stylishstar #AlluArjun's aggressive look
Kummesadu as #GonaGannaReddy frm #Rudramadevi RT http://t.co/VWeE57IIna","https://twitter.com/krishnarjun96"
"541",-1,"RT @SKNonline: #Stylishstar #AlluArjun's aggressive look
Kummesadu as #GonaGannaReddy frm #Rudramadevi RT http://t.co/VWeE57IIna","https://twitter.com/filmlovertweet"
"543",-1,"RT @SKNonline: #Stylishstar #AlluArjun's aggressive look
Kummesadu as #GonaGannaReddy frm #Rudramadevi RT http://t.co/VWeE57IIna","https://twitter.com/pawanismfans"
"547",-1,"RT @SKNonline: #Stylishstar #AlluArjun's aggressive look
Kummesadu as #GonaGannaReddy frm #Rudramadevi RT http://t.co/VWeE57IIna","https://twitter.com/Big_Megaholic"
"553",-1,"RT @SKNonline: #Stylishstar #AlluArjun's aggressive look
Kummesadu as #GonaGannaReddy frm #Rudramadevi RT http://t.co/VWeE57IIna","https://twitter.com/SujithSai2"
"557",-1,"RT @SKNonline: #Stylishstar #AlluArjun's aggressive look
Kummesadu as #GonaGannaReddy frm #Rudramadevi RT http://t.co/VWeE57IIna","https://twitter.com/surendra812"
"564",-1,"AlluArjun's aggressive look as GonaGannaReddy http://t.co/8Lokp4EH0k","https://twitter.com/kohliAgain"
"565",-1,"RT @SKNonline: #Stylishstar #AlluArjun's aggressive look
Kummesadu as #GonaGannaReddy frm #Rudramadevi RT http://t.co/VWeE57IIna","https://twitter.com/sakinalakarthik"
"566",-1,"RT @SKNonline: #Stylishstar #AlluArjun's aggressive look
Kummesadu as #GonaGannaReddy frm #Rudramadevi RT http://t.co/VWeE57IIna","https://twitter.com/ppravins"
"573",-1,"RT @SKNonline: #Stylishstar #AlluArjun's aggressive look
Kummesadu as #GonaGannaReddy frm #Rudramadevi RT http://t.co/VWeE57IIna","https://twitter.com/mano_vihari"
"576",-1,"RT @SKNonline: #Stylishstar #AlluArjun's aggressive look
Kummesadu as #GonaGannaReddy frm #Rudramadevi RT http://t.co/VWeE57IIna","https://twitter.com/anilsiddartha14"
"579",-1,"RT @SKNonline: #Stylishstar #AlluArjun's aggressive look
Kummesadu as #GonaGannaReddy frm #Rudramadevi RT http://t.co/VWeE57IIna","https://twitter.com/brahmakadali"
"580",-1,"RT @SimplySukiP: â@SKNonline: #Stylishstar #AlluArjun's aggressive look
Kummesadu as #GonaGannaReddy frm #Rudramadevi RT http://t.co/0kxOyHâ¦","https://twitter.com/amarnathss"
"582",-1,"#Stylishstar #AlluArjun's aggressive look
Kummesadu as #GonaGannaReddy frm #Rudramadevi RT http://t.co/AT6VQbo0ZS","https://twitter.com/hemanthkumarbhk"
"584",-1,"RT @SKNonline: #Stylishstar #AlluArjun's aggressive look
Kummesadu as #GonaGannaReddy frm #Rudramadevi RT http://t.co/VWeE57IIna","https://twitter.com/Itsme_Thej"
"585",-1,"RT @SKNonline: #Stylishstar #AlluArjun's aggressive look
Kummesadu as #GonaGannaReddy frm #Rudramadevi RT http://t.co/VWeE57IIna","https://twitter.com/yamanchanti"
"592",-1,"RT @SKNonline: #Stylishstar #AlluArjun's aggressive look
Kummesadu as #GonaGannaReddy frm #Rudramadevi RT http://t.co/VWeE57IIna","https://twitter.com/bmmuruli"
"595",-1,"RT @SKNonline: #Stylishstar #AlluArjun's aggressive look
Kummesadu as #GonaGannaReddy frm #Rudramadevi RT http://t.co/VWeE57IIna","https://twitter.com/dhoni_maniac"
"597",-1,"RT @SKNonline: #Stylishstar #AlluArjun's aggressive look
Kummesadu as #GonaGannaReddy frm #Rudramadevi RT http://t.co/VWeE57IIna","https://twitter.com/rehmantweetz"
"605",-1,"RT @SKNonline: #Stylishstar #AlluArjun's aggressive look
Kummesadu as #GonaGannaReddy frm #Rudramadevi RT http://t.co/VWeE57IIna","https://twitter.com/lookatmevenkat"
"609",-1,"RT @SKNonline: #Stylishstar #AlluArjun's aggressive look
Kummesadu as #GonaGannaReddy frm #Rudramadevi RT http://t.co/VWeE57IIna","https://twitter.com/sunkara_krishna"
"610",-1,"RT @SKNonline: #Stylishstar #AlluArjun's aggressive look
Kummesadu as #GonaGannaReddy frm #Rudramadevi RT http://t.co/VWeE57IIna","https://twitter.com/MrVamsheeReddy"
"611",-1,"RT @SKNonline: #Stylishstar #AlluArjun's aggressive look
Kummesadu as #GonaGannaReddy frm #Rudramadevi RT http://t.co/VWeE57IIna","https://twitter.com/Charan_Arjun4"
"618",-1,"RT @SKNonline: #Stylishstar #AlluArjun's aggressive look
Kummesadu as #GonaGannaReddy frm #Rudramadevi RT http://t.co/VWeE57IIna","https://twitter.com/Tollywood_tweet"
"619",-1,"RT @SKNonline: #Stylishstar #AlluArjun's aggressive look
Kummesadu as #GonaGannaReddy frm #Rudramadevi RT http://t.co/VWeE57IIna","https://twitter.com/drravindrareddy"
"622",-1,"RT @SKNonline: #Stylishstar #AlluArjun's aggressive look
Kummesadu as #GonaGannaReddy frm #Rudramadevi RT http://t.co/VWeE57IIna","https://twitter.com/AMMUUBUNNY"
"623",-1,"RT @SKNonline: #Stylishstar #AlluArjun's aggressive look
Kummesadu as #GonaGannaReddy frm #Rudramadevi RT http://t.co/VWeE57IIna","https://twitter.com/ganeshbandla"
"630",-1,"RT @SKNonline: #Stylishstar #AlluArjun's aggressive look
Kummesadu as #GonaGannaReddy frm #Rudramadevi RT http://t.co/VWeE57IIna","https://twitter.com/AlluArjun_AA"
"639",-1,"RT @SKNonline: #Stylishstar #AlluArjun's aggressive look
Kummesadu as #GonaGannaReddy frm #Rudramadevi RT http://t.co/VWeE57IIna","https://twitter.com/RajuReformer"
