"","score","text","path"
"42",2,"According to boxoffice collections top 6 heros are 1) #pawankalyan 2) #ramcharam 3) #alluarjun 4) #maheshbabu 5) #prabhas 6) #jrntr","https://twitter.com/MULAKALAGUMADAM"
"44",2,"70 Crores share cross chesina heros #ramcharan #pawankalyan. 50 cross share ni cross chesina heros #maheshbabu and #alluarjun.","https://twitter.com/MULAKALAGUMADAM"
"71",1,"#AlluArjun's super look for #GonaGannaReddy. http://t.co/THPJPM4Xjn","https://twitter.com/ZeeTVTelugu"
"76",1,"AlluArjun next movie with Vijay Konda #gundejarigallanthaindi #olk fame","https://twitter.com/_vsri"
"77",3,"Follow me #maheshbabu #ramcharan #ramsays #prabhas #alluarjun #raviteja #p1kalyan #jrntr fans follow me :) loves u lot :) all Telugu fans ;)","https://twitter.com/hancynikhil"
"103",3,"#I'm not exclusive fan of PAWAN, RAMCHARAN, ALLUARJUN but as like most of the fans i'm true Mega Family fan.Ee exclusive fans yevaru?","https://twitter.com/ManojMalladi"
"126",3,"RT @itzRanjith: My favourite hero &amp; i learned Telugu from his movies tats
#AlluArjun now watching #Raceguram such a fantastic best entertaiâ¦","https://twitter.com/RajuReformer"
"127",3,"RT @itzRanjith: My favourite hero &amp; i learned Telugu from his movies tats
#AlluArjun now watching #Raceguram such a fantastic best entertaiâ¦","https://twitter.com/AlluArjunAdicts"
"150",1,"RT @MovifiedTamil: The handsome #AlluArjun is back from his holiday (via DC) http://t.co/zbbmKJEYWp","https://twitter.com/kattanaveen630"
"158",3,"#I'm not exclusive fan of CHIRU, PAWAN, RAMCHARAN, ALLUARJUN but as like most of the fans i'm true Mega Family fan.Ee exclusive fans yevaru?","https://twitter.com/ManojMalladi"
"166",2,"@suriya_fan #AlluArjun look from #Rudhramadevi movie was morphed. Even though good work í ½í±í ½í±","https://twitter.com/vijaysuhith"
"177",2,"Watching @lucky the racer.....@alluarjun starer movie.....shanivar ki raat with stylish star@alluarjun","https://twitter.com/PadamPrakash2"
"191",1,"RT @MovifiedTelugu: He is the most handsome man in our industry #AlluArjun http://t.co/sIOA030xxx","https://twitter.com/rajavardhan7"
"198",1,"He is the most handsome man in our industry #AlluArjun http://t.co/sIOA030xxx","https://twitter.com/MovifiedTelugu"
"231",1,"RT @radheekap: â@neninthe56: #alluarjun #rudramadevi http://t.co/TagCaBnbgbâ wow!! Charismatic í ½í±","https://twitter.com/ravikirannaga58"
"239",1,"@Samanthaprabhu2 2015 - excited abt #AlluArjun n SAM's dance...í ½í¹","https://twitter.com/patilbalaram28"
"269",1,"RT @pmcchennai: So all the #AlluArjun fans, what do you feel about his aggressive look? 

RT to show your support! @alluarjun__ http://t.coâ¦","https://twitter.com/SathishSuryacse"
"271",1,"RT @pmcchennai: So all the #AlluArjun fans, what do you feel about his aggressive look? 

RT to show your support! @alluarjun__ http://t.coâ¦","https://twitter.com/Mvijay_Vj"
"273",1,"RT @pmcchennai: So all the #AlluArjun fans, what do you feel about his aggressive look? 

RT to show your support! @alluarjun__ http://t.coâ¦","https://twitter.com/MichaelAnish"
"274",1,"RT @pmcchennai: So all the #AlluArjun fans, what do you feel about his aggressive look? 

RT to show your support! @alluarjun__ http://t.coâ¦","https://twitter.com/chinnusrm"
"275",1,"So all the #AlluArjun fans, what do you feel about his aggressive look? 

RT to show your support! @alluarjun__ http://t.co/KUYIDE3tfh","https://twitter.com/pmcchennai"
"284",3,"@alluarjunadicts @rudhramadevi superb pic on the horse nd super stylish body.Stylish Star AlluArjun as GONA GANNA REDDY","https://twitter.com/baddam2503"
"323",1,"#Rudhramadevi #alluarjun #stylishstar #gonagannareddy @Rudhramadevi awesome Making Video Journal - 3 - Allu Arjuâ¦: http://t.co/vE0arcAU8X","https://twitter.com/AdityaVangara"
"328",1,"@pspkfanatic also audience taste differ aarya 2 was a flop there but it's loved movie among tam youngsters alluarjun is known the most here","https://twitter.com/ghosttweeter3"
"330",1,"RT @Sai_pallav: Perfect shots of #AlluArjun from #Rudramadevi
Hope bunny will assure his performance .. http://t.co/byE7hneVhr","https://twitter.com/prudhvi_malladi"
"331",1,"Perfect shots of #AlluArjun from #Rudramadevi
Hope bunny will assure his performance .. http://t.co/byE7hneVhr","https://twitter.com/Sai_pallav"
"361",1,"#AlluArjun #GonaGannaReddy in #RudramaDevi making video excellent","https://twitter.com/venkat_lohith"
"389",1,"#alluarjun #gonagannareddy @Rudhramadevi superb glimpse of bunny...! http://t.co/K3T3Q3KFve","https://twitter.com/_mahadevs"
"444",1,"Happy bogi :) keep smiling ;) @nithya_mn @allarinaresh @alluarjun__ @pawan_kalyan @MAATV @prabhasraju @prakashraaj @taapsee @tamannaahspeaks","https://twitter.com/Cavks"
"463",1,"RT @SanAnushka: Wowww!! awesome #AlluArjun @Rudhramadevi http://t.co/khe67Rkk8Y","https://twitter.com/avi_incredible"
"464",1,"RT @SKNonline: Dance moment of the year 2014
#Stylishstar #AlluArjun
dazzling beauty @shrutihaasan 
frm #RaceGurram Extraordinary 1 http://â¦","https://twitter.com/Marathibunny"
"467",1,"RT @MULAKALAGUMADAM: #Alluarjun movie #gangothri #arya #bunny #happy #deshamuduru #parugu #arya-2 #varudu #vedam #badrinath #julayi #iddaraâ¦","https://twitter.com/Marathibunny"
"494",1,"RT @JonamIradohd: The new poster of #AlluArjun as 'Gona Ganna Reddy' from @Rudhramadevi movie is just awesome. @AlluArjunAdicts http://t.coâ¦","https://twitter.com/Marathibunny"
"500",1,"The new poster of #AlluArjun as 'Gona Ganna Reddy' from @Rudhramadevi movie is just awesome. @AlluArjunAdicts http://t.co/KgZZiHnHNx","https://twitter.com/JonamIradohd"
"515",1,"â@neninthe56: #alluarjun #rudramadevi http://t.co/TagCaBnbgbâ wow!! Charismatic í ½í±","https://twitter.com/radheekap"
"574",1,"RT @shashi_pa1fan: Wow looks good #GonaGannaReddy #Rudramadevi #AlluArjun http://t.co/PMsB7vtjif","https://twitter.com/anilsiddartha14"
"601",1,"#Alluarjun #GonaGannaReddy superb look http://t.co/hYNwl2Kz7q","https://twitter.com/malthafkhan16"
"624",1,"Wowww!! awesome #AlluArjun @Rudhramadevi http://t.co/khe67Rkk8Y","https://twitter.com/SanAnushka"
"636",1,"Suprbb look of #AlluArjun in #Rudramadevi very excited to watch http://t.co/GAVur3Dt9Y","https://twitter.com/TharunReddy999"
"677",1,"Wow looks good #GonaGannaReddy #Rudramadevi #AlluArjun http://t.co/PMsB7vtjif","https://twitter.com/shashi_pa1fan"
"747",1,"RT @SSAAfanclub: Get ready for another rocking poster of Allu Arjun as #GonaGannaReddy to be revealed at 12pm today on http://t.co/BgAtMljdâ¦","https://twitter.com/AlluArjun_AA"
"772",1,"RT @Rudhramadevi: ALLU ARJUN as Gona Ganna Reddy new look at 12 PM tomorrow! 

3 lakh likes for http://t.co/r1U65i5113 í ½í±í ½í± http://t.co/6lmMJâ¦","https://twitter.com/AlluArjun_AA"
"791",1,"Guess the movie name in which Stylish star #AlluArjun wore this #Funky Costume.
Comment your right answerâ¦.. http://t.co/tlvGUEaNiv","https://twitter.com/RSBrothersIndia"
"819",1,"RT @Miss_perfect4u: The love of my life #AlluArjun http://t.co/IEs5Vs6dY5","https://twitter.com/GunvantSr"
"852",1,"#AlluArjun&#39;s film fresh schedule details @Â http://goo.gl/pdWUdoï»¿","https://plus.google.com/1.0979208183758e+20"
"853",1,"Stylish Star in a love story flick ? http://bit.ly/1xB3YMq | #AlluArjunï»¿","https://plus.google.com/1.02934154256966e+20"
"881",1,"#AlluArjun going to war for #Rudramadevi. Sankranthi, Pongal Look.Allu Arjunâs look from Rudramadevi,Â Allu Arjun going to war for Rudramadevi. The all-new look of Allu Arjun as Gona Ganna Reddyf rom the much expected upcoming movie â Rudramadevi â unveiled. Allu Arjun looks ready to goÂ to war for Rudramadevi. Anushkaâ¦ï»¿","https://plus.google.com/1.02059973023663e+20"
"885",2," #alluarjun Â is an  #excellent Â  co-star n it is fun working with him.. -SHRUTI HASSAN..  #racegurram Â ï»¿","https://plus.google.com/1.10986304806132e+20"
"886",2," #alluarjun Â is an  #excellent Â  co-star n it is fun working with him.. -SHRUTI HASSAN..  #racegurram Â ï»¿","https://plus.google.com/1.16891638592429e+20"
"893",1,"Guess the movie name in which Stylish star #AlluArjun wore this #Funky Costume.Comment your right answerâ¦..(Image copyrights belong to their respective owners)ï»¿","https://plus.google.com/1.06768315501019e+20"
"896",1,"very good news for All  #AlluArjun_Fans Â  âªThe Frist look ofÂ   #AlluArjun Â  And âªÂ   #Trivikram Â  un named movie would be releasing this sankranti and also fix tittle for the movie. #Double_Dhamaka_on_sankranti_occation_of_untittled_project_and_GonnaGannaReddy_makingï»¿","https://plus.google.com/1.0193802657785e+20"
"908",1,"#AlluArjun to work with Sekhar Kammula ?read here - http://www.indiaglitz.com/Allu-Arjun-To-Work-With-Sekhar-Kammula--telugu-news-122373ï»¿","https://plus.google.com/1.10751382568495e+20"
"910",1,"#AlluArjun career forecast 2015Â  http://goo.gl/BEYmAbStylish Star of Tollywood, Allu Arjun has had a dhamakedaar year with his movie Race Gurram becoming a blockbuster hit.ï»¿","https://plus.google.com/1.00415523786814e+20"
"911",1,"#Rudhramadevi Motion Poster feat. #AnushkaShetty - http://shar.es/1H4kZG#Tollywood #PrakashRaj #AlluArjun #3Dfilmï»¿","https://plus.google.com/1.05055946590334e+20"
"912",1,"#Rudhramadevi Motion Poster feat. #AnushkaShetty - http://shar.es/1H4kZG#Tollywood #PrakashRaj #AlluArjun #3Dfilmï»¿","https://plus.google.com/1.01991716444146e+20"
"913",1,"#Rudhramadevi Motion Poster feat. #AnushkaShetty - http://shar.es/1H4kZG#Tollywood #PrakashRaj #AlluArjun #3Dfilmï»¿","https://plus.google.com/1.1393196302401e+20"
"914",1,"#Rudhramadevi Motion Poster feat. #AnushkaShetty - http://shar.es/1H4kZG#Tollywood #PrakashRaj #AlluArjun #3Dfilmï»¿","https://plus.google.com/1.15713229187776e+20"
"915",1,"#Rudhramadevi Motion Poster feat. #AnushkaShetty - http://shar.es/1H4kZG#Tollywood #PrakashRaj #AlluArjun #3Dfilmï»¿","https://plus.google.com/1.06016548847072e+20"
"916",1,"#Rudhramadevi Motion Poster feat. #AnushkaShetty - http://shar.es/1H4kZG#Tollywood #PrakashRaj #AlluArjun #3Dfilmï»¿","https://plus.google.com/1.08777183195759e+20"
"917",3,"Allu Arjun looks back at 2014 with joy and the handsome star is all set to rock 2015 as well http://www.channellive.tv/allus-awesome-2014/ #alluarjun #channellivetvï»¿","https://plus.google.com/1.12887643357509e+20"
"924",2,"2014 belongs to #AlluArjun for his best success. #Stylishstar2014 can be termed as the year of Allu Arjun. He has become a Father and also scored the Biggest Hit of his film career. After nearly starting his career 13 years ago, with a guest appearance in Megastar Chiranjeeviâs Daddy. Allu Arjun had his own releaseâ¦ï»¿","https://plus.google.com/1.02059973023663e+20"
"926",1,"Makers of #AlluArjun - #TrivikramSrinivas movie canning important scenes on lead pair in Hyderabad. The film is touted as a mass entertainer with all elements of a typical Allu Arjun film.ï»¿","https://plus.google.com/1.03794396723793e+20"
"945",3,"Allu Arjunâs film with Prabhasâs DirectorHere is the latest buzz making rounds in the tinsel town that Stylish Star #AlluArjun and director #Koratala Siva are teaming up for a new movie. An official announcement is awaited though. The script work is currently under progress, and if all goes well t...ï»¿","https://plus.google.com/1.11580113905932e+20"
"954",1,"Who would be making a special appearance in #Mukunda? What is the surprise element? #Ram Charan, #AlluArjun #PawanWho would be making a special appearance in the climax of the movie? Varun Tejâs debut movie is creating more buzzÂ than others. Varun Tej is from mega family and he is one of the most handsome heroes to debut in Telugu. It is also being said that if heâ¦ï»¿","https://plus.google.com/1.02059973023663e+20"
