"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","path"
"1","RT @AlluArjunFC_: #AlluArjun old interview.He speaks about his every film he did(untill Julayi) http://t.co/5T0WCaynpV",FALSE,0,NA,2015-01-20 05:45:54,FALSE,NA,"557413690631532545",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","heads_tails_",2,TRUE,FALSE,NA,NA,"https://twitter.com/heads_tails_"
"2","#Husharu  #Gaadugar both are superv titles #Trivikram #AlluArjun",FALSE,0,NA,2015-01-20 05:38:36,FALSE,NA,"557411851512729600",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","Varun_Santosh",0,FALSE,FALSE,NA,NA,"https://twitter.com/Varun_Santosh"
"3","RT @Rudhramadevi: Gona Ganna Reddy #AlluArjun on the sets of #Rudhramadevi http://t.co/rMqbEvnn6m",FALSE,0,NA,2015-01-20 04:44:32,FALSE,NA,"557398244997611520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mahesh759",12,TRUE,FALSE,NA,NA,"https://twitter.com/mahesh759"
"4","RT @Rudhramadevi: Gona Ganna Reddy #AlluArjun on the sets of #Rudhramadevi http://t.co/rMqbEvnn6m",FALSE,0,NA,2015-01-20 04:10:28,FALSE,NA,"557389671215288321",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","OMG_ItsArsh",12,TRUE,FALSE,NA,NA,"https://twitter.com/OMG_ItsArsh"
"5","""@Rudhramadevi: Gona Ganna Reddy #AlluArjun on the sets of #Rudhramadevi http://t.co/WzeoRfdQKn""",FALSE,4,NA,2015-01-20 03:53:04,FALSE,NA,"557385292731019264",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AlluArjunAdicts",0,FALSE,FALSE,NA,NA,"https://twitter.com/AlluArjunAdicts"
"6","RT @Rudhramadevi: Gona Ganna Reddy #AlluArjun on the sets of #Rudhramadevi http://t.co/rMqbEvnn6m",FALSE,0,NA,2015-01-20 03:52:53,FALSE,NA,"557385249273806850",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AlluArjunAdicts",12,TRUE,FALSE,NA,NA,"https://twitter.com/AlluArjunAdicts"
"7","RT @SKNonline: 2012 #Powerstar #GS
2013 #Powerstar #AD
2014 #Stylishstar #AlluArjun #RG
Hit of of the years MEGA HAT TRICK ;) http://t.co/1‚Ä¶",FALSE,0,NA,2015-01-20 03:30:07,FALSE,NA,"557379517837090817",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kalyan_kks",76,TRUE,FALSE,NA,NA,"https://twitter.com/Kalyan_kks"
"8","RT @AlluArjunFC_: Good morning:D #AlluArjun http://t.co/REPE45AtYN",FALSE,0,NA,2015-01-20 02:43:04,FALSE,NA,"557367678654902272",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","AlekhyaAkhi999",3,TRUE,FALSE,NA,NA,"https://twitter.com/AlekhyaAkhi999"
"9","RT @AlluArjunFC_: Good morning:D #AlluArjun http://t.co/REPE45AtYN",FALSE,0,NA,2015-01-20 01:33:31,FALSE,NA,"557350174415011840",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","Harish_Charan",3,TRUE,FALSE,NA,NA,"https://twitter.com/Harish_Charan"
"10","RT @AlluArjunFC_: Good morning:D #AlluArjun http://t.co/REPE45AtYN",FALSE,0,NA,2015-01-20 01:01:37,FALSE,NA,"557342147620257792",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","rajavardhan7",3,TRUE,FALSE,NA,NA,"https://twitter.com/rajavardhan7"
"11","Good morning:D #AlluArjun http://t.co/REPE45AtYN",FALSE,2,NA,2015-01-19 23:30:34,FALSE,NA,"557319234997338112",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AlluArjunFC_",3,FALSE,FALSE,NA,NA,"https://twitter.com/AlluArjunFC_"
"12","#AlluArjun Latest Pic with a Fan.. http://t.co/c4uev2vCWr",FALSE,0,NA,2015-01-19 20:48:32,FALSE,NA,"557278458049757184",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Suriya_FansClub",0,FALSE,FALSE,NA,NA,"https://twitter.com/Suriya_FansClub"
"13","RT @woodstimes: Stylish Star #AlluArjun Latest Pic from the sets of #Rudhramadevi http://t.co/gjZF5RWXcM",FALSE,0,NA,2015-01-19 19:13:02,FALSE,NA,"557254425551450113",NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android Tablets</a>","martin_vijay007",2,TRUE,FALSE,NA,NA,"https://twitter.com/martin_vijay007"
"14","RT @AlluArjunFC_: #AlluArjun latest pic with a fan 
@ahiteja666 @SKNonline @urs_ms @alwaysbunnyfan @bunnyfanatic @SSAAfanclub http://t.co/q‚Ä¶",FALSE,0,NA,2015-01-19 18:32:52,FALSE,NA,"557244314435063808",NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android Tablets</a>","sajithasuresh",3,TRUE,FALSE,NA,NA,"https://twitter.com/sajithasuresh"
"15","RT @ShekarNews: AlluArjun - Trivikram Movie Titled As #Husharu. Almost Confirmed.",FALSE,0,NA,2015-01-19 18:06:03,FALSE,NA,"557237568228454400",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","1050_raju",15,TRUE,FALSE,NA,NA,"https://twitter.com/1050_raju"
"16","RT @iqlikmovies: #Husharu or #Chalaki titles in consideration for #AlluArjun @trivikramIn Movie! Full Story&gt; http://t.co/phcvlyg8YH http://‚Ä¶",FALSE,0,NA,2015-01-19 18:03:20,FALSE,NA,"557236884632371200",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jokingrapper",1,TRUE,FALSE,NA,NA,"https://twitter.com/jokingrapper"
"17","RT @123telugu: Key scenes in #AlluArjun ‚Äì @trivikramIn movie from 20th
 http://t.co/jjewF9R4jK",FALSE,0,NA,2015-01-19 17:59:20,FALSE,NA,"557235877970079744",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jokingrapper",3,TRUE,FALSE,NA,NA,"https://twitter.com/jokingrapper"
"18","RT @Rudhramadevi: Gona Ganna Reddy #AlluArjun on the sets of #Rudhramadevi http://t.co/rMqbEvnn6m",FALSE,0,NA,2015-01-19 17:41:13,FALSE,NA,"557231318396723201",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","Asthala_Krrish",12,TRUE,FALSE,NA,NA,"https://twitter.com/Asthala_Krrish"
"19","RT @AlluArjunFC_: #AlluArjun latest pic with a fan 
@ahiteja666 @SKNonline @urs_ms @alwaysbunnyfan @bunnyfanatic @SSAAfanclub http://t.co/q‚Ä¶",FALSE,0,NA,2015-01-19 17:31:51,FALSE,NA,"557228958794932224",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","sudharshanred14",3,TRUE,FALSE,NA,NA,"https://twitter.com/sudharshanred14"
"20","RT @AlluArjunFC_: #AlluArjun on the sets of @Rudhramadevi http://t.co/7efGnopRxA",FALSE,0,NA,2015-01-19 17:25:28,FALSE,NA,"557227353705701376",NA,"<a href=""http://store.ovi.com/content/256340"" rel=""nofollow"">Twitter for Nokia S40</a>","RakhiRp97",1,TRUE,FALSE,NA,NA,"https://twitter.com/RakhiRp97"
"21","RT @AlluArjunFC_: #AlluArjun latest pic with a fan 
@ahiteja666 @SKNonline @urs_ms @alwaysbunnyfan @bunnyfanatic @SSAAfanclub http://t.co/q‚Ä¶",FALSE,0,NA,2015-01-19 16:50:54,FALSE,NA,"557218653469298689",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","raghu_adapa",3,TRUE,FALSE,NA,NA,"https://twitter.com/raghu_adapa"
"22","#AlluArjun on the sets of @Rudhramadevi http://t.co/7efGnopRxA",FALSE,1,NA,2015-01-19 16:41:42,FALSE,NA,"557216338230251520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AlluArjunFC_",1,FALSE,FALSE,NA,NA,"https://twitter.com/AlluArjunFC_"
"23","#AlluArjun latest pic with a fan 
@ahiteja666 @SKNonline @urs_ms @alwaysbunnyfan @bunnyfanatic @SSAAfanclub http://t.co/qM2Gvgz9pm",FALSE,4,NA,2015-01-19 16:40:51,FALSE,NA,"557216123389612032",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AlluArjunFC_",3,FALSE,FALSE,NA,NA,"https://twitter.com/AlluArjunFC_"
"24","@ThisIsDSP 3vikram and alluarjun movie .plz say the movi  title annayya waitin and waitin for audio........Ì†ΩÌ∏ç",FALSE,0,"ThisIsDSP",2015-01-19 16:33:31,FALSE,"557211026114883585","557214278663421952","104148730","<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","gangadharshett6",0,FALSE,FALSE,NA,NA,"https://twitter.com/gangadharshett6"
"25","#AlluArjun On Sets of #Rudramadevi http://t.co/13MSznGBUR",FALSE,0,NA,2015-01-19 16:25:20,FALSE,NA,"557212221949112322",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Suriya_FansClub",0,FALSE,FALSE,NA,NA,"https://twitter.com/Suriya_FansClub"
"26","AlluArjun on the sets of #Rudramadevi 
@Rudhramadevi @AlluArjunAdicts http://t.co/HDD0MSyd1R",FALSE,0,NA,2015-01-19 15:35:44,FALSE,NA,"557199736944328704",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HittaPhatta",0,FALSE,FALSE,NA,NA,"https://twitter.com/HittaPhatta"
"27","#Sonusood sorry to #Alluarjun
https://t.co/lc5lNlcfiN",FALSE,0,NA,2015-01-19 15:13:06,FALSE,NA,"557194042401120257",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","abntelugutv",0,FALSE,FALSE,NA,NA,"https://twitter.com/abntelugutv"
