"","analysis_score","analysis_text"
"1",0,"RT @AlluArjunFC_: #AlluArjun old interview.He speaks about his every film he did(untill Julayi) http://t.co/5T0WCaynpV"
"2",0,"#Husharu  #Gaadugar both are superv titles #Trivikram #AlluArjun"
"3",0,"RT @Rudhramadevi: Gona Ganna Reddy #AlluArjun on the sets of #Rudhramadevi http://t.co/rMqbEvnn6m"
"4",0,"RT @Rudhramadevi: Gona Ganna Reddy #AlluArjun on the sets of #Rudhramadevi http://t.co/rMqbEvnn6m"
"5",0,"""@Rudhramadevi: Gona Ganna Reddy #AlluArjun on the sets of #Rudhramadevi http://t.co/WzeoRfdQKn"""
"6",0,"RT @Rudhramadevi: Gona Ganna Reddy #AlluArjun on the sets of #Rudhramadevi http://t.co/rMqbEvnn6m"
"7",0,"RT @SKNonline: 2012 #Powerstar #GS
2013 #Powerstar #AD
2014 #Stylishstar #AlluArjun #RG
Hit of of the years MEGA HAT TRICK ;) http://t.co/1â¦"
"8",0,"RT @AlluArjunFC_: Good morning:D #AlluArjun http://t.co/REPE45AtYN"
"9",0,"RT @AlluArjunFC_: Good morning:D #AlluArjun http://t.co/REPE45AtYN"
"10",0,"RT @AlluArjunFC_: Good morning:D #AlluArjun http://t.co/REPE45AtYN"
"11",0,"Good morning:D #AlluArjun http://t.co/REPE45AtYN"
"12",0,"#AlluArjun Latest Pic with a Fan.. http://t.co/c4uev2vCWr"
"13",0,"RT @woodstimes: Stylish Star #AlluArjun Latest Pic from the sets of #Rudhramadevi http://t.co/gjZF5RWXcM"
"14",0,"RT @AlluArjunFC_: #AlluArjun latest pic with a fan 
@ahiteja666 @SKNonline @urs_ms @alwaysbunnyfan @bunnyfanatic @SSAAfanclub http://t.co/qâ¦"
"15",0,"RT @ShekarNews: AlluArjun - Trivikram Movie Titled As #Husharu. Almost Confirmed."
"16",0,"RT @iqlikmovies: #Husharu or #Chalaki titles in consideration for #AlluArjun @trivikramIn Movie! Full Story&gt; http://t.co/phcvlyg8YH http://â¦"
"17",0,"RT @123telugu: Key scenes in #AlluArjun â @trivikramIn movie from 20th
 http://t.co/jjewF9R4jK"
"18",0,"RT @Rudhramadevi: Gona Ganna Reddy #AlluArjun on the sets of #Rudhramadevi http://t.co/rMqbEvnn6m"
"19",0,"RT @AlluArjunFC_: #AlluArjun latest pic with a fan 
@ahiteja666 @SKNonline @urs_ms @alwaysbunnyfan @bunnyfanatic @SSAAfanclub http://t.co/qâ¦"
"20",0,"RT @AlluArjunFC_: #AlluArjun on the sets of @Rudhramadevi http://t.co/7efGnopRxA"
"21",0,"RT @AlluArjunFC_: #AlluArjun latest pic with a fan 
@ahiteja666 @SKNonline @urs_ms @alwaysbunnyfan @bunnyfanatic @SSAAfanclub http://t.co/qâ¦"
"22",0,"#AlluArjun on the sets of @Rudhramadevi http://t.co/7efGnopRxA"
"23",0,"#AlluArjun latest pic with a fan 
@ahiteja666 @SKNonline @urs_ms @alwaysbunnyfan @bunnyfanatic @SSAAfanclub http://t.co/qM2Gvgz9pm"
"24",0,"@ThisIsDSP 3vikram and alluarjun movie .plz say the movi  title annayya waitin and waitin for audio........í ½í¸"
"25",0,"#AlluArjun On Sets of #Rudramadevi http://t.co/13MSznGBUR"
"26",0,"AlluArjun on the sets of #Rudramadevi 
@Rudhramadevi @AlluArjunAdicts http://t.co/HDD0MSyd1R"
"27",-1,"#Sonusood sorry to #Alluarjun
https://t.co/lc5lNlcfiN"
