"","word","freq"
"alluarjun","alluarjun",621
"gonagannareddy","gonagannareddy",304
"look","look",213
"stylishstar","stylishstar",155
"rudramadevi","rudramadevi",147
"alluarjuns","alluarjuns",132
"new","new",127
"movie","movie",126
"frm","frm",124
"rudhramadevi","rudhramadevi",113
"making","making",103
"aggressive","aggressive",97
"gona","gona",94
"ganna","ganna",93
"reddy","reddy",91
"kummesadu","kummesadu",90
"video","video",87
"check","check",63
"film","film",57
"arjun","arjun",49
"allu","allu",47
"sets","sets",47
"husharu","husharu",43
"upcoming","upcoming",43
"still","still",42
"trending","trending",40
"poster","poster",38
"next","next",37
"schedule","schedule",35
"alluarjuntrivikram","alluarjuntrivikram",34
"trivikram","trivikram",32
"journal","journal",31
"latest","latest",31
"will","will",30
"gurugaru","gurugaru",29
"pic","pic",28
"star","star",27
"titled","titled",27
"confirmed","confirmed",25
"stylish","stylish",25
"almost","almost",24
"fans","fans",22
"jan","jan",21
"release","release",21
"today","today",21
"actor","actor",20
"heres","heres",20
"radhakrishnas","radhakrishnas",20
"starring","starring",20
"tomorrow","tomorrow",20
"trivikramstylishstar","trivikramstylishstar",20
"movies","movies",19
"title","title",19
"watch","watch",19
"character","character",18
"fan","fan",18
"now","now",18
"bunny","bunny",17
"days","days",17
"menons","menons",16
"trivikramnitya","trivikramnitya",16
"ramcharan","ramcharan",15
"rocks","rocks",15
"way","way",15
"also","also",14
"full","full",14
"hit","hit",14
"make","make",14
"three","three",14
"trivikrams","trivikrams",14
"best","best",13
"first","first",13
"goes","goes",13
"good","good",13
"well","well",13
"announcement","announcement",12
"arya","arya",12
"brand","brand",12
"happy","happy",12
"hyderabad","hyderabad",12
"life","life",12
"minutes","minutes",12
"sankranthi","sankranthi",12
"telugu","telugu",12
"http","http",11
"kiran","kiran",11
"news","news",11
"pongal","pongal",11
"released","released",11
"ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Œ–ˆ¼ü¾™ƒ ¼","ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Œ–ˆ¼ü¾™ƒ ¼",10
"asked","asked",10
"gonaganna","gonaganna",10
"journalalluarjun","journalalluarjun",10
"one","one",10
"script","script",10
"special","special",10
"super","super",10
"temper","temper",10
"trendingfacebook","trendingfacebook",10
"wth","wth",10
"aina","aina",9
"anushka","anushka",9
"arts","arts",9
"awaited","awaited",9
"baahubali","baahubali",9
"bounded","bounded",9
"darling","darling",9
"day","day",9
"develop","develop",9
"dir","dir",9
"geeta","geeta",9
"greenalluarjun","greenalluarjun",9
"gvprakash","gvprakash",9
"kadambari","kadambari",9
"kerala","kerala",9
"kummesindi","kummesindi",9
"looks","looks",9
"marketed","marketed",9
"mega","mega",9
"much","much",9
"pedatadu","pedatadu",9
"produced","produced",9
"rahamante","rahamante",9
"romantic","romantic",9
"rudramadevihttp","rudramadevihttp",9
"storycome","storycome",9
"studio","studio",9
"suriya","suriya",9
"trisulam","trisulam",9
"videoa","videoa",9
"alluarjunmovie","alluarjunmovie",8
"exclusive","exclusive",8
"facebook","facebook",8
"final","final",8
"horse","horse",8
"konda","konda",8
"mahesh","mahesh",8
"motion","motion",8
"racegurram","racegurram",8
"releasetitle","releasetitle",8
"shooting","shooting",8
"thst","thst",8
"whichis","whichis",8
"actress","actress",7
"arachakam","arachakam",7
"asgonagannareddy","asgonagannareddy",7
"avathalesaadu","avathalesaadu",7
"career","career",7
"cchere","cchere",7
"collage","collage",7
"everything","everything",7
"fantastic","fantastic",7
"frommaking","frommaking",7
"fromrudhramadevi","fromrudhramadevi",7
"june","june",7
"kummi","kummi",7
"majestic","majestic",7
"massive","massive",7
"rana","rana",7
"riding","riding",7
"scenes","scenes",7
"shoot","shoot",7
"snapshots","snapshots",7
"soon","soon",7
"thankqteam","thankqteam",7
"vijay","vijay",7
"word","word",7
"advance","advance",6
"anumetha","anumetha",6
"anushkashetty","anushkashetty",6
"anushkashettyprakashraj","anushkashettyprakashraj",6
"atam","atam",6
"dfilm","dfilm",6
"drum","drum",6
"enjoy","enjoy",6
"feat","feat",6
"frommovie","frommovie",6
"fromwill","fromwill",6
"gemini","gemini",6
"gift","gift",6
"gonagannareddys","gonagannareddys",6
"happypongalall","happypongalall",6
"ing","ing",6
"inwow","inwow",6
"jadhugar","jadhugar",6
"just","just",6
"key","key",6
"link","link",6
"love","love",6
"mins","mins",6
"official","official",6
"performance","performance",6
"photoalluarjun","photoalluarjun",6
"picture","picture",6
"prabhas","prabhas",6
"responce","responce",6
"response","response",6
"rudhramadeviheresalluarjun","rudhramadeviheresalluarjun",6
"season","season",6
"show","show",6
"snehas","snehas",6
"specialstylishstar","specialstylishstar",6
"staytuned","staytuned",6
"stills","stills",6
"sukumar","sukumar",6
"vijaykumarkonda","vijaykumarkonda",6
"watching","watching",6
"yay","yay",6
"year","year",6
"ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Œ–ˆ¼ü¾˜³ ¼","ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Œ–ˆ¼ü¾˜³ ¼",5
"arjuns","arjuns",5
"artist","artist",5
"atpm","atpm",5
"bhogi","bhogi",5
"combination","combination",5
"confirmedgood","confirmedgood",5
"director","director",5
"dubbed","dubbed",5
"falls","falls",5
"fav","fav",5
"feel","feel",5
"handsome","handsome",5
"hindi","hindi",5
"inallurocks","inallurocks",5
"industry","industry",5
"maheshbabu","maheshbabu",5
"music","music",5
"packed","packed",5
"pawan","pawan",5
"place","place",5
"power","power",5
"race","race",5
"redy","redy",5
"reels","reels",5
"rocking","rocking",5
"role","role",5
"rolls","rolls",5
"rudramadevigonagannareddy","rudramadevigonagannareddy",5
"selected","selected",5
"summer","summer",5
"support","support",5
"telugunews","telugunews",5
"time","time",5
"titile","titile",5
"todayam","todayam",5
"tollywood","tollywood",5
