"","ti","age","id","au","ve","nC","nP","nR","at","msg","path"
"1",2015-01-20 04:28:06,0.13730763387073,"z13wi51o3s25ebe4304cgrqz1ymxcx0jguc0k","102142628056789153831","post",0,0,0,NA,"एलियन के बाद अब पहलवान बनेंगे आमिर**************************************बॉलीवुड के मिस्टर परफेक्शनिस्ट आमिर खान एक बार फिर चर्चा में है। लेकिन #पीके को लेकर नहीं; बल्कि अपनी अगली फिल्म #दंगल को लेकर चर्चा में हैं जिसमें वे पहलवान बनेंगे।जी हाँ,नितेश तिवारी द्वारा निर्देशित इस फिल्म में वह एक पहलवान की भूमिका अदा करेंगे।#eMunshi #Bollywood #News #Gupshup #FilmiNews #AmirKhan #Dangal #PK﻿","https://plus.google.com/102142628056789153831"
"2",2015-01-20 04:21:54,0.141610731239672,"z12zjt4zvpihwjb2d235xrsjorebc3vam04","102142628056789153831","post",0,0,0,NA,"&#39;बर्फ&#39; का निर्देशन करेंगे आमिर खान*******************************बॉलीवुड के मिस्टर परफेक्शनिस्ट आमिर खान एक बार फिर से फिल्म का निर्देशन कर सकते हैं। आमिर खान ने वर्ष 2007 में फिल्म तारे जमीन पर का निर्देशन किया था।​​ फिल्म को न सिर्फ समीक्षकों ने बल्कि दर्शकों ने भी काफी पसंद किया था। आमिर एक बार फिर निर्देशन के मूड में हैं।चर्चा है कि आमिर के पास बर्फ नामक स्क्रिप्ट चार वर्ष से मौजूद है और अब वे इस पर फिल्म बनाना चाहते हैं। फिल्म &#39;​पीके​&#39;​ की सफलता के बाद आमिर छुट्टियों पर चले गये है। चर्चा है कि आमिर छुट्टियों से लौटने के बाद इस पर काम शुरु कर सकते हैं। संभव है कि वे इसमें अभिनय भी करें।​चर्चा है कि इसके अलावा आमिर दंगल नामक फिल्म की शूटिंग भी शुरु करेंगे। नितेश तिवारी द्वारा निर्देशित इस फिल्म में वह एक पहलवान की भूमिका अदा करेंगे।#eMunshi #Bollywood #News #Gupshup #FilmiNews #AmirKhan #Barf #Dangal﻿","https://plus.google.com/102142628056789153831"
"3",2015-01-19 15:48:58,0.66448576171641,"z13jwvlpase1env2n23dwpsbrw2fhle4o04","104023074712162228823","post",0,0,0,1,"PK has become a game changer - #AmirKhan﻿","https://plus.google.com/104023074712162228823"
"4",2015-01-19 11:19:50,0.851385026869399,"z12kw1bpqyebsn0bn04cj5l5zv2ccp0xcic","115010759108660629203","post",0,0,0,1,"#anushkasharmahot #amirkhan #pkmotionposter﻿","https://plus.google.com/115010759108660629203"
"5",2015-01-18 13:42:52,1.7520491590958,"z12wu505izqoddysc22mij3wzqatufwee","104420581796176711349","post",0,0,0,1,"Thar&#39;s dunben a new artikle calt Amir Khan Is A Serious Threat To Floyd Mayweather dunben rote ahn www.giterdonesports.com #AmirKhan, #FloydMayweather, #NFLNBAMLBNHLNCAAFNCAABSoccer﻿","https://plus.google.com/104420581796176711349"
"6",2015-01-18 13:35:07,1.75743528820574,"z12ue5jjikmwubp0n22tuj144xm2wrk2y","102548227409353710837","post",0,1,0,1,"#UAE  #boxer  offers his gym as a prize for Floyd Mayweather if the boxer can defeat Amir Khan. Full story at http://goo.gl/8J18cm #boxing   #floydmayweather   #amirkhan   #Dubai  ﻿","https://plus.google.com/102548227409353710837"
"7",2015-01-18 10:48:05,1.87343113106434,"z12aujqgwurmiv5rg04cfhi5dvbphflqvz00k","106982289946568621871","post",0,0,0,1,"Watch Online PK Hind Movie in High Definition Resolution (HD). #PK   #pkmovie   #amirkhan   #HD   #AdaaCH  ﻿","https://plus.google.com/106982289946568621871"
"8",2015-01-17 07:12:20,3.02325240490337,"z13ve5awzryterndp22zhdr5sz2icjlg404","103417807271675103794","post",0,0,0,1,"PK के बाद अब देखिए आमिर खान की फिल्म CK, (देखे VIDEO)http://bollywood.punjabkesari.in/news/article-328523#.VLoK53uXpz8 #amirkhan#bollywood #pk﻿","https://plus.google.com/103417807271675103794"
"9",2015-01-16 21:49:45,3.4139385125041,"z13qw5yztofuuptjq04cix55smrjwxyz3fk","107339781689111521368","post",0,0,0,NA,"Thars a noo artikle calt &#39;Khan outclasses Alexander to win Vegas fight&#39; dunben rote ahn published on www.hillbillynews.net #AmirKhan, #DevonAlexander, #DonaldMiralleAmirKhan, #LasVegasLasVegas, #MGMGrandGardenArena, #UnanimousDecision #Hillbilly #Redneck﻿","https://plus.google.com/107339781689111521368"
"10",2015-01-16 16:45:11,3.6254436939734,"z12xxf55snbafdkwv04chzlpbtqlxlnwnmo0k","115981137709741767243","post",1,2,0,1,"DISPLAY OF THE WEEKEND: It&#39;s your final chance to see works by the finalists of the Sky Arts Portrait Artist of the Year competition - including this stunning portrait of Amir Khan by winner Christian Hook. http://ow.ly/Hr0ok #AmirKhan   #Portrait2014   #skyarts﻿","https://plus.google.com/115981137709741767243"
