"","score","text","path"
"19",-1,"This is wrong number :) thanks @Dygdyg_ #PK #AmirKhan","https://twitter.com/YieldaG"
"50",-1,"RT @timesweekend: The boxer #AmirKhan talks about
why he visited the scene of the Peshawar school massacre http://t.co/brqLZMQ13r http://t.â¦","https://twitter.com/lesleythomas"
"53",-1,"Watching #PK for the fourth time. It's still very funny #amirkhan","https://twitter.com/nasimson"
"60",-1,"The boxer #AmirKhan talks about
why he visited the scene of the Peshawar school massacre http://t.co/brqLZMQ13r http://t.co/oXlueiQS59","https://twitter.com/timesweekend"
"63",-1,"Mayweather has to fight Pacquiao &amp; Khan he'll always question his legacy &amp; so will we #boxing #Mayweather #Pacquiao #amirkhan @AmirKingKhan","https://twitter.com/seeroos"
"71",-1,"@amirkhan Fortunate is the one who learns a lesson from the faults of others ,Low ambition causes virtues to cease","https://twitter.com/Leoking_110"
"101",-2,"RT @CapitalTV_News: #MQM leaders @WasayJalil and @AmirKhan_90 visits #CapitalTV office, condemned attack on #CapitalTV's cameraman Adeel.","https://twitter.com/AQEEL_AKHTAR90"
"120",-1,"RT @dawneb007: David Cameron 'sorted' my US visa problem, says boxer #AmirKhan http://t.co/wzQLoA2Eag"" @popupnottingham @gmanZeN @GlasnostNâ¦","https://twitter.com/popupnottingham"
"121",-1,"Boxer #AmirKhan tells how #DavidCameron sorted his visa problems. http://t.co/b4lvtO47ET","https://twitter.com/IamIanHitchings"
"124",-1,"what is this autistic shit lol #PK @amirkhan","https://twitter.com/whenseptember7"
"126",-1,"RT @599bt: The #AmirKhan article in #TheTimes is exactly what is required if we are to defeat the toxic prejudice generated by #UKIP about â¦","https://twitter.com/Slim_shady29"
"127",-1,"Fight poverty and climatechange: Aamir Khan signs open letter to PM Modi - http://t.co/YaKfycSKgQ @amirkhan @boxofficeindia @11thHour_","https://twitter.com/_hareesh_"
"128",-1,"RT @dawneb007: David Cameron 'sorted' my US visa problem, says boxer #AmirKhan http://t.co/wzQLoA2Eag"" @popupnottingham @gmanZeN @GlasnostNâ¦","https://twitter.com/gmanZeN"
"129",-2,"RT @CapitalTV_News: #MQM leaders @WasayJalil and @AmirKhan_90 visits #CapitalTV office, condemned attack on #CapitalTV's cameraman Adeel.","https://twitter.com/Ahmerkhan14"
"131",-1,"David Cameron 'sorted' my US visa problem, says boxer #AmirKhan http://t.co/wzQLoA2Eag"" @popupnottingham @gmanZeN @GlasnostNow","https://twitter.com/dawneb007"
"137",-1,"RT @599bt: The #AmirKhan article in #TheTimes is exactly what is required if we are to defeat the toxic prejudice generated by #UKIP about â¦","https://twitter.com/Lalibelaw"
"138",-1,"RT @599bt: The #AmirKhan article in #TheTimes is exactly what is required if we are to defeat the toxic prejudice generated by #UKIP about â¦","https://twitter.com/arsenal_lady_30"
"139",-1,"The #AmirKhan article in #TheTimes is exactly what is required if we are to defeat the toxic prejudice generated by #UKIP about minorities.","https://twitter.com/599bt"
"140",-2,"#AmirKhan today in #TheTimes sends out a message to young people in the UK that #UKIP is a party of negativity &amp; prejudice.","https://twitter.com/599bt"
"144",-2,"Member RC #MQM @WasayJalil &amp; @AmirKhan_90 visited #CapitalTV office, and condemned attack on #CapitalTV's cameraman Adeel and Photoghrapher","https://twitter.com/Ahsanwarsi2"
"161",-1,"Tabinda got extremely angry after I called her a man! What gives?! #AmirKhan","https://twitter.com/TharooBaapsBaap"
"162",-2,"RT @CapitalTV_News: #MQM leaders @WasayJalil and @AmirKhan_90 visits #CapitalTV office, condemned attack on #CapitalTV's cameraman Adeel.","https://twitter.com/talha_wasti"
"163",-3,"@CNNSitRoom @TulsiGabbard Obama is going after those who are our enemies. And that's all that really matters. Your frustration is illogical.","https://twitter.com/AmirKhan__"
"167",-1,"British boxer #AmirKhan mocks #Mayweather in #prank video http://t.co/N9iE5mcXNt","https://twitter.com/GoldenPhoenixDr"
"178",-2,"#MQM leaders @WasayJalil and @AmirKhan_90 visits #CapitalTV office, condemned attack on #CapitalTV's cameraman Adeel.","https://twitter.com/NewsAlert_PK"
"180",-2,"RT @CapitalTV_News: #MQM leaders @WasayJalil and @AmirKhan_90 visits #CapitalTV office, condemned attack on #CapitalTV's cameraman Adeel.","https://twitter.com/ZiestNawayziest"
"181",-2,"#MQM leaders WasayJalil and AmirKhan_90 visits #CapitalTV office, condemned attack on #CapitalTV's cameraman Adeel.","https://twitter.com/Utmanzval"
"182",-2,"RT @CapitalTV_News: #MQM leaders @WasayJalil and @AmirKhan_90 visits #CapitalTV office, condemned attack on #CapitalTV's cameraman Adeel.","https://twitter.com/MDanishUsman"
