"","score","text","path"
"1",1,"@amirkhan PK is an awesome movie, but can you justify the dancing car scenes, some dialogues from Sanjay Dutt. Those were not necessary","https://twitter.com/HariKSamineni"
"2",1,"@sarwatvalim @amirkhan Oh..really, what about the ""dancing car"" scenes and some dialogues from Sanjay Dutt. This is an awesome movie but ..","https://twitter.com/HariKSamineni"
"8",1,"RT @ScottWRudmann: Announcing #GLORY20 #Dubai in the presence of greatness! #amirkhan #eisaaldah @GLORY_WS http://t.co/ewH0oHOpFd","https://twitter.com/AnasMarie"
"10",2,"Bihar - What happens when  boy is Hindu &amp; girl muslim-will #AmirKhan dare 2 reverse rel. identity of hero &amp; heroine in his next film?","https://twitter.com/chandana7"
"29",3,"RT @FarihaMunirShah: I'm not a fan of Indian movies, neither do I admire Indian actors. But after watching #PK, I love #AmirKhan &amp; admire pâ¦","https://twitter.com/KalitaAmitabh"
"31",2,"@amirkhan u r a great actor and to watch ur movie ,wooow!!!!
It does not matter how long it is :)) ,you guys doing great job ,thumbs up...","https://twitter.com/KnnKml"
"32",1,"@KnnKml ve @amirkhan that movie is so touchable and thanks a lot show that side of religion ,love and side of other people's world;)","https://twitter.com/KnnKml"
"35",3,"The 3 best things about anyone or anything - makes you laugh, makes you think, spreads love. #PK #PKthemovie #amirkhan #awesome","https://twitter.com/ShwetaLKhare"
"40",1,"@amirkhan yes sir
Always love uh...","https://twitter.com/prince_mir10"
"44",2,"What fucking awesome speed AK, well deserve champ (Y) 
#AmirKhan #AK #FastestBoxer http://t.co/1LszOE0v0H","https://twitter.com/KeithJoseph"
"45",1,"@PKTheFilm  was soooo good! @amirkhan","https://twitter.com/xmariam1x"
"46",1,"I wish I could live in a house that had rooms like this #Dubaihotel#faryalmakhdoom#amirkhan#lamishakhan# http://t.co/6n2CcmrFan","https://twitter.com/Sweetyannam"
"48",1,"At least we know what to do if we can't gain entry into the US http://t.co/8b2GBFLoEa
#amirkhan #DavidCameron","https://twitter.com/anunknowncomic"
"49",1,"@amirkhan dear sir, 
I am your big fan . i like to you play remake  kaathi(tamil movie) in hindi. That movie related to help for formers.","https://twitter.com/arunsekaran7"
"51",1,"@amirkhan pls meet my son. U WL be impressed. Awesome actor in this age.  will share clip of pk he played 9235630074 http://t.co/0rK72nNxbf","https://twitter.com/tcs355378"
"57",1,"Who else can be this innocent........ #amirkhan awesome as always.... â watching PK","https://twitter.com/FabihaRizvi"
"65",1,"@Actor_Kajall @amirkhan I am love or sailut of amir sir","https://twitter.com/hamim1980khan"
"66",1,"Pk... Copy .. @AmirKhan love your acting..í ½í¸í ½í¸ http://t.co/gZEOMNOoez","https://twitter.com/ashabbir10"
"69",1,"- ""Lull"" word is very popular because of #PK. #AmirKhan. í ½í¸±í ½í¸í ½í¸í ½í¸","https://twitter.com/MirzaALiRiaz"
"70",1,"@amirkhan  your Research not complete YET ....Dont Attend Wrong Dignity , Allow TobE Join .The tree, whose trunk is soft, has thick branches","https://twitter.com/Leoking_110"
"72",2,"A rich #Emirati boxer has challenged U.S boxing champion @FloydMayweather to take on British boxer #AmirKhan for $5m. http://t.co/ljXiAvjfWh","https://twitter.com/uaescene"
"78",1,"@nabeelqureshi 
#CrimemasterGOGO Ankhe nikaal k gotiyan khelta hon... 
#SalmanKhan #AmirKhan. 
Realy like this film all the time...","https://twitter.com/FatimaNoor2690"
"79",2,"If you focus on quality success comes automatically. Again proven by Amirkhan with making of PK. He deliver quality and get return of 300 cr","https://twitter.com/ManoritaDesigns"
"92",3,"#VOICE_OF_VOICELESS
movie #pk one of the best art in indian cenima
#Amirkhan's acting was best of best act http://t.co/Vc5MQ02FEO","https://twitter.com/kamranashrafbh1"
"93",2,"#amirkhan was brilliant in The Times: Hope he represents the silent majority. Hope for us all. http://t.co/P8kUKpkeV4","https://twitter.com/leejoliver"
"109",1,"Just watched #PK @amirkhan smashed it!!! What and amazing funny and thought provoking film! Finally Bollywood with meaning .... #amazing","https://twitter.com/AaronGill_"
"111",2,"@amirkhan its worth loving","https://twitter.com/maha_chauhan"
