"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","path"
"1","@amirkhan PK is an awesome movie, but can you justify the dancing car scenes, some dialogues from Sanjay Dutt. Those were not necessary",FALSE,0,"amirkhan",2015-01-20 06:17:23,FALSE,"555057930370703360","557421614682238978","14942981","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HariKSamineni",0,FALSE,FALSE,"0","0","https://twitter.com/HariKSamineni"
"2","@sarwatvalim @amirkhan Oh..really, what about the ""dancing car"" scenes and some dialogues from Sanjay Dutt. This is an awesome movie but ..",FALSE,0,"sarwatvalim",2015-01-20 06:14:37,FALSE,"552792995154493441","557420915516915712","2165376399","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HariKSamineni",0,FALSE,FALSE,"0","0","https://twitter.com/HariKSamineni"
"3","#Boxing Trainer Diaz explains how EASY it is to beat Amir Khan &amp; NO chance vs. Mayweather http://t.co/cahQpVss5S #floydmayweather #amirkhan",FALSE,0,NA,2015-01-20 06:07:37,FALSE,NA,"557419152785158144",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pbanik",0,FALSE,FALSE,NA,NA,"https://twitter.com/pbanik"
"4","RT @pramodcosmo: AsExpected Great'Social reformers'OfOurTime @iamsrk @Javedakhtarjadu @FarOutAkhtar AmirKhan&amp;Raju HiraniDon't haveTime for …",FALSE,0,NA,2015-01-20 04:58:55,FALSE,NA,"557401865906692097",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","DelRastogi",13,TRUE,FALSE,NA,NA,"https://twitter.com/DelRastogi"
"5","@narendramodi reply to Amirkhan that we are in Bharatiya path saying""sarve bhavantu sukhinaha...ask him to join instead of writing letters",FALSE,0,"narendramodi",2015-01-20 04:45:48,FALSE,NA,"557398566948179969","18839785","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","glnmurthy",0,FALSE,FALSE,NA,NA,"https://twitter.com/glnmurthy"
"6","RT @pramodcosmo: AsExpected Great'Social reformers'OfOurTime @iamsrk @Javedakhtarjadu @FarOutAkhtar AmirKhan&amp;Raju HiraniDon't haveTime for …",FALSE,0,NA,2015-01-20 04:00:38,FALSE,NA,"557387198933135361",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Drpanpoo",13,TRUE,FALSE,NA,NA,"https://twitter.com/Drpanpoo"
"7","Boxer Amir Khan called in a favour PM after he was denied U.S. visa http://t.co/s4fFIdkFlY #AmirKhan #Cameron #Wasta",FALSE,0,NA,2015-01-19 21:04:51,FALSE,NA,"557282561584427009",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FahdAlTarzi",0,FALSE,FALSE,NA,NA,"https://twitter.com/FahdAlTarzi"
"8","RT @ScottWRudmann: Announcing #GLORY20 #Dubai in the presence of greatness! #amirkhan #eisaaldah @GLORY_WS http://t.co/ewH0oHOpFd",FALSE,0,NA,2015-01-19 20:55:18,FALSE,NA,"557280161674973184",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AnasMarie",9,TRUE,FALSE,NA,NA,"https://twitter.com/AnasMarie"
"9","#AmirKhan,thanks for the photo king khan,topped off the wkend for us nicely.can't wait to see you in the mega fights! http://t.co/okWaBmlFME",FALSE,0,NA,2015-01-19 20:24:00,FALSE,NA,"557272281530269696",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KieranM1985",0,FALSE,FALSE,NA,NA,"https://twitter.com/KieranM1985"
"10","Bihar - What happens when  boy is Hindu &amp; girl muslim-will #AmirKhan dare 2 reverse rel. identity of hero &amp; heroine in his next film?",FALSE,0,NA,2015-01-19 19:57:08,FALSE,NA,"557265523696619520",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","chandana7",0,FALSE,FALSE,NA,NA,"https://twitter.com/chandana7"
"11","Vijay the next AMIRKHAN of TN @narendramodi @vijay_cjv",FALSE,0,NA,2015-01-19 19:14:47,FALSE,NA,"557254863008960512",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>","sundravij",0,FALSE,FALSE,NA,NA,"https://twitter.com/sundravij"
"12","RT @pramodcosmo: AsExpected Great'Social reformers'OfOurTime @iamsrk @Javedakhtarjadu @FarOutAkhtar AmirKhan&amp;Raju HiraniDon't haveTime for …",FALSE,0,NA,2015-01-19 18:40:36,FALSE,NA,"557246261347110912",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","diileep",13,TRUE,FALSE,NA,NA,"https://twitter.com/diileep"
"13","RT @pramodcosmo: AsExpected Great'Social reformers'OfOurTime @iamsrk @Javedakhtarjadu @FarOutAkhtar AmirKhan&amp;Raju HiraniDon't haveTime for …",FALSE,0,NA,2015-01-19 18:28:10,FALSE,NA,"557243132123684864",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Nir_27",13,TRUE,FALSE,NA,NA,"https://twitter.com/Nir_27"
"14","RT @pramodcosmo: AsExpected Great'Social reformers'OfOurTime @iamsrk @Javedakhtarjadu @FarOutAkhtar AmirKhan&amp;Raju HiraniDon't haveTime for …",FALSE,0,NA,2015-01-19 18:27:37,FALSE,NA,"557242995209031680",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sanjay_rai",13,TRUE,FALSE,NA,NA,"https://twitter.com/sanjay_rai"
"15","RT @pramodcosmo: AsExpected Great'Social reformers'OfOurTime @iamsrk @Javedakhtarjadu @FarOutAkhtar AmirKhan&amp;Raju HiraniDon't haveTime for …",FALSE,0,NA,2015-01-19 18:26:04,FALSE,NA,"557242604010487808",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Ji_Rupesh",13,TRUE,FALSE,NA,NA,"https://twitter.com/Ji_Rupesh"
