"","analysis_score","analysis_text"
"1",1,"@amirkhan PK is an awesome movie, but can you justify the dancing car scenes, some dialogues from Sanjay Dutt. Those were not necessary"
"2",1,"@sarwatvalim @amirkhan Oh..really, what about the ""dancing car"" scenes and some dialogues from Sanjay Dutt. This is an awesome movie but .."
"3",0,"#Boxing Trainer Diaz explains how EASY it is to beat Amir Khan &amp; NO chance vs. Mayweather http://t.co/cahQpVss5S #floydmayweather #amirkhan"
"4",0,"RT @pramodcosmo: AsExpected Great'Social reformers'OfOurTime @iamsrk @Javedakhtarjadu @FarOutAkhtar AmirKhan&amp;Raju HiraniDon't haveTime for â¦"
"5",0,"@narendramodi reply to Amirkhan that we are in Bharatiya path saying""sarve bhavantu sukhinaha...ask him to join instead of writing letters"
"6",0,"RT @pramodcosmo: AsExpected Great'Social reformers'OfOurTime @iamsrk @Javedakhtarjadu @FarOutAkhtar AmirKhan&amp;Raju HiraniDon't haveTime for â¦"
"7",0,"Boxer Amir Khan called in a favour PM after he was denied U.S. visa http://t.co/s4fFIdkFlY #AmirKhan #Cameron #Wasta"
"8",1,"RT @ScottWRudmann: Announcing #GLORY20 #Dubai in the presence of greatness! #amirkhan #eisaaldah @GLORY_WS http://t.co/ewH0oHOpFd"
"9",0,"#AmirKhan,thanks for the photo king khan,topped off the wkend for us nicely.can't wait to see you in the mega fights! http://t.co/okWaBmlFME"
"10",2,"Bihar - What happens when  boy is Hindu &amp; girl muslim-will #AmirKhan dare 2 reverse rel. identity of hero &amp; heroine in his next film?"
"11",0,"Vijay the next AMIRKHAN of TN @narendramodi @vijay_cjv"
"12",0,"RT @pramodcosmo: AsExpected Great'Social reformers'OfOurTime @iamsrk @Javedakhtarjadu @FarOutAkhtar AmirKhan&amp;Raju HiraniDon't haveTime for â¦"
"13",0,"RT @pramodcosmo: AsExpected Great'Social reformers'OfOurTime @iamsrk @Javedakhtarjadu @FarOutAkhtar AmirKhan&amp;Raju HiraniDon't haveTime for â¦"
"14",0,"RT @pramodcosmo: AsExpected Great'Social reformers'OfOurTime @iamsrk @Javedakhtarjadu @FarOutAkhtar AmirKhan&amp;Raju HiraniDon't haveTime for â¦"
"15",0,"RT @pramodcosmo: AsExpected Great'Social reformers'OfOurTime @iamsrk @Javedakhtarjadu @FarOutAkhtar AmirKhan&amp;Raju HiraniDon't haveTime for â¦"
"16",0,"RT @pramodcosmo: AsExpected Great'Social reformers'OfOurTime @iamsrk @Javedakhtarjadu @FarOutAkhtar AmirKhan&amp;Raju HiraniDon't haveTime for â¦"
"17",0,"Hell yes.. I do mistakes..

I ain't born perfect and I'm defiantly not #AmirKhan"
"18",0,"Gathering held last year in Baitullah. #AmirKhan #MolanaTariqJameel"
"19",-1,"This is wrong number :) thanks @Dygdyg_ #PK #AmirKhan"
"20",0,"RT @pramodcosmo: AsExpected Great'Social reformers'OfOurTime @iamsrk @Javedakhtarjadu @FarOutAkhtar AmirKhan&amp;Raju HiraniDon't haveTime for â¦"
"21",0,"RT @AsiansUK: âPK has become a game changing filmâ claims Karan Johar http://t.co/0cORHVCZmo @PKTheFilm @karanjohar #AmirKhan http://t.co/qâ¦"
"22",0,"RT @pramodcosmo: AsExpected Great'Social reformers'OfOurTime @iamsrk @Javedakhtarjadu @FarOutAkhtar AmirKhan&amp;Raju HiraniDon't haveTime for â¦"
"23",0,"âPK has become a game changing filmâ claims Karan Johar http://t.co/0cORHVCZmo @PKTheFilm @karanjohar #AmirKhan http://t.co/qZ4jucs7zs"
"24",0,"@amirkhan muslimone dur karo des azad thashe"
"25",0,"RT @pramodcosmo: AsExpected Great'Social reformers'OfOurTime @iamsrk @Javedakhtarjadu @FarOutAkhtar AmirKhan&amp;Raju HiraniDon't haveTime for â¦"
"26",0,"RT @pramodcosmo: AsExpected Great'Social reformers'OfOurTime @iamsrk @Javedakhtarjadu @FarOutAkhtar AmirKhan&amp;Raju HiraniDon't haveTime for â¦"
"27",0,"RT @pramodcosmo: AsExpected Great'Social reformers'OfOurTime @iamsrk @Javedakhtarjadu @FarOutAkhtar AmirKhan&amp;Raju HiraniDon't haveTime for â¦"
"28",0,"AsExpected Great'Social reformers'OfOurTime @iamsrk @Javedakhtarjadu @FarOutAkhtar AmirKhan&amp;Raju HiraniDon't haveTime for #25YearsofKPExile"
"29",3,"RT @FarihaMunirShah: I'm not a fan of Indian movies, neither do I admire Indian actors. But after watching #PK, I love #AmirKhan &amp; admire pâ¦"
"30",0,"Good move by #highcourtindia #freedomofspeechindia #pk @amirkhan  http://t.co/1zy0HBb05h"
"31",2,"@amirkhan u r a great actor and to watch ur movie ,wooow!!!!
It does not matter how long it is :)) ,you guys doing great job ,thumbs up..."
"32",1,"@KnnKml ve @amirkhan that movie is so touchable and thanks a lot show that side of religion ,love and side of other people's world;)"
