"","word","freq"
"amirkhan","amirkhan",287
"movie","movie",78
"office","office",69
"capitaltv","capitaltv",57
"amir","amir",51
"mqm","mqm",50
"boxer","boxer",48
"khan","khan",48
"gym","gym",42
"fight","fight",39
"can","can",38
"attack","attack",35
"cameraman","cameraman",34
"capitaltvs","capitaltvs",34
"condemned","condemned",34
"hero","hero",30
"indian","indian",30
"adeel","adeel",29
"express","express",29
"best","best",28
"will","will",27
"mayweather","mayweather",26
"thankful","thankful",26
"visiting","visiting",26
"boxing","boxing",25
"dubai","dubai",23
"kamal","kamal",23
"leadersandvisits","leadersandvisits",23
"vikramno","vikramno",23
"uae","uae",22
"dont","dont",21
"like","like",21
"one","one",21
"pkpkboxofficeamirkhananushkasharma","pkpkboxofficeamirkhananushkasharma",21
"bollywood","bollywood",20
"floyd","floyd",20
"made","made",19
"offers","offers",19
"beats","beats",18
"make","make",18
"mayweathermillion","mayweathermillion",18
"oscar","oscar",18
"winning","winning",18
"always","always",17
"film","film",17
"actor","actor",16
"floydmayweather","floydmayweather",16
"great","great",16
"photo","photo",16
"solidarity","solidarity",16
"anyone","anyone",15
"just","just",15
"love","love",15
"part","part",15
"award","award",14
"british","british",14
"mqmfor","mqmfor",14
"sir","sir",14
"watching","watching",14
"asexpected","asexpected",13
"greatsocial","greatsocial",13
"havetime","havetime",13
"hiranidont","hiranidont",13
"india","india",13
"pakistani","pakistani",13
"reformersofourtimeamirkhanraju","reformersofourtimeamirkhanraju",13
"solidarityhttp","solidarityhttp",13
"clear","clear",12
"good","good",12
"please","please",12
"epic","epic",11
"follow","follow",11
"islamic","islamic",11
"kids","kids",11
"leadershipandfor","leadershipandfor",11
"news","news",11
"performance","performance",11
"pkdebate","pkdebate",11
"religion","religion",11
"says","says",11
"à¤«à¤¿à¤²à¥à¤®","à¤«à¤¿à¤²à¥à¤®",11
"announcing","announcing",10
"close","close",10
"eisaaldah","eisaaldah",10
"free","free",10
"glory","glory",10
"greatness","greatness",10
"interview","interview",10
"movies","movies",10
"muslim","muslim",10
"presence","presence",10
"religionamirkhanok","religionamirkhanok",10
"à¤†à¤®à¤¿à¤°","à¤†à¤®à¤¿à¤°",10
"answered","answered",9
"bythank","bythank",9
"capital","capital",9
"enoughğŸ˜‚ğŸ˜‚","enoughğŸ˜‚ğŸ˜‚",9
"mannypacquiao","mannypacquiao",9
"must","must",9
"pacquiao","pacquiao",9
"really","really",9
"think","think",9
"tuesdayfunnytrollspkamirkhananushkasharmaveryveryfilmi","tuesdayfunnytrollspkamirkhananushkasharmaveryveryfilmi",9
"well","well",9
"also","also",8
"called","called",8
"islam","islam",8
"many","many",8
