"","ti","age","id","au","ve","nC","nP","nR","at","msg","path"
"1",2015-01-20 02:08:57,0.242140021638738,"z12tw1yxoqyzuqn0kqu0y5rqruucwj0c1","107528665094866962680","share",0,1,0,"photo","If Boxing has Ali then Bodybuilding has Arnold. That&#39;s why Arnold @schwarzenegger was called The Muhammad Ali of Bodybuilding.#arnoldschwarzenegger #arnold #schwarzenegger #bodybuilder #bodybuilding #fitness #muhammadali #muhammad #ali #boxer #boxing #legend #motivation #aesthetics #gym #austrianoak #ironarnold #oldschool #goldenera #instafit #fitfam #fitspo﻿","https://plus.google.com/107528665094866962680"
"2",2015-01-20 01:07:08,0.285066937889766,"z13tufgxtrqkwrgim04cd144ywjjwrvhibw","102950781644162036802","post",0,1,1,"photo","If Boxing has Ali then Bodybuilding has Arnold. That&#39;s why Arnold @schwarzenegger was called The Muhammad Ali of Bodybuilding.#arnoldschwarzenegger #arnold #schwarzenegger #bodybuilder #bodybuilding #fitness #muhammadali #muhammad #ali #boxer #boxing #legend #motivation #aesthetics #gym #austrianoak #ironarnold #oldschool #goldenera #instafit #fitfam #fitspo﻿","https://plus.google.com/102950781644162036802"
"3",2015-01-19 19:03:08,0.53784480276759,"z13otvtobw2ujdcjx04cjnaiitvjzhwrcis","107703316367640495540","post",0,0,0,"photo","Mother&#39;s is your PLUNGE HEADQUARTERS. Join us on Jan 24th before &amp; after you plunge for some great Bud Light﻿ specials.  Do a &quot;baby plunge&quot; in our baby pool for practice!#PolarBearPlunge #Mothers #Arnold #BudLight﻿","https://plus.google.com/107703316367640495540"
"4",2015-01-19 08:12:33,0.989631825412313,"z13fuzgidwvmexbu323jiv45pxvlh3bcc","115664006619603661807","post",0,0,0,"photo","#arnold #italiabodybuilding #bodybuilding﻿","https://plus.google.com/115664006619603661807"
"5",2015-01-18 23:25:14,1.35582699886351,"z12idbyqfknxzji4d04cffwoikm1sl3wsgw","115151108704984016601","post",0,0,0,"article","#GrassMarking is the primary use for #Arnold 3 inch #TransferWheelMachine. It is easy to clean as well as low cost #lawnmowing #machine. Read more about it here: http://ow.ly/HdLHi﻿","https://plus.google.com/115151108704984016601"
"6",2015-01-18 15:40:14,1.67874106377087,"z125whrrquvrftzbe04cjnaiitvjzhwrcis","107703316367640495540","post",0,0,0,"photo","Join us for our 1st ever #Country night on Jan 24th. Rock your fave western wear for drink specials. #Mothers #Arnold﻿","https://plus.google.com/107703316367640495540"
"7",2015-01-18 13:02:10,1.78851792867813,"z13svhkgmq3xgzgtr22vc3sqyuzfd3lw104","107528665094866962680","share",4,1,0,"photo","&quot; The last three or four reps is what makes the muscle grow. This area of pain divides the champion from someone else who is not a champion. That&#39;s what most people lack, having the guts to go on and just say they&#39;ll go through the pain no matter what happens. &quot; Arnold Schwarzenegger#arnoldschwarzenegger #arnold #schwarzenegger #bodybuilding #fitness #quotes #motivation #aesthetics #gym #austrianoak #ironarnold #oldschool #goldenera #nopainnogain #instafit #fitfam #fitspo #shredded #physique #ifbb #mrolympia﻿","https://plus.google.com/107528665094866962680"
"8",2015-01-18 03:58:11,2.16627745330334,"z12qtzzwzlylwj1x304cd144ywjjwrvhibw","102950781644162036802","post",1,14,1,"photo","&quot; The last three or four reps is what makes the muscle grow. This area of pain divides the champion from someone else who is not a champion. That&#39;s what most people lack, having the guts to go on and just say they&#39;ll go through the pain no matter what happens. &quot; Arnold Schwarzenegger#arnoldschwarzenegger #arnold #schwarzenegger #bodybuilding #fitness #quotes #motivation #aesthetics #gym #austrianoak #ironarnold #oldschool #goldenera #nopainnogain #instafit #fitfam #fitspo #shredded #physique #ifbb #mrolympia﻿","https://plus.google.com/102950781644162036802"
"9",2015-01-17 23:50:19,2.33841311394892,"z12fehkq1xbxyrc2r23qc5aiqpuhv1sja04","113504260884411209223","post",0,2,0,"photo","#arnold#arnoldsvarceneger#bodybuilding#serbia#belgrade#balkan#easteurope#europe#steroids#nevergiveup﻿","https://plus.google.com/113504260884411209223"
"10",2015-01-17 22:41:05,2.38649090760008,"z13ghbuixyudt1ced23nvbd5ssvjupyux","110125743565306117070","post",0,0,0,"photo","Work laptop just became infinitely more motivating. #Arnold #schwarzenegger #Arnie #bodybuilding #bodybuilder #legend #olympia #motivation #lift #Idol #Physique #Amazing #TheOak #MrOlympia #MrUniverse #MrWorld #lifting #curls #biceps #arms﻿","https://plus.google.com/110125743565306117070"
"11",2015-01-17 18:43:06,2.55176039702638,"z12bwffgmmztjzqwh04cjzxiwkjmdv5okno0k","112997012496433365054","post",0,1,0,"article","Can&#39;t Make It To The Arnold Expo This Year?  Physique Bodyware Is Bringing All The Specials To! Plus Use Coupon Code: ARNOLD15 To Save 15% Off Already Low Priced Specials!  Check Us Out Now!  http://www.physiquebodywareusa.com#physiquebodyware #arnold #tanktop #ifbb #workout #buff #getripped #hardcore  #fitover40   #fitover50   #madeinusa   #trendingnow    #dealoftheday  ﻿","https://plus.google.com/112997012496433365054"
"12",2015-01-16 17:06:22,3.61892680958741,"z13rsl1pvxn1vlwhg04cjnaiitvjzhwrcis","107703316367640495540","post",0,0,0,"photo","It&#39;s #FireballFriday at Mothers! #HappyHour starts at 3 feat. $5 select appetizers + drink specials. #Mothers #Arnold﻿","https://plus.google.com/107703316367640495540"
"13",2015-01-16 14:51:07,3.71285665949186,"z124unkignf2c1nc4225tdbw2mragzh5t04","108684516560762641415","post",0,0,0,"photo","#Russel #Arnold become New Zealand rugby league club Warriors supporter﻿","https://plus.google.com/108684516560762641415"
"14",2015-01-16 01:35:05,4.26565388290694,"z13xt3himpifsz3wt04ci34qtqmsh1a52pg0k","104271545433526186350","post",0,5,0,"video","This should be in your workout playlist dedicated to the greatest #Arnold #Conan you will be ready to lift heavy ﻿","https://plus.google.com/104271545433526186350"
"15",2015-01-15 14:15:47,4.737387043257,"z13jzdtjpn2wut25d04citdwjybwhzihk34","110418986081542611170","post",0,0,0,"photo","The greatest! #arnold #apdfitness #fitfam #fitlife #instafit #nopainnogain #always #fitness #bodybuilding #physique #weightloss #instagood #gymlife #ejercicios #aesthetics #followme #happy #food #latino #instadaily #fitnessaddict #eatclean #eatcleantraindirty #nutrition #dream #motivation #training #me #picoftheday #selfie #npc﻿","https://plus.google.com/110418986081542611170"
"16",2015-01-15 05:42:19,5.09396791264139,"z13rv3owdzrwfv3s4223hppblzzqvtxhg04","107692411887779464567","share",0,0,0,"article","WWE Experience at the Arnold Sports Festival! (Full Details &amp; Ticket)     http://www.wwerumblingrumors.com/2015/01/wwe-experience-at-arnold-sports-Festival.html #WWE   #ARNOLD   #arnoldschwarzenegger   #WWENETWORK   #WRESTLING   #SPORTS   #WWE   #DUBAI   #YEMEN   #MEXICO   #USA   #BODYBUILDING   #WEIGHTLIFTING   #delaware   #GERMANY   #INDIA   #PAKISTAN   #HEALTH  ﻿","https://plus.google.com/107692411887779464567"
"17",2015-01-15 05:05:11,5.11974941997064,"z12oy3yjsx2pwjca004cf3xajtvxzzhx0z40k","103815835236969794606","post",0,0,0,"article","Terminator 5 Genisys Black Biker Leather Jacket http://www.leathermadness.com/products/Terminator-5-Black-Biker-Leather-Jacket.html  #terminatorgenisys #Arnold #T5 #RT﻿","https://plus.google.com/103815835236969794606"
"18",2015-01-15 05:05:07,5.11980116558572,"z13vfzcoqn3ctbmek223jjqiasa4evoac04","102813190833258670641","post",0,0,0,"article","Terminator 5 Genisys Black Biker Leather Jacket http://www.leathermadness.com/products/Terminator-5-Black-Biker-Leather-Jacket.html  #terminatorgenisys #Arnold #T5 #RT﻿","https://plus.google.com/102813190833258670641"
