"","score","text","path"
"2",2,"RT @Entrepreneur_SA: Success isn't a result of spontaneous combustion. You must set yourself on fire. Arnold Glasow - What brilliant task wâ¦","https://twitter.com/smangimcd"
"10",1,"RT @LBooogiee: Worship it , theres not many like us , rt ""@EmilyyPacheco: I'm so blessed to be in a relationship with Arnold.""","https://twitter.com/EmilyyPacheco"
"13",1,"Worship it , theres not many like us , rt ""@EmilyyPacheco: I'm so blessed to be in a relationship with Arnold.""","https://twitter.com/LBooogiee"
"14",1,"RT @Sean7Faska: ""Six foot four inches of misplaced confidence"" ~ Michael Arnold","https://twitter.com/finnabagit"
"20",1,"RT @SuperSportTV: Big #CapitalOneCup action tonight as Liverpool host Chelsea! Can the Reds get a first leg advantage? #SSFootball http://tâ¦","https://twitter.com/arnold_takunda"
"26",1,"Tech4U - Arnold DiBlasi | http://t.co/yNdyQ9zqWm | Digital Media #free #Digital #Media chronicle of higher education","https://twitter.com/sofiaorden"
"33",2,"The supreme accomplishment is to blur the line between work and play. - Arnold Toynbee","https://twitter.com/TwitReward26540"
"34",1,"Watching Hey Arnold right now í ½í¸","https://twitter.com/taammmyy__"
"35",2,"The competition closes soon, so hurry up &amp; enter if you'd like to win yourself a brand new car from Arnold Clark!  http://t.co/KbBVFz02JR","https://twitter.com/965RadioWave"
"38",2,"RT @Entrepreneur_SA: Success isn't a result of spontaneous combustion. You must set yourself on fire. Arnold Glasow - What brilliant task wâ¦","https://twitter.com/designbytrick"
"40",1,"@MaestroClaudio @missisadesantos @peterwarren @ralphlongxxx Arnold loves some chocolate. Old news!","https://twitter.com/brucerockac"
"45",1,"RT @SexualGif: i always find myself comforting people with the words i want someone to say to me","https://twitter.com/Arnold_Mena"
"53",1,"Success isn't a result of spontaneous combustion. You must set yourself on fire. Arnold Glasow","https://twitter.com/BonganiMahlang5"
"58",1,"Success is what happens when something goes right. â Arnold Glasow","https://twitter.com/Keepontruckin71"
"60",1,"Describing Arnold Schwarzenegger: politically interested muscle enthusiast","https://twitter.com/GrantEssentsail"
"64",1,"RT @_KingCal_: I sleep too much but i don't sleep enough.","https://twitter.com/darcey_arnold"
"78",1,"Longing

by Matthew Arnold

Come to me in my dreams, and then
By day I shall be well again!
For so the night will... http://t.co/v0IKVaEFs5","https://twitter.com/DavidMyles"
"80",2,"RT @Entrepreneur_SA: Success isn't a result of spontaneous combustion. You must set yourself on fire. Arnold Glasow - What brilliant task wâ¦","https://twitter.com/Chilaz10"
"83",1,"@shii_dee @nationfmke @sanaipei_t i dnt support that too bt its also unfair to fire teargas at such young kids","https://twitter.com/arnold_nacola"
"85",1,"RT @GQ_Hippy: Hey Arnold will forever be an amazing show","https://twitter.com/meehchris"
"87",1,"@TheJessKidder Hey Arnold ! Is a good one","https://twitter.com/caniacjneal_94"
"90",1,"Yeah hows it going ? Its me Arnold â lol u know u can just hmu through a DM on IG right? lol :p http://t.co/BO1oqPHsJS","https://twitter.com/pimpdaddykarenn"
"93",1,"RT @thedewjosh: People who sang that Baden Powell song always pronounced Founder as ""Fawunder""...and they loved echoing the fawunder part.","https://twitter.com/arnold_cle"
"119",1,"RT @40days_40smiles: â@kanyindo: Even if I'm in public, every time Sura Yako by @SautiSol comes on I'm like http://t.co/rCMJihkch6â","https://twitter.com/arnold_cle"
"123",1,"@Landon_Arnold it's very tempting my friend","https://twitter.com/rrangel_9"
"137",2,"RT @Entrepreneur_SA: Success isn't a result of spontaneous combustion. You must set yourself on fire. Arnold Glasow - What brilliant task wâ¦","https://twitter.com/EntrepWeb"
"141",1,"RT @DeniseUde: Watching Hey Arnold. Wow, I loved this show.","https://twitter.com/xoxoAphroditeee"
