"","x"
"1","RT @caampaire: But did you die? ""@lwasabad: But did it kill you?? RT @PearlHmmph :Peanut butter is disgusting."""
"2","Sid from Hey Arnold is such a fat jerk man!! Like eww dude chill out man."
"3","Aye though this girl helga got a shrine of Arnold in her room that's some straight up stalker shit creepy unibrow ass bitch"
"4","no wait stupidest theory was the Recess and Hey Arnold theory, Recess being the worst, just dumb"
"5","And it's so crazy that I come off mean most of the time because, I hate negative vibes."
"6","RT @deidra_castle: The devil grows inside the hearts of the selfish and wicked"
"7","She took a shallow breath, hoping to cleanse her focus despite the fact the stench of the crime scene...   http://t.co/JVk4fh3zmK"
"8","hey arnold was my shit! but fuck that bitch Helga!!"
"9","this bitch annoying as fuck, like damn."
"10","RT @judgmentalgay: remember when u dated that asshole and everyone kept warning u? be kind to ur friend even if she's being a dumb bitch liâ¦"
"11","I have to say this shit is funny as hell Ezra Williams Kevin Arnold http://t.co/wJNqLMPelz"
"12","The worst thing i can be is the same as everybody else. I hate that. Arnold @schwarzenegger#arnoldschwarzenegger #arnold #schwarzenegger #bodybuilding #fitness #fitspo #instafit #fitfam #aesthetics #physique #gym #training #workout #motivation #austrianoak #nopainnogain #shredz #ripped #oldschool #goldenera #ifbb #mrolympiaï»¿"
"13","The worst thing i can be is the same as everybody else. I hate that. Arnold @schwarzenegger#arnoldschwarzenegger #arnold #schwarzenegger #bodybuilding #fitness #fitspo #instafit #fitfam #aesthetics #physique #gym #training #workout #motivation #austrianoak #nopainnogain #shredz #ripped #oldschool #goldenera #ifbb #mrolympiaï»¿"
