"","word","freq"
"arnold","arnold",1237
"hey","hey",369
"schwarzenegger","schwarzenegger",257
"come","come",129
"like","like",110
"going","going",104
"strength","strength",104
"develop","develop",95
"struggles","struggles",95
"winning","winning",95
"strengths","strengths",94
"atarnold","atarnold",82
"chriss","chriss",82
"fortotal","fortotal",82
"loga","loga",82
"watching","watching",66
"just","just",64
"bodybuilding","bodybuilding",55
"fitness","fitness",54
"cant","cant",52
"day","day",51
"dont","dont",51
"will","will",51
"palmer","palmer",50
"think","think",50
"motivation","motivation",47
"gym","gym",46
"love","love",46
"one","one",46
"know","know",45
"aesthetics","aesthetics",44
"austrianoak","austrianoak",44
"fitfam","fitfam",44
"instafit","instafit",42
"person","person",42
"can","can",41
"got","got",41
"nopainnogain","nopainnogain",41
"physique","physique",41
"goldenera","goldenera",40
"oldschool","oldschool",40
"world","world",40
"arnolds","arnolds",38
"called","called",38
"get","get",38
"another","another",37
"fitspo","fitspo",37
"lol","lol",37
"good","good",35
"mrolympia","mrolympia",35
"shredded","shredded",35
"youre","youre",35
"bodybuilder","bodybuilder",34
"bouncing","bouncing",33
"night","night",33
"time","time",33
"want","want",33
"biceps","biceps",32
"now","now",32
"pecs","pecs",32
"workout","workout",32
"always","always",31
"see","see",30
"back","back",29
"glasow","glasow",29
"never","never",29
"people","people",29
"shit","shit",29
"ever","ever",28
"thanks","thanks",28
"happy","happy",27
"schwarzenegga","schwarzenegga",27
"first","first",26
"great","great",26
"let","let",26
"little","little",26
"look","look",26
"naminhainfÃ¢nciaeuassistia","naminhainfÃ¢nciaeuassistia",26
"room","room",26
"show","show",26
"things","things",26
"ifbb","ifbb",25
"ironarnold","ironarnold",25
"legend","legend",25
"man","man",25
"mystery","mystery",25
"new","new",25
"today","today",25
"life","life",24
"really","really",24
"right","right",24
"even","even",23
"thats","thats",23
"chest","chest",21
"still","still",21
"ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾†ˆ¼ü¾Œ£ ¼","ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾†ˆ¼ü¾Œ£ ¼",20
"baby","baby",20
"best","best",20
"doesnt","doesnt",20
"ian","ian",20
"npc","npc",20
"paranormal","paranormal",20
"pain","pain",19
"ifbbpro","ifbbpro",18
"movie","movie",18
"must","must",18
"abs","abs",17
"arnoldschwarzenegger","arnoldschwarzenegger",17
"fear","fear",17
"feel","feel",17
"jeff","jeff",17
"makes","makes",17
"set","set",17
"snow","snow",17
"thing","thing",17
"every","every",16
"hannah","hannah",16
"kathryne","kathryne",16
"resurrection","resurrection",16
"said","said",16
"sleep","sleep",16
"success","success",16
"watch","watch",16
"year","year",16
"benedict","benedict",15
"book","book",15
"fire","fire",15
"helga","helga",15
"isnt","isnt",15
"make","make",15
"say","say",15
"big","big",14
"catdog","catdog",14
"dope","dope",14
"morning","morning",14
"remember","remember",14
"something","something",14
"stop","stop",14
"terminator","terminator",14
"thank","thank",14
"wait","wait",14
"work","work",14
"young","young",14
"ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Œ–ˆ¼ü¾™£ ¼ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾†ˆ¼ü¾˜“ ¼","ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Œ–ˆ¼ü¾™£ ¼ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾†ˆ¼ü¾˜“ ¼",13
"bad","bad",13
"birthday","birthday",13
"black","black",13
"body","body",13
"classic","classic",13
"favorite","favorite",13
"forever","forever",13
"gerald","gerald",13
"glasgow","glasgow",13
"long","long",13
"looking","looking",13
"mind","mind",13
"name","name",13
"share","share",13
"training","training",13
"well","well",13
"aesthetic","aesthetic",12
"ass","ass",12
"bitch","bitch",12
"following","following",12
"half","half",12
"looks","looks",12
"power","power",12
"rugrats","rugrats",12
"someone","someone",12
"spontaneous","spontaneous",12
"tho","tho",12
"thought","thought",12
"tweet","tweet",12
"two","two",12
"amazing","amazing",11
"amazon","amazon",11
"better","better",11
"combustion","combustion",11
"free","free",11
"guy","guy",11
"iron","iron",11
"mecheck","mecheck",11
"murder","murder",11
"old","old",11
"perfect","perfect",11
"real","real",11
"result","result",11
"shots","shots",11
"smh","smh",11
"takes","takes",11
"terminatorgenisys","terminatorgenisys",11
"tomorrow","tomorrow",11
"way","way",11
"become","become",10
"bennett","bennett",10
"boxing","boxing",10
"brothis","brothis",10
"bruh","bruh",10
"cartoon","cartoon",10
"colliers","colliers",10
"crazy","crazy",10
"didnt","didnt",10
"else","else",10
"episode","episode",10
"find","find",10
"friend","friend",10
"fuck","fuck",10
"girl","girl",10
"home","home",10
"ill","ill",10
"jacket","jacket",10
"liefted","liefted",10
"low","low",10
"made","made",10
"next","next",10
"nothing","nothing",10
"omg","omg",10
"path","path",10
"quot","quot",10
"squat","squat",10
"wanna","wanna",10
"weight","weight",10
"working","working",10
"ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾†ˆ¼ü¾Œ£ ¼ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾†ˆ¼ü¾Œ£ ¼","ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾†ˆ¼ü¾Œ£ ¼ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾†ˆ¼ü¾Œ£ ¼",9
"action","action",9
"arm","arm",9
"awesome","awesome",9
"beautiful","beautiful",9
"bestwood","bestwood",9
"bicep","bicep",9
"bigger","bigger",9
"brain","brain",9
"decide","decide",9
"doug","doug",9
"everything","everything",9
"gets","gets",9
"girls","girls",9
"gone","gone",9
"gonna","gonna",9
"grow","grow",9
"hardships","hardships",9
"hate","hate",9
"hell","hell",9
"hes","hes",9
"hope","hope",9
"ice","ice",9
"ideas","ideas",9
"last","last",9
"mothers","mothers",9
"much","much",9
"need","need",9
"nice","nice",9
"play","play",9
"quotes","quotes",9
"rogers","rogers",9
"started","started",9
"surrender","surrender",9
"talking","talking",9
"total","total",9
"valentines","valentines",9
"video","video",9
"yeah","yeah",9
"actually","actually",8
"american","american",8
"author","author",8
"bed","bed",8
"biker","biker",8
"california","california",8
"cold","cold",8
"coupled","coupled",8
"cute","cute",8
"days","days",8
"dibujitosquemarcaronmiinfancia","dibujitosquemarcaronmiinfancia",8
"dude","dude",8
"everyone","everyone",8
"friends","friends",8
"god","god",8
"head","head",8
"ive","ive",8
"king","king",8
"leather","leather",8
"light","light",8
"liked","liked",8
"nigga","nigga",8
"photo","photo",8
"pic","pic",8
"problem","problem",8
"questions","questions",8
"school","school",8
"shredz","shredz",8
"sports","sports",8
"via","via",8
"whats","whats",8
"whippin","whippin",8
"win","win",8
"aint","aint",7
"also","also",7
"anything","anything",7
"away","away",7
"becomes","becomes",7
"blame","blame",7
"busy","busy",7
"cells","cells",7
"crop","crop",7
"drink","drink",7
"everybody","everybody",7
"excited","excited",7
"getting","getting",7
"gimp","gimp",7
"give","give",7
"growing","growing",7
"instead","instead",7
"junior","junior",7
"kid","kid",7
"kids","kids",7
"leader","leader",7
"less","less",7
"levels","levels",7
"lmao","lmao",7
"making","making",7
"midnight","midnight",7
"miss","miss",7
"mlk","mlk",7
"muscle","muscle",7
"occupiedarnold","occupiedarnold",7
"pleasure","pleasure",7
"processed","processed",7
"put","put",7
"relationship","relationship",7
"seattle","seattle",7
"shows","shows",7
"since","since",7
"star","star",7
"stay","stay",7
"take","take",7
"therefore","therefore",7
"theres","theres",7
"tlap","tlap",7
"together","together",7
"triple","triple",7
"true","true",7
"use","use",7
"yall","yall",7
"years","years",7
"yes","yes",7
