"","ti","age","id","au","ve","nC","nP","nR","at","msg","path"
"1",2015-01-20 05:53:50,0.00120126427599677,"z13kvjtjaxvvexdii04ccpp4gnnzgxwiwko0k","114432128958814840207","post",0,0,0,"photo","Freshers Walk-In for ‪#‎freshers‬ at ‪#‎QuEst‬Walk-In Drive for B.E /B.Tech (Mech /Aero) Fresher – 2014 Passout On on Saturday, 24th January 2015@ #Bangalorehttp://buff.ly/1yGyXMO﻿","https://plus.google.com/114432128958814840207"
"2",2015-01-20 05:41:38,0.00967541619031518,"z13ffrjx1wy2td1ne22ajtvyrkmqupw0q","111741240611204788067","post",0,0,0,"article","The best time to buy #property in #Bangalore and latest realty trends. Know here.﻿","https://plus.google.com/111741240611204788067"
"3",2015-01-20 05:33:50,0.0150892965192044,"z12dxdqr5wrtjdhgb04cf5tbfrn5hhghlt40k","107921624772887040086","post",0,0,0,"photo","#Magento #Ecommerce #Website #Design #Bangalore http://bit.ly/1jTQU3v﻿","https://plus.google.com/107921624772887040086"
"4",2015-01-20 05:18:59,0.0253975107382845,"z12yw3uiguvfit0tq22uwz2pforitfu3m","104558221744457285598","post",0,0,0,"article","How to Make an Android App for Business – Mobileapptelligence http://www.mobileapptelligence.com#androidappdeveloper #androidappdevelopersindia #androidappdevelopersinindia #androidappsdeveloper #androidappsdeveloperinindia #androidwebdeveloper #androidwebdevelopers #androiddeveloper #androiddevelopers #bangalore  #mumbai #india ﻿","https://plus.google.com/104558221744457285598"
"5",2015-01-20 05:18:30,0.0257401897178756,"z12lfbep4pmdd5tr004cghogqre5d5yjg1k","109708252465257849668","post",0,0,0,"photo","go to http://www.google.com/ and type &#39;#seo #company #Bangalore&#39;. You would see us on top of first page.If we can rank our-self we can rank you too http://bit.ly/1ud1ap5﻿","https://plus.google.com/109708252465257849668"
"6",2015-01-20 05:15:21,0.0279267900216359,"z12ktzizbzybdvwyg04cef2rinaothlpnfk","106068624927284724090","post",0,0,0,"photo","Now enjoy our exclusive stay more &amp; save more package deal when you visit #Bangalore. http://bit.ly/1JTr62B﻿","https://plus.google.com/106068624927284724090"
"7",2015-01-20 05:14:55,0.0282192425705768,"z13jjxvjfy33sddlp23kcrngsqvrhflfm","101071143660252639444","post",0,0,0,"photo","The country&#39;s #IT #capital #bangalore is expected to see the #highest #office #space absorption among the #key #cities of India next year, says the latest office report by global #real #estate #consultancyhttp://goo.gl/ZVq1U2﻿","https://plus.google.com/101071143660252639444"
"8",2015-01-20 05:11:02,0.0309232868061022,"z13wx52iysfpjjbwm04cghogqre5d5yjg1k","109708252465257849668","post",0,0,0,"photo","Our work is worth showing because we design it with passion and innovation.#SEO #Expert #Bangalore and #Internet #Marketing #Serviceshttp://bit.ly/1ud1ap5﻿","https://plus.google.com/109708252465257849668"
"9",2015-01-20 05:09:35,0.0319268119969854,"z12ludg4csulizwob04cg53qxzi3evsar5o","110016983077466148264","post",0,0,0,"photo","#Twitter to Buy Indian Mobile Marketing Startup ZipDial ???#Bangalore, India-based ZipDial is known for its success at “missed call” marketing. Similar to a collect call, people in India often dial a number and hang up before connecting to communicate with friends or family members. #ZipDial allows companies to receive missed calls from consumers, and then to send them advertisements.﻿","https://plus.google.com/110016983077466148264"
"10",2015-01-20 05:07:24,0.033449149498785,"z13bijs5rpqrwncc123rc5aaasqndl3wv04","105375990214789030887","post",0,1,1,"article"," #Poshe  is now in Bangalore... Get your  #nebosh_certificate_course  from POSHE in  #Bangalore  #Grand_Launching_Offer  Enroll  #Nebosh_IGC  +  #IOSH_MS  &amp; Get 50  #HSE  UK Certificates as Complimentary.Now Get Everything for Just INR 55,000/-For Registrationinfo@poshesolutions.com﻿","https://plus.google.com/105375990214789030887"
