"","score","text","path"
"38",-1,"Twitter announces acquisition of Bangalore-based ZipDial, a marketing platform for missed calls (Christian Oestl... http://t.co/5VmehgMNLb","https://twitter.com/Tech_Stuff_Go"
"40",-1,"Twitter announces acquisition of Bangalore-based ZipDial, a marketing platform for missed calls
http://t.co/hwkvURfrAf","https://twitter.com/Tayyab_Khalid"
"42",-1,"Exploring Bangalore in slow motion - Namma metro on RV... http://t.co/l1DWGSxXUy","https://twitter.com/payaniga"
"88",-1,"#Bengaluru:The tale of two convicts who penned books and became authors while inside the prison
  http://t.co/hxpX2sWwPd @AravindShiv","https://twitter.com/rakeshprakash1"
"166",-1,"@surereshprabhu Dear Mr. Suresh Prabhu ( Railway Minister) Traveling by 22694 to Bangalore. Very pathetic condition of cratering &amp; Cleaning.","https://twitter.com/TandonSuresh"
"186",-1,"RT @BloreConnect: Demand for train gets louder @PhadnisRenuka http://t.co/8DG960hrwB http://t.co/hYsQKx5P29","https://twitter.com/adityad1829"
"190",-1,"Twitter announces acquisition of Bangalore-based ZipDial, a marketing platform for missed calls (Christian Oes... http://t.co/jiTdvt5nW6","https://twitter.com/Section31Spy"
"209",-1,"Twitter announces acquisition of Bangalore-based ZipDial, a marketing platform for missed calls (Christian Oestl... http://t.co/RYBgzO4Gia","https://twitter.com/ElliotFogg"
"222",-1,"Twitter announces acquisition of Bangalore-based ZipDial, a marketing platform for missed calls (Christian Oes... http://t.co/yYelQ8inLb","https://twitter.com/danquincy"
"226",-1,"Fill primary highway hit the trail in passage to trivandrum bangalore overdo: hGoORvUZ http://t.co/tUOuJVmK0p","https://twitter.com/HarryFaber"
"228",-1,"@ola_supports CRN29270690 - Late arrival + horrible call center = congrats, OLA first and last time I ever use your service in bangalore","https://twitter.com/raghavr"
"260",-1,"#Bangalore:How a WINDOW of a commercial building became a threat to national security? http://t.co/mucSgZJo3E @AravindShiv @Bangaloremirror","https://twitter.com/rakeshprakash1"
"267",-1,"Is it just me, or have phone networks (esp. data) become terrible in Mumbai, Delhi, Bangalore? cc @airtelindia @VodafoneIN","https://twitter.com/jithamithra"
"297",-1,"RT BloreConnect: Demand for train gets louder PhadnisRenuka http://t.co/WGgalUi9FH http://t.co/QIGevgd0bN","https://twitter.com/sayantan57"
"322",-1,"Twitter announces acquisition of Bangalore-based ZipDial, a marketing platform for missed calls https://t.co/h8qAkIYgvQ","https://twitter.com/nikhilnulkar"
"332",-1,"@SellingViolets And then hoping that he doesn't step into an already jam packed traffic maddened Bangalore","https://twitter.com/prats_39"
"338",-1,"RT @BloreConnect: Demand for train gets louder @PhadnisRenuka http://t.co/8DG960hrwB http://t.co/hYsQKx5P29","https://twitter.com/Indiamining"
"344",-1,"#App #Tech Twitter announces acquisition of Bangalore-based ZipDial, a marketing platform for missed calls (Ch...  http://t.co/KV1B2ijA1B","https://twitter.com/AllTechStuff"
"353",-1,"RT @BloreConnect: Demand for train gets louder @PhadnisRenuka http://t.co/8DG960hrwB http://t.co/hYsQKx5P29","https://twitter.com/the_hindu"
"354",-1,"RT @BloreConnect: Demand for train gets louder @PhadnisRenuka http://t.co/8DG960hrwB http://t.co/hYsQKx5P29","https://twitter.com/TheHindu"
"361",-1,"RT @BloreConnect: Demand for train gets louder @PhadnisRenuka http://t.co/8DG960hrwB http://t.co/hYsQKx5P29","https://twitter.com/being_hassan"
"370",-1,"Twitter announces acquisition of Bangalore-based ZipDial, a marketing platform for missed calls (Christian... http://t.co/f0MJyhpQ97","https://twitter.com/RAMsocialmedia"
"373",-1,"TESTNEWS 2: Twitter announces acquisition of Bangalore-based ZipDial, a marketing platform for missed calls... http://t.co/bh5jENH04P","https://twitter.com/zzznotreal"
"376",-1,"@mediacrooks @timesofindia  I have asked paper man to stop TOI.not only bangalore times even their main paper carries dirty pictures/stories","https://twitter.com/SM_Shetty"
"377",-1,"RT @timesofindia: Dev Lahiri | Bangalore school rapes attest to rot in education system itself http://t.co/a4raM8DLkO","https://twitter.com/ghanshyamsodhia"
"395",-1,"@MAYOR_BANGALORE  people throwing garbage urinating parking on both  sides no place to enter my office","https://twitter.com/AnkushBhand"
