"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","path"
"1","RT @footloosenomore: In Bangalore Mirror today! Footloose just before it's Bangalore launch!

http://t.co/TyFitQOlcj?",FALSE,0,NA,2015-01-20 05:54:49,FALSE,NA,"557415934181134336",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","varshaagnihotri",2,TRUE,FALSE,NA,NA,"https://twitter.com/varshaagnihotri"
"2","RT @s_singh719: Snapdeal Ties Up With Bangalore Fashion Week, Strengthens Fashion Portfolio  http://t.co/ABDy7rdr0v",FALSE,0,NA,2015-01-20 05:54:48,FALSE,NA,"557415928866955264",NA,"<a href=""http://tweetadder.com"" rel=""nofollow"">TweetAdder v4</a>","h_synergy",3,TRUE,FALSE,NA,NA,"https://twitter.com/h_synergy"
"3","Gary Taxali is at National Institute of Design, Bangalore , its a great chance for young creatives in Bangalore... http://t.co/R8OAgWjULX",FALSE,0,NA,2015-01-20 05:54:41,FALSE,NA,"557415898915803136",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","desicreative",0,FALSE,FALSE,NA,NA,"https://twitter.com/desicreative"
"4","RT @HDLindia: Twitter Makes Bangalore-Based ZipDial Its First Acquisition in India: With its ""missed-call"" based service, Zi... http://t.co…",FALSE,0,NA,2015-01-20 05:54:28,FALSE,NA,"557415845098704896",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","JeetAmarSaxena",1,TRUE,FALSE,NA,NA,"https://twitter.com/JeetAmarSaxena"
"5","Recruiter wants you to directly approach the venue with your profile details http://t.co/rPW0Ar2Xc7",FALSE,0,NA,2015-01-20 05:54:25,FALSE,NA,"557415831047372801",NA,"<a href=""http://www.linkedin.com/"" rel=""nofollow"">LinkedIn</a>","BopannaMV",0,FALSE,FALSE,NA,NA,"https://twitter.com/BopannaMV"
"6","Microland Off Campus for Freshers as a Service Engineer on 21st January 2015 at Bangalore(Unverified)

http://t.co/H24TkLkx32",FALSE,0,NA,2015-01-20 05:53:38,FALSE,NA,"557415637144719363",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","KruthiChowdary",0,FALSE,FALSE,NA,NA,"https://twitter.com/KruthiChowdary"
"7","RT @s_singh719: Snapdeal Ties Up With Bangalore Fashion Week, Strengthens Fashion Portfolio  http://t.co/ABDy7rdr0v",FALSE,0,NA,2015-01-20 05:53:33,FALSE,NA,"557415614554181632",NA,"<a href=""http://tweetadder.com"" rel=""nofollow"">TweetAdder v4</a>","TPRaja49",3,TRUE,FALSE,NA,NA,"https://twitter.com/TPRaja49"
"8","@Bangaloremirror thank you for this lovely article! Soon in Bangalore.

http://t.co/TyFitQOlcj?",FALSE,0,"Bangaloremirror",2015-01-20 05:53:22,FALSE,NA,"557415569381531648","14405191","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","footloosenomore",0,FALSE,FALSE,NA,NA,"https://twitter.com/footloosenomore"
"9","Snapdeal Ties Up With Bangalore Fashion Week, Strengthens Fashion Portfolio  http://t.co/ABDy7rdr0v",FALSE,0,NA,2015-01-20 05:53:16,FALSE,NA,"557415541518778368",NA,"<a href=""http://tweetadder.com"" rel=""nofollow"">TweetAdder v4</a>","s_singh719",3,FALSE,FALSE,NA,NA,"https://twitter.com/s_singh719"
"10","Twitter Makes Bangalore-Based ZipDial Its First Acquisition in India http://t.co/ZJ87sOOWrg #gadgets",FALSE,0,NA,2015-01-20 05:52:36,FALSE,NA,"557415373956329472",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","rakesh0612",0,FALSE,FALSE,NA,NA,"https://twitter.com/rakesh0612"
"11","Twitter Buying India Firm ZipDial: Twitter Inc. said in a blog post dated Tuesday that it was buying Bangalore... http://t.co/GB3ebLbjRG",FALSE,0,NA,2015-01-20 05:52:35,FALSE,NA,"557415372312150017",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","tweetening",0,FALSE,FALSE,NA,NA,"https://twitter.com/tweetening"
"12","RT @TBNIND: #Bangalore #Urgent 30 Units A+ve Bld4 12 kids @NHrudayalaya Hosp by 22nd Call9900375303/9900375155 9448225303/9448171435 via @s…",FALSE,0,NA,2015-01-20 05:52:32,FALSE,NA,"557415359985111040",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JeevikaMaanvi8",37,TRUE,FALSE,NA,NA,"https://twitter.com/JeevikaMaanvi8"
"13","Twitter Makes Bangalore-Based ZipDial Its First Acquisition in India http://t.co/nggsJtGqsA",FALSE,0,NA,2015-01-20 05:52:13,FALSE,NA,"557415281010548736",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","megameetei",0,FALSE,FALSE,NA,NA,"https://twitter.com/megameetei"
"14","Twitter Makes Bangalore-Based ZipDial Its First Acquisition in India http://t.co/oDTjptbJjb",FALSE,0,NA,2015-01-20 05:52:12,FALSE,NA,"557415273951543296",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","DigitalBonanza",0,FALSE,FALSE,NA,NA,"https://twitter.com/DigitalBonanza"
"15","Twitter Makes Bangalore-Based ZipDial Its First Acquisition in India: With its ""missed-call"" based service, Zi... http://t.co/14iXP4fRmr",FALSE,0,NA,2015-01-20 05:52:10,FALSE,NA,"557415266879946752",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","TechieTurf",0,FALSE,FALSE,NA,NA,"https://twitter.com/TechieTurf"
"16","Twitter Makes Bangalore-Based ZipDial Its First Acquisition in India: With its ""missed-call"" based service, Zi... http://t.co/ctdcxJImaQ",FALSE,0,NA,2015-01-20 05:52:08,FALSE,NA,"557415259443437569",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","PratiikRege",0,FALSE,FALSE,NA,NA,"https://twitter.com/PratiikRege"
"17","Twitter Makes Bangalore-Based ZipDial Its First Acquisition in India: With its ""missed-call"" based service, Zi... http://t.co/4K2HYCxPxH",FALSE,0,NA,2015-01-20 05:52:07,FALSE,NA,"557415252556406784",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","GopiPappiah",0,FALSE,FALSE,NA,NA,"https://twitter.com/GopiPappiah"
"18","Twitter Makes Bangalore-Based ZipDial Its First Acquisition in India: With its ""missed-call"" based service, Zi... http://t.co/kSqXuQrqiS",FALSE,0,NA,2015-01-20 05:52:05,FALSE,NA,"557415243698024448",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","NeelChauhan30",0,FALSE,FALSE,NA,NA,"https://twitter.com/NeelChauhan30"
"19","Twitter Makes Bangalore-Based ZipDial Its First Acquisition in India: With its ""missed-call"" based service, Zi... http://t.co/1DyePWqDO3",FALSE,0,NA,2015-01-20 05:52:04,FALSE,NA,"557415239679873025",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","SeppBard",0,FALSE,FALSE,NA,NA,"https://twitter.com/SeppBard"
"20","Twitter Makes Bangalore-Based ZipDial Its First Acquisition in India: With its ""missed-call"" based service, Zi... http://t.co/VId6u0n7Ri",FALSE,0,NA,2015-01-20 05:52:02,FALSE,NA,"557415232868339713",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","affelah",0,FALSE,FALSE,NA,NA,"https://twitter.com/affelah"
"21","@aparanjape Same scene everywhere in the city. When we complain to authorities they say we are better than Bangalore. Some consolation that!",FALSE,0,"aparanjape",2015-01-20 05:51:59,FALSE,"557412908976451584","557415221883437056","14175873","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ritugh",0,FALSE,FALSE,NA,NA,"https://twitter.com/ritugh"
"22","RT @NDTVGadgets: Twitter Makes Bangalore-Based ZipDial Its First Acquisition in India http://t.co/FrtuyALYDx http://t.co/AprHN8jGtc",FALSE,0,NA,2015-01-20 05:51:44,FALSE,NA,"557415156662038528",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","srini_namineni",13,TRUE,FALSE,NA,NA,"https://twitter.com/srini_namineni"
"23","RT @footloosenomore: In Bangalore Mirror today! Footloose just before it's Bangalore launch!

http://t.co/TyFitQOlcj?",FALSE,0,NA,2015-01-20 05:51:42,FALSE,NA,"557415150618025986",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","_yes2life",2,TRUE,FALSE,NA,NA,"https://twitter.com/_yes2life"
"24","Twitter Makes Bangalore-Based ZipDial Its First Acquisition in India interesting though why? http://t.co/FmEZhtxMS5",FALSE,0,NA,2015-01-20 05:51:42,FALSE,NA,"557415150039224320",NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","SinghalAnupriya",0,FALSE,FALSE,NA,NA,"https://twitter.com/SinghalAnupriya"
"25","Ind converted #Land #ForSale at peenya #IndustrialPlot #PeenyaIndustrialArea #Bangalore #Commercial #Property
http://t.co/l2E9yAyXJ5",FALSE,0,NA,2015-01-20 05:51:42,FALSE,NA,"557415148965490688",NA,"<a href=""http://www.propertywala.com/"" rel=""nofollow"">PropertyWala.com</a>","propertiesindia",0,FALSE,FALSE,"77.52468109","13.03002156","https://twitter.com/propertiesindia"
"26","Just after bath shots only for u!! Leave comments or likes if u admire my effort. I m in bangalore. Who wanna meet me http://t.co/WnHbHqkLTh",FALSE,0,NA,2015-01-20 05:51:36,FALSE,NA,"557415124357505024",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","jackscs2005",0,FALSE,FALSE,NA,NA,"https://twitter.com/jackscs2005"
"27","In Bangalore Mirror today! Footloose just before it's Bangalore launch!

http://t.co/TyFitQOlcj?",FALSE,0,NA,2015-01-20 05:51:34,FALSE,NA,"557415116879040512",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","footloosenomore",2,FALSE,FALSE,NA,NA,"https://twitter.com/footloosenomore"
"28","RT @vasantshetty81: ""All the hoardings in the heart of Bengaluru have been put up in Hindi. Union government is enforcing Hindi http://t.co…",FALSE,0,NA,2015-01-20 05:51:28,FALSE,NA,"557415089389592576",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","hariprasadholla",2,TRUE,FALSE,NA,NA,"https://twitter.com/hariprasadholla"
