"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","path"
"1","What's going on? Meet Stella &amp; Dot in Northern Califonia, Auburn http://t.co/eBnmkEfhku Get Found -&gt; http://t.co/VfkdpXSy2I",FALSE,0,NA,2015-01-19 22:46:33,FALSE,NA,"557308156598964224",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","SACoGoing",0,FALSE,FALSE,NA,NA,"https://twitter.com/SACoGoing"
"2","RT @pir8gold: Price of a dozen eggs goes from $1.29 to $3.99 thanks to stupid califonia voters and the 'free range chickens' proposition #t…",FALSE,0,NA,2015-01-19 22:28:59,FALSE,NA,"557303734339112960",NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android Tablets</a>","carwizrd",3,TRUE,FALSE,NA,NA,"https://twitter.com/carwizrd"
"3","RT @pir8gold: Price of a dozen eggs goes from $1.29 to $3.99 thanks to stupid califonia voters and the 'free range chickens' proposition #t…",FALSE,0,NA,2015-01-19 22:25:36,FALSE,NA,"557302882891227136",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JRoger777",3,TRUE,FALSE,NA,NA,"https://twitter.com/JRoger777"
"4","Price of a dozen eggs goes from $1.29 to $3.99 thanks to stupid califonia voters and the 'free range chickens' proposition #tcot #teaparty",FALSE,0,NA,2015-01-19 22:21:01,FALSE,NA,"557301732359692288",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","pir8gold",3,FALSE,FALSE,NA,NA,"https://twitter.com/pir8gold"
"5","@Darlia bite the Apple would be good",FALSE,0,"Darlia",2015-01-19 21:51:47,FALSE,"557244446451175425","557294374120607744","1323252547","<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android Tablets</a>","califonia_daze",0,FALSE,FALSE,NA,NA,"https://twitter.com/califonia_daze"
"6","@wrongdejavu I saw drenge last year it was intense
Ben should have a good time",FALSE,1,"wrongdejavu",2015-01-19 21:44:36,FALSE,"557291624011927553","557292564735602688","1022255250","<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android Tablets</a>","califonia_daze",0,FALSE,FALSE,NA,NA,"https://twitter.com/califonia_daze"
"7","RT @PunKandStuff: London, 1980.
by Nick Rogers http://t.co/Fb8G8Bq1lA",FALSE,0,NA,2015-01-19 20:58:00,FALSE,NA,"557280839248412673",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","califonia_daze",61,TRUE,FALSE,NA,NA,"https://twitter.com/califonia_daze"
"8","YOU CAN'T STAND ME NOW",FALSE,0,NA,2015-01-19 20:55:10,FALSE,NA,"557280124220219393",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","califonia_daze",0,FALSE,FALSE,NA,NA,"https://twitter.com/califonia_daze"
"9","@PEACE4EVEREVER new album possibilities http://t.co/eSjzcO6xx6",FALSE,2,"PEACE4EVEREVER",2015-01-19 20:44:06,FALSE,NA,"557277342771707904","169848706","<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","califonia_daze",0,FALSE,FALSE,NA,NA,"https://twitter.com/califonia_daze"
"10","Another cool photo of my favorite bridge: #goldengate #goldengatebridge #sanfrancisco #califonia #travel #travelp... http://t.co/NduOdDdh7c",FALSE,0,NA,2015-01-19 20:08:23,FALSE,NA,"557268351089926145",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","aSFOTaxiCab",0,FALSE,FALSE,NA,NA,"https://twitter.com/aSFOTaxiCab"
"11","Califonia Chrome!!!!!!! http://t.co/1AzLQ22Mz8",FALSE,0,NA,2015-01-19 19:53:24,FALSE,NA,"557264581073330176",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","_catspajamas_",0,FALSE,FALSE,NA,NA,"https://twitter.com/_catspajamas_"
"12","Angels//the xx",FALSE,0,NA,2015-01-19 19:29:18,FALSE,NA,"557258518219485184",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","califonia_daze",0,FALSE,FALSE,NA,NA,"https://twitter.com/califonia_daze"
"13","RT @chantsareonfire: @Darlia the fact that you wrote all these amazing songs so young makes me feel so pressured you don't understand",FALSE,0,NA,2015-01-19 18:33:06,FALSE,NA,"557244374615351296",NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android Tablets</a>","califonia_daze",1,TRUE,FALSE,NA,NA,"https://twitter.com/califonia_daze"
"14","@Darlia plotting world domination http://t.co/l65TgO8fiM",FALSE,1,"Darlia",2015-01-19 18:30:45,FALSE,NA,"557243780571869185","1323252547","<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","califonia_daze",0,FALSE,FALSE,NA,NA,"https://twitter.com/califonia_daze"
