"","analysis_score","analysis_text"
"1",0,"What's going on? Meet Stella &amp; Dot in Northern Califonia, Auburn http://t.co/eBnmkEfhku Get Found -&gt; http://t.co/VfkdpXSy2I"
"2",0,"RT @pir8gold: Price of a dozen eggs goes from $1.29 to $3.99 thanks to stupid califonia voters and the 'free range chickens' proposition #tâ¦"
"3",0,"RT @pir8gold: Price of a dozen eggs goes from $1.29 to $3.99 thanks to stupid califonia voters and the 'free range chickens' proposition #tâ¦"
"4",0,"Price of a dozen eggs goes from $1.29 to $3.99 thanks to stupid califonia voters and the 'free range chickens' proposition #tcot #teaparty"
"5",1,"@Darlia bite the Apple would be good"
"6",1,"@wrongdejavu I saw drenge last year it was intense
Ben should have a good time"
"7",0,"RT @PunKandStuff: London, 1980.
by Nick Rogers http://t.co/Fb8G8Bq1lA"
"8",0,"YOU CAN'T STAND ME NOW"
"9",0,"@PEACE4EVEREVER new album possibilities http://t.co/eSjzcO6xx6"
"10",2,"Another cool photo of my favorite bridge: #goldengate #goldengatebridge #sanfrancisco #califonia #travel #travelp... http://t.co/NduOdDdh7c"
"11",0,"Califonia Chrome!!!!!!! http://t.co/1AzLQ22Mz8"
"12",0,"Angels//the xx"
"13",1,"RT @chantsareonfire: @Darlia the fact that you wrote all these amazing songs so young makes me feel so pressured you don't understand"
"14",0,"@Darlia plotting world domination http://t.co/l65TgO8fiM"
"15",0,"RT @Darlia: E p i s o d e 1: Long Way Down.

http://t.co/JNkhHaNIUV"
"16",1,"@Darlia this better make it to that acoustic set in Bristol :)"
"17",1,"DJ HURRICANE P - HURRICANE CALIFONIA is ready to download now"
"18",0,"@Darlia I hope this is your remake of big brother"
"19",0,"I'm starting to think that I'm a girl is about me XD"
"20",0,"RT @Darlia: we sat in our living room and we pressed play on the webcam, what followed will be online tonight"
"21",2,"@StxrsAreAligned that's my favourite venue as well 
V tempting"
"22",0,"RT @asdfghcat: Selfish people live longer"
"23",0,"@StxrsAreAligned where are they playing"
"24",0,"@califonia_daze I'm not sure actually, were they Â£10 on the kerrang website?"
"25",0,"@KutlwanoNeFiE Dololo! His ass moved to Califonia"
"26",0,"CALIFONIA PRO T 750 INLINE SKATES / SIZE 25.0 / U.S. SIZE 7 TO 7.5 WOMENÃ¢ÂÂS http://t.co/yQyFpqnXtD http://t.co/GNARdMwOEt"
"27",-1,"king crooked long beach califonia"
"28",0,"@_StylesftIrwiin so where are you from ?Im from Califonia"
"29",0,"RT @SurfCityWriter: The faces of some of Califonia's civil rights leaders. Story at https://t.co/cSmPcUFG5M #HistoricWintersburg #MLKDay htâ¦"
"30",1,"Jammin out to @ChiliPeppers - Dani Califonia- I love the drums in this song"
"31",0,"Love to see you LEAVE babe í ½í¸í ½í¸ @ Santa Rosa Califonia http://t.co/nheCnHSGc4"
"32",0,"The faces of some of Califonia's civil rights leaders. Story at https://t.co/cSmPcUFG5M #HistoricWintersburg #MLKDay http://t.co/I7vSW8dXy0"
"33",-2,"Fuck Seattle and the PNW. Can't wait for Califonia's fault line to ruin your way of life."
"34",0,"We can see you! #sandpipers at the beach. #mosslanding #califonia #MontereyBay http://t.co/FQZ26e3966"
"35",-1,"I am the son and the heir, of a shyness that is criminally vulgar"
"36",0,"@Ccfp2014: Beach Walk in Pismo, Califonia http://t.co/wVFQQZyDU6"
"37",0,"Beach Walk in Pismo, Califonia http://t.co/tWNWi7AzYG"
"38",-1,"My friends are making me play alien isolation and im terrified :'("
"39",0,"RT @Gunnar56: Here we can talk about high sticks! A picture from Califonia Golden Seals-Buffalo Sabres, beginning of the 70ths. http://t.coâ¦"
"40",1,"The trailer is so good I want to cry
I'VE NEVER BEEN TO OHIOOOO
https://t.co/ADQMVlL3kN"
"41",0,"@Darlia what's going on whys it private!"
"42",0,"RT @Darlia: These waves are familiar, but what we had was endless. https://t.co/28UiQRvKmT"
"43",0,"2 minutes late"
"44",0,"I'm really looking forward to this darlia announcement"
"45",0,"Here we can talk about high sticks! A picture from Califonia Golden Seals-Buffalo Sabres, beginning of the 70ths. http://t.co/jQ0hS9lrTx"
"46",0,"@caitlanbc1 @QueenOfDarlia @Darlia where can I get this I looked online but they were about Â£10"
"47",1,"Califonia you were beautiful, I'll have to come back for ya âï¸í ¼í¼í ½í°"
"48",0,"She's got everything he wants, she's got everything he needs"
"49",0,"Romantic type//pigeon detectives"
"50",0,"RT @iantdonley: Seascape painting http://t.co/dDwb9Y0wf2"
"51",1,"I love my twin @love_twin03 í ½í¸ @ Los Angeles Califonia http://t.co/xZRaW0nZ88"
"52",0,"Volkswagen : Thing 4 dr One Family Since New!! Califonia Raised!! http://t.co/6UcVaAMNDp http://t.co/FDgDEzsBCF"
"53",0,"MONEY POWER: Adele Â£5.2m mansion on the oceanfront in Califonia http://t.co/68CTMnrYgh"
"54",0,"MONEY  POWER: Adele Â£5.2m mansion on the oceanfront in Califonia: The Rolling In The Deep singer has made an o... http://t.co/PTBrCw1Ywd"
"55",0,"MONEY  POWER: Adele Â£5.2m mansion on the oceanfront in Califonia: The Rolling In The Deep singer has made an o... http://t.co/em9k0QKlE2"
"56",0,"MONEY  POWER: Adele Â£5.2m mansion on the oceanfront in Califonia http://t.co/bkEjH5Idrj"
"57",0,"MONEY POWER: Adele Â£5.2m mansion on the oceanfront in Califonia http://t.co/rVV30pUiV9"
"58",0,"MONEY POWER: Adele Â£5.2m mansion on the oceanfront in Califonia http://t.co/bDvZxY7dnn http://t.co/2zya3cPUXe"
"59",1,"Califonia love."
