"","ti","age","id","au","ve","nC","nP","nR","at","msg","path"
"1",2015-01-19 16:05:06,0.581266468382544,"z13jjdigyqmlhfmcr23ghtbphuagvrbrz04","117636971739598173664","post",0,2,0,"photo","#Dhoni Movie Working  Still #Tollywood    #Kollywood  ﻿","https://plus.google.com/117636971739598173664"
"2",2015-01-19 15:11:54,0.618214266010457,"z12wjjhovqiktdsf122uzlyhzkqkfdclk","113568679753382973596","post",0,0,0,"article","Triangular series: Time to test all-round skills of Stuart Binny ahead of ICC World Cup  - http://goo.gl/NzpJbL New Delhi: Many cricket pundits raised eyebrows when all-rounder Stuart Binny was picked in the list of 15-member Indian squad for the ICC World Cup 2015, in Australia and New Zealand.As the batting all-rounder has been picked over the big names like Yuvraj Singh and Robin Uthappa,...  - #Australia, #Dhoni, #England, #ICC, #India, #Indian, #StuartBinny, #WorldCup, #ZeeMedia, #ZeeMediaBureau #Sports﻿","https://plus.google.com/113568679753382973596"
"3",2015-01-19 13:27:20,0.690825867605982,"z12fc5251pjfuhvqn04cffybtry2u1h52a0","113568679753382973596","post",0,0,0,"article","Is it right to change Virat Kohli&amp;#039;s batting position ahead of World Cup 2015?  - http://goo.gl/p9ZpVr New Delhi: The mainstay of Indian batting line-up - Virat Kohli - sacrificed his one-down position for Ajinkya Rahane during India&#39;s opening match of the triangular series against home team Australia at Melbourne Cricket Ground, as the former played at number four.Kohli, who has been...  - #Australia, #Dhoni, #India, #MS, #MSDhoni, #ViratKohli, #WorldCup, #WorldCup2015, #ZeeMedia, #ZeeMediaBureau #Sports﻿","https://plus.google.com/113568679753382973596"
"4",2015-01-19 10:46:31,0.802504926050703,"z12ec1qwmvnxfhhea22wxpzrxnf5evt1u","107417132035811835892","post",0,1,0,"article","Actor #SushantSinghRajput, who will be seen in the title role in &quot;MS #Dhoni - The Untold Story&quot;, is excited about the film’s release in October.﻿","https://plus.google.com/107417132035811835892"
"5",2015-01-19 10:21:16,0.820037574072679,"z12nern5hpqqvl4ee22osn45fxj3hzb3t","113941856780342883496","post",0,0,0,"article","Showbiz: #MSDhoni biopic release date confirmed: http://ow.ly/Hy0li #Dhoni﻿","https://plus.google.com/113941856780342883496"
"6",2015-01-19 09:30:54,0.855017164029457,"z132x3sqsyirxpfz404cgfj4gmiavj5pw4s","111446795864124437665","post",0,0,0,"photo","कार्ल्टन मिड ट्राई सीरीज़ के पहले मैच में हार के बाद बोलर्स पर खूब बरसे धोनी | क्लिक करके पढ़ें पूरा माजरा: http://khabar.ndtv.com/news/cricket/captain-ms-dhoni-criticises-bowlers-for-one-day-loss-729211 #Dhoni  ﻿","https://plus.google.com/111446795864124437665"
"7",2015-01-19 07:47:53,0.926561439801697,"z121thjphk23hpdy404cffybtry2u1h52a0","113568679753382973596","post",0,0,0,"article","India look for fresh start, take on England in tri-series game  - http://goo.gl/OxGDF6 Brisbane: Jolted by the opening loss to Australia, india would look to plug the bowling loopholes and ensure a stronger batting display when they take on England in their second ODI tri-series cricket match here on Tuesday.In Brisbane, both sides will be looking to register their...  - #AjinkyaRahane, #Australia, #Brisbane, #Dhoni, #England, #EoinMorgan, #India, #Indian, #ODI, #ViratKohli #Sports﻿","https://plus.google.com/113568679753382973596"
"8",2015-01-18 18:44:49,1.47035566920208,"z13vthspfsnhhjrct23ccxwpvmaujtwgd04","116978186090196328853","post",0,5,0,"photo","Dhoni cruise at Niyama Resort..soothing isn&#39;t it? :)  #Maldives  #Resort  #Beach  #Dhoni  #Waves  ﻿","https://plus.google.com/116978186090196328853"
"9",2015-01-18 14:32:33,1.64553719362175,"z12bsrshcluyinb5a04cffybtry2u1h52a0","113568679753382973596","post",0,0,0,"article","Rohit Sharma knows how to build an innings after good start: MS Dhoni  - https://www.punjabupdate.com/rohit-sharma-knows-how-to-build-an-innings-after-good-start-ms-dhoni-2/ Melbourne: Indian skipper Mahendra Singh Dhoni praised Rohit Sharma, who has been in good form in the ODI cricket for the past two years, terming him as someone, who now knows the art of &quot;building on good starts&quot;.&quot;If I see the performance in ODIs in the last one and a half years,...  - #BhuvneshwarKumar, #Dhoni, #Indian, #MahendraSinghDhoni, #MelbourneIndian, #MS, #MSDhoni, #ODI, #RavindraJadeja, #RohitSharma #Sports﻿","https://plus.google.com/113568679753382973596"
"10",2015-01-18 14:31:07,1.64653680175819,"z130tbuo5zr3thqyc04cffybtry2u1h52a0","113568679753382973596","post",0,0,0,"article","ODI tri-series: MS Dhoni attributes lacklustre new ball bowling for India&amp;#039;s loss  - https://www.punjabupdate.com/odi-tri-series-ms-dhoni-attributes-lacklustre-new-ball-bowling-for-indias-loss-2/ Melbourne: Indian captain Mahendra Singh on Sunday conceded that his side lost the plot in the early overs with new ball bowlers failing to make a mark in their tense four-wicket loss against Australia in their cricket tri-series match here.&quot;It was a good match overall and Mitchell...  - #Australia, #Captain, #Dhoni, #India, #MitchellStarc, #MS, #MSDhoni, #ODI, #StevenSmith #Sports﻿","https://plus.google.com/113568679753382973596"
"11",2015-01-18 14:27:46,1.64885596274502,"z125yh3ootypgf3ko22uzlyhzkqkfdclk","113568679753382973596","post",0,0,0,"article","Rohit Sharma knows how to build an innings after good start: MS Dhoni  - http://goo.gl/a6qmjC Melbourne: Indian skipper Mahendra Singh Dhoni praised Rohit Sharma, who has been in good form in the ODI cricket for the past two years, terming him as someone, who now knows the art of &quot;building on good starts&quot;.&quot;If I see the performance in ODIs in the last one and a half years,...  - #BhuvneshwarKumar, #Dhoni, #Indian, #MahendraSinghDhoni, #MelbourneIndian, #MS, #MSDhoni, #ODI, #RavindraJadeja, #RohitSharma #Sports﻿","https://plus.google.com/113568679753382973596"
"12",2015-01-18 14:26:23,1.6498174351509,"z12viprjamfjttwg304cffybtry2u1h52a0","113568679753382973596","post",0,0,0,"article","ODI tri-series: MS Dhoni attributes lacklustre new ball bowling for India&amp;#039;s loss  - http://goo.gl/OBQCtY Melbourne: Indian captain Mahendra Singh on Sunday conceded that his side lost the plot in the early overs with new ball bowlers failing to make a mark in their tense four-wicket loss against Australia in their cricket tri-series match here.&quot;It was a good match overall and Mitchell...  - #Australia, #Captain, #Dhoni, #India, #MitchellStarc, #MS, #MSDhoni, #ODI, #StevenSmith #Sports﻿","https://plus.google.com/113568679753382973596"
"13",2015-01-18 14:21:17,1.65336026206337,"z12dzduzezbkx5jty22ri3oh4kytztbgg04","114452413023438161498","post",0,0,0,"photo","#Dhoni went out to bat in Power play and Finished with 19(31) in Melbourne. .. Another one in Johannesburg Played 13 more deliveries and The scoreboard says: 149(44) - [9x4, 16x6] A world Record 100 in 59 mins !! #Fact ﻿","https://plus.google.com/114452413023438161498"
"14",2015-01-18 14:01:42,1.6669596034178,"z12ldnyyron4t3tcg22qut3rbp2eepjj304","112905942257549985002","post",0,0,0,"article","#fb #Dhoni  went out to bat in Power play and Finished with 19(31) in Melbourne. ..... http://ow.ly/2TxcPP﻿","https://plus.google.com/112905942257549985002"
"15",2015-01-18 12:40:55,1.72305696505639,"z124zd4wwnnatvruc22uzlyhzkqkfdclk","113568679753382973596","post",0,0,0,"article","ODI tri-series: Rohit Sharma&amp;#039;s century goes in vain as Australia beat India in second match  - http://goo.gl/mTMiA5 Melbourne: Rohit Sharma&#39;s rollicking century went in vain as Australia survived a few anxious moments before pulling off a tense four-wicket win over india in a cricket Tri-series ODI match, here on Sunday.AS IT HAPPENEDAfter opener Aaron Finch&#39;s confident 96-run knock, Australia...  - #Australia, #Captain, #DavidWarner, #Dhoni, #GlennMaxwell, #India, #Indian, #ODI, #RohitSharma #Sports﻿","https://plus.google.com/113568679753382973596"
"16",2015-01-17 20:30:06,2.39724107480435,"z13ltxliewjpcr1rg04cgb1z5lf5evrgzwg0k","104238088580971796685","post",0,0,0,"article","Watch India vs Australia Live ODI match Tomorrow live at :-  http://www.bkbenchers.com/watch-india-vs-australia-live-stream-match/ …#INDvsAUS #AusvsInd #India #Australia #Kohli #Dhoni﻿","https://plus.google.com/104238088580971796685"
"17",2015-01-17 12:24:10,2.7346898577721,"z12dcxqjmtrnfbguf22pvbnqflbvwnmuz","100168858183958651438","post",0,1,0,"article","Ignoring persistent queries on his shock Test retirement, Indian ODI captain Mahendra Singh...#eprahaar #dhoni #ICCWorldCup #ODI﻿","https://plus.google.com/100168858183958651438"
"18",2015-01-17 11:12:42,2.78431973023823,"z12ktjnpsmncs3j4w04cftl42uzewn44sck","116047787529474237977","share",0,2,0,"album","Book luxury Dhoni Suites for idyllic a romantic getaway. The Dhoni Suites are built in the shape of traditional Maldivian Dhoni sail boats and are an amazing sight lining the jetty.For more details visit: http://goo.gl/oi4myN#Dhoni  #Suites   #romantic   #getaway   #sail   #boats   #resorts﻿","https://plus.google.com/116047787529474237977"
"19",2015-01-17 10:14:26,2.82478843733116,"z12wv5vw0p3isdj1q22pvbnqflbvwnmuz","100168858183958651438","post",0,0,0,"article","Ignoring persistent queries on his shock Test retirement, Indian ODI captain Mahendra Singh...#eprahaar #dhoni #ICCWorldCup #ODI﻿","https://plus.google.com/100168858183958651438"
"20",2015-01-17 10:03:45,2.83221013623807,"z12punqy3u2dw1lsx223thoh2znduvp31","107148038087388622405","share",0,0,0,"article","&quot;Irrespective of all the debate, the best seam allrounder in India has been picked,&quot; MS Dhoni said about Stuart Binny&#39;s inclusion in the World Cup squad.#StuartBinny #Dhoni #CWC15﻿","https://plus.google.com/107148038087388622405"
"21",2015-01-17 09:05:53,2.8723940151378,"z13fjvhozuqgtfoux22uzlyhzkqkfdclk","113568679753382973596","post",0,0,0,"article","MS Dhoni stays mum on Test retirement, focussed on tri-series  - http://goo.gl/tNRhNH Melbourne: Ignoring persistent queries on his shock Test retirement, Indian ODI captain Mahendra Singh Dhoni today sought to focus on the ongoing cricket tri-series against Australia and England, saying that his team would look to try different combinations keeping in mind next...  - #Australia, #Dhoni, #England, #India, #Indian, #MS, #MSDhoni, #ODI, #RavindraJadeja, #WorldCup #Sports﻿","https://plus.google.com/113568679753382973596"
"22",2015-01-17 07:58:19,2.91931550013522,"z12agxfablfcj1mft22az52ohljcd5crm04","111378663671814920979","post",1,0,0,"article","&quot;Irrespective of all the debate, the best seam allrounder in India has been picked,&quot; MS Dhoni said about Stuart Binny&#39;s inclusion in the World Cup squad.#StuartBinny #Dhoni #CWC15﻿","https://plus.google.com/111378663671814920979"
"23",2015-01-17 07:58:18,2.91932833465437,"z13ujxkbxszadzwaz04cejfrnw32gn0ha4o","100139400514308212797","post",0,3,1,"article","&quot;Irrespective of all the debate, the best seam allrounder in India has been picked,&quot; MS Dhoni said about Stuart Binny&#39;s inclusion in the World Cup squad.#StuartBinny #Dhoni #CWC15﻿","https://plus.google.com/100139400514308212797"
"24",2015-01-17 07:20:55,2.9452881405475,"z13ohf4ioqbqj1ksh22uzlyhzkqkfdclk","113568679753382973596","post",0,0,0,"article","Ishant Sharma, Ravindra Jadeja unavailable for opening ODI, says MS Dhoni  - http://goo.gl/SRElbJ Melbourne: Indian captain Mahendra Singh Dhoni Saturday said pacer Ishant Sharma and all-rounder Ravindra Jadeja are not fit for the team&#39;s opening game in the ODI tri-series against Australia at the Melbourne Cricket Ground (MCG) here Sunday.Dhoni said the tri-nation series against...  - #Australia, #Dhoni, #IndiaWorldCup, #IshantSharma, #MCG, #MS, #MSDhoni, #ODI, #RavindraJadeja, #WorldCup #Sports﻿","https://plus.google.com/113568679753382973596"
"25",2015-01-16 13:32:46,3.68705351705352,"z13fvdqpulbzuz5gr04cddrr5pq0xjfopcw","105884290016082567380","post",0,1,0,"photo","#Dhoni at #Sunset #maldives﻿","https://plus.google.com/105884290016082567380"
"26",2015-01-16 11:20:57,3.77860135328439,"z13xhtbj5offixbqk04cffybtry2u1h52a0","113568679753382973596","post",0,0,0,"article","MS Dhoni in focus as India return to ODI grind  - http://goo.gl/VY9KaD Melbourne: After a fielding-only drill, the Indian cricket team returned to the grind on Friday with an intense net session here, continuing their build-up towards the ODI-leg of their Australian tour.The Men in Blue will take on the hosts in their first match of the tri-series...  - #AjinkyaRahane, #Dhoni, #DuncanFletcher, #India, #Indian, #IshantSharma, #MS, #MSDhoni, #ODI, #Strike #Sports﻿","https://plus.google.com/113568679753382973596"
"27",2015-01-16 09:19:03,3.8632454538842,"z12kxbqbupyfzdyo104cebc4vouuztjixbg","109975176713628371298","post",0,0,0,"article","#CWC2015 #CWC #CWC15 #WC2015 #WorldCup #CricketWorldCup #CricketWorldCup2015 #Indvspak #PakvsInd #india #pakistan #iccworldcup2015 #cricket #cricketnews #mahendra #dhoni #shahidafridi #adelaideoval #adelaide #Cricket #ICC #WorldCup #TeamIndia #ICCCricketWorldCup2015 #MSDinWhites #India #TeamJesus #ICCcricketworldcup #WorldCup2015 #ODI #Cricketer #icccricketworldcup2015  #icccricketworldcup   #icccwc15 #iccworldcup2015  #icccricket   #cwc15   #cwc2015   #cwc #CWCTEAMS #cwc15 #cwc2015 #cwc﻿","https://plus.google.com/109975176713628371298"
"28",2015-01-16 09:02:34,3.8746963211011,"z122ifxhjknbf1yww04cdndwly3kwtoatxc0k","112253081268647307145","post",0,0,0,"video","#CWC2015 #CWC #CWC15 #WC2015 #WorldCup #CricketWorldCup #CricketWorldCup2015 #Indvspak #PakvsInd #india #pakistan #iccworldcup2015 #cricket #cricketnews #mahendra #dhoni #shahidafridi #adelaideoval #adelaide #Cricket #ICC #WorldCup #TeamIndia #ICCCricketWorldCup2015 #MSDinWhites #India #TeamJesus #ICCcricketworldcup #WorldCup2015 #ODI #Cricketer #icccricketworldcup2015  #icccricketworldcup   #icccwc15 #iccworldcup2015  #icccricket   #cwc15   #cwc2015   #cwc #CWCTEAMS #cwc15 #cwc2015 #cwc﻿","https://plus.google.com/112253081268647307145"
"29",2015-01-16 09:01:15,3.87560637297454,"z12ht5hh5zyog54uq23yybghalb5grngh04","106894963194779075721","post",0,0,0,"video","#CWC2015 #CWC #CWC15 #WC2015 #WorldCup #CricketWorldCup #CricketWorldCup2015 #Indvspak #PakvsInd #india #pakistan #iccworldcup2015 #cricket #cricketnews #mahendra #dhoni #shahidafridi #adelaideoval #adelaide #Cricket #ICC #WorldCup #TeamIndia #ICCCricketWorldCup2015 #MSDinWhites #India #TeamJesus #ICCcricketworldcup #WorldCup2015 #ODI #Cricketer #icccricketworldcup2015  #icccricketworldcup   #icccwc15 #iccworldcup2015  #icccricket   #cwc15   #cwc2015   #cwc #CWCTEAMS #cwc15 #cwc2015 #cwc﻿","https://plus.google.com/106894963194779075721"
"30",2015-01-16 09:00:37,3.87605217764223,"z12gjvlbqlj2drz5z04cjfdy0vzixjqi3hg","116203963377885471805","post",0,0,0,"video","#CWC2015 #CWC #CWC15 #WC2015 #WorldCup #CricketWorldCup #CricketWorldCup2015 #Indvspak #PakvsInd #india #pakistan #iccworldcup2015 #cricket #cricketnews #mahendra #dhoni #shahidafridi #adelaideoval #adelaide #Cricket #ICC #WorldCup #TeamIndia #ICCCricketWorldCup2015 #MSDinWhites #India #TeamJesus #ICCcricketworldcup #WorldCup2015 #ODI #Cricketer #icccricketworldcup2015  #icccricketworldcup   #icccwc15 #iccworldcup2015  #icccricket   #cwc15   #cwc2015   #cwc #CWCTEAMS #cwc15 #cwc2015 #cwc﻿","https://plus.google.com/116203963377885471805"
"31",2015-01-16 08:55:45,3.87942476395656,"z13vzrbgrm2fyz2jx04cczp4uwrixlezpd0","117283565733135767219","post",0,0,0,"video","#CWC2015 #CWC #CWC15 #WC2015 #WorldCup #CricketWorldCup #CricketWorldCup2015 #Indvspak #PakvsInd #india #pakistan #iccworldcup2015 #cricket #cricketnews #mahendra #dhoni #shahidafridi #adelaideoval #adelaide #Cricket #ICC #WorldCup #TeamIndia #ICCCricketWorldCup2015 #MSDinWhites #India #TeamJesus #ICCcricketworldcup #WorldCup2015 #ODI #Cricketer #icccricketworldcup2015  #icccricketworldcup   #icccwc15 #iccworldcup2015  #icccricket   #cwc15   #cwc2015   #cwc #CWCTEAMS #cwc15 #cwc2015 #cwc﻿","https://plus.google.com/117283565733135767219"
"32",2015-01-16 08:52:48,3.88148060633077,"z12ydxirbovquv5oa04cdplz1xeix345hmw0k","105274315351887044817","post",0,0,0,"video","#CWC2015 #CWC #CWC15 #WC2015 #WorldCup #CricketWorldCup #CricketWorldCup2015 #Indvspak #PakvsInd #india #pakistan #iccworldcup2015 #cricket #cricketnews #mahendra #dhoni #shahidafridi #adelaideoval #adelaide #Cricket #ICC #WorldCup #TeamIndia #ICCCricketWorldCup2015 #MSDinWhites #India #TeamJesus #ICCcricketworldcup #WorldCup2015 #ODI #Cricketer #icccricketworldcup2015  #icccricketworldcup   #icccwc15 #iccworldcup2015  #icccricket   #cwc15   #cwc2015   #cwc #CWCTEAMS #cwc15 #cwc2015 #cwc﻿","https://plus.google.com/105274315351887044817"
