"","score","text","path"
"17",-1,"RT @cricbuzz: Anderson puts down a return catch off Dhoni in the batting powerplay. How costly is that going to be? India 136/5 in 35.1 #ENâ¦","https://twitter.com/ICCW_Cup_2015"
"31",-1,"RT @ECB_cricket: WICKET!! Another wicket for Finn &amp; captain Dhoni (34) departs. Buttler's fifth dismissal behind the stumps. #Ind 137-6  #Eâ¦","https://twitter.com/SportDailyNews_"
"35",-1,"RT @ECB_cricket: WICKET!! Another wicket for Finn &amp; captain Dhoni (34) departs. Buttler's fifth dismissal behind the stumps. #Ind 137-6  #Eâ¦","https://twitter.com/veenag77"
"36",-1,"RT @Aps_89: Ms dhoni's form is huge concern for us í ½í¸í ½í¸ª","https://twitter.com/SuryanSiva"
"48",-1,"ODI Tri-series India vs England Live: Dhoni, Binny rebuild after collapse - Firstpostâ¦ http://t.co/40emCCuneN","https://twitter.com/choeku_jack"
"54",-1,"#ENGVSIND Starting trouble for Axar Down Under. Second successive duck. 
http://t.co/ibRdZpEPyY","https://twitter.com/HTSportsNews"
"68",-1,"RT @ECB_cricket: WICKET!! Another wicket for Finn &amp; captain Dhoni (34) departs. Buttler's fifth dismissal behind the stumps. #Ind 137-6  #Eâ¦","https://twitter.com/UKIPFan1"
"78",-1,"RT @ECB_cricket: WICKET!! Another wicket for Finn &amp; captain Dhoni (34) departs. Buttler's fifth dismissal behind the stumps. #Ind 137-6  #Eâ¦","https://twitter.com/zirelhomz"
"83",-1,"Like dhoni says not bothered about this triseries process to WC is all that matters #ENGvIND","https://twitter.com/an_usa_bar"
"95",-1,"Shaabash Dhoni, you suck big time.  #INDvsENG","https://twitter.com/ashishuk38"
"103",-1,"""Please don't blame me.. what I have observed is whenever Dhoni is dropped, he does NOT score more than 10 runs after that! :("" #ENGvIND","https://twitter.com/NextToSRK"
"104",-1,"Dhoni is playing too slow these days. And when the team needs him most he gets out. same thing happened in last match.","https://twitter.com/iamshubhSRK"
"136",-1,"The way its going Dhoni's retirement from 1 dayers will be as ignominious as tests"" - Viru, Gauti, Bhajji &amp; Yuvi","https://twitter.com/Saffrovaticide"
"179",-1,"RT @CricketNDTV: #EngvsInd 3rd ODI: WICKET! India lose MS Dhoni as Finn takes his fourth scalp. India 137/6 (36.1) http://t.co/FMNnYoH21P","https://twitter.com/Mogli_S"
"183",-2,"#ENGVSIND From bad to worse. Axar goes for 0. Finn strikes again to claim 5. Score 137/7          
http://t.co/ibRdZpEPyY","https://twitter.com/HTSportsNews"
"186",-2,"Axar cuts a sorry figure while batting. Dhoni is going to miss Yuvi's big match temperament.","https://twitter.com/PendsePushkar"
"199",-1,"RT @cricbuzz: Anderson puts down a return catch off Dhoni in the batting powerplay. How costly is that going to be? India 136/5 in 35.1 #ENâ¦","https://twitter.com/GAbhi380"
"204",-1,"Its not clicking for Dhoni in the past few weeks!
Another failure for him!
#TriSeries","https://twitter.com/kannandiraviam"
"211",-1,"After that last over heroics in West Indies, Dhoni hasn't finished a single match and averages 32. His powers have been waning since then","https://twitter.com/SIR_Fan1"
"221",-1,"""Please don't blame me.. what 
I have observed is when ever Dhoni is 
dropped, he does NOT score more 
than 10... http://t.co/GzBSi5aYKl","https://twitter.com/yuvraj5553"
"231",-1,"ODI Tri-series India vs England Live: Dhoni, Binny rebuild after collapse - Firstpost: FirstpostODI Tri-series... http://t.co/PNIoxQxvCO","https://twitter.com/harishvenkate"
"233",-1,"ODI Tri-series India vs England Live: Dhoni, Binny rebuild after collapse - Firstpost: FirstpostODI Tri-series... http://t.co/tNfkdLFp1O","https://twitter.com/kalyanramroop"
"236",-1,"Q : What you do before getting out?

Dhoni: I will defend max. balls and finally I will misuse the power play.

OHHH. .Great #INDvsENG","https://twitter.com/deepakposa"
"237",-1,"ODI Tri-series India vs England Live: Dhoni, Binny rebuild after collapse - Firstpost: FirstpostODI Tri-series... http://t.co/xA2htFT6TG","https://twitter.com/premalvarma"
"238",-1,"ODI Tri-series India vs England Live: Dhoni, Binny rebuild after collapse - Firstpost: FirstpostODI Tri-series... http://t.co/F7MtbU4Fh3","https://twitter.com/vishvadewan"
"244",-1,"Has Dhoni lost it even in odi's. Just not able to convert starts..is he saturated with lot if cricket#Dhoni #TriSeries","https://twitter.com/sunil001_iyer"
"247",-1,"#EngvsInd 3rd ODI: WICKET! India lose MS Dhoni as Finn takes his fourth scalp. India 137/6 (36.1) http://t.co/FMNnYoH21P","https://twitter.com/CricketNDTV"
"248",-1,"Dhoni gone India lose their 6th wicket","https://twitter.com/BeingNajaf"
"254",-1,"Dhoni out.................. the poor form continues for dhoni also. I think dhoni is preparing for  the world cup ha ha ha.......#INDvsENG","https://twitter.com/Kuttyram91"
"266",-2,"LIVE: India v/s England ODI, Tri-series, Brisbane: MS #Dhoni falls as slog overs approach http://t.co/QUtIQcLcTk","https://twitter.com/dna"
"267",-1,"A true #captainsinnings by Dhoni , #slowclap #useless","https://twitter.com/Karanzzzshh"
"271",-1,"RT @ECB_cricket: WICKET!! Another wicket for Finn &amp; captain Dhoni (34) departs. Buttler's fifth dismissal behind the stumps. #Ind 137-6  #Eâ¦","https://twitter.com/pinkfireice84"
"282",-1,"â@ThatCricketBrat: When all chips are down, Mahendra Singh Dhoni chips in í ½í¸â piyush's curse :(","https://twitter.com/imGkhosla"
"292",-1,"RT @ECB_cricket: WICKET!! Another wicket for Finn &amp; captain Dhoni (34) departs. Buttler's fifth dismissal behind the stumps. #Ind 137-6  #Eâ¦","https://twitter.com/Nirajan_Dahal"
"295",-1,"Please don't blame me.. what I have observed is whenever Dhoni is dropped, he does NOT score more than 10 runs after that","https://twitter.com/SirBinny"
"298",-1,"India lose the 6th wicket !!!
               DHONI gone for 34(59)","https://twitter.com/TeamIndia24"
"303",-1,"RT @ECB_cricket: WICKET!! Another wicket for Finn &amp; captain Dhoni (34) departs. Buttler's fifth dismissal behind the stumps. #Ind 137-6  #Eâ¦","https://twitter.com/EvilSays"
"310",-1,"#TriSeries | Another wicket lost, Dhoni (34); #India 137/6 in 36.1 overs  #INDvsENG http://t.co/kAyv6mcTb8","https://twitter.com/FocusNewsIndia"
"313",-3,"Dhoni fails to convert another slow start. INDIA looking very mediocre at the moment. Wouldnt call them contenders#WC2015","https://twitter.com/naikarpit86"
"316",-1,"RT @ECB_cricket: WICKET!! Another wicket for Finn &amp; captain Dhoni (34) departs. Buttler's fifth dismissal behind the stumps. #Ind 137-6  #Eâ¦","https://twitter.com/BihariBritish"
"321",-1,"Four for Finn as Dhoni departs for 34! A slightly slower one from Finn top-edged through to Buttler. Big wicket for @ECB_cricket.137-6","https://twitter.com/bbctms"
"323",-1,"RT @ECB_cricket: WICKET!! Another wicket for Finn &amp; captain Dhoni (34) departs. Buttler's fifth dismissal behind the stumps. #Ind 137-6  #Eâ¦","https://twitter.com/GarryDParker"
"325",-1,"Dhoni is useless now..Unless he bats higher up, he shouldn't be in the team","https://twitter.com/Bact_man"
"331",-1,"RT @ECB_cricket: WICKET!! Another wicket for Finn &amp; captain Dhoni (34) departs. Buttler's fifth dismissal behind the stumps. #Ind 137-6  #Eâ¦","https://twitter.com/djeterg19"
"336",-1,"RT @denzilmartin05: Jimmy drop didn't prove costly. Dhoni gone. Finn on fire. Whole different level bowler when there is bounce","https://twitter.com/SuryanSiva"
"340",-1,"Oh shit! #Dhoni #INDvsENG","https://twitter.com/AratiRaval"
"356",-1,"36.1 Finn to Dhoni, OUT, gets his man! Finn has four now. Dhoni couldn't add on
after that chance. It's a slower... http://t.co/43HPq8kqOW","https://twitter.com/yuvraj5553"
"359",-1,"WICKET!! Another wicket for Finn &amp; captain Dhoni (34) departs. Buttler's fifth dismissal behind the stumps. #Ind 137-6  #EngvInd #triseries","https://twitter.com/ECB_cricket"
"362",-1,"Dear Dhoni
Couldn't you stay for at least 45 over?! India is doomed now!

Sincerely
A Depressed fan","https://twitter.com/AnimeshKherwar"
"369",-2,"dhoni gone trapped by finn now india in trouble","https://twitter.com/Alinazirbutt"
"381",-1,"Ms dhoni's form is huge concern for us í ½í¸í ½í¸ª","https://twitter.com/Aps_89"
"385",-1,"Rubbish batting from India. Giving away wickets so cheaply! Dhoni departs.","https://twitter.com/joel_dcruz28"
"403",-1,"OH YES Finnn. Dhoni looked absolutely clueless in the power play and he has finally perished.","https://twitter.com/Cric_Liebhabe"
"405",-1,"Should get 250 minimum. With dhoni gone seems difficult now #ENGvIND","https://twitter.com/an_usa_bar"
"407",-1,"Dhoni disappointed me :(
@msdhoni po ya","https://twitter.com/RNitheez"
"411",-1,"Jimmy drop didn't prove costly. Dhoni gone. Finn on fire. Whole different level bowler when there is bounce","https://twitter.com/denzilmartin05"
"419",-1,"Anderson puts down a return catch off Dhoni in the batting powerplay. How costly is that going to be? India 136/5 in 35.1 #ENGvIND","https://twitter.com/ICC_Crictv"
"449",-1,"RT @cricbuzz: Anderson puts down a return catch off Dhoni in the batting powerplay. How costly is that going to be? India 136/5 in 35.1 #ENâ¦","https://twitter.com/Dobie_M"
