"","score","text","path"
"2",1,"RT @aussiegal_19: @Nirmalogy looks like your dhoni is getting ton lol he is on 25* 75 more to go í ½í¸","https://twitter.com/Nirmalogy"
"3",3,"RT @amancard431: Looks like India is trying to get to 7th Spot in ICC ODI ranking as well ..After all 7 is lucky number for Dhoni !! #INDvsâ¦","https://twitter.com/CWCWatch"
"4",3,"Looks like India is trying to get to 7th Spot in ICC ODI ranking as well ..After all 7 is lucky number for Dhoni !! #INDvsENG #cwc15","https://twitter.com/amancard431"
"7",1,"Wen wil dhoni take responsibility by scoring runs!In post match presentation dhoni wil say no consistency frm top orders nu!Whether he has??","https://twitter.com/dinesh_actor"
"8",1,"Dhoni is a like a large cap. Even if the overall scenario is down, his presence keeps the scoreboard up and ticking. #INDvsENG","https://twitter.com/OTAMumbai"
"9",1,"@uqbar2 @guerillacricket Dhoni means ""Cleaned up"" &amp; Ashwin means ""will not win"" &amp; Shami means ""mincemeat""...","https://twitter.com/NitinBajaj"
"10",1,"RT @_hafees: Omg!! Whatte prediction. I respect you sir í ½í¸ ""@imGkhosla: Dhoni will score 34 today""","https://twitter.com/JenLuvsIsrael"
"16",1,"RT @lionsdenkxip: Brisbane ODI: India 137/5 (36 overs) after winning the toss.

Dhoni 34*, Binny 37*; Finn 4/20.

RT if you want India to wâ¦","https://twitter.com/imyvs"
"18",1,"RT @BBCSport: India's MS Dhoni is leading the charge for his side. They are 137-5 after 36 overs. Live text: http://t.co/HZrRAAxIDJ http://â¦","https://twitter.com/brovkokiril25"
"21",1,"#Dhoni is playing the same role which Greg Chappel played for 2007 WC Team.
This team isn't capable of WC Semis
#INDvsENG 
#BringBackSeniors","https://twitter.com/pawan_soni91"
"22",1,"it looked like Dhoni would save India but now in dire jeapordy looks like we need YUVI back only he can save India #indvseng","https://twitter.com/hawsisharma"
"25",1,"RT @ESPNscorecard: WICKET: India 137/6 (36.1/50 ov, won the toss) v England
Dhoni c â Buttler b Finn 34 (61)
Finn 6.1-0-20-4
http://t.co/b3Yâ¦","https://twitter.com/BeingSujAnDahAl"
"29",2,"After today's loss , dhoni will say we got positives that binny is playing well, we'll take this to the world up. #engvsind","https://twitter.com/blassram"
"37",1,"Steven Smith to lead #Australia in Friday's Tri-Series tie vs #England in Hobart. Smith replaces George Bailey","https://twitter.com/Dhoni_RealCrkt"
"50",1,"India bats first so no-one takes us seriousy in WC. When we  win the toss against Pak we chase and Dhoni exclaims 'HAHAHA KAT GAYA TERA BC'","https://twitter.com/rishabhism"
"53",1,"RT @lionsdenkxip: Brisbane ODI: India 137/5 (36 overs) after winning the toss.

Dhoni 34*, Binny 37*; Finn 4/20.

RT if you want India to wâ¦","https://twitter.com/TataGowdablogs"
"71",1,"If Indian team continues to play like this, I will not be surprised if Dhoni retires from all formats #IndvsEng","https://twitter.com/Vishnu31369136"
"72",1,"RT @_hafees: Omg!! Whatte prediction. I respect you sir í ½í¸ ""@imGkhosla: Dhoni will score 34 today""","https://twitter.com/imGkhosla"
"74",1,"@Desi_Spiderman He is anyways not consistent. Dhoni is his consistency!","https://twitter.com/vishjain61"
"85",2,"Brisbane ODI: India 137/5 (36 overs) after winning the toss.

Dhoni 34*, Binny 37*; Finn 4/20.

RT if you want India to win today. #INDvENG","https://twitter.com/lionsdenkxip"
"89",1,"Omg!! Whatte prediction. I respect you sir í ½í¸ ""@imGkhosla: Dhoni will score 34 today""","https://twitter.com/_hafees"
"106",1,"RT @clutchplay: Conspiracy theory No.1 (Overheard at work): Kohli is puprosely not batting under Dhoni #IndvEng","https://twitter.com/HowzzatUmp"
"112",2,"Finn to Bhuvneshwar, no run, not the ideal hat-trick ball, full and well outside off, left alone","https://twitter.com/AFRIDI_DHONI"
"113",1,"Dhoni's wicket crucial in the context of the game! He could have been effective in the last few overs! Excellent from Finn! #ENGvIND","https://twitter.com/imabhi27"
"119",1,"Why Dhoni is opting for batting first when batting is our strong suite.#IndvEng","https://twitter.com/n3only"
"123",1,"RT @BBCSport: India's MS Dhoni is leading the charge for his side. They are 137-5 after 36 overs. Live text: http://t.co/HZrRAAxIDJ http://â¦","https://twitter.com/TheBloodyNews"
"132",1,"Wont be surprised if #dhoni retires from one day as well after this match #INDvsENG","https://twitter.com/vivekdk"
"134",1,"Dhoni doesn't look much cool from his expressions now.","https://twitter.com/LoAurSuno"
"145",1,"RT @BBCSport: India's MS Dhoni is leading the charge for his side. They are 137-5 after 36 overs. Live text: http://t.co/HZrRAAxIDJ http://â¦","https://twitter.com/_kinaanah_"
"159",1,"RT @ECB_cricket: 15 overs left to bowl in India's innings. Captain Dhoni (33*) &amp; Binny (37*) have led #Ind to 136-5 #EngvInd #triseries #CWâ¦","https://twitter.com/BCCITV"
"165",1,"WICKET: India 137/6
(36.1/50 ov, won the
toss) v England
Dhoni c +Buttler b
Finn 34 (61) Finn
6.1-0-20-4
#EngvInd #cwc15","https://twitter.com/WCup_Tv"
"170",1,"WICKET: India 137/6 (36.1/50 ov, won the toss) v England
Dhoni c +Buttler b Finn 34 (61)
Finn 6.1-0-20-4
http://t.co/GTNe1R5YIw/
#ENGvIND","https://twitter.com/ItIs_PCB"
"171",2,"RT @cricketingview: Pretty good bouncer. Head high, Dhoni had to go for it in the powerplay. Bad luck.","https://twitter.com/SuryanSiva"
"176",1,"WICKET: India 137/6 (36.1/50 ov, won the toss) v England
Dhoni c +Buttler b Finn 34 (61)
Finn 6.1-0-20-4. #INDvENG @AMKcricket","https://twitter.com/AMKcricket"
"177",1,"RT @ECB_cricket: 15 overs left to bowl in India's innings. Captain Dhoni (33*) &amp; Binny (37*) have led #Ind to 136-5 #EngvInd #triseries #CWâ¦","https://twitter.com/SpoGuerillaLIVE"
"190",2,"@adagio_aria Don't watch. Dhoni gone now. Seems like we'll get bowled out under 200. í ½í¸","https://twitter.com/ImFaizhr"
"196",1,"RT @BBCSport: India's MS Dhoni is leading the charge for his side. They are 137-5 after 36 overs. Live text: http://t.co/HZrRAAxIDJ http://â¦","https://twitter.com/dp00040"
"198",3,"Commentary box right now giving standing ovation to MS Dhoni for his so called ""gem of an inning""
#INDvsENG","https://twitter.com/niteshkeshri1"
"208",2,"Greatest cricketer shri Dhoni's favorite players playing very well","https://twitter.com/SunnyAnshuman"
"212",1,"WICKET: India 137/6 (36.1/50 ov, won the toss) v England
Dhoni c +Buttler b Finn 34 (61)
Finn 6.1-0-20-4

!!'Wasim adil'!!","https://twitter.com/Crktbuzz"
"216",2,"@WWOS9 Do you think Dhoni's pads look like foam with curves spray painted to make them look like pad grooves. #englandvsindia","https://twitter.com/dominiccarswell"
"218",1,"That's the last thing India want..
Dhoni out after a decent partnership with Binny..

#INDvsENG","https://twitter.com/ImJames_"
"223",1,"#INDvENG: #WICKET: #India 137/6 (36.1/50 ov, won the toss) v #England
Dhoni c +Buttler b Finn 34 (61)
Finn 6.1-0-20-4
#CWC15 #CRICKET","https://twitter.com/geosuperhdtv"
"228",1,"Dhoni gone... 6 down for 137 and now 7th... Patel gone as well...","https://twitter.com/dijarwal"
"229",2,"#INDvsENG 
Finn takes Dhoni 
Last hope of India's revival goes to pavilion 
Game tilts in England's favour","https://twitter.com/sportsaddaind"
"245",1,"WICKET: India 137/6
(36.1/50 ov, won the
toss) v England
Dhoni c â Buttler b
Finn 34 (61) Finn
6.1-0-20-4
#EngvInd #cwc15","https://twitter.com/TheTenCricket"
"249",1,"WICKET: India 137/6 (36.1/50 ov, won the toss) v England
Dhoni c +Buttler b Finn 34 (61)
Finn 6.1-0-20-4","https://twitter.com/ICCW_CUP"
"250",1,"RT @ECB_cricket: 15 overs left to bowl in India's innings. Captain Dhoni (33*) &amp; Binny (37*) have led #Ind to 136-5 #EngvInd #triseries #CWâ¦","https://twitter.com/8cric"
"251",1,"RT @HTSportsNews: #ENGVSIND Disaster just when the Dhoni &amp; Binny show was starting to look promising.          
http://t.co/ibRdZpEPyY","https://twitter.com/htTweets"
"256",1,"WICKET: India 137/6 (36.1/50 ov, won the toss) v England
Dhoni c +Buttler b Finn 34 (61)
Finn 6.1-0-20-4","https://twitter.com/AkMaL_Trixs"
"269",1,"Dear #Dhoni fans take spoon of honey and do the rest.......#Dhobi #Dhobi #Dhobi #Dhobi","https://twitter.com/satish1_GSK"
"270",1,"#ENGVSIND Disaster just when the Dhoni &amp; Binny show was starting to look promising.          
http://t.co/ibRdZpEPyY","https://twitter.com/HTSportsNews"
"275",1,"And that's that! Dhoni perishes after a steady partnership with Binny. India 137/6 in the 37th over. #cricket","https://twitter.com/baxiabhishek"
