"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","path"
"1","RT @ESPNcricinfo: Steven Finn gets his fifth! He's on a hat-trick now as Dhoni and Axar Patel are dismissed http://t.co/yaFnQ6Q1DD",FALSE,0,NA,2015-01-20 06:01:36,FALSE,NA,"557417642508963840",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","iplscoreupdate",12,TRUE,FALSE,NA,NA,"https://twitter.com/iplscoreupdate"
"2","RT @aussiegal_19: @Nirmalogy looks like your dhoni is getting ton lol he is on 25* 75 more to go Ì†ΩÌ∏Å",FALSE,0,NA,2015-01-20 06:01:34,FALSE,NA,"557417632706461696",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","Nirmalogy",1,TRUE,FALSE,NA,NA,"https://twitter.com/Nirmalogy"
"3","RT @amancard431: Looks like India is trying to get to 7th Spot in ICC ODI ranking as well ..After all 7 is lucky number for Dhoni !! #INDvs‚Ä¶",FALSE,0,NA,2015-01-20 06:01:29,FALSE,NA,"557417612863627267",NA,"<a href=""https://twitter.com/CWCWatch"" rel=""nofollow"">Cricket World Cup</a>","CWCWatch",2,TRUE,FALSE,NA,NA,"https://twitter.com/CWCWatch"
"4","Looks like India is trying to get to 7th Spot in ICC ODI ranking as well ..After all 7 is lucky number for Dhoni !! #INDvsENG #cwc15",FALSE,0,NA,2015-01-20 06:01:29,FALSE,NA,"557417611764301825",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","amancard431",2,FALSE,FALSE,NA,NA,"https://twitter.com/amancard431"
"5","RT @k_g_ashish: Kohli and Dhoni should retire. Binny to be made captain for #CWC15 .",FALSE,0,NA,2015-01-20 06:01:22,FALSE,NA,"557417581431500801",NA,"<a href=""https://twitter.com/CWCWatch"" rel=""nofollow"">Cricket World Cup</a>","CWCWatch",2,TRUE,FALSE,NA,NA,"https://twitter.com/CWCWatch"
"6","Kohli and Dhoni should retire. Binny to be made captain for #CWC15 .",FALSE,0,NA,2015-01-20 06:01:22,FALSE,NA,"557417580433252352",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","k_g_ashish",2,FALSE,FALSE,NA,NA,"https://twitter.com/k_g_ashish"
"7","Wen wil dhoni take responsibility by scoring runs!In post match presentation dhoni wil say no consistency frm top orders nu!Whether he has??",FALSE,1,NA,2015-01-20 06:01:14,FALSE,NA,"557417548392566784",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dinesh_actor",0,FALSE,FALSE,NA,NA,"https://twitter.com/dinesh_actor"
"8","Dhoni is a like a large cap. Even if the overall scenario is down, his presence keeps the scoreboard up and ticking. #INDvsENG",FALSE,0,NA,2015-01-20 06:01:10,FALSE,NA,"557417533142073345",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","OTAMumbai",0,FALSE,FALSE,NA,NA,"https://twitter.com/OTAMumbai"
"9","@uqbar2 @guerillacricket Dhoni means ""Cleaned up"" &amp; Ashwin means ""will not win"" &amp; Shami means ""mincemeat""...",FALSE,0,"uqbar2",2015-01-20 06:01:08,FALSE,"557417132770611200","557417521796489217","213280803","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NitinBajaj",0,FALSE,FALSE,NA,NA,"https://twitter.com/NitinBajaj"
"10","RT @_hafees: Omg!! Whatte prediction. I respect you sir Ì†ΩÌ∏ú ""@imGkhosla: Dhoni will score 34 today""",FALSE,0,NA,2015-01-20 06:01:07,FALSE,NA,"557417519741673473",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JenLuvsIsrael",2,TRUE,FALSE,NA,NA,"https://twitter.com/JenLuvsIsrael"
"11","Don''t u think time has come 4 showing the door 2 2D's of INDIAN CRICKET ie.DUNCAN &amp; DHONI!",FALSE,0,NA,2015-01-20 06:01:01,FALSE,NA,"557417491937259522",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","vajapeyam",0,FALSE,FALSE,"0","0","https://twitter.com/vajapeyam"
"12","RT @imGkhosla: Dhoni will score 34 today",FALSE,0,NA,2015-01-20 06:01:00,FALSE,NA,"557417487541624832",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","im_sharanV",8,TRUE,FALSE,NA,NA,"https://twitter.com/im_sharanV"
"13","India has again shown his flop show with Dhoni as a leader.#INDvsENG",FALSE,0,NA,2015-01-20 06:00:58,FALSE,NA,"557417482592321536",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Abhishekras84",0,FALSE,FALSE,NA,NA,"https://twitter.com/Abhishekras84"
"14","RT @BCCI: 36.1: WICKET! MS Dhoni (34) is out, c Jos Buttler b Steven Finn, 137/6 http://t.co/7PScAFYjJk #EngvsInd",FALSE,0,NA,2015-01-20 06:00:55,FALSE,NA,"557417469980069889",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vardanatulshah",12,TRUE,FALSE,NA,NA,"https://twitter.com/vardanatulshah"
"15","@Nomika_oinam dhoni is no longer the same.. His flow is vanished.",FALSE,0,"Nomika_oinam",2015-01-20 06:00:55,FALSE,"557416436230926336","557417469439008770","98673952","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rohit8804",0,FALSE,FALSE,NA,NA,"https://twitter.com/Rohit8804"
"16","RT @lionsdenkxip: Brisbane ODI: India 137/5 (36 overs) after winning the toss.

Dhoni 34*, Binny 37*; Finn 4/20.

RT if you want India to w‚Ä¶",FALSE,0,NA,2015-01-20 06:00:54,FALSE,NA,"557417464523280384",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","imyvs",3,TRUE,FALSE,NA,NA,"https://twitter.com/imyvs"
"17","RT @cricbuzz: Anderson puts down a return catch off Dhoni in the batting powerplay. How costly is that going to be? India 136/5 in 35.1 #EN‚Ä¶",FALSE,0,NA,2015-01-20 06:00:49,FALSE,NA,"557417443057205248",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","ICCW_Cup_2015",5,TRUE,FALSE,NA,NA,"https://twitter.com/ICCW_Cup_2015"
"18","RT @BBCSport: India's MS Dhoni is leading the charge for his side. They are 137-5 after 36 overs. Live text: http://t.co/HZrRAAxIDJ http://‚Ä¶",FALSE,0,NA,2015-01-20 06:00:49,FALSE,NA,"557417442025029633",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","brovkokiril25",8,TRUE,FALSE,NA,NA,"https://twitter.com/brovkokiril25"
"19","India 81/5 (22.3 ov, STR Binny 5*, MS Dhoni 11*, SCJ Broad 0/25) | Live Scorecard | ESPN Cricinfo http://t.co/Kf9V80CRa0 via @ESPNCricinfo",FALSE,0,NA,2015-01-20 06:00:36,FALSE,NA,"557417387490676737",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","nitinchaurasia4",0,FALSE,FALSE,NA,NA,"https://twitter.com/nitinchaurasia4"
"20","RT @BBCSport: Think we have may have jinxed him with that tweet... Four for Finn as Dhoni departs for 34! Live text: http://t.co/HZrRAAxIDJ",FALSE,0,NA,2015-01-20 06:00:35,FALSE,NA,"557417386476072960",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","LevBet_Ticker",5,TRUE,FALSE,NA,NA,"https://twitter.com/LevBet_Ticker"
