"","analysis_score","analysis_text"
"1",0,"RT @ESPNcricinfo: Steven Finn gets his fifth! He's on a hat-trick now as Dhoni and Axar Patel are dismissed http://t.co/yaFnQ6Q1DD"
"2",1,"RT @aussiegal_19: @Nirmalogy looks like your dhoni is getting ton lol he is on 25* 75 more to go í ½í¸"
"3",3,"RT @amancard431: Looks like India is trying to get to 7th Spot in ICC ODI ranking as well ..After all 7 is lucky number for Dhoni !! #INDvsâ¦"
"4",3,"Looks like India is trying to get to 7th Spot in ICC ODI ranking as well ..After all 7 is lucky number for Dhoni !! #INDvsENG #cwc15"
"5",0,"RT @k_g_ashish: Kohli and Dhoni should retire. Binny to be made captain for #CWC15 ."
"6",0,"Kohli and Dhoni should retire. Binny to be made captain for #CWC15 ."
"7",1,"Wen wil dhoni take responsibility by scoring runs!In post match presentation dhoni wil say no consistency frm top orders nu!Whether he has??"
"8",1,"Dhoni is a like a large cap. Even if the overall scenario is down, his presence keeps the scoreboard up and ticking. #INDvsENG"
"9",1,"@uqbar2 @guerillacricket Dhoni means ""Cleaned up"" &amp; Ashwin means ""will not win"" &amp; Shami means ""mincemeat""..."
"10",1,"RT @_hafees: Omg!! Whatte prediction. I respect you sir í ½í¸ ""@imGkhosla: Dhoni will score 34 today"""
"11",0,"Don''t u think time has come 4 showing the door 2 2D's of INDIAN CRICKET ie.DUNCAN &amp; DHONI!"
"12",0,"RT @imGkhosla: Dhoni will score 34 today"
"13",0,"India has again shown his flop show with Dhoni as a leader.#INDvsENG"
"14",0,"RT @BCCI: 36.1: WICKET! MS Dhoni (34) is out, c Jos Buttler b Steven Finn, 137/6 http://t.co/7PScAFYjJk #EngvsInd"
"15",0,"@Nomika_oinam dhoni is no longer the same.. His flow is vanished."
"16",1,"RT @lionsdenkxip: Brisbane ODI: India 137/5 (36 overs) after winning the toss.

Dhoni 34*, Binny 37*; Finn 4/20.

RT if you want India to wâ¦"
"17",-1,"RT @cricbuzz: Anderson puts down a return catch off Dhoni in the batting powerplay. How costly is that going to be? India 136/5 in 35.1 #ENâ¦"
"18",1,"RT @BBCSport: India's MS Dhoni is leading the charge for his side. They are 137-5 after 36 overs. Live text: http://t.co/HZrRAAxIDJ http://â¦"
"19",0,"India 81/5 (22.3 ov, STR Binny 5*, MS Dhoni 11*, SCJ Broad 0/25) | Live Scorecard | ESPN Cricinfo http://t.co/Kf9V80CRa0 via @ESPNCricinfo"
"20",0,"RT @BBCSport: Think we have may have jinxed him with that tweet... Four for Finn as Dhoni departs for 34! Live text: http://t.co/HZrRAAxIDJ"
"21",1,"#Dhoni is playing the same role which Greg Chappel played for 2007 WC Team.
This team isn't capable of WC Semis
#INDvsENG 
#BringBackSeniors"
"22",1,"it looked like Dhoni would save India but now in dire jeapordy looks like we need YUVI back only he can save India #indvseng"
"23",0,"RT @LION_SAFriDi: Tri_SerieS
ENG_vS_IND
IND_137/5
Over_36
Dhoni_34*
Binny_37*
ThiS_Ovr
0 0 0 0 0 1
-
Aziz Sarparah"
"24",0,"#IND 141/7 (37.0 Ovs)
Bhuvneshwar Kumar
3 (3)
Stuart Binny
37 (49)
James Anderson
7-2-16-1
Steven Finn
7-0-24-5
CRR3.81 #TriSeries"
"25",1,"RT @ESPNscorecard: WICKET: India 137/6 (36.1/50 ov, won the toss) v England
Dhoni c â Buttler b Finn 34 (61)
Finn 6.1-0-20-4
http://t.co/b3Yâ¦"
"26",0,"Tri SerIEs
iND v ENG

iND 126/5
33 OvErs

BiNNy 30*
DhoNi 30*

4 More update
Follow
@samaa_ke_awaz"
"27",0,": Steven Finn gets his fifth! He's on a hat-trick now as Dhoni and Axar Patel are dismissed http://t.co/rL2Ra5lEuQ"""
"28",0,"RT @BCCI: 36.1: WICKET! MS Dhoni (34) is out, c Jos Buttler b Steven Finn, 137/6 http://t.co/7PScAFYjJk #EngvsInd"
"29",2,"After today's loss , dhoni will say we got positives that binny is playing well, we'll take this to the world up. #engvsind"
"30",0,"Dhoni is a REAL FLAT TRACK BULLY"
"31",-1,"RT @ECB_cricket: WICKET!! Another wicket for Finn &amp; captain Dhoni (34) departs. Buttler's fifth dismissal behind the stumps. #Ind 137-6  #Eâ¦"
"32",0,"Tri_SerieS
ENG_vS_IND
IND_137/7
Over_36.3
Dhoni_34
Binny_37*
Patel_0
ThiS_Ovr
0 W w
-
Aziz Sarparah"
"33",0,"RT @CricketAus: Finn has four! Dhoni departs for 34, Buttler has his fifth dismissal and India are 6-137 in the 37th over: http://t.co/yn4wâ¦"
"34",0,"RT @cricket_country: #India 136/5 in Overs 35 | MS Dhoni 33 (54) S Binny 37 (47) | #INDvsENG 3rd ODI at #Brisbane â http://t.co/Q588RVfxa7"
"35",-1,"RT @ECB_cricket: WICKET!! Another wicket for Finn &amp; captain Dhoni (34) departs. Buttler's fifth dismissal behind the stumps. #Ind 137-6  #Eâ¦"
"36",-1,"RT @Aps_89: Ms dhoni's form is huge concern for us í ½í¸í ½í¸ª"
"37",1,"Steven Smith to lead #Australia in Friday's Tri-Series tie vs #England in Hobart. Smith replaces George Bailey"
"38",0,"Tri SerIEs
iND v ENG
-
iND 137/6
OvErs 36.3

BiNNy 37*
DhoNi 34 out

(""KiNG_K-S"")"
"39",0,"RT @HollyFerling5: Woh what a prediction that was  RT @imGkhosla: Dhoni will score 34 today"
"40",0,"RT @bakarbaaj: Power Play mein dhoni bina Fore Play kiye Ejaculate ho gaye í ½í¸í ½í¸í ½í¸¬
#INDvsENG"
"41",0,"RT @SkyCricket: WICKETS! Finn gets his five-for after snaffling MS Dhoni and Axar Patel in successive balls. Ind 137-7."
"42",0,"RT @FOXCricketLive: FIVE-FOR! Steve Finn knocks over MS Dhoni &amp; Axar Patel in successive balls, and he's on a hat-trick! http://t.co/nRBAXnâ¦"
"43",0,"RT @ankitmotani: It's so unlike Dhoni to be getting out when looking to shift gears after being set."
"44",0,"Tri SerIEs
iND v ENG
-
iND 137/6
OvErs 36.3

BiNNy 37*
DhoNi 34 out

(""KiNG_K-S"")"
"45",0,"RT @mohitraj: I hope Dhoni doesn't takes retirement from ODI also after today's match.

#INDvsENG"
"46",0,"Fox Star Studios Boards Biopic of Cricket Superstar M.S. Dhoni http://t.co/f8qlbBCzuG #radio"
"47",0,"Tri_SerieS
ENG_vS_IND
IND_137/7
Over_36.3
Dhoni_34
Binny_37*
Patel_0
ThiS_Ovr
0 W w
-
Aziz Sarparah"
"48",-1,"ODI Tri-series India vs England Live: Dhoni, Binny rebuild after collapse - Firstpostâ¦ http://t.co/40emCCuneN"
"49",0,"Selectors and Dhoni world cup namaku daan doi"
"50",1,"India bats first so no-one takes us seriousy in WC. When we  win the toss against Pak we chase and Dhoni exclaims 'HAHAHA KAT GAYA TERA BC'"
"51",0,"RT @coolfunnytshirt: Warner to Rohit Sharma : Speak in english. 

Rohit Sharma: Dhoni bhai, i am not playing the next match. Padhai karni hâ¦"
"52",0,"It's so unlike Dhoni to be getting out when looking to shift gears after being set."
"53",1,"RT @lionsdenkxip: Brisbane ODI: India 137/5 (36 overs) after winning the toss.

Dhoni 34*, Binny 37*; Finn 4/20.

RT if you want India to wâ¦"
"54",-1,"#ENGVSIND Starting trouble for Axar Down Under. Second successive duck. 
http://t.co/ibRdZpEPyY"
"55",0,"RT @imGkhosla: Dhoni will score 34 today"
"56",0,"@lionsdenkxip 7 Gone. Dhoni and Patel in back to the dargout by Finn."
"57",0,"WICKETS! Finn gets his five- for after snaffling MS Dhoni and Axar Patel in
successive balls. Ind 140-7. #ENGvIND"
"58",0,"India vs England
Tri-series 3rd ODI: Ind 136/5 (35)
MS Dhoni : 33* (54)
Stuart Binny : 37* (47)
Steven Finn : 20/3 (6)
#INDvENG"
"59",0,"@lionsdenkxip Dhoni is out, Finn has got 5-for, Axhar is out for DUCK. You are too late!"
"60",0,"RT @coolfunnytshirt: Warner to Rohit Sharma : Speak in english. 

Rohit Sharma: Dhoni bhai, i am not playing the next match. Padhai karni hâ¦"
"61",0,"TRi_SeRieS
3rD_MaTcH
ENG_vs_IND

IND_137/7
Over_36.2

M_Dhoni_34
S_Binny_37*
A_Patel_0 out

#ENGvIND"
"62",0,"Just when India was looking set under Dhoni and Binny,  two quick wickets changed the momentum to England's way yet again. 
#INDvsENG"
"63",0,"@stylishcricket: RT @tweetcricscore: #cricket IND: 80/5 (22.0 Ovs) MS Dhoni* : 10/13 Stuart Binny : 5/10 Stuart Broad*:4-0-24-0

m.twitt ..."
"64",0,"RT @coolfunnytshirt: Warner to Rohit Sharma : Speak in english. 

Rohit Sharma: Dhoni bhai, i am not playing the next match. Padhai karni hâ¦"
"65",0,"RT @ESPNcricinfo: Steven Finn gets his fifth! He's on a hat-trick now as Dhoni and Axar Patel are dismissed http://t.co/yaFnQ6Q1DD"
"66",0,"RT @imGkhosla: Dhoni will score 34 today"
"67",0,"RT @imGkhosla: Dhoni will score 34 today"
"68",-1,"RT @ECB_cricket: WICKET!! Another wicket for Finn &amp; captain Dhoni (34) departs. Buttler's fifth dismissal behind the stumps. #Ind 137-6  #Eâ¦"
"69",0,"RT @SkyCricket: WICKETS! Finn gets his five-for after snaffling MS Dhoni and Axar Patel in successive balls. Ind 137-7."
"70",0,"2 in 2 by FINN
Dhoni &amp; Patel Gone
IND 140/7 in 36.5 Overs"
"71",1,"If Indian team continues to play like this, I will not be surprised if Dhoni retires from all formats #IndvsEng"
"72",1,"RT @_hafees: Omg!! Whatte prediction. I respect you sir í ½í¸ ""@imGkhosla: Dhoni will score 34 today"""
"73",0,"MS Dhoni c Buttler b Finn 34 (61ball, 1x4s, 0x6s) India 137/6 (36.1 ov) #INDvENG #ENGvsIND"
"74",1,"@Desi_Spiderman He is anyways not consistent. Dhoni is his consistency!"
"75",0,"RT @imGkhosla: MS Dhoni-
Wasted the early part of the powerplay 
Wasted 61 balls
Opted to bat first 

Seriously? í ½í¸ http://t.co/AMXyGQ53Tc"
"76",0,"RT @SkyCricket: WICKETS! Finn gets his five-for after snaffling MS Dhoni and Axar Patel in successive balls. Ind 137-7."
"77",0,"RT @BCCI: 36.1: WICKET! MS Dhoni (34) is out, c Jos Buttler b Steven Finn, 137/6 http://t.co/7PScAFYjJk #EngvsInd"
"78",-1,"RT @ECB_cricket: WICKET!! Another wicket for Finn &amp; captain Dhoni (34) departs. Buttler's fifth dismissal behind the stumps. #Ind 137-6  #Eâ¦"
"79",0,"RT @coolfunnytshirt: Warner to Rohit Sharma : Speak in english. 

Rohit Sharma: Dhoni bhai, i am not playing the next match. Padhai karni hâ¦"
"80",0,"RT @IndiaToday: #TriSeries, Ind vs Eng: Dhoni and Binny at the crease with India reeling at 84/5 in 24 overs http://t.co/xsShDK20sc"
"81",0,"RT @ESPNcricinfo: Steven Finn gets his fifth! He's on a hat-trick now as Dhoni and Axar Patel are dismissed http://t.co/yaFnQ6Q1DD"
"82",0,"There goes #Dhoni &amp; Bday boy Akshar Patel #Finn strikes again!!! #INDvsENG #TriSeries"
"83",-1,"Like dhoni says not bothered about this triseries process to WC is all that matters #ENGvIND"
"84",0,"RT @imGkhosla: Dhoni will score 34 today"
"85",2,"Brisbane ODI: India 137/5 (36 overs) after winning the toss.

Dhoni 34*, Binny 37*; Finn 4/20.

RT if you want India to win today. #INDvENG"
"86",0,"Tri_SerieS
ENG_vS_IND
IND_137/7
Over_36.3
Dhoni_34
Binny_37*
Patel_0
ThiS_Ovr
0 W w
-
Aziz Sarparah      

    @ÂÂ !$ ////eÂÂ
           ..."
"87",0,"What if Dhoni retires during the World Cup?"
"88",0,"RT @BCCI: 36.1: WICKET! MS Dhoni (34) is out, c Jos Buttler b Steven Finn, 137/6 http://t.co/7PScAFYjJk #EngvsInd"
"89",1,"Omg!! Whatte prediction. I respect you sir í ½í¸ ""@imGkhosla: Dhoni will score 34 today"""
"90",0,"RT @imGkhosla: Dhoni will score 34 today"
"91",0,"What are the chances that dhoni might retire from odi's too,right in the middle of the series after this match?"
"92",0,"RT @NextToSRK: i would have Dropped Dhoni for World Cup #ENGvIND"
