"","word","freq"
"dhoni","dhoni",1513
"india","india",419
"ind","ind",371
"binny","binny",331
"triseries","triseries",295
"indvseng","indvseng",251
"cricket","cricket",250
"match","match",237
"engvsind","engvsind",234
"finn","finn",206
"engvind","engvind",200
"odi","odi",174
"world","world",148
"will","will",138
"rohit","rohit",134
"kohli","kohli",130
"icc","icc",114
"stuart","stuart",114
"overs","overs",110
"eng","eng",109
"indovs","indovs",106
"sbinny","sbinny",105
"wicket","wicket",105
"cwc","cwc",101
"england","england",99
"playing","playing",93
"ashwin","ashwin",85
"making","making",85
"retirement","retirement",85
"bat","bat",84
"now","now",84
"apart","apart",83
"maiden","maiden",83
"appearance","appearance",82
"cupplayers","cupplayers",82
"rai","rai",82
"batting","batting",77
"hope","hope",77
"indveng","indveng",76
"msdhoni","msdhoni",76
"next","next",75
"play","play",75
"english","english",74
"takes","takes",74
"also","also",73
"rdmatch","rdmatch",73
"doesnt","doesnt",70
"sharma","sharma",67
"team","team",67
"warner","warner",67
"buttler","buttler",66
"bhai","bhai",65
"karni","karni",63
"padhai","padhai",63
"todays","todays",63
"indian","indian",62
"ali","ali",61
"captain","captain",61
"dhonis","dhonis",60
"mdhoni","mdhoni",60
"singh","singh",60
"sharmaspeak","sharmaspeak",59
"partnership","partnership",57
"time","time",53
"toss","toss",53
"get","get",50
"gone","gone",50
"moeen","moeen",49
"today","today",48
"live","live",46
"steven","steven",46
"broad","broad",45
"innings","innings",45
"patel","patel",45
"woakes","woakes",45
"cup","cup",43
"mahendra","mahendra",43
"odis","odis",43
"like","like",42
"worldcup","worldcup",42
"anderson","anderson",40
"many","many",40
"rayudu","rayudu",40
"good","good",39
"test","test",39
"dhonistuart","dhonistuart",37
"indiaov","indiaov",36
"rdodimatch","rdodimatch",35
"score","score",35
"brisbane","brisbane",34
"can","can",34
"gets","gets",34
"scored","scored",34
"crr","crr",33
"fifth","fifth",33
"times","times",33
"won","won",33
"indias","indias",32
"series","series",32
"thisovr","thisovr",32
"big","big",31
"walked","walked",31
"australia","australia",30
"centuries","centuries",30
"going","going",30
"hisodi","hisodi",30
"shows","shows",30
"another","another",29
"see","see",29
"take","take",29
"think","think",29
"binnyms","binnyms",28
"just","just",28
"behind","behind",27
"better","better",27
"bowling","bowling",27
"century","century",27
"liveupdates","liveupdates",27
"raina","raina",27
"first","first",26
"one","one",26
"well","well",26
"axar","axar",25
"class","class",25
"cricketworldcup","cricketworldcup",25
"dont","dont",25
"rescu","rescu",25
"sports","sports",25
"aziz","aziz",24
"biopic","biopic",24
"chance","chance",24
"chris","chris",24
"dhawan","dhawan",24
"dhoniis","dhoniis",24
"icccricketworldcup","icccricketworldcup",24
"last","last",24
"said","said",24
"sarparah","sarparah",24
"wickets","wickets",24
"back","back",23
"engrd","engrd",23
"game","game",23
"indinin","indinin",23
"jos","jos",23
"looks","looks",23
"star","star",23
"crease","crease",22
"hes","hes",22
"powerplay","powerplay",22
"watch","watch",22
"come","come",21
"dropped","dropped",21
"four","four",21
"indovers","indovers",21
"departs","departs",20
"dismissal","dismissal",20
"make","make",20
"need","need",19
"power","power",19
"seems","seems",19
"studios","studios",19
"sure","sure",19
"sushant","sushant",19
"thats","thats",19
"adelaide","adelaide",18
"fox","fox",18
"indov","indov",18
"order","order",18
"target","target",18
"best","best",17
"calm","calm",17
"costly","costly",17
"even","even",17
"left","left",17
"ovs","ovs",17
"please","please",17
"raised","raised",17
"return","return",17
"still","still",17
"want","want",17
"batsman","batsman",16
"dhonibinnyhave","dhonibinnyhave",16
"dhonirunsengvsind","dhonirunsengvsind",16
"half","half",16
"imtiazm","imtiazm",16
"looking","looking",16
"mid","mid",16
"new","new",16
"ovr","ovr",16
"rajput","rajput",16
"tri","tri",16
"bcci","bcci",15
"bowleddhonibinny","bowleddhonibinny",15
"brows","brows",15
"carlton","carlton",15
"creasewhat","creasewhat",15
"end","end",15
"eye","eye",15
"hattrick","hattrick",15
"hit","hit",15
"retire","retire",15
"side","side",15
"virat","virat",15
"wants","wants",15
"balls","balls",14
"boards","boards",14
"buttlers","buttlers",14
"catch","catch",14
"dhonibinny","dhonibinny",14
"fourth","fourth",14
"iccworldcup","iccworldcup",14
"kingks","kingks",14
"runs","runs",14
"scoretoday","scoretoday",14
"strike","strike",14
"trouble","trouble",14
"whole","whole",14
"built","built",13
"caught","caught",13
"day","day",13
"dismissed","dismissed",13
"early","early",13
"elect","elect",13
"follow","follow",13
"goes","goes",13
"got","got",13
"hopes","hopes",13
"join","join",13
"leading","leading",13
"made","made",13
"man","man",13
"pakistan","pakistan",13
"rest","rest",13
"start","start",13
"superstar","superstar",13
"top","top",13
"williamson","williamson",13
"win","win",13
"binnystuart","binnystuart",12
"close","close",12
"comes","comes",12
"coming","coming",12
"decent","decent",12
"enough","enough",12
"form","form",12
"great","great",12
"indvspak","indvspak",12
"let","let",12
"look","look",12
"lose","lose",12
"moviesnowclub","moviesnowclub",12
"nzovs","nzovs",12
"opening","opening",12
"pakvsind","pakvsind",12
"poor","poor",12
"progress","progress",12
"rahane","rahane",12
"save","save",12
"slovs","slovs",12
"updates","updates",12
"viratkohli","viratkohli",12
"already","already",11
"bowl","bowl",11
"called","called",11
"dhonideparts","dhonideparts",11
"finncaptain","finncaptain",11
"finnengvsind","finnengvsind",11
"getting","getting",11
"hum","hum",11
"lost","lost",11
"might","might",11
"nothing","nothing",11
"overseas","overseas",11
"performance","performance",11
"rebuild","rebuild",11
"run","run",11
"show","show",11
"stumps","stumps",11
"two","two",11
"way","way",11
"ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž†ˆ¼ü¾Œ“ ¼ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž†ˆ¼ü¾Œ“ ¼","ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž†ˆ¼ü¾Œ“ ¼ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž†ˆ¼ü¾Œ“ ¼",10
"alicricket","alicricket",10
"attend","attend",10
"away","away",10
"chips","chips",10
"cricketer","cricketer",10
"detailsmsdhonidhonicricketindiabollywoodsushantsinghrajputtuesday","detailsmsdhonidhonicricketindiabollywoodsushantsinghrajputtuesday",10
"dhonitoday","dhonitoday",10
"elliott","elliott",10
"film","film",10
"giving","giving",10
"humhaiindians","humhaiindians",10
"inde","inde",10
"lesson","lesson",10
"needs","needs",10
"players","players",10
"reached","reached",10
"skipper","skipper",10
"soon","soon",10
"squad","squad",10
"stand","stand",10
"teacher","teacher",10
"thodi","thodi",10
"though","though",10
"try","try",10
"wait","wait",10
"binnychris","binnychris",9
"bowlers","bowlers",9
"boy","boy",9
"dhonib","dhonib",9
"excitingengvind","excitingengvind",9
"former","former",9
"friday","friday",9
"give","give",9
"hain","hain",9
"helicopter","helicopter",9
"izazullah","izazullah",9
"keep","keep",9
"knows","knows",9
"likes","likes",9
"may","may",9
"outside","outside",9
"played","played",9
"point","point",9
"root","root",9
"rooting","rooting",9
"selection","selection",9
"set","set",9
"something","something",9
"special","special",9
"successive","successive",9
"teamictwc","teamictwc",9
"tha","tha",9
"ton","ton",9
"total","total",9
"untold","untold",9
"work","work",9
"worry","worry",9
"yuvraj","yuvraj",9
"allrounder","allrounder",8
"amazing","amazing",8
"areafterovers","areafterovers",8
"attack","attack",8
"bad","bad",8
"ball","ball",8
"bbccricket","bbccricket",8
"believe","believe",8
"binnydhonipartnership","binnydhonipartnership",8
"charge","charge",8
"conspiracy","conspiracy",8
"cricinfo","cricinfo",8
"dhonibinnypartnership","dhonibinnypartnership",8
"dhonithe","dhonithe",8
"didnt","didnt",8
"elected","elected",8
"indiain","indiain",8
"lot","lot",8
"middle","middle",8
"much","much",8
"never","never",8
"news","news",8
"nzvssl","nzvssl",8
"people","people",8
"prediction","prediction",8
"promising","promising",8
"prove","prove",8
"puts","puts",8
"qualify","qualify",8
"rescue","rescue",8
"retired","retired",8
"right","right",8
"says","says",8
"stbinny","stbinny",8
"str","str",8
"suites","suites",8
"thala","thala",8
"three","three",8
"update","update",8
"whenever","whenever",8
"ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž†ˆ¼ü¾Œ“ ¼","ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž†ˆ¼ü¾Œ“ ¼",7
"afridi","afridi",7
"ahead","ahead",7
"always","always",7
"baby","baby",7
"becoming","becoming",7
"bow","bow",7
"bowled","bowled",7
"cant","cant",7
"captaincy","captaincy",7
"collapsefirstpost","collapsefirstpost",7
"count","count",7
"dangerous","dangerous",7
"definitely","definitely",7
"fan","fan",7
"fivefor","fivefor",7
"fuck","fuck",7
"international","international",7
"led","led",7
"long","long",7
"lots","lots",7
"mahendrasinghdhoni","mahendrasinghdhoni",7
"odiwicket","odiwicket",7
"overheard","overheard",7
"pitch","pitch",7
"puprosely","puprosely",7
"release","release",7
"removes","removes",7
"say","say",7
"scorecardespn","scorecardespn",7
"scores","scores",7
"shit","shit",7
"stop","stop",7
"struggling","struggling",7
"teamindia","teamindia",7
"teams","teams",7
"texthttp","texthttp",7
"theory","theory",7
"toengvind","toengvind",7
"twitterms","twitterms",7
"winning","winning",7
"wins","wins",7
"wstuart","wstuart",7
"wwos","wwos",7
"yet","yet",7
"adelaideoval","adelaideoval",6
"announce","announce",6
"around","around",6
"batsmen","batsmen",6
"binney","binney",6
"binnyb","binnyb",6
"binnydhonivery","binnydhonivery",6
"binnyplay","binnyplay",6
"binnys","binnys",6
"bounce","bounce",6
"bowler","bowler",6
"broadcricket","broadcricket",6
"chase","chase",6
"chasing","chasing",6
"cricketnews","cricketnews",6
"cupcricket","cupcricket",6
"cwcteams","cwcteams",6
"dhawans","dhawans",6
"dhonirunsengvind","dhonirunsengvind",6
"dhonist","dhonist",6
"dhonistr","dhonistr",6
"eilliottks","eilliottks",6
"engplay","engplay",6
"expecting","expecting",6
"finally","finally",6
"foothold","foothold",6
"forlive","forlive",6
"gabba","gabba",6
"gonna","gonna",6
"guptillnzvsl","guptillnzvsl",6
"hai","hai",6
"high","high",6
"home","home",6
"hundred","hundred",6
"icccricket","icccricket",6
"icccwc","icccwc",6
"indiadhonibinnyengvind","indiadhonibinnyengvind",6
"indiainovers","indiainovers",6
"jinxed","jinxed",6
"knock","knock",6
