"","score","text","path"
"1",-1,"@RucshanK @26_ganesh sorry I cannot help here...","https://twitter.com/sunnyaudit"
"46",-1,"@MadrasBachelor nevertheless only @anavenkat &amp; @sureshsubha are giving us the mystery novel reading experience.Ganesh-Vasanth types #Sujatha","https://twitter.com/sekartweets"
"79",-1,"What hapenning ? Oh this is broken heart situation :')","https://twitter.com/ganesh_insan"
"80",-1,"@ganesh_93 join @RoyOfficialFilm #Ipad &amp; many other goodies up for grab. Now don't miss this contest. Catch ROY http://t.co/LlCRkqOj4o","https://twitter.com/AficionadoYash"
"105",-2,"RT @Samanthaprabhu2: Lol my damn sentiment of not talking about my films until they go on floors í ½í¸. Want to scream from the rooftops, I AM â¦","https://twitter.com/Vaira_Ganesh"
"118",-1,"RT @SpeakComedy: There is something wrong with this world http://t.co/sqomSr93au","https://twitter.com/ganesh_96"
"151",-2,"@Samanthaprabhu2 hai sammu,ur die hard fan @Anisha_Here say 'Hi' to her...","https://twitter.com/Vaira_Ganesh"
"164",-1,"RT @timesofindia: #Swineflu kills five in one day in Hyderabad http://t.co/EnRSMyvI5S","https://twitter.com/Ganesh_Gajare"
"175",-1,"Celebrities About temper Movie | Ram Gopal Varma, Anup Rubens, Bandala Ganesh http://t.co/wHvYgtB9mz","https://twitter.com/bharath141212"
"179",-2,"@sathish_ganesh it's really bad and buggy too :(","https://twitter.com/Sarangbrahme"
"184",-1,"Celebrities About temper Movie | Ram Gopal Varma, Anup Rubens, Bandala Ganesh http://t.co/tpvDeYuUvS","https://twitter.com/bharath141212"
"186",-1,"Celebrities About temper Movie | Ram Gopal Varma, Anup Rubens, Bandala Ganesh http://t.co/Wc8Qn8lwNW","https://twitter.com/bharath141212"
"215",-1,"We have crystals, chakra energy generators, pyramids, spheres, gemstone carved Ganesh and Horse busts along with... http://t.co/teoonIrqkd","https://twitter.com/buddhistsupply"
"237",-2,"In 12 years, Jobs lost his temper with me only twice: Appleâs ex-creative director Segall http://t.co/N3EqCu1E8M","https://twitter.com/r_ganesh"
"250",-1,"@haris_ganesh @Minas23k nigga if you ain't talking fake ids then gtfoooo","https://twitter.com/yasmeeen_97"
"254",-1,"To all the 100 random niggas who touched my ass or stepped on my feet, fuck you","https://twitter.com/haris_ganesh"
