"","score","text","path"
"3",2,"RT @malviyamit: #RSS Swayemsevaks helping authorities with rescue operations in Anekal. Only instance of productive 'civil society'. http:/â¦","https://twitter.com/Ganesh_Kanyady"
"4",1,"We just love the bond between Ganesh &amp; Darpan ! :*
Really they are just ""One In a Million"" #Bandhan @IamChhaviPandey http://t.co/QwDcQEWpMl","https://twitter.com/ChhaviPandeyFC"
"5",1,"RT @prabhucharan8: @ganeshbandla Fully packed..!!! Creative minded..!! 100% promising...!! Thank u Soo much Ganesh garu.miku nijam runapadiâ¦","https://twitter.com/harishmunna1317"
"6",1,"@ganeshbandla Fully packed..!!! Creative minded..!! 100% promising...!! Thank u Soo much Ganesh garu.miku nijam runapadi vuntam sir #Temper","https://twitter.com/prabhucharan8"
"7",1,"Small Kiddo and her favorite god, Ganesh. Somewhere in the Bali countryside eating yucca and learningâ¦ http://t.co/jHX3vLdjT5","https://twitter.com/CLFAdventure"
"15",1,"""@ganeshbandla: SINCERE THANKS TO PVP ANNA THE MAN WHO STOOD BEHIND ME ONE&amp; ONLY í ½í¹"" super production anna... Thank u ganesh anna...","https://twitter.com/ThathaGopinath"
"20",1,"Yogis: looks like we will be on the move next week, still in Ryde - more soon.  Ganesh, the elephant God and mover of obstacles with us ;)","https://twitter.com/jessofwight"
"22",1,"#Ganesh #melbourne #streetart Colours are incredible. Worth checking out Hosier Lane in Melbourne andâ¦ http://t.co/O0RcxcUIux","https://twitter.com/FoundByAnge"
"28",1,"Ol kat nd bebo fans, I think we ol no dey r vei vei diffrnt. So I think no nid 2 compare. Bdw its Ganesh hu compared, not any fan","https://twitter.com/Xtrem_Beboholic"
"36",1,"I liked a @YouTube video http://t.co/1BBSDtg7pj Vid Shri Kumaresh &amp; Ganesh","https://twitter.com/Adithya8491"
"42",2,"RT @shekharkapur: 'Bank account is no longer my aspiration but my right' Transformative messaging by @narendramodi. 11 crore new accounts iâ¦","https://twitter.com/Ganesh_Gajare"
"44",1,"RT @mohima_mahbub: #Darpan's sweet #Bandhan with her mother &amp; with Ganeshâ¤ï¸ @ZeeTV @IamChhaviPandey @TeamChhavi http://t.co/GPIiZPeuoN","https://twitter.com/s_dnair429"
"55",1,"RT @AshramNews_: Mother is always a true inspiration! Her sacrifices for us r EXCEPTIONAL #Countdown2ParentsWorshipDay http://t.co/MznYu9Rcâ¦","https://twitter.com/Binaom1"
"61",1,"ganesh mantra for success wealth andÂ marriage http://t.co/cqUEYxLAU2","https://twitter.com/robbeaux"
"62",2,"Enjoy this #ValentinesDay with your
most #favorite #romantic hero
#Goldenstar #Ganesh's beautiful
movie... http://t.co/emVPEe2nCC","https://twitter.com/AIGSGF"
"64",1,"Double exposure got Gerard like Ganesh in them deep water holes #D810 #cleanerthanitlooks http://t.co/aDiBC2iYWc","https://twitter.com/Jayemol"
"66",1,"RT @AshramNews_: Mother is always a true inspiration! Her sacrifices for us r EXCEPTIONAL #Countdown2ParentsWorshipDay http://t.co/MznYu9Rcâ¦","https://twitter.com/binaom630"
"68",1,"I liked a @YouTube video http://t.co/Eav18xNSjv ""Bulbul"" Song Video | ""Ganesh Acharya"" | ""Hey Bro"" | ""Mahi Gill"" | ""Himesh","https://twitter.com/BollywoodPaper"
"69",1,"I liked a @YouTube video http://t.co/BJTf8BPAtZ ""Hu Tu Tu"" Song Video | ""Ganesh Acharya"" | ""Hey Bro"" | ""Sonu Nigam"" | 2015","https://twitter.com/BollywoodPaper"
"72",1,"I liked a @YouTube video http://t.co/e5gQRApt30 ""Line Laga"" Song Video | ""Ganesh Acharya"" | ""Hey Bro"" | ""Sonu Nigam"" | ""Nupur Sharma""","https://twitter.com/BollywoodPaper"
"73",1,"@MadrasBachelor does that mean VJ has learnt what suits him best?","https://twitter.com/Ganesh_2604"
"74",1,"Always use #SpeedStyle4Girls Because it is courageous","https://twitter.com/Badri_Ganesh"
"76",1,"Always use #SpeedStyle4Girls Because it is brave","https://twitter.com/Badri_Ganesh"
"78",1,"Always use #SpeedStyle4Girls Because it is affable","https://twitter.com/Badri_Ganesh"
"85",2,"Indian handmade wooden art Lord Ganesh fine quality carving work gift item http://t.co/BYQ1ygxTWa http://t.co/dFjBl3Se99","https://twitter.com/mazareynaldo6"
"93",1,"RT @malakfereshte: Welcome &amp; thank you, new followers. Please read my blog piece http://t.co/z4TSjTdqJK &amp; consider RT/support #TakeOffJustLâ¦","https://twitter.com/zibasoleiman"
"95",1,"So tomorrow is the last day of Ganesh Chaturthi .. 11 days went so fast ..","https://twitter.com/danielidoparad1"
"96",1,"RT @AshramNews_: Mother is always a true inspiration! Her sacrifices for us r EXCEPTIONAL #Countdown2ParentsWorshipDay http://t.co/MznYu9Rcâ¦","https://twitter.com/Tiwari1986Surya"
"97",1,"RT @AshramNews_: Mother is always a true inspiration! Her sacrifices for us r EXCEPTIONAL #Countdown2ParentsWorshipDay http://t.co/MznYu9Rcâ¦","https://twitter.com/ashramghaziabad"
"108",2,"RT @Manivj07: #anegan #fdfs loved all 4 get ups of  @dhanushkraja í ½í± crackers, palabishegam, dance full celebration at AGS ! @AmyraDastur93 â¦","https://twitter.com/Vaira_Ganesh"
"109",1,"RT @VedicVision: Let's take an inspiration from Lord Ganesh Ji who worshiped Parents! 

Happy Parents Worship Day! http://t.co/efVBoISygv","https://twitter.com/MahalaManoj"
"110",2,"RT @AnjanaVJ: @dhanushkraja his charm, his mind blowing acting.. U can never resist him !! Anegan was really good! Dangamaari'ku theatre thâ¦","https://twitter.com/Vaira_Ganesh"
"116",2,"@dd_freedish wow great 
Hoping for some more surprises","https://twitter.com/dayma_ganesh"
"119",1,"@vedhika4u love is a sweet pain..","https://twitter.com/Vaira_Ganesh"
"120",1,"RT @Vedhika4u: Hi deariesí ½í².What does loveí ½í² mean to u? The most beautiful replies will hav a special mention along with ur names í ½í¸ http://t.â¦","https://twitter.com/Vaira_Ganesh"
"122",1,"Thanks to puri.ganesh. vamshi. @ my lovely Tiger...............","https://twitter.com/ShivashankaraSs"
"125",1,"RT @VedicVision: Let's take an inspiration from Lord Ganesh Ji who worshiped Parents! 

Happy Parents Worship Day! http://t.co/efVBoISygv","https://twitter.com/Rajesho121"
