"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","path"
"1","@RucshanK @26_ganesh sorry I cannot help here...",FALSE,0,"RucshanK",2015-02-13 11:14:45,FALSE,"566025900656177152","566193756874227712","2950357516","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sunnyaudit",0,FALSE,FALSE,NA,NA,"https://twitter.com/sunnyaudit"
"2","@RucshanK @26_ganesh you can buy the rights and release yourself...",FALSE,0,"RucshanK",2015-02-13 11:14:30,FALSE,"566016742133354496","566193691183046656","2950357516","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sunnyaudit",0,FALSE,FALSE,NA,NA,"https://twitter.com/sunnyaudit"
"3","RT @malviyamit: #RSS Swayemsevaks helping authorities with rescue operations in Anekal. Only instance of productive 'civil society'. http:/…",FALSE,0,NA,2015-02-13 11:13:42,FALSE,NA,"566193489944125440",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ganesh_Kanyady",57,TRUE,FALSE,NA,NA,"https://twitter.com/Ganesh_Kanyady"
"4","We just love the bond between Ganesh &amp; Darpan ! :*
Really they are just ""One In a Million"" #Bandhan @IamChhaviPandey http://t.co/QwDcQEWpMl",FALSE,0,NA,2015-02-13 11:12:27,FALSE,NA,"566193177992773632",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ChhaviPandeyFC",0,FALSE,FALSE,NA,NA,"https://twitter.com/ChhaviPandeyFC"
"5","RT @prabhucharan8: @ganeshbandla Fully packed..!!! Creative minded..!! 100% promising...!! Thank u Soo much Ganesh garu.miku nijam runapadi…",FALSE,0,NA,2015-02-13 11:10:01,FALSE,NA,"566192565670526976",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","harishmunna1317",1,TRUE,FALSE,NA,NA,"https://twitter.com/harishmunna1317"
"6","@ganeshbandla Fully packed..!!! Creative minded..!! 100% promising...!! Thank u Soo much Ganesh garu.miku nijam runapadi vuntam sir #Temper",FALSE,0,"ganeshbandla",2015-02-13 11:08:30,FALSE,NA,"566192185335222272","451393546","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","prabhucharan8",1,FALSE,FALSE,NA,NA,"https://twitter.com/prabhucharan8"
"7","Small Kiddo and her favorite god, Ganesh. Somewhere in the Bali countryside eating yucca and learning… http://t.co/jHX3vLdjT5",FALSE,0,NA,2015-02-13 11:05:39,FALSE,NA,"566191467950276608",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","CLFAdventure",0,FALSE,FALSE,NA,NA,"https://twitter.com/CLFAdventure"
"8","RT @KareenaOnline: “Kareena Kapoor’s item number in Brothers will be 2015’s Chikni Chameli.” — Brothers' choregrapher Ganesh Acharya",FALSE,0,NA,2015-02-13 11:05:12,FALSE,NA,"566191353445769216",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BeboliciousFan",20,TRUE,FALSE,NA,NA,"https://twitter.com/BeboliciousFan"
"9","Ganesh Acharya talks about 'Hey Bro' http://t.co/VCon7rjf3z",FALSE,0,NA,2015-02-13 11:03:54,FALSE,NA,"566191026134851584",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","keenu30",0,FALSE,FALSE,NA,NA,"https://twitter.com/keenu30"
"10","@ganeshbandla Congrats #Temper team and B Ganesh garu",FALSE,0,"ganeshbandla",2015-02-13 10:59:26,FALSE,"566186875149221889","566189899523817472","451393546","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pawans4u",0,FALSE,FALSE,NA,NA,"https://twitter.com/pawans4u"
