"","ti","age","id","au","ve","nC","nP","nR","at","msg","path"
"1",2015-01-20 06:02:41,0.000929408876432313,"z13wzx1p3samz3rwp04cetwhvnbahfcazcs","107621369610733894293","post",0,0,0,"article","#InsiderTweets | #ChiyaanVikram ,@iamAmyJackson In Hyderabad For #I Promotions #newspaper http://t.co/tbSiqkf2yD&quot; | @Aascars | #HyderabadInsider http://ow.ly/2TCjwA﻿","https://plus.google.com/107621369610733894293"
"2",2015-01-20 05:47:56,0.0111655481601203,"z12isdjjama0svmhz04cfxooqqu5xl55nek","112741708539543231304","post",0,1,0,"album"," #Vikram  &amp;  #AmyJackson  @  #I  Press MeetFor More Latest Updates &gt;&gt;  http://bit.ly/1xmzWCy﻿","https://plus.google.com/112741708539543231304"
"3",2015-01-20 05:30:06,0.0235530878686243,"z12bddjxxzbru3ew004cebloaze4t5jatmk0k","108332664123048380872","post",0,0,0,"photo","#Vikram in #I , 5 days box office collection #shankar   #AmyJackson﻿","https://plus.google.com/108332664123048380872"
"4",2015-01-20 05:01:55,0.0431233193339021,"z12qcfm4dm2gw5cuw23bu5xgknygsfvjq04","107981932054074110407","post",0,3,0,"article","Photos of Tamil I Movie Press Meet #i   #tamil   #chiyaanvikram   #amyjackson  ﻿","https://plus.google.com/107981932054074110407"
"5",2015-01-20 05:00:36,0.0440391440220453,"z12nclhjeouvdxnmu23uwjipgvjkjzx5d04","101822630084343792421","share",0,0,0,"photo","Hmmmm, #I wonder! ﻿","https://plus.google.com/101822630084343792421"
"6",2015-01-20 04:57:20,0.0463054368782926,"z12qun153pqbsvpt3235cxaikpjzzljv0","112445684032861049021","share",0,1,0,"photo","Hmmmm, #I wonder! ﻿","https://plus.google.com/112445684032861049021"
"7",2015-01-20 04:51:09,0.0506053496842031,"z135x5oo3ry0h1wnc22mvbj5lybes5rzy04","105410583006682627600","post",0,0,0,"article"," #IBoxOfficeCollection   #I  Beats  #Kaththi   #IMovieBoxOffice   #IFiveDayCollections   #IOpeningWeekend   #ICollection   #Vikram   #Shankar  ﻿","https://plus.google.com/105410583006682627600"
"8",2015-01-20 04:35:44,0.0613077131106898,"z133grvylqqzshjwk04cez4g1tabhdgr51c","117794609624817928653","post",4,34,4,"photo","Hmmmm, #I wonder! ﻿","https://plus.google.com/117794609624817928653"
"9",2015-01-20 04:08:31,0.0802092529695343,"z12nsjxwinbwg1ifu23ahjyrdvjyjvilk","107757178254019543136","share",0,1,0,"photo","#Anonymous #Keep #Calm #because﻿ #The #World #is #You﻿ #and #I﻿","https://plus.google.com/107757178254019543136"
"10",2015-01-20 03:54:08,0.0901943671289417,"z130dpg5ixmqydiut23dxjezqmzfcfajm04","101591867222421713573","share",0,0,0,"photo","#Lazy #Out #Much ?!YASSS MAN!&#39; i am lazed out cuz like its bedtime and aint no body got time to get in serious pajams! well sadly tommrow is school!!!!!! (angry face) why!!! i wish school wasent Created!!!!!!!!!!! i would rather spend my whole day just posting roaming on the house doing hangouts!! i mean anyone would wanna!!??!well ok gtg nice talkin to ya&quot;ll after ages!!!#ily #wow #awesome #followers #yes #random #hashtags #lets #count #how #many #hash #tags #i #can #do #i #know #i #suck #at #hash #tagging #alternative #punk #scene #emo #kawaii #lazy #work #out #i #hate #school #martin #luther #king #i #dont #know #why #i #said #that #well #i #am #bored #im #dry #i #got #no #more #hashtags #well #good #night #plz #follow!!!  ily﻿","https://plus.google.com/101591867222421713573"
"11",2015-01-20 03:53:44,0.0904757886324768,"z13kflu5eyaagjlbl04cjjuhqxfyg3cvz","100817791885179965996","share",0,0,0,"photo","Shankar&#39;s Touch &amp; Chiyaan Performance -Heart Breaking  #chiyaan   #chiyaanvikram   #imovie   #ai   #i   #kollywood   #tamilmovie   #tamilcinema   #amyjackson   #koonan﻿","https://plus.google.com/100817791885179965996"
"12",2015-01-20 03:38:35,0.100990445589026,"z13lihnwqzjccni1s22jetjqyqu3svusz","111845889446761419128","post",0,22,0,"photo","My wallpaper#I have a dream That every man woman and baby will become an otaku﻿","https://plus.google.com/111845889446761419128"
"13",2015-01-20 03:11:09,0.120045911658693,"z130zh2yiyjmtrtju04cfl0aeozmd50av50","109792081837579676216","post",0,0,0,"photo","Vikram #I Movie Krishna collections @ http://goo.gl/WpQTOi #Vikram   #Shankar  ﻿","https://plus.google.com/109792081837579676216"
"14",2015-01-20 03:01:53,0.126483575674119,"z130ebxq3nz1dhm1322oxliiqrrtg5qlp","106686131265284087444","post",0,0,0,"article","#fb Ambi - Remo - Anniyan #Anniyan Lingesan - Lee - Koonan #I !! One Man Different... http://ow.ly/2TC61v﻿","https://plus.google.com/106686131265284087444"
"15",2015-01-20 02:39:09,0.142264086179159,"z13ninqqfsezidjqn04ch1lhcmjig5g4wq40k","104904146919418076626","post",3,7,1,"photo","#Lazy #Out #Much ?!YASSS MAN!&#39; i am lazed out cuz like its bedtime and aint no body got time to get in serious pajams! well sadly tommrow is school!!!!!! (angry face) why!!! i wish school wasent Created!!!!!!!!!!! i would rather spend my whole day just posting roaming on the house doing hangouts!! i mean anyone would wanna!!??!well ok gtg nice talkin to ya&quot;ll after ages!!!#ily #wow #awesome #followers #yes #random #hashtags #lets #count #how #many #hash #tags #i #can #do #i #know #i #suck #at #hash #tagging #alternative #punk #scene #emo #kawaii #lazy #work #out #i #hate #school #martin #luther #king #i #dont #know #why #i #said #that #well #i #am #bored #im #dry #i #got #no #more #hashtags #well #good #night #plz #follow!!!  ily﻿","https://plus.google.com/104904146919418076626"
"16",2015-01-20 02:36:39,0.144003068266643,"z13zcvljkpfjc3ede230cdxjkrzgezho004","100165638401009600672","share",0,0,0,"photo","Shankar&#39;s Touch &amp; Chiyaan Performance -Heart Breaking  #chiyaan   #chiyaanvikram   #imovie   #ai   #i   #kollywood   #tamilmovie   #tamilcinema   #amyjackson   #koonan﻿","https://plus.google.com/100165638401009600672"
"17",2015-01-20 02:22:25,0.153883244709836,"z12didgjnrvshx0wz04cfrwbswikt11rsys0k","108653934305008296453","post",0,0,0,"article","Chiyaan #Vikram and Actress #AmyJackson at #I Movie Press Meet http://moviegallery4u.com/photos/tamil-event/i-movie-press-meet-29269.html﻿","https://plus.google.com/108653934305008296453"
"18",2015-01-20 02:22:22,0.153928554885917,"z133gnhonlamc5fzu04cgzvgswrxdb3gjfw","102869394776958968230","post",6,26,3,"article","Chiyaan #Vikram and Actress #AmyJackson at #I Movie Press Meet http://moviegallery4u.com/photos/tamil-event/i-movie-press-meet-29269.html﻿","https://plus.google.com/102869394776958968230"
"19",2015-01-20 02:20:54,0.154942710603829,"z121c11q1zjzf3zje04cgpt41vnvyxbamuk0k","114910065612791471270","share",0,0,0,"photo","Shankar&#39;s Touch &amp; Chiyaan Performance -Heart Breaking  #chiyaan   #chiyaanvikram   #imovie   #ai   #i   #kollywood   #tamilmovie   #tamilcinema   #amyjackson   #koonan﻿","https://plus.google.com/114910065612791471270"
"20",2015-01-20 02:17:33,0.15727232762233,"z12idhsyowy4u12fh235id0iwyzrdtoqo04","114910065612791471270","post",0,1,0,"photo","Stylish Vikram #Ai #i #Chiyaanvikram #Shankar﻿","https://plus.google.com/114910065612791471270"
"21",2015-01-20 02:02:18,0.16785910823279,"z12kvtzxfmime5cal04cij3wbxzex1b5q1s","110332431969824339802","post",0,0,0,"article","#chukkuvellam | Sreedhar Pillai: Rumblings in Malayalam film industry over the super success of #I in Kerala. Producers &amp; distributors call 4 meeting 2 discuss issue 1/2 | #chukkuvellam http://ow.ly/2TC1ua﻿","https://plus.google.com/110332431969824339802"
"22",2015-01-20 02:01:41,0.168285914121403,"z13dgjhixuj1hjmop04cjpx40zq1sdxix4o","118160881887821669345","post",0,0,0,"article","http://goo.gl/SgTdGc #pintalabios Candy Colored Makeup &amp; KRYOLAN GIVEAWAY ^_^ #I... http://ow.ly/2TC12Q﻿","https://plus.google.com/118160881887821669345"
"23",2015-01-20 01:59:04,0.170103711096777,"z13wxzfhburvgnwrj04cifdztxmvc1jrefs","116307352635243389248","post",0,0,0,NA,"CBCF LIFE......FUCK THIS SHIT YO! #I&lt;3MyGirlFrannnn*DRS*4Lyyyfe﻿","https://plus.google.com/116307352635243389248"
"24",2015-01-20 01:21:08,0.196444925213302,"z12evpci4mzbirpj304cgtpzuxbhztzhua0","107757178254019543136","post",0,0,0,"photo","#Anonymous #Keep #Calm #because﻿ #The #World #is #You﻿ #and #I﻿","https://plus.google.com/107757178254019543136"
"25",2015-01-20 00:58:34,0.212121914843166,"z122izcijlqlyf0wn04cfhhy5zebudvattk0k","118220661366755766327","post",0,0,0,"photo","#Me #All #I #Can #Be #Boss﻿","https://plus.google.com/118220661366755766327"
"26",2015-01-19 23:32:50,0.271652191438609,"z12tcnyrgoryutlpv04cctbpdvbhz5syl2o","101951919624694975405","post",0,0,0,"video","Kingdom Hearts:Chain of Memories-Training 2 #I&#39;M BACK!﻿","https://plus.google.com/101951919624694975405"
"27",2015-01-19 22:26:10,0.317953756288798,"z12kwt1r1xfvhn3mp22odfnwozm5shsew","106328269794946411385","post",0,0,0,"photo","#VSportsCD  Sherman, Thomas expected to play vs. Pats http://vncd.us/88ySh2  #NFL #i #Sports﻿","https://plus.google.com/106328269794946411385"
"28",2015-01-19 22:01:28,0.335103760557594,"z132fl34slfag1fzu04cjpx40zq1sdxix4o","118160881887821669345","post",0,0,0,"article","http://goo.gl/KZjjQ0 #pintalabios Soft Glam Makeup Tutorial 1st GIVEAWAY ^_^ #I... http://ow.ly/2TBvIa﻿","https://plus.google.com/118160881887821669345"
"29",2015-01-19 21:39:40,0.350242510228245,"z13hedkalvbxcnesh23lgvzpopivdlfje04","103800215389285281414","post",0,1,0,"album","#I# ﻿","https://plus.google.com/103800215389285281414"
"30",2015-01-19 21:37:48,0.351543623559453,"z12rjleo2wedxfxo304cjbszlueixpvyj1k","101872040624603362325","post",0,3,0,"photo","#I#LOVE#YOU﻿","https://plus.google.com/101872040624603362325"
"31",2015-01-19 21:31:22,0.356014248554905,"z13iivozqvbfsrzrn04cjbszlueixpvyj1k","101872040624603362325","post",0,3,0,"photo","#I#LOVE#YOU♥﻿","https://plus.google.com/101872040624603362325"
"32",2015-01-19 20:01:56,0.418110778097201,"z13ihz3waxilzlv4b04cevf4iwyoddepxwg0k","112905942257549985002","post",0,0,0,"article","#fb #I Girl #AmyJackson &lt;3 - #I Girl #AmyJackson ♥ http://ow.ly/2TBd2d﻿","https://plus.google.com/112905942257549985002"
"33",2015-01-19 19:36:43,0.435622738939193,"z123dzqphwu3inupm04cgd0bzoavs5lgmgc","116704559305659577175","share",0,0,0,"article","Shankar’s ‘I’ box office collection: Collects Rs. 55 crore in three days, expected to run highhttp://tinyurl.com/qfyddcm#shankar #Ifilm #boxofficecollection #AmayJackson #UpenPatel #SouthIndian #tamilmovie #Vikram #i﻿","https://plus.google.com/116704559305659577175"
"34",2015-01-19 19:33:42,0.437720179022462,"z13qcxaqwlvczxq4o04cgd0bzoavs5lgmgc","116704559305659577175","post",0,1,1,"article","Shankar’s ‘I’ box office collection: Collects Rs. 55 crore in three days, expected to run highhttp://tinyurl.com/qfyddcm#shankar #Ifilm #boxofficecollection #AmayJackson #UpenPatel #SouthIndian #tamilmovie #Vikram #i﻿","https://plus.google.com/116704559305659577175"
"35",2015-01-19 19:31:04,0.439549090942299,"z124tr4ycqmfebzd2232c1zx1qy1gf4n2","116704559305659577175","share",0,0,0,"article","Shankar’s ‘I’ box office collection: Collects Rs. 55 crore in three days, expected to run highhttp://tinyurl.com/qfyddcm#shankar #Ifilm #boxofficecollection #AmayJackson #UpenPatel #SouthIndian #tamilmovie #Vikram #i﻿","https://plus.google.com/116704559305659577175"
"36",2015-01-19 19:30:47,0.439752979016414,"z12ddfbowmixw503y232c1zx1qy1gf4n2","116704559305659577175","share",0,0,0,"article","Shankar’s ‘I’ box office collection: Collects Rs. 55 crore in three days, expected to run highhttp://tinyurl.com/qfyddcm#shankar #Ifilm #boxofficecollection #AmayJackson #UpenPatel #SouthIndian #tamilmovie #Vikram #i﻿","https://plus.google.com/116704559305659577175"
"37",2015-01-19 19:30:23,0.440020222732866,"z135xlbyomjsjp3fg232c1zx1qy1gf4n2","116704559305659577175","share",0,0,0,"article","Shankar’s ‘I’ box office collection: Collects Rs. 55 crore in three days, expected to run highhttp://tinyurl.com/qfyddcm#shankar #Ifilm #boxofficecollection #AmayJackson #UpenPatel #SouthIndian #tamilmovie #Vikram #i﻿","https://plus.google.com/116704559305659577175"
"38",2015-01-19 19:29:39,0.440531797494601,"z12svbthorj2fpikl232c1zx1qy1gf4n2","116704559305659577175","share",0,0,0,"article","Shankar’s ‘I’ box office collection: Collects Rs. 55 crore in three days, expected to run highhttp://tinyurl.com/qfyddcm#shankar #Ifilm #boxofficecollection #AmayJackson #UpenPatel #SouthIndian #tamilmovie #Vikram #i﻿","https://plus.google.com/116704559305659577175"
"39",2015-01-19 19:29:21,0.440739555985287,"z12dtp3bfuamchfvj232c1zx1qy1gf4n2","116704559305659577175","share",0,1,1,"article","Shankar’s ‘I’ box office collection: Collects Rs. 55 crore in three days, expected to run highhttp://tinyurl.com/qfyddcm#shankar #Ifilm #boxofficecollection #AmayJackson #UpenPatel #SouthIndian #tamilmovie #Vikram #i﻿","https://plus.google.com/116704559305659577175"
"40",2015-01-19 19:29:05,0.440927453463276,"z12yu5jgfsawxjde2232c1zx1qy1gf4n2","116704559305659577175","share",0,0,0,"article","Shankar’s ‘I’ box office collection: Collects Rs. 55 crore in three days, expected to run highhttp://tinyurl.com/qfyddcm#shankar #Ifilm #boxofficecollection #AmayJackson #UpenPatel #SouthIndian #tamilmovie #Vikram #i﻿","https://plus.google.com/116704559305659577175"
"41",2015-01-19 19:28:50,0.441100683413722,"z13hxvjzuuycgj3op04cgd0bzoavs5lgmgc","116704559305659577175","share",0,0,0,"article","Shankar’s ‘I’ box office collection: Collects Rs. 55 crore in three days, expected to run highhttp://tinyurl.com/qfyddcm#shankar #Ifilm #boxofficecollection #AmayJackson #UpenPatel #SouthIndian #tamilmovie #Vikram #i﻿","https://plus.google.com/116704559305659577175"
"42",2015-01-19 19:28:41,0.44120550190409,"z12qi30idwr2jxos423rddi4pvzbjrsuw","107339781689111521368","post",0,0,0,NA,"Thars a noo artikle calt &#39;Why #I&#39;llRideWithYou worked, and other Muslim hashtags didn&#39;t&#39; dunben rote ahn published on www.hillbillynews.net #AmyPoehler, #AussieRachelJacobs, #BokoHaram, #MalalaYousufzai, #MichelleObama, #PoliticalActivism #Hillbilly #Redneck﻿","https://plus.google.com/107339781689111521368"
"43",2015-01-19 19:28:35,0.44127787647148,"z13juzwbnwuyx3cow04cgd0bzoavs5lgmgc","116704559305659577175","share",0,1,1,"article","Shankar’s ‘I’ box office collection: Collects Rs. 55 crore in three days, expected to run highhttp://tinyurl.com/qfyddcm#shankar #Ifilm #boxofficecollection #AmayJackson #UpenPatel #SouthIndian #tamilmovie #Vikram #i﻿","https://plus.google.com/116704559305659577175"
"44",2015-01-19 19:28:22,0.441421441557231,"z12uexpp0siud3loe04cgd0bzoavs5lgmgc","116704559305659577175","post",0,1,1,"article","Shankar’s ‘I’ box office collection: Collects Rs. 55 crore in three days, expected to run highhttp://tinyurl.com/qfyddcm#shankar #Ifilm #boxofficecollection #AmayJackson #UpenPatel #SouthIndian #tamilmovie #Vikram #i﻿","https://plus.google.com/116704559305659577175"
"45",2015-01-19 19:01:31,0.460071175034951,"z13ngdoaxlbbvd3rs04cevf4iwyoddepxwg0k","112905942257549985002","post",0,0,0,"article","#fb #I is &amp;lt;3 - #I is ♥ http://ow.ly/2TB1jX﻿","https://plus.google.com/112905942257549985002"
"46",2015-01-19 19:01:29,0.460094777022799,"z13buplg1w2nfbbfx22ki3to5pvrclzge04","116452801269083761699","post",0,1,0,"photo","Let us celebrate life and legacy of a man who brought hope and healing to America. Happy Martin Luther King Day! #OCMBC #OCMBancorp #MLK #I #Have #A #Dream #Martin #Luther #King﻿","https://plus.google.com/116452801269083761699"
"47",2015-01-19 18:59:49,0.461251791114057,"z121vbbolny3xdrzj04cj3tpasmmgxjqvlc0k","106521690467590746786","post",0,1,0,"video","#I STAY WORKING#NETWORK!﻿","https://plus.google.com/106521690467590746786"
"48",2015-01-19 18:57:10,0.463093406679454,"z12ksnhw0qq0wt4ea23mwd1r3lmctjzre04","103066573055575558842","share",0,1,0,"photo","Shankar&#39;s Touch &amp; Chiyaan Performance -Heart Breaking  #chiyaan   #chiyaanvikram   #imovie   #ai   #i   #kollywood   #tamilmovie   #tamilcinema   #amyjackson   #koonan﻿","https://plus.google.com/103066573055575558842"
"49",2015-01-19 18:23:35,0.486421684686232,"z13liv1ortijzlc3l22bjdnqbzvpwvq4n04","106910544693487895417","post",0,0,0,"photo","#vikram always the #beat#I﻿","https://plus.google.com/106910544693487895417"
"50",2015-01-19 18:01:43,0.50159916334958,"z13ddpeiypfbilbzy04cenq5tuuyz5kquao","106686131265284087444","post",0,0,0,"article","#fb #VIDEO &amp;#xfe4f9; :: #Chiyaan #Vikram and &amp;#064;iamAmyJackson at #I Dubai Premiere Show &amp;#xfeb9f; #Mas... http://ow.ly/2TAONh﻿","https://plus.google.com/106686131265284087444"
"51",2015-01-19 18:01:30,0.501754167808427,"z12sup3wbkqxednvd22nclnpwky2ixaw304","106025406988752637063","share",0,2,0,"photo","Shankar&#39;s Touch &amp; Chiyaan Performance -Heart Breaking  #chiyaan   #chiyaanvikram   #imovie   #ai   #i   #kollywood   #tamilmovie   #tamilcinema   #amyjackson   #koonan﻿","https://plus.google.com/106025406988752637063"
"52",2015-01-19 17:54:12,0.506820041371716,"z13wgnbbtn22ezbnd230wt2z1rubsbf2a","102491724710692639703","share",0,0,0,"photo","Shankar&#39;s Touch &amp; Chiyaan Performance -Heart Breaking  #chiyaan   #chiyaanvikram   #imovie   #ai   #i   #kollywood   #tamilmovie   #tamilcinema   #amyjackson   #koonan﻿","https://plus.google.com/102491724710692639703"
"53",2015-01-19 17:48:43,0.510627098963768,"z134jdhyapmsw1ihb04cdftz4vjby3eqolc0k","107169274681249130632","post",0,0,0,"article","#GopalaGopala and #I Overseas report﻿","https://plus.google.com/107169274681249130632"
