"","score","text","path"
"2",-2,"excuse me while I cry http://t.co/49m1FTpBsd","https://twitter.com/o2l_babees"
"4",-1,"Holy fuck lmao I zoomed in on that pic so many times and I finally seen it, it gave me chillsí ½í¸©","https://twitter.com/LongLiveVince"
"8",-1,"@camerondallas cuddle me until I fall asleep","https://twitter.com/kotaxrae"
"14",-1,"@CatieMuranaka I know, I hate myself","https://twitter.com/GinaSundstedt"
"20",-1,"Wise words from Ed for the day ""I ain't no bitch and I don't have girly tattoos""","https://twitter.com/sawshuh_fierce"
"25",-1,"I've heard worse. Keep walking","https://twitter.com/joseponce_17"
"30",-1,"I don't think I'm conscious of making monsters out of the women I sponsor till it all goes bad","https://twitter.com/Mildish_Gambino"
"35",-1,"""@MyLoveIsPoison: Sexually Frustrated í ½í¸«"" I told y'all she need dick fam","https://twitter.com/NyceDaGreatest"
"41",-1,"Niggas will hate Da truth and love a lie I don't get it","https://twitter.com/GrandSkeem301"
"57",-1,"I'm gonna make you miss me","https://twitter.com/danalynn_13"
"65",-1,"RT @Texting_5SOS: I'm so late but I just realized 5sos changed their bio to ""just 4 old guys making music"" I hate this band","https://twitter.com/fivezauce"
"66",-1,"í ½í²- ugh ihysm â¤ï¸ you're hot í ½í¸ and I miss having a class w you bc you would always make me laugh!","https://twitter.com/jessenciso21"
"70",-1,"Where do I report sexual harassment at the gym..? í ½í¸·í ½í¸·í ½í¸·","https://twitter.com/renataf14"
"77",-2,"@HEELAussie No, I am just a man who feels strongly about novelty t-shirts. I'll give you my t-shirt when you pry it from my cold, dead hands","https://twitter.com/drdeathmont"
"83",-1,"@jeninelydia what?! i thought you were the cutest and no word of a lie, ppl used to ask me why i would say hi to you all the time lol","https://twitter.com/SkinnyMinnie__"
"84",-1,"RT @idarkparadisee: I'm sorry if I say, I need you but I don't care, I'm not scared of love.","https://twitter.com/osnapitzbiebr"
"86",-1,"I'm such a bitch í ½í¸í ½í¸","https://twitter.com/MercedesNorthup"
"92",-1,"I can't eat more than twice a day that's disgusting","https://twitter.com/IamNikaylaB"
