"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","path"
"1","RT @HeymanHustle: . @WWERollins is the FUTURE of @WWE ... once I give him my blessing, at @BrockLesnar's behest! http://t.co/Ewk8EanGkE",FALSE,0,NA,2015-01-20 06:03:32,FALSE,NA,"557418125961228288",NA,"<a href=""http://gainfollowerz.com"" rel=""nofollow"">another1 app</a>","kn15raf",1491,TRUE,FALSE,NA,NA,"https://twitter.com/kn15raf"
"2","excuse me while I cry http://t.co/49m1FTpBsd",FALSE,0,NA,2015-01-20 06:03:32,FALSE,NA,"557418125952811008",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","o2l_babees",0,FALSE,FALSE,NA,NA,"https://twitter.com/o2l_babees"
"3","It's time to go there I need a break„ÄÄ-Save me",FALSE,0,NA,2015-01-20 06:03:32,FALSE,NA,"557418125952425985",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","Ken_lyrics_",0,FALSE,FALSE,NA,NA,"https://twitter.com/Ken_lyrics_"
"4","Holy fuck lmao I zoomed in on that pic so many times and I finally seen it, it gave me chillsÌ†ΩÌ∏©",FALSE,0,NA,2015-01-20 06:03:32,FALSE,NA,"557418125910872064",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LongLiveVince",0,FALSE,FALSE,"-87.78941526","41.84447693","https://twitter.com/LongLiveVince"
"5","RT @FullSEOlinking: I will blast Your Website, Affiliate, Mlm Link, Solo Ad To My 4 Million Subscribers for $5 http://t.co/B6CmI1elZC http:‚Ä¶",FALSE,0,NA,2015-01-20 06:03:32,FALSE,NA,"557418125885329409",NA,"<a href=""http://tweetadder.com"" rel=""nofollow"">TweetAdder v4</a>","bitofivudew",32,TRUE,FALSE,NA,NA,"https://twitter.com/bitofivudew"
"6","@Harry_Styles thank you for being the reason i smile &amp; why im happy, if it isn't too much, could you please follow me? all the loveÌ†ΩÌ≤û

x9718",FALSE,0,"Harry_Styles",2015-01-20 06:03:32,FALSE,NA,"557418125885321216","181561712","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","powerIesshes",0,FALSE,FALSE,NA,NA,"https://twitter.com/powerIesshes"
"7","@marcusjohns CAN YOU PLZ FOLLOW I LOVE WATCHING YOUR VINES PLZ NOTICE ME MARCUS! 201",FALSE,0,"marcusjohns",2015-01-20 06:03:32,FALSE,NA,"557418125881520128","47846709","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jordan_belinsky",0,FALSE,FALSE,NA,NA,"https://twitter.com/jordan_belinsky"
"8","@camerondallas cuddle me until I fall asleep",FALSE,0,"camerondallas",2015-01-20 06:03:32,FALSE,"557417978665242624","557418125868953600","405728790","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kotaxrae",0,FALSE,FALSE,NA,NA,"https://twitter.com/kotaxrae"
"9","I was supposed to do homework today but I'll do it tomorrow . Ì†ΩÌ∏∂",FALSE,0,NA,2015-01-20 06:03:32,FALSE,NA,"557418125868945408",NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","BigBooty_Hoess",0,FALSE,FALSE,NA,NA,"https://twitter.com/BigBooty_Hoess"
"10","Wait. I wish to wake up to @Michael5SOS follow. lol like that will ever happen. ‚ò∫Ô∏è night everybody.",FALSE,0,NA,2015-01-20 06:03:32,FALSE,NA,"557418125835374592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rockandrollmgc",0,FALSE,FALSE,NA,NA,"https://twitter.com/rockandrollmgc"
