"","word","freq"
"like","like",197
"love","love",175
"dont","dont",169
"just","just",168
"give","give",140
"want","want",118
"future","future",111
"blessing","blessing",108
"behest","behest",107
"ofonce","ofonce",107
"know","know",106
"get","get",98
"can","can",92
"need","need",85
"one","one",75
"think","think",75
"ill","ill",74
"day","day",73
"now","now",73
"got","got",68
"will","will",67
"cant","cant",66
"lol","lol",65
"never","never",64
"ive","ive",61
"wish","wish",58
"follow","follow",57
"see","see",56
"sleep","sleep",55
"time","time",55
"going","going",54
"people","people",52
"feel","feel",50
"hate","hate",50
"much","much",50
"still","still",50
"really","really",47
"back","back",45
"someone","someone",44
"miss","miss",42
"even","even",41
"right","right",41
"school","school",41
"good","good",40
"shit","shit",40
"always","always",38
"please","please",38
"thats","thats",37
"wanna","wanna",37
"youre","youre",37
"make","make",36
"say","say",36
"hope","hope",35
"gonna","gonna",32
"movie","movie",32
"life","life",31
"vikram","vikram",31
"tomorrow","tomorrow",30
"way","way",30
"work","work",30
"best","best",29
"ever","ever",29
"first","first",29
"mean","mean",29
"well","well",29
"everything","everything",28
"care","care",27
"fuck","fuck",27
"look","look",27
"take","take",27
"bad","bad",26
"aint","aint",25
"didnt","didnt",25
"thought","thought",25
"actually","actually",24
"happy","happy",24
"said","said",24
"world","world",24
"ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž†ˆ¼ü¾Œ£ ¼","ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž†ˆ¼ü¾Œ£ ¼",23
"better","better",23
"man","man",23
"new","new",23
"find","find",22
"nice","nice",22
"shankars","shankars",22
"something","something",22
"every","every",21
"girl","girl",21
"let","let",21
"fucking","fucking",20
"high","high",20
"long","long",20
"many","many",20
"night","night",20
"old","old",20
"seriously","seriously",20
"show","show",20
"today","today",20
"tweet","tweet",20
"baby","baby",19
"remember","remember",19
"tell","tell",19
"cause","cause",18
"days","days",18
"guess","guess",18
"guys","guys",18
"hard","hard",18
"heart","heart",18
"meet","meet",18
"sometimes","sometimes",18
"talk","talk",18
"thing","thing",18
"bed","bed",17
"done","done",17
"keep","keep",17
"little","little",17
"pls","pls",17
"run","run",17
"things","things",17
"watch","watch",17
"wont","wont",17
"asleep","asleep",16
"come","come",16
"gotta","gotta",16
"havent","havent",16
"hell","hell",16
"last","last",16
"lot","lot",16
"person","person",16
"point","point",16
"real","real",16
"stop","stop",16
"tired","tired",16
"understand","understand",16
"whats","whats",16
"wonder","wonder",16
"ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž†ˆ¼ü¾Œ£¤¼","ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž†ˆ¼ü¾Œ£¤¼",15
"friends","friends",15
"mad","mad",15
"nigga","nigga",15
"sorry","sorry",15
"start","start",15
"ass","ass",14
"everyone","everyone",14
"expected","expected",14
"god","god",14
"lmao","lmao",14
"may","may",14
"nothing","nothing",14
"okay","okay",14
"team","team",14
"text","text",14
"thinking","thinking",14
"three","three",14
"told","told",14
"yall","yall",14
"ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž†ˆ¼ü¾Ž–„¼","ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž†ˆ¼ü¾Ž–„¼",13
"ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž†ˆ¼ü¾Œ£ ¼ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž†ˆ¼ü¾Œ£ ¼","ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž†ˆ¼ü¾Œ£ ¼ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž†ˆ¼ü¾Œ£ ¼",13
"bang","bang",13
"bitch","bitch",13
"block","block",13
"cry","cry",13
"dream","dream",13
"face","face",13
"money","money",13
"music","music",13
"name","name",13
"problem","problem",13
"ready","ready",13
"texting","texting",13
"theres","theres",13
"try","try",13
"trying","trying",13
"twitter","twitter",13
"wait","wait",13
"anyone","anyone",12
"anything","anything",12
"batman","batman",12
"beautiful","beautiful",12
"box","box",12
"boxofficecollection","boxofficecollection",12
"collection","collection",12
"fall","fall",12
"girls","girls",12
"haha","haha",12
"hey","hey",12
"made","made",12
"office","office",12
"phone","phone",12
"rscrore","rscrore",12
"saw","saw",12
"seen","seen",12
"sosa","sosa",12
"talking","talking",12
"wouldnt","wouldnt",12
"ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž†ˆ¼ü¾™†„¼","ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž†ˆ¼ü¾™†„¼",11
"already","already",11
"also","also",11
"amayjackson","amayjackson",11
"birthday","birthday",11
"collects","collects",11
"felt","felt",11
"following","following",11
"fun","fun",11
"gone","gone",11
"ifilm","ifilm",11
"liked","liked",11
"looking","looking",11
"maybe","maybe",11
"omg","omg",11
"probably","probably",11
"reason","reason",11
"replying","replying",11
"respond","respond",11
"southindian","southindian",11
"stay","stay",11
"swear","swear",11
"tamilmovie","tamilmovie",11
"tho","tho",11
"times","times",11
"upenpatel","upenpatel",11
"whenever","whenever",11
"worth","worth",11
"another","another",10
"believe","believe",10
"body","body",10
"bout","bout",10
"call","call",10
"coming","coming",10
"cuz","cuz",10
"damn","damn",10
"forever","forever",10
"game","game",10
"goodnight","goodnight",10
"home","home",10
"irritating","irritating",10
"performance","performance",10
"picture","picture",10
"read","read",10
"since","since",10
"turn","turn",10
"use","use",10
"waiting","waiting",10
"ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž†ˆ¼ü¾˜“ ¼","ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž†ˆ¼ü¾˜“ ¼",9
"ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž†ˆ¼ü¾™“ ¼","ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž†ˆ¼ü¾™“ ¼",9
"amazing","amazing",9
"amyjackson","amyjackson",9
"around","around",9
"art","art",9
"cool","cool",9
"crazy","crazy",9
"drink","drink",9
"eat","eat",9
"else","else",9
"enough","enough",9
"excited","excited",9
"family","family",9
"feeling","feeling",9
"funny","funny",9
"getting","getting",9
"glad","glad",9
"great","great",9
"hes","hes",9
