"","ti","age","id","au","ve","nC","nP","nR","at","msg","path"
"1",2015-01-20 09:00:37,0.00472691401839256,"z12ee1ugfxifvf1xd04cgv5aztznyzqgmqo0k","104893553936042632712","post",0,1,0,"article","Orderly | Productivity |506632088| iPhone App | LIMITED TIME FREE $0.00 #iPhone #App #iOS﻿","https://plus.google.com/104893553936042632712"
"2",2015-01-20 09:00:27,0.00483896271498115,"z120j1cp5uituhwgj04ccpbgnmuyg3bjalw0k","110032194166095781937","post",0,1,0,"photo","iPhone App  http://buff.ly/1srlKGq Wallpapers hd for iPhone, iPod Catalogs $0.00 -&gt; Free | @free24apps #iPhone #App #iOS #free #limitedtime﻿","https://plus.google.com/110032194166095781937"
"3",2015-01-20 09:00:14,0.00498943988647726,"z13lvpwg0zyvhxxk1231e3lphrvbhlqgh04","105005201839607394707","post",0,0,0,"article","#iPhone 6 Plus vs. iPhone 6 vs. iPhone #5S vs. iPhone 5 vs. iPhone 4S #iOS 8.2 Beta 4 - Speed Test!﻿","https://plus.google.com/105005201839607394707"
"4",2015-01-20 08:57:48,0.00667856656842762,"z135dreqzsbvf1exa04cjtnwywnlg31ijpw0k","109782380588783151334","post",0,0,0,"article","() | Utilities |616381311| iPhone App | LIMITED TIME FREE $16.99 #iPhone #App #iOS﻿","https://plus.google.com/109782380588783151334"
"5",2015-01-20 08:52:56,0.0100556724352969,"z12gjfhgumbzf3j0s232yhajxzfvfxbw104","107581215878116592025","share",0,0,0,"article","Be My eyes wants to help the blind see - with your helpBe My Eyes is an iPhone app that pairs visually impaired people with sighted people willing to help. #BeMyEyes   #iPhone   #Mobile   #App   #VisuallyImpaired  ﻿","https://plus.google.com/107581215878116592025"
"6",2015-01-20 08:37:51,0.0205367528233263,"z12wgljgupbmzbchp04cdl4wsmyetrigpak","110121754626868136051","post",0,1,0,"article","PP jailbreak is out to let you jailbreak your #iPhone / #iPad running iOS 8.1.2 using #Mac OS X 10.7 or later. Here is how to jailbreak your iDevice with this tool:﻿","https://plus.google.com/110121754626868136051"
"7",2015-01-20 08:30:26,0.0256820268128757,"z13lcp1i4uvnuxtrm04cgv5aztznyzqgmqo0k","104893553936042632712","post",0,0,0,"article","() | Utilities |605172283| iPhone App | LIMITED TIME FREE $16.99 #iPhone #App #iOS﻿","https://plus.google.com/104893553936042632712"
"8",2015-01-20 08:30:16,0.0257979528026448,"z13owffzzsrqzz1ny225dv4wqrn0tvtoj04","110032194166095781937","post",0,0,0,"photo","iPhone App  http://buff.ly/1AJjqLh Power of Logic Games $0.00 -&gt; Free | @free24apps #iPhone #App #iOS #free #limitedtime﻿","https://plus.google.com/110032194166095781937"
"9",2015-01-20 08:26:08,0.0286656665664028,"z13kd3th1o2ef5spt04cjtnwywnlg31ijpw0k","109782380588783151334","post",0,0,0,"article","() | Utilities |616381311| iPhone App | LIMITED TIME FREE $16.99 #iPhone #App #iOS﻿","https://plus.google.com/109782380588783151334"
"10",2015-01-20 08:21:49,0.0316671571439063,"z12kg1kz2kq3w5l5m04cip5g2kj3dtbzyec","113934578807643138336","post",0,1,0,"article","#Iphone #Application #Development Brisbane, Gold Coasthttp://www.webexpressonline.net/mobile-development/iphone-application-development﻿","https://plus.google.com/113934578807643138336"
"11",2015-01-20 08:08:05,0.0412080498536428,"z13mcxxg4tuhytfar04cdh2wczutu5tgvnk0k","108190613023796614443","post",0,1,0,"article","Top 5 iPhone Photo Editing Apps ❤❤ 2014http://photoeditingpro.tips/top-5-iphone-photo-editing-apps-%e2%9d%a4%e2%9d%a4-2014/#Apps, #DifferentCategories, #Editing, #FaceEnhancement, #Facebook, #FavoriteApps, #HttpFacebookComHellomintplusInstagram, #HttpHellomintplusTumblrComVideoRating, #HttpInstagramComCristinaviseuTumblr, #HttpTwitterComCristinaviseuFacebook, #Instagram, #IPhone, #MahIphone, #NEWVIDEOS, #Photo, #PhotoEditing, #Subscribe, #Twitter, #Video, #VideoRating﻿","https://plus.google.com/108190613023796614443"
