"","score","text","path"
"2",-3,"RT @DanBilefsky: A tragic mystery as Argentina prosecutor charged with investigating bombing of Jewish center is found dead. http://t.co/mjâ¦","https://twitter.com/sarahlovescali"
"14",-1,"@troyesivan that so weird cause I have the same Gif on my iPhone http://t.co/Z8xsN2YdV1","https://twitter.com/ChrisssySivan"
"27",-2,"RT @Chelsey_Baucom: @puckett_kristin I seriously hate IPhone chargers. They're shit!","https://twitter.com/puckett_kristin"
"31",-1,"The iPhone 6 is fucking awesome but man is the screen overwhelming when you've come from a 4S","https://twitter.com/harrytoseland"
"34",-1,"iPhone chargers really ain't shit...","https://twitter.com/Bra_Sol"
"38",-2,"@puckett_kristin I seriously hate IPhone chargers. They're shit!","https://twitter.com/Chelsey_Baucom"
"107",-2,"Don't you hate when your iPhone cord starts to break:/ need a high quality replacement. We sell iPhone cords + wall charger adapters.","https://twitter.com/unlockable2"
"138",-2,"cops catch hard young dick to suck on at the station #sex #movie #hot #iPhone http://t.co/9BjP89qOff","https://twitter.com/BeautifulZoey1"
"199",-1,"xxx clip: hard fuck in the ass young girl on the beach  #sex #movie #hot #iPhone http://t.co/GGojk6AOWC","https://twitter.com/busty_mommy2"
"209",-1,"RT @Neo_4583: I got my first Blue Screen of death on iPhone 6, Apple is the new Microsoft.","https://twitter.com/ahmed_aly"
"233",-1,"Wish i never broke my first iphone i had way too much heat on der","https://twitter.com/_LilTrip"
"237",-1,"xxx clip: Lana Lee get on your knees and suck my dick  #sex #movie #hot #iPhone http://t.co/lBt0PuQvOG","https://twitter.com/AnalHardcore1"
"246",-1,"How to find a lost iPhone? http://t.co/3u8m2RoU0L","https://twitter.com/pete4725"
"294",-2,"RT @pangnathip_: fucking sick of iPhone 5 chargers b","https://twitter.com/lydiaaalovexo"
"310",-1,"RT @AlexJaaaay: its been a week without a iPhone &amp; im struggling haha","https://twitter.com/_EnviedByManyy"
"345",-1,"RT @ARizzyy: Why people always blame thier phone hanging up on me í ½í¸
Like bish I gotta iPhone 6 í ½í²","https://twitter.com/iAmBURRR_"
"378",-1,"""@RyanNaicker: Yo mama so fat she sat on an iPhone and turned it into an iPad"" these yo mama jokes reminds me of those school days lol!!!","https://twitter.com/adele_paruss"
"504",-1,"I got my first Blue Screen of death on iPhone 6, Apple is the new Microsoft.","https://twitter.com/Neo_4583"
"514",-2,"Snowden leak shows how the UK tracked iPhone users in 2010. Nothing to indicate this method has not discontinued.  http://t.co/UnBa8pXZ9E","https://twitter.com/RedUhl"
"577",-1,"Fxcast metatrader4 lists vice iphone: be exposed to yours give a talk: tyo","https://twitter.com/HaigMabel"
"603",-2,"As if we don't have enough hate mobs, now even a rich assholes stolen iphone is reason to potentially drive someone randomly into suicide.","https://twitter.com/Winchestro"
"616",-1,"@_Benjohnxon oh it's awful can't get over the fact I smashed my iPhone 6 this morningí ½í¸í ½í¸©","https://twitter.com/JazzLycett"
"631",-1,"Erm. How cold does an iPhone need to get before it functions? Absolute zero? http://t.co/bzwP2FbFxJ","https://twitter.com/benrowbotham"
"632",-1,"RT @MajinBuuZe: Put that shit in rice fam RT â@BennettJoeSmith: welp there goes my iPhone smhâ http://t.co/besGExU9VY","https://twitter.com/PressMouuu"
"637",-2,"RT @nicfit75: Since getting the new iPhone with fingerprint unlock technology I've never worried so much about losing my thumb.","https://twitter.com/amirahrosely"
"644",-2,"Whether you're worried about your iPhone 6 Plus bending, its glossy 5.5-inch screen getting scratched or you just... http://t.co/YqfAvJopyf","https://twitter.com/netconfig"
"662",-1,"RT @RobBenedict: talking on my iphone while looking frantically for my iphone.  #recurringproblem #whereismymind","https://twitter.com/CaptOcie"
"776",-1,"RT @KhaleddAhmed: My temper is shorter than an iPhone charger.","https://twitter.com/Pee_And_Giggles"
"805",-1,"Apple iPhone 4s - 8GB - Black (Sprint) Smartphone cracked front glass CLEAN ESN - Full read by eBay: Price 22.22â¦ http://t.co/vOoyIRfO4K","https://twitter.com/Tuerza__Leopto"
"892",-1,"xxx clip: hard fuck in the ass young girl on the beach  #sex #movie #hot #iPhone http://t.co/8HxF9aILAQ","https://twitter.com/OnBlondes"
"939",-1,"Apple see fit dead set at lte side regarding iphone: rHKl","https://twitter.com/CamilaSheldon1"
"940",-3,"Are subconscious self inconvenienced circa yours iphone getting battered but bruised? compass high censure so a...","https://twitter.com/GillCalhoun"
"946",-1,"RT @RobBenedict: talking on my iphone while looking frantically for my iphone.  #recurringproblem #whereismymind","https://twitter.com/DuyguSerim"
"965",-2,"RT @nicfit75: Since getting the new iPhone with fingerprint unlock technology I've never worried so much about losing my thumb.","https://twitter.com/__nurfariha"
"982",-3,"I've just seen the first IPhone 6 broken screen. Amazingly painful image for my brain that amount of money already wasted. Oh dear.","https://twitter.com/ismael_g_f"
"994",-1,"@EE #ee to unlock your iPhone Â£23. 3hree Free. Roaming in 15 countries 3hree no extra charges. EE will rip you off though. Greedy gits","https://twitter.com/haircut56"
