"","score","text","path"
"4",2,"RT @exploreasyraf: iPhone 5s SPARE GREY 64GB RM1900
Fullset excluding earpod
Condition perfect like new with glass screen (AHT0052) http://â¦","https://twitter.com/asuramaru"
"5",1,"I got a reward: Linked In in BigBusiness Deluxe for iOS http://t.co/Ta6WmwcQKV #iPhoneGames #GameInsight #iPhone","https://twitter.com/citrafitriany"
"6",1,"If you're an iPhone user, you're probably brainwashed by now, so reading this will not do you any good http://t.co/ASxCyxkaVF","https://twitter.com/FilipTrout"
"11",1,"sex clip: Blowjob and facial cumshot compilation  #sex #movie #hot #iPhone http://t.co/hrhr7LxisG","https://twitter.com/Lesbianlovers7"
"12",1,"I got a reward: Carpenter in BigBusiness Deluxe for iOS http://t.co/HBVVjnXRhs #GameInsight #iPhone #iPhoneGames","https://twitter.com/citrafitriany"
"15",1,"I'm now a D-List celebrity in Kim Kardashian: Hollywood. You can be famous too by playing on iPhone!  http://t.co/LWpneycDGx","https://twitter.com/_amyloganx"
"17",2,"RT @exploreasyraf: iPhone 5s SPARE GREY 64GB RM1900
Fullset excluding earpod
Condition perfect like new with glass screen (AHT0052) http://â¦","https://twitter.com/FiqFiq77"
"23",1,"RT @almarai: Guess the flavors to #win Iphone 6 #Almarai #competition http://t.co/8UtsrEbMYD","https://twitter.com/PBiharilal"
"32",1,"Spain 37. Rain Over Me (feat. Marc Anthony) - Pitbull http://t.co/Sy1YA0uIWO #Music #Video #iTunes #iPhone #Apple #Mac","https://twitter.com/itmvideorank"
"37",2,"free porn: Toying with some self-lovin' #sex #movie #hot #iPhone http://t.co/Rq6OB5Bfk8","https://twitter.com/LoversSensitive"
"39",3,"sex clip: so happy with my cock loving GF #sex #movie #hot #iPhone http://t.co/rLTxU4t909","https://twitter.com/busty_amateur"
"40",1,"sex clip: Some really fucking hot interracial sex here  #sex #movie #hot #iPhone http://t.co/960u8B7oG2","https://twitter.com/Beautyteenie1"
"41",1,"sex clip: Gloryhole Secrets milf Kitty squirts #sex #movie #hot #iPhone http://t.co/Cglc1wl436","https://twitter.com/GirlLatingirl"
"45",1,"sex clip: Rika Hayama In Hot Sultry Threesome #sex #movie #hot #iPhone http://t.co/ZRbg4PZXpd","https://twitter.com/born_serve"
"51",2,"iPhone 5s SPARE GREY 64GB RM1900
Fullset excluding earpod
Condition perfect like new with glass screen (AHT0052) http://t.co/3aNN0ZOJA1","https://twitter.com/exploreasyraf"
"52",1,"Massage Rooms Cute Teen Enjoys Fingering http://t.co/Jc0uIPkZOd
 #sex #hot #teen #iPhone #porn #girls","https://twitter.com/sexmasry2020"
