"","ti","age","id","au","ve","nC","nP","nR","at","msg","path"
"1",2015-02-12 14:04:13,0.628458356515125,"z12kvpy4jtuavpmpg04cjxtjeke0wvegwbg","110751382568495051971","post",0,0,0,"article","10 reasons why you have to watch #Temperread here - http://www.indiaglitz.com/10-reasons-why-you-have-to-watch-temper-telugu-news-125410-slide1#Indiaglitztelugu #NTR #PuriJagannadh #Kajal   #telugumovie   #telugucinema   #telugucinemanews   #ntrtemper   #jrntrtemper   #kajalaggarwal   #norafatehi   #madhurima   #soniaagarwal   #teluguactress   #telugusongs  ﻿","https://plus.google.com/110751382568495051971"
"2",2015-02-12 12:23:07,0.698661430086251,"z12oehgjvw3ezjgj504cgft5zlm3gfzyi5w","102323512026092540740","post",0,0,0,"article","#Lakme #LakmeEyeconicKajal #Kajal﻿","https://plus.google.com/102323512026092540740"
"3",2015-02-12 09:56:26,0.800525335090028,"z13fdxahfqeaujf4f04cirrbou2zjbwzklo0k","109877100101054999176","post",0,0,0,"article","Why #JRNTR – #Kajal’s #Temper is surely a #Blockbuster hit – Top 5 reasons!!Click Here ►► http://goo.gl/W432LD﻿","https://plus.google.com/109877100101054999176"
"4",2015-02-12 09:12:35,0.830984790623188,"z12dirlhlsb3d5onp23zifuo2kbaunb1v","110751382568495051971","post",0,1,0,"photo","#Temper Movie New Wallpapersmore @ http://www.indiaglitz.com/channels/telugu/moviewallpapers/19255.html#NTR #PuriJagannadh #Kajal #Telugumovies  #indiaglitztelugu  ﻿","https://plus.google.com/110751382568495051971"
"5",2015-02-12 06:56:59,0.925145383239896,"z12sgdmx3qbktl44h04cjvi5cznbsnjgo3w","100240887854964061021","post",0,0,0,"article","Highlights of Temper Movie -  #NTR   #Kajal  ﻿","https://plus.google.com/100240887854964061021"
"6",2015-02-12 06:35:25,0.940126208044864,"z12kz1e5rtfksl5oc04chp5jnpvdvxaywvw0k","114115386858889127045","post",0,0,0,"article","#temper #ntr #kajal #temper story﻿","https://plus.google.com/114115386858889127045"
"7",2015-02-12 03:10:53,1.08216278868693,"z12kzn045uvaepnh404cj3qwzru0hlswkfs","110986851182113970627","post",0,0,0,"article","Checkout  #NTR, #Kajal&#39;s #TemperMovie Trailers Read more at: http://www.andhrabugle.com/movie-news.php?mid=1052#.VNwZiOaUdOJ﻿","https://plus.google.com/110986851182113970627"
"8",2015-02-11 10:36:44,1.77254691982159,"z12mydgr2xnjv5dte22zh55pqljgddguo","112741708539543231304","post",0,5,0,"album"," #Temper   Latest Working Stills  #Ntr     #Kajal     #Purijagannadh     #AnupRubns     #PrakashRaj    For More Latest Updates &gt;&gt;  http://bit.ly/1xmzWCy﻿","https://plus.google.com/112741708539543231304"
"9",2015-02-11 06:11:28,1.956756931295,"z13jcr2q0umisjhcn230yb5gtzyiwtlox04","113590082525155954586","post",0,0,0,"article","Kajal About #NTR Married Lifehttp://bit.ly/1viDKPh @UrkajalAgarwalTalented and hot actress #Kajal has proved with her acting skills.﻿","https://plus.google.com/113590082525155954586"
"10",2015-02-11 06:10:06,1.95771208735528,"z12tvfyofmbnujoto23wfztqbkj0hx5pr04","114184017194544594389","post",0,0,1,"article","Kajal About #NTR Married Lifehttp://bit.ly/1viDKPh  @UrkajalAgarwalTalented and hot actress #Kajal has proved with her acting skills.﻿","https://plus.google.com/114184017194544594389"
"11",2015-02-10 18:04:23,2.46167653057034,"z12lv13z5ujohdb1z22we5xwooibhvchr04","100358348597929771076","share",0,1,0,"album"," #Temper   Release date postersTheatrical Trailer &gt;&gt; https://www.youtube.com/watch?v=SQgRN5tu1f4#Ntr  #kajal    #PuriJagannadh   #AnupRubens  ﻿","https://plus.google.com/100358348597929771076"
"12",2015-02-10 13:40:16,2.6450866534285,"z12hx5aggxeie5i1a22zh55pqljgddguo","112741708539543231304","post",0,4,2,"album"," #Temper   Release date postersTheatrical Trailer &gt;&gt; https://www.youtube.com/watch?v=SQgRN5tu1f4#Ntr  #kajal     #PuriJagannadh     #AnupRubens    For More Latest Updates &gt;&gt;  http://bit.ly/1xmzWCy﻿","https://plus.google.com/112741708539543231304"
"13",2015-02-10 13:09:52,2.66620291336819,"z13jwf0h4ka4xdgde22zh55pqljgddguo","112741708539543231304","post",0,4,0,"photo"," #Temper   Release date poster  #Ntr    #Kajal   #Purijagannadh   #BandlaGanesh    #AnupRubens   For More Latest Updates &gt;&gt;  http://bit.ly/1xmzWCy﻿","https://plus.google.com/112741708539543231304"
"14",2015-02-10 10:21:05,2.78341859734721,"z123gnhrplztcp2vc22fixzimob5jjram04","100415523786813731551","post",0,0,0,"article","Jr NTR&#39;s intensity in #Temper a result of fatherhood: #Kajal Aggarwalhttp://goo.gl/3uSdjn﻿","https://plus.google.com/100415523786813731551"
"15",2015-02-07 12:18:44,5.70171263819215,"z12yjpaifzv4tfuh004chplp1urygphbdmc0k","111622327490893941316","post",0,2,0,"photo","   #Temper Still #Tarak #Jrntr   #Kajal   #TemperOnFeb13  Theatrical Trailer &gt;&gt; http://youtu.be/SQgRN5tu1f4﻿","https://plus.google.com/111622327490893941316"
"16",2015-02-07 12:15:28,5.70398000295239,"z13ygp5g4mvoyh4bx04cgxtjqmbozbmgbfk","118036378038782464280","post",1,17,1,"photo","   #Temper Still #Tarak #Jrntr   #Kajal   #TemperOnFeb13  Theatrical Trailer &gt;&gt; http://youtu.be/SQgRN5tu1f4﻿","https://plus.google.com/118036378038782464280"
"17",2015-02-07 09:09:36,5.83305281017114,"z12sgrjyzrjczx3hb04cjxtjeke0wvegwbg","110751382568495051971","post",0,0,0,"article","Big release for #Temper in Karnatakaread here - http://www.indiaglitz.com/Big-Release-For-temper-In-Karnataka-telugu-news-124973#IndiaglitzTelugu #NTR #Purijagannadh #Kajalaggarwal #kajal #kajalagarwal #purijagannath #bandlaganesh  #telugumovie   #telugucinema   #tollywood   #tollywoodnews   #tollywoodmovies   #anuprubens   #anooprubens   #jrntrtemper   #jrntr   #ntrtemper  ﻿","https://plus.google.com/110751382568495051971"
"18",2015-02-07 06:00:12,5.96458461513398,"z12ngvozhknoinv25231zjlytwiwux0wz04","103794396723793144162","post",0,0,1,"photo","#Temper ~ NTR  #Kajal ~ Exclusive Pic﻿","https://plus.google.com/103794396723793144162"
"19",2015-02-07 05:51:12,5.97082875988274,"z13xuxajwkzsyffeg22zufgjjp3ovzkvm","113731145324278917260","post",0,0,0,"photo","#Kajal with @iamlakshmirai﻿","https://plus.google.com/113731145324278917260"
"20",2015-02-07 05:40:10,5.97850103308481,"z13ki1xxiu2euzlwu04cdtkrvzqbjtirrqg0k","111376434505057824298","post",0,1,0,"photo","Temper Movie Ready to Release on February 13#NTR, #Kajal Agarwal Starrer #Temper Movie scheduled to release world wide on February 13. NTR Playing a cop role in this Temper which is action entertainer Movie, directed by #Puri Jagannadh and #Bandla Ganesh is producer. Music composed by #Anup Rubens.Sonia Agarwal is playing a crucial role. Prakash Raj, Kota Srinivasa Rao, Tanikella Bharani, Ali, Krishna Murali Posaani, Madhurima, Ajaz Khan, Vennela Kishore and Saptagiri Playing key roles in this movie.See More: http://www.mobizill.com/news/#sthash.K2kSxDXJ.dpuf﻿","https://plus.google.com/111376434505057824298"
"21",2015-02-06 08:47:46,6.84821616126707,"z12qvf3gbk3de330c22ig5yzxlvyfpxxn04","111376434505057824298","post",0,3,0,"photo","Photo Feature : Tamanna , Kajal with JayapradaMilky beauty #Tamanna Bhatia and Beauty Queen #Kajal Aggarwal with yesteryear beauty #Jayaprada at the marriage of T.#Subbarami Reddy&#39;s Grandson Rajiv Reddy and Kavya.See More At: http://www.mobizill.com/news/#sthash.DEMK0IHG.dpuf﻿","https://plus.google.com/111376434505057824298"
