"","score","text","path"
"13",-1,"RT @WomensHumor: Why do I wake up tired and go to bed wide awake?","https://twitter.com/kajal_0106"
"15",-1,"@Kajal_sharma_17 The exclusive flavours from @CornettoIN will make your #tweetheart fall for you í ½í¸ over &amp; over again! http://t.co/fDmGV01KT4","https://twitter.com/GaurangBhardwa1"
"33",-1,"Idk if I said it already,  but Amber's new song #ShakeThatBrass is dope. Very fierce girl! This shows U cn have a good song w/o botty shakin","https://twitter.com/kajal_sandyy"
"41",-1,"Also, I ran out of black kajal and that is very worrisome for me","https://twitter.com/FallenAngelTWD"
"47",-1,"RT @Hanu_MegaPower: Super...
Finally kajal gave a break to NTR's Flop Yathra !!! #Temper","https://twitter.com/Asta_SaraN"
"53",-1,"RT @Hanu_MegaPower: Super...
Finally kajal gave a break to NTR's Flop Yathra !!! #Temper","https://twitter.com/ALwaysVIKRANTH"
"54",-1,"RT @Hanu_MegaPower: Super...
Finally kajal gave a break to NTR's Flop Yathra !!! #Temper","https://twitter.com/Bhagi_SL"
"56",-1,"RT @Hanu_MegaPower: Super...
Finally kajal gave a break to NTR's Flop Yathra !!! #Temper","https://twitter.com/avenchiru2"
"59",-1,"@kajal_0106 negative  í ½í¹í ½í¹í ½í¹","https://twitter.com/rakhilpatel"
"69",-1,"RT @alwaysmurli: ""@Hanu_MegaPower: Super...
Finally kajal gave a break to NTR's Flop Yathra !!! #Temper""haha","https://twitter.com/ALwaysVIKRANTH"
"73",-1,"""@Hanu_MegaPower: Super...
Finally kajal gave a break to NTR's Flop Yathra !!! #Temper""haha","https://twitter.com/alwaysmurli"
"75",-1,"RT @Hanu_MegaPower: Super...
Finally kajal gave a break to NTR's Flop Yathra !!! #Temper","https://twitter.com/dwarakesh4u"
"76",-1,"Super...
Finally kajal gave a break to NTR's Flop Yathra !!! #Temper","https://twitter.com/Hanu_MegaPower"
"85",-1,"RT @ohteenquotes: Don't stress about the closed doors behind you. New doors are opening if you keep moving forward.","https://twitter.com/kajal_here"
"86",-2,"RT @ohteenquotes: The scariest thing about distance is that you don't know whether they'll miss you or forget you.","https://twitter.com/kajal_here"
