"","score","text","path"
"2",1,"RT @iamsanjeeda: Success is important.but satisfaction is more imp bcos success is others valuation for u.but satisfaction is your own valuâ¦","https://twitter.com/kajal_here"
"16",2,"Happy birthday to the best mother in the world... happy birthday maa.... Kajal Chakraborty","https://twitter.com/_anamus"
"17",1,"RT @ShivaVijayYuvi: Best of luck for #Temper 
#TemperMania

#NTR #Kajal #Poori","https://twitter.com/Kaushik1695S"
"18",1,"RT @nagfans: Congrats @tarak9999 @purijagan #Kajal @anuprubens &amp; all #Nandamuri Fans; huge openings &amp; fantastic talk all over #Temper #Tempâ¦","https://twitter.com/rmk9848"
"19",1,"Best of luck for #Temper 
#TemperMania

#NTR #Kajal #Poori","https://twitter.com/ShivaVijayYuvi"
"25",1,"RT @nagfans: Congrats @tarak9999 @purijagan #Kajal @anuprubens &amp; all #Nandamuri Fans; huge openings &amp; fantastic talk all over #Temper #Tempâ¦","https://twitter.com/VLCspeaks"
"28",1,"RT @allkpop: JYP Entertainment announces the title of their new girl group survival show to be 'Sixteen' http://t.co/knEp2nRzbY","https://twitter.com/kajal_sandyy"
"34",1,"RT @nagfans: Congrats @tarak9999 @purijagan #Kajal @anuprubens &amp; all #Nandamuri Fans; huge openings &amp; fantastic talk all over #Temper #Tempâ¦","https://twitter.com/aneil373"
"36",1,"RT @nagfans: Congrats @tarak9999 @purijagan #Kajal @anuprubens &amp; all #Nandamuri Fans; huge openings &amp; fantastic talk all over #Temper #Tempâ¦","https://twitter.com/madhuroyal1"
"43",1,"RT @nagfans: Congrats @tarak9999 @purijagan #Kajal @anuprubens &amp; all #Nandamuri Fans; huge openings &amp; fantastic talk all over #Temper #Tempâ¦","https://twitter.com/thirumadhu"
"46",1,"RT @nagfans: Congrats @tarak9999 @purijagan #Kajal @anuprubens &amp; all #Nandamuri Fans; huge openings &amp; fantastic talk all over #Temper #Tempâ¦","https://twitter.com/Ravii9999"
"49",1,"RT @nagfans: Congrats @tarak9999 @purijagan #Kajal @anuprubens &amp; all #Nandamuri Fans; huge openings &amp; fantastic talk all over #Temper #Tempâ¦","https://twitter.com/IamIVK"
"50",1,"Happy birthday Kennon! Hope you had a great day!í ¼í¾í ½í¸í ½í¸ @kennonbene http://t.co/nBCtg0zJFa","https://twitter.com/kajal_0106"
"52",1,"Congrats @tarak9999 @purijagan #Kajal @anuprubens &amp; all #Nandamuri Fans; huge openings &amp; fantastic talk all over #Temper #TemperMania","https://twitter.com/nagfans"
"55",2,"RT @HitOrPhat: #Temper NTR did his best. Posani as a honest constable. Kajal is lovable. Prakash Raj is irritating. Resembles previous Hit â¦","https://twitter.com/Usha_777"
"65",2,"kudos to the entir team of #temper ..movie blockbuster .@tarak9999 .@purijagan @ganeshbandla nd kajal..climax  superb http://t.co/2HoXg3IeZa","https://twitter.com/sunandakrishna7"
"81",2,"RT @HitOrPhat: #Temper NTR did his best. Posani as a honest constable. Kajal is lovable. Prakash Raj is irritating. Resembles previous Hit â¦","https://twitter.com/Nagfan143"
"87",1,"Hpy hug dayí ¼í¼¹í ¼í¼¹í ¼í¼¹í ½í²í ½í²í ½í²! @mudassarkhan1","https://twitter.com/kajal_here"
"91",1,"Happiest hug day tooo all my sweetest hasinas foreverâºâ©â¥í ½í±¯  @iamsanjeeda @KishwerM @iamteenachopra @simonesinghofficial","https://twitter.com/kajal_here"
"92",1,"Happy hug day everyone..!! ï¿½í ½í¸í ½í¸í ½í¸í ½í¸í ½í¸í ½í¸í ½í¸í ½í¸í ½í²í ½í²í ½í²í ½í²í ½í²í ½í²í ½í²í ½í²í ½í²í ½í²í ½í²í ½í²í ½í²","https://twitter.com/kajal_here"
"96",1,"I liked a @YouTube video http://t.co/wj3mZgGLS1 Temper Theatrical Trailer - Jr NTR | Kajal Aggarwal | Puri Jagannadh","https://twitter.com/SJScreations"
"105",3,"Wishing to #JrNTR,#Kajal,@purijagan,@anuprubens,@ganeshbandla nd entire crew of #Temper al d vry best. Hope it will be good success...","https://twitter.com/SudeepSayz"
"109",1,"#Temper #NTR #Kajal #PuriJagannadh -  Time for last song of the film, its Devudaa, NTR is Dancing with natural ease @ http://t.co/tPIbBEHT1h","https://twitter.com/TheBharatNews"
"114",2,"HAPPY BIRTHDAY SYDí ½í²Have a frickinn fabulous day &amp; party it upí ¼í¾ I love youu and I'll always be the Kooj to your Soojâ¤ï¸ http://t.co/RLgIQqAefp","https://twitter.com/kajal_p17"
"115",2,"@purijagan #Temper #NTR #Kajal #PuriJagannadh - Police salute scene clubed with extraordinary fight scene @ http://t.co/tPIbBEHT1h","https://twitter.com/TheBharatNews"
"118",3,"#Temper #NTR #Kajal #PuriJagannadh - Police salute scene clubed with extraordinary fight scene will be a delight. @ http://t.co/tPIbBEHT1h","https://twitter.com/TheBharatNews"
"121",1,"#Temper #NTR #Kajal #PuriJagannadh -Airport scene and Police station scene is written and Executed outstandingly. @ http://t.co/tPIbBEHT1h","https://twitter.com/TheBharatNews"
"122",1,"#Temper #NTR #Kajal #PuriJagannadh - Madhurima Part was short but effective, Posani cult expression in the film . @ http://t.co/tPIbBEHT1h","https://twitter.com/TheBharatNews"
"125",1,"#Temper #NTR #Kajal #PuriJagannadh - NTR looked stunning exposed his six back body  scene from Choolenge Assma song@ http://t.co/tPIbBEHT1h","https://twitter.com/TheBharatNews"
"133",1,"#Temper #NTR #Kajal #PuriJagannadh - Conversation btw NTR - Posani are inked in perfect puri style.   @ http://t.co/tPIbBEHT1h","https://twitter.com/TheBharatNews"
"134",1,"#Temper #NTR #Kajal #PuriJagannadh - song drops in now, Kajal is looking beautiful, Chemistry b/wNTR- Kajal is@ http://t.co/tPIbBEHT1h","https://twitter.com/TheBharatNews"
"135",2,"#Temper #NTR #Kajal #PuriJagannadh -  NTR plan worked out and Kajal got good impression on him. @ http://t.co/tPIbBEHT1h","https://twitter.com/TheBharatNews"
"137",1,"#Temper #NTR #Kajal #PuriJagannadh - Kajal made a simple entry and she is looking beautiful. @ http://t.co/tPIbBEHT1h

@Actresskajal","https://twitter.com/TheBharatNews"
"154",1,"RT @kunalkohli: #BADLAPUR looking superb. Best of Luck lil bro @Varun_dvn
Go Kill it !!!!","https://twitter.com/kajal_khnn"
"155",1,"#Temper #NTR #Kajal #PuriJagannadh - Interestingly with Kajal name title card started good background score. @ http://t.co/tPIbBEHT1h","https://twitter.com/TheBharatNews"
"158",1,"Florence Welches music videos are amazing, so cinematic","https://twitter.com/kajal_mis"
"159",1,"HAPPY BIRTHDAY @Blake__plummer ilysm and our long #deep talks after school. Have a great day superman","https://twitter.com/kajal_dalal"
"162",1,"RT @ThatsSarcasm: I want to be so successful that one day my mom never has to buy a thing for herself again","https://twitter.com/kajal_0106"
"168",2,"RT @HitOrPhat: #Temper NTR did his best. Posani as a honest constable. Kajal is lovable. Prakash Raj is irritating. Resembles previous Hit â¦","https://twitter.com/Raawiteza"
"170",2,"â@Its_North_West: When bae is looking good http://t.co/qklITU1YYSâ everytime Kajal sees BARKHAD she be like @barkhadjama @kajalparekh1","https://twitter.com/hindadayib"
"172",1,"Well that was interesting","https://twitter.com/kajal_0106"
"180",1,"""@santu4u456: Lets wait n see the real verdict of #Temper ...wishing @purijagan @tarak9999 #Kajal @ganeshbandla all the best :)""","https://twitter.com/Andhra_Pasivadu"
"182",1,"Lets wait n see the real verdict of #Temper ...wishing @purijagan @tarak9999 #Kajal @ganeshbandla all the best :)","https://twitter.com/santu4u456"
"188",1,"RT @AlwayzRamCharan: All the best to @tarak9999 ,@purijagan ,Kajal,@ganeshbandla and #Temper team http://t.co/eOXdqZVAbf","https://twitter.com/SAILEELAMOHAN"
"191",3,"RT @Tarak_fanatic: One more time song picturisation super tarak cool and kajal sexy #Temper #TemperMania","https://twitter.com/ajitajju162"
"203",2,"RT @HitOrPhat: #Temper NTR did his best. Posani as a honest constable. Kajal is lovable. Prakash Raj is irritating. Resembles previous Hit â¦","https://twitter.com/PrinceeMahesh"
"205",3,"RT @Tarak_fanatic: One more time song picturisation super tarak cool and kajal sexy #Temper #TemperMania","https://twitter.com/Bandla_fc"
"218",1,"RT @hchalasani: Comic scenes btw Kajal and @tarak9999 in station are hilarious #Temper","https://twitter.com/muralialla84"
"219",1,"@tarak9999 #Kajal @prakashraaj  Starrer #Temper Releasing Today!! #TemperMania @purijagan All the best team :) http://t.co/1mnaRFAxMl","https://twitter.com/HeyANDHRA4u"
"224",1,"@ashoksayzz not at all no my frnd likes him, just for Puri Sir and Kajal :p","https://twitter.com/ShivaBalerao"
"232",1,"RT @ProudPurian: The glamour quotient in the film is also good. Apart from Kajal Aggarwal, there is Madhurima and Sonia Agarwal in the moviâ¦","https://twitter.com/Jim940"
"234",3,"RT @Tarak_fanatic: One more time song picturisation super tarak cool and kajal sexy #Temper #TemperMania","https://twitter.com/iam__praneeth"
"235",3,"RT @Tarak_fanatic: One more time song picturisation super tarak cool and kajal sexy #Temper #TemperMania","https://twitter.com/Gopal_45"
"236",2,"RT @PiyaSwity: Damn sexy @bitch_kajal ""@Sexyyyy_J143 : Hummmmm sexy!! http://t.co/VIhjxdWsOr""","https://twitter.com/ankittpatell06"
"238",1,"The glamour quotient in the film is also good. Apart from Kajal Aggarwal, there is Madhurima and Sonia Agarwal in the movie. #TemperMania","https://twitter.com/ProudPurian"
"239",3,"One more time song picturisation super tarak cool and kajal sexy #Temper #TemperMania","https://twitter.com/Tarak_fanatic"
"250",1,"Kajal is Damn sexy in beach...Animal Crossing dialouge.. Ali and Sapthagiri Adult dialouges currently going on #Temper #TemperMania","https://twitter.com/pepparsalt9"
"252",1,"Comic scenes btw Kajal and @tarak9999 in station are hilarious #Temper","https://twitter.com/hchalasani"
"270",1,"RT @diszazhar: All The Best to team TEMPER ..... from #RAMCHARAN fans  @tarak9999 ,@purijagan , #Kajal , @ganeshbandla","https://twitter.com/Hanu_MegaPower"
"271",2,"RT @Gopimohan: I wish our Baadshah combi NTR,Kajal,@ganeshbandla &amp; to dir @purijagan garu,Vakkantham a great success with #Temper :) http:/â¦","https://twitter.com/themedia0"
"272",1,"Omg dudes Moe. -_-' like wtf.","https://twitter.com/kajal_sandyy"
"276",1,"@MePurplelicious @sagarcasm I must say kajal would be surely enlightening  his day ..and who's doesn't want a day like that.","https://twitter.com/Jha_G"
"279",1,"dr. kajal agarwal check her patient cock....... http://t.co/djamKbRrgR","https://twitter.com/fuckactress"
"282",1,"Once Again ATB @tarak9999 Anna.. @purijagan @ganeshbandla @anuprubens Kajal darling #Temper","https://twitter.com/ravi251291"
"292",1,"RT @BeingRohan_: All the best Jr.NTR &amp; Kajal for Temper The Movie. @BeingSalmanKhan #TemperMania","https://twitter.com/ananthaprabath"
"294",2,"RT @UsGEMINIS: #Gemini is not about finding the perfect 1, it's about finding someone who knows they can't be perfect, but still tries to bâ¦","https://twitter.com/kajal_kazz"
"297",1,"RT @GeminiTerms: If #Gemini is single it doesn't always mean they are available and if they are not single it doesn't always mean they are â¦","https://twitter.com/kajal_kazz"
"301",1,"RT @GeminiTerms: #Gemini have a few friends and a lot of acquaintances. They don't put their trust in many.","https://twitter.com/kajal_kazz"
"304",1,"RT @TheUnusualFact: Singing in the shower daily can help boost your immunity, lower blood pressure, reduce stress, and improve your mood.","https://twitter.com/kajal_kazz"
"309",3,"RT @UsGEMINIS: If you fancy a good old fashioned argument, call a #Gemini. They enjoy turning discussions into intellectual rollercoasters.","https://twitter.com/kajal_kazz"
"311",1,"RT @jrntrfanm: Nenu #Tarak anna fan maa darling #Kajal fan inkemundi repu racha racha cheseyatame :) watch n Enjoy All 1st show 5.07am #TEMâ¦","https://twitter.com/VenkateshVijaya"
"312",1,"RT @jrntrfanm: Nenu #Tarak anna fan maa darling #Kajal fan inkemundi repu racha racha cheseyatame :) watch n Enjoy All 1st show 5.07am #TEMâ¦","https://twitter.com/CalmeTinku"
"314",1,"RT @BeingRohan_: All the best Jr.NTR &amp; Kajal for Temper The Movie. @BeingSalmanKhan #TemperMania","https://twitter.com/AryaVj_"
"316",1,"RT @nagfans: All the very best to Tarak,Kajal Aggarwal,Puri Jagannadh,Anup and the entire cast &amp; crew of #Temper","https://twitter.com/PodderRd"
"317",1,"@HanuNtr these lyrics would have been good if tarak sings for kajal not the other way around","https://twitter.com/time2party143"
