"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","path"
"1","@iamsanjeeda so true! ;)",FALSE,0,"iamsanjeeda",2015-02-13 05:05:36,FALSE,"564701528208846848","566100858056613888","50640050","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","kajal_here",0,FALSE,FALSE,NA,NA,"https://twitter.com/kajal_here"
"2","RT @iamsanjeeda: Success is important.but satisfaction is more imp bcos success is others valuation for u.but satisfaction is your own valu‚Ä¶",FALSE,0,NA,2015-02-13 05:05:05,FALSE,NA,"566100728603611136",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","kajal_here",67,TRUE,FALSE,NA,NA,"https://twitter.com/kajal_here"
"3","RT @nutsfortacker: hey guyz this cute baby had cancer. plz pray for her.
RT to spread the news. http://t.co/c7jr9DTjzk",FALSE,0,NA,2015-02-13 05:03:12,FALSE,NA,"566100252277485569",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","kajal_here",212,TRUE,FALSE,NA,NA,"https://twitter.com/kajal_here"
"4","Here's Our Review on Jr NTR Kajal Aggarwal Prakash Raj Starrer Temper - Movie !!!!!

Link: http://t.co/31RPGjbnFx http://t.co/5zf7qplRDI",FALSE,0,NA,2015-02-13 05:01:20,FALSE,NA,"566099784713637889",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","HeyANDHRA4u",0,FALSE,FALSE,NA,NA,"https://twitter.com/HeyANDHRA4u"
"5","RT @arvindkkd: On the spot....super undhi song....KajalÌ†ΩÌ∏ç ntr abt kuwait lol #twitter",FALSE,0,NA,2015-02-13 04:58:12,FALSE,NA,"566098996049899521",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mahesh6701",12,TRUE,FALSE,NA,NA,"https://twitter.com/mahesh6701"
"6","#Temper Movie Review: It's a Show of #JuniorNTR http://t.co/Jb6CVRXq58 #tempermoviereview #purijagannath #KajalAggarwal #jrntr #kajal #ntr",FALSE,0,NA,2015-02-13 04:55:45,FALSE,NA,"566098377927327744",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","azad",0,FALSE,FALSE,NA,NA,"https://twitter.com/azad"
"7","Temper Movie Plus Points :

1.NTR Acting New Style Body Language
2.Kajal Glamour
3.Cour Scene
4.Last 30 Minutes... http://t.co/0kOcRzsfTY",FALSE,0,NA,2015-02-13 04:53:58,FALSE,NA,"566097927031246849",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","bharath141212",0,FALSE,FALSE,NA,NA,"https://twitter.com/bharath141212"
"8","Temper Movie Plus Points :

1.NTR Acting New Style Body Language
2.Kajal Glamour
3.Cour Scene
4.Last 30 Minutes... http://t.co/Ua4uEvZ9KU",FALSE,0,NA,2015-02-13 04:53:45,FALSE,NA,"566097874304647168",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","bharath141212",0,FALSE,FALSE,NA,NA,"https://twitter.com/bharath141212"
"9","Temper Movie Plus Points :

1.NTR Acting New Style Body Language
2.Kajal Glamour
3.Cour Scene
4.Last 30 Minutes... http://t.co/bPTSs1aaQD",FALSE,0,NA,2015-02-13 04:53:25,FALSE,NA,"566097791408418818",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","bharath141212",0,FALSE,FALSE,NA,NA,"https://twitter.com/bharath141212"
"10","RT @arvindkkd: On the spot....super undhi song....KajalÌ†ΩÌ∏ç ntr abt kuwait lol #twitter",FALSE,0,NA,2015-02-13 04:51:53,FALSE,NA,"566097404387012608",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dp10537",12,TRUE,FALSE,NA,NA,"https://twitter.com/dp10537"
