"","analysis_score","analysis_text"
"1",0,"@iamsanjeeda so true! ;)"
"2",1,"RT @iamsanjeeda: Success is important.but satisfaction is more imp bcos success is others valuation for u.but satisfaction is your own valuâ¦"
"3",0,"RT @nutsfortacker: hey guyz this cute baby had cancer. plz pray for her.
RT to spread the news. http://t.co/c7jr9DTjzk"
"4",0,"Here's Our Review on Jr NTR Kajal Aggarwal Prakash Raj Starrer Temper - Movie !!!!!

Link: http://t.co/31RPGjbnFx http://t.co/5zf7qplRDI"
"5",0,"RT @arvindkkd: On the spot....super undhi song....Kajalí ½í¸ ntr abt kuwait lol #twitter"
"6",0,"#Temper Movie Review: It's a Show of #JuniorNTR http://t.co/Jb6CVRXq58 #tempermoviereview #purijagannath #KajalAggarwal #jrntr #kajal #ntr"
"7",0,"Temper Movie Plus Points :

1.NTR Acting New Style Body Language
2.Kajal Glamour
3.Cour Scene
4.Last 30 Minutes... http://t.co/0kOcRzsfTY"
"8",0,"Temper Movie Plus Points :

1.NTR Acting New Style Body Language
2.Kajal Glamour
3.Cour Scene
4.Last 30 Minutes... http://t.co/Ua4uEvZ9KU"
"9",0,"Temper Movie Plus Points :

1.NTR Acting New Style Body Language
2.Kajal Glamour
3.Cour Scene
4.Last 30 Minutes... http://t.co/bPTSs1aaQD"
"10",0,"RT @arvindkkd: On the spot....super undhi song....Kajalí ½í¸ ntr abt kuwait lol #twitter"
"11",0,"RT @iqlikmovies: @tarak9999 &amp; @purijagan are back with #Temper! Full Review &gt; http://t.co/9JkbvDNGKu @KajalAgarwal @prakashraaj http://t.coâ¦"
"12",0,"Nice...talk n reviews r promising...ntr-kajal hit pair a aite...í ½í±"
"13",-1,"RT @WomensHumor: Why do I wake up tired and go to bed wide awake?"
"14",0,"RT @arvindkkd: On the spot....super undhi song....Kajalí ½í¸ ntr abt kuwait lol #twitter"
"15",-1,"@Kajal_sharma_17 The exclusive flavours from @CornettoIN will make your #tweetheart fall for you í ½í¸ over &amp; over again! http://t.co/fDmGV01KT4"
"16",2,"Happy birthday to the best mother in the world... happy birthday maa.... Kajal Chakraborty"
"17",1,"RT @ShivaVijayYuvi: Best of luck for #Temper 
#TemperMania

#NTR #Kajal #Poori"
"18",1,"RT @nagfans: Congrats @tarak9999 @purijagan #Kajal @anuprubens &amp; all #Nandamuri Fans; huge openings &amp; fantastic talk all over #Temper #Tempâ¦"
"19",1,"Best of luck for #Temper 
#TemperMania

#NTR #Kajal #Poori"
"20",0,"RT @allkpop: Lee Kuk Ju participates in 'Match Made in Heaven Returns' as a special MC http://t.co/caxH1TMXlL http://t.co/2SthmzeufC"
"21",0,"RT @arvindkkd: On the spot....super undhi song....Kajalí ½í¸ ntr abt kuwait lol #twitter"
"22",0,"RT @allkpop: Leeteuk, Yoo Se Yoon, and Kim Bum Soo confirmed as MCs for mystery-music show 'I See Your Voice' http://t.co/f31o775oOx"
"23",0,"RT @allkpop: 'Hitmaker's first project girl group G.NA, Lizzy, Sohyun, and Youngji reveal MV teaser!
http://t.co/QeuSdhV3fk http://t.co/RfWâ¦"
"24",0,"RT @arvindkkd: On the spot....super undhi song....Kajalí ½í¸ ntr abt kuwait lol #twitter"
"25",1,"RT @nagfans: Congrats @tarak9999 @purijagan #Kajal @anuprubens &amp; all #Nandamuri Fans; huge openings &amp; fantastic talk all over #Temper #Tempâ¦"
"26",0,"#JrNTR #Kajal starring #Temper (telugu) movie releasing today!!  Satellite Rights with #GEMINITV  !! http://t.co/Hblw8Mp46I"
"27",0,"RT @allkpop: Eye Candy: Adorable childhood photos of male actors (Part One) http://t.co/dcKuEALXms http://t.co/1VvNDMivzS"
"28",1,"RT @allkpop: JYP Entertainment announces the title of their new girl group survival show to be 'Sixteen' http://t.co/knEp2nRzbY"
"29",0,"BEAUTY TIPS : http://t.co/oVoOu3mYKg #2781Patanjali Herbal Skin Care Neem Facewash Kajal Crack Heal Scrub Bulk Whâ¦ http://t.co/SpjAyZ9q7R"
"30",0,"BEAUTY TIPS : http://t.co/oVoOu3mYKg #2781Patanjali Herbal Skin Care Neem Facewash Kajal Crack Heal Scrub Bulk Whâ¦ http://t.co/jRe4tKZLg3"
"31",0,"I posted 14 photos on Facebook in the album """"Kajal Vol -3"""" http://t.co/YQMTBZSAGh"
"32",0,"All the Best to #Temper team @tarak9999 #Kajal @purijagan and @ganeshbandla #TemperMania"
"33",-1,"Idk if I said it already,  but Amber's new song #ShakeThatBrass is dope. Very fierce girl! This shows U cn have a good song w/o botty shakin"
"34",1,"RT @nagfans: Congrats @tarak9999 @purijagan #Kajal @anuprubens &amp; all #Nandamuri Fans; huge openings &amp; fantastic talk all over #Temper #Tempâ¦"
"35",0,"Temper Full Song With Lyrics - One More Time Song - Jr. NTR, Kajal Aggar...: http://t.co/3r4nTFbh1p via @YouTube"
"36",1,"RT @nagfans: Congrats @tarak9999 @purijagan #Kajal @anuprubens &amp; all #Nandamuri Fans; huge openings &amp; fantastic talk all over #Temper #Tempâ¦"
"37",0,"RT @allkpop: Amber explains how she got Taeyeon to feature in 'Shake that Brass' http://t.co/MT9T1NqkVM http://t.co/0Dibke8gsh"
