"","word","freq"
"kajal","kajal",898
"temper","temper",571
"want","want",318
"much","much",315
"follow","follow",311
"ask","ask",300
"everyday","everyday",300
"forever","forever",298
"insane","insane",298
"yeah","yeah",286
"ntr","ntr",280
"best","best",200
"movie","movie",164
"aggarwal","aggarwal",122
"agarwal","agarwal",104
"ntrs","ntrs",99
"wish","wish",84
"great","great",81
"success","success",81
"new","new",76
"baadshah","baadshah",75
"combi","combi",74
"dirgaruvakkantham","dirgaruvakkantham",74
"ntrkajalto","ntrkajalto",74
"team","team",73
"tempermania","tempermania",72
"will","will",71
"temperhttp","temperhttp",70
"care","care",69
"herbal","herbal",69
"acting","acting",68
"says","says",67
"skin","skin",67
"crack","crack",66
"facewash","facewash",66
"heal","heal",66
"neem","neem",66
"kajalaggarwal","kajalaggarwal",61
"scrub","scrub",58
"fatherhood","fatherhood",57
"miss","miss",57
"day","day",56
"hit","hit",55
"love","love",52
"film","film",51
"beauty","beauty",49
"tokajal","tokajal",49
"changed","changed",47
"prakash","prakash",46
"raj","raj",46
"good","good",44
"posani","posani",44
"hot","hot",43
"honest","honest",42
"lovable","lovable",42
"constable","constable",41
"like","like",41
"resembles","resembles",41
"time","time",41
"brought","brought",40
"irritating","irritating",40
"previous","previous",40
"latest","latest",39
"bulk","bulk",38
"due","due",38
"gemini","gemini",38
"intense","intense",38
"said","said",38
"watch","watch",38
"became","became",37
"intensity","intensity",37
"one","one",37
"son","son",37
"way","way",37
"http","http",36
"now","now",36
"super","super",36
"ever","ever",35
"beautiful","beautiful",34
"man","man",34
"sure","sure",34
"check","check",33
"eyes","eyes",33
"show","show",33
"song","song",33
"today","today",32
"alotwhen","alotwhen",31
"exclusive","exclusive",31
"get","get",31
"ntrthis","ntrthis",31
"tempting","tempting",31
"actress","actress",30
"jrntrkajal","jrntrkajal",30
"tarak","tarak",29
"jrntr","jrntr",28
"just","just",28
"ntrkajal","ntrkajal",28
"purijagannadh","purijagannadh",28
"making","making",27
"movietempermania","movietempermania",27
"puri","puri",27
"read","read",27
"first","first",26
"ntramaraojr","ntramaraojr",26
"posterntrkajal","posterntrkajal",26
"updates","updates",26
"delhi","delhi",25
"people","people",25
"review","review",25
"title","title",25
"youre","youre",25
