"","ti","age","id","au","ve","nC","nP","nR","at","msg","path"
"1",2015-01-20 05:54:58,0.00803720111372294,"z13fz1oiyovtshavj22asl2obmnze5gpy04","105134406327607441663","post",0,0,0,NA,"#Kejriwal challenges #Bedi to public debateAam Aadmi Party chief Arvind Kejriwal on Tuesday challenged BJP&#39;s Kiran Bedi to a public debate, after congratulating her for being nominated as the party&#39;s chief ministerial candidate for Delhi.http://www.lensonnews.com/news-india/1/51/73670/1/kejriwal-challenges-bedi-to-public-debate.html﻿","https://plus.google.com/105134406327607441663"
"2",2015-01-20 05:51:10,0.0106674166492842,"z12rjpgptni5vzwqh04ce3vqayetw3vogwk0k","102308271414470978263","share",0,0,0,1,"Unblock me, Kiran didi: Bedi avoids Kejriwal&#39;s Twitter invite to debate http://www.firstpost.com/politics/unblock-me-kiran-didi-bedi-avoids-kejriwals-twitter-invite-to-debate-2054677.html #arvindkejriwal   #Kejriwal   #KiranBedi  ﻿","https://plus.google.com/102308271414470978263"
"3",2015-01-20 05:46:56,0.0136072217286737,"z12rdhd4tp21c1mam04ccv24ekyejxcpmrs0k","105134406327607441663","post",0,0,0,NA,"#BJP&#39;s #NupurSharma to take on #Kejriwal; #Bedi, #Tirath in list of 62The BJP Monday fielded a young party member Nupur Sharma to take on Aam Aadmi Party (AAP) leader Arvind Kejriwal in New Delhi seat in Delhi assembly polls. The party&#39;s first list of 62 candidates included new entrants Kiran Bedi, Krishna Tirath and Vinod Kumar Binny.http://www.lensonnews.com/lensonnews/1/51/73669/1/bjps-nupur-sharma-to-take-on-kejriwal;-bedi-tirath-in-list-of-62.html﻿","https://plus.google.com/105134406327607441663"
"4",2015-01-20 05:46:52,0.0136560210557999,"z12gfjkg0ry0uz0by04cj3uz2tezjtkjax40k","100502739056633591515","post",0,0,0,1,"Aam Aadmi Party (#AAP) chief Arvind #Kejriwal is all set to file his nomination in the capital for the upcoming Delhi Assembly elections here today.Earlier on Saturday, the Election Commission had sent a notice to Kejriwal for violating the Model Code of Conduct during a press conference where he launched an attack on the BJP and its Delhi unit chief, Satish Upadhyay...readhttp://news.webindia123.com/news/Articles/India/20150120/2527939.html #delhi #delhiassemblyelections﻿","https://plus.google.com/100502739056633591515"
"5",2015-01-20 05:21:05,0.031562254053575,"z13oun2zeqrvfvc0c235h5ihpkn3cbioi04","117459377564869355198","post",2,7,2,1,"Unblock me, Kiran didi: Bedi avoids Kejriwal&#39;s Twitter invite to debate http://www.firstpost.com/politics/unblock-me-kiran-didi-bedi-avoids-kejriwals-twitter-invite-to-debate-2054677.html #arvindkejriwal   #Kejriwal   #KiranBedi  ﻿","https://plus.google.com/117459377564869355198"
"6",2015-01-20 04:57:35,0.0478788198420295,"z13gjfe5gkeyytw3h22dc5fowunwfvrdu","115520703827432103585","post",0,1,0,1,"Aam Aadmi Party chief Arvind #Kejriwal challenged #BJP&#39;s Kiran Bedi to a public debate after congratulating her for being nominated as the party&#39;s chief ministerial candidate for Delhi. Read: http://thne.ws/1xrQiER﻿","https://plus.google.com/115520703827432103585"
"7",2015-01-20 02:41:49,0.142168124329161,"z12hcfqryrnhthrxu04cjzcqkzyeujti42c","114819208629672283828","post",0,1,0,1," #arvindkejriwal   #kejriwal   #aaptards  #aamadmiparty  ﻿","https://plus.google.com/114819208629672283828"
"8",2015-01-19 23:54:55,0.258070624765974,"z13dftialvvpevesh220gfhj3tyxj52dz","107041026985334319747","post",0,1,0,1,"He did it again..   #AAP    #Kejriwal  ﻿","https://plus.google.com/107041026985334319747"
"9",2015-01-19 17:17:16,0.534219359137394,"z12bfrnr4qilj5je123nijyxexfat3c2v","112267062496682159840","post",0,2,0,1,"#BJP board meets: #Shazia Ilmi pitted against #Kejriwal in Delhi, say sourceshttp://www.everyupdates.org/india/news-india/bjp-board-meets-shazia-ilmi-pitted-kejriwal-delhi-say-sources/﻿","https://plus.google.com/112267062496682159840"
"10",2015-01-19 16:10:08,0.58083235476304,"z12gg5y4csb2w5fjc04cfnjazvqlfl3prqs0k","115712798403310046075","post",0,0,0,1,"Bribe from Opposition, But Vote for Us, Says KejriwalRead here ... http://bit.ly/15kCZPN#Kejriwal  #Delhi  #Polls﻿","https://plus.google.com/115712798403310046075"
