"","score","text","path"
"1",2,"RT @ANI_news: Want to congratulate Kiran Bedi ji, appeal her that a debate on basis of issues will be a good tradition for democracy: Arvinâ¦","https://twitter.com/rathoreIITB"
"7",1,"RT @ankitlal: 10 reasons why @maheshperi of @careers360 wants @ArvindKejriwal to win in Delhi!

#WalkWithKejriwal 

http://t.co/D3MiISt0Ta","https://twitter.com/mohit_spk"
"12",1,"RT @ashu3page: Arvind kejriwal takes blessing from his mother this morning before leaving for filing his nomination from new delhi. http://â¦","https://twitter.com/anuskbisen"
"15",2,"RT @ANI_news: Want to congratulate Kiran Bedi ji, appeal her that a debate on basis of issues will be a good tradition for democracy: Arvinâ¦","https://twitter.com/AAPRevolutionCG"
"16",1,"RT @love4cow: #Kejriwal road show #AAP workers brought from other states Where is the support from #Delhi ? #media skirting it  #DelhiWithMâ¦","https://twitter.com/naren_challa"
"21",1,"RT @DrunkVinodMehta: Channels hv done the magic! 
#KiranBedi jumped 3% to 44% in 2days.
In 3days, Next Survey.
#KiranBedi 47%, Kejriwal 44%â¦","https://twitter.com/mahesh_arali"
"26",1,"RT @love4cow: #Kejriwal road show #AAP workers brought from other states Where is the support from #Delhi ? #media skirting it  #DelhiWithMâ¦","https://twitter.com/bhuvanbdev"
"31",1,"RT @DrunkVinodMehta: Inspite Of repeated requests, #KiranBedi has Not Unblocked Kejriwal. Do we need a Rigid or flexible CM?
#BediVsKejriwal","https://twitter.com/Logicalpolitic"
"32",1,"@rishibagree @Aghorii2 @ArvindKejriwal @dushyant9kumar So Modi Govt  has made Mrs Kejriwal work for her salary for a change! Great!","https://twitter.com/durvasab"
"34",1,"RT @Amitjanhit: Arvind kejriwal takes blessing from his mother this morning bfore leaving 4 filing his nomination
#WalkWithKejriwal http://â¦","https://twitter.com/theVaibhavArora"
"37",1,"RT @BDUTT: Asked by me if @thekiranbedi will debate @ArvindKejriwal she says ""Am ready"" then jokes ""Let BJP Media cell decide"" http://t.co/â¦","https://twitter.com/ShivamMishra54"
"38",2,"RT @Amitjanhit: Mr.Kejriwal is extremely lucky to have SUCH passionate people backing him. 

#WalkWithKejriwal http://t.co/aEreGPPXWZ","https://twitter.com/AAP_KI_DELHI"
"41",1,"RT @Amitjanhit: Arvind kejriwal takes blessing from his mother this morning bfore leaving 4 filing his nomination
#WalkWithKejriwal http://â¦","https://twitter.com/PoudelPrenesh"
"46",1,"RT @ankitlal: 10 reasons why @maheshperi of @careers360 wants @ArvindKejriwal to win in Delhi!

#WalkWithKejriwal 

http://t.co/D3MiISt0Ta","https://twitter.com/RachnaRch"
"50",1,"Today's headlines : bedi, kejriwal and tharoor. Well atleast the cong should be grateful to tharoor for keepin it in the headlines!","https://twitter.com/Priyascorner"
"53",1,"RT @ankitlal: 10 reasons why @maheshperi of @careers360 wants @ArvindKejriwal to win in Delhi!

#WalkWithKejriwal 

http://t.co/D3MiISt0Ta","https://twitter.com/DilawarTalkies"
"55",1,"RT @BDUTT: Now @ArvindKejriwal has invited @thekiranbedi to a public debate; Will she say Yes? In my intw she said she's ready http://t.co/â¦","https://twitter.com/ShivamMishra54"
"73",1,"RT @love4cow: #Kejriwal road show #AAP workers brought from other states Where is the support from #Delhi ? #media skirting it  #DelhiWithMâ¦","https://twitter.com/Sanjay_Dixit"
"75",2,"@ankitlal 
Nupur Sharma is enough to debate with Kejriwal now.  Kiran Bedi will debate after his election defeat #Kirankarisma","https://twitter.com/BismayAkinchan"
"90",1,"RT @Amitjanhit: Arvind kejriwal takes blessing from his mother this morning bfore leaving 4 filing his nomination
#WalkWithKejriwal http://â¦","https://twitter.com/AAPkSaath"
"104",2,"RT @JhaSanjay: Above the noise of trumpet blowers( Kiran Bedi &amp; Arvind Kejriwal) comes the silent roar of a true winner. Delhi, vote a goodâ¦","https://twitter.com/SurajJt"
"106",2,"RT @ANI_news: Want to congratulate Kiran Bedi ji, appeal her that a debate on basis of issues will be a good tradition for democracy: Arvinâ¦","https://twitter.com/Kejriwal4CM"
"108",1,"RT @NBTDilli: Arvind Kejriwal and Ajay Maken say they are ready for political debate, now all eyes on BJP CM Candidate Kiran Bedi. #DelhiPoâ¦","https://twitter.com/Devinderkanda"
"118",2,"RT @Azwar_Indian: Isn't it something you are proud of? 
I have seen CM like Kejriwal for the first time. #WalkWithKejriwal í ½í¸í ½í¸ http://t.co/1â¦","https://twitter.com/MadhuThukral"
"123",2,"May be #Kejriwal is not a strategist and the Chanakya of politics...but honesty is his strongest point.BJP is clearly afraid of him.","https://twitter.com/vandyy_1"
"128",1,"Arvind kejriwal takes blessing from his mother this morning bfore leaving 4 filing his nomination
#WalkWithKejriwal http://t.co/jKmvEtWKbW","https://twitter.com/Amitjanhit"
"129",3,"RT @doctoratlarge: Idiots are not those who support Kejriwal- that's their democratic right. Idiots are those who support him thinking he'sâ¦","https://twitter.com/its_poooja"
"130",1,"RT @ankitlal: 10 reasons why @maheshperi of @careers360 wants @ArvindKejriwal to win in Delhi!

#WalkWithKejriwal 

http://t.co/D3MiISt0Ta","https://twitter.com/sab_chalta_hai"
"136",1,"RT @iamnarendranath: Look at the hoardings, hear Radio Ad,leaders speech, this is clear that Delhi election is Arvind kejriwal vs All.","https://twitter.com/iRajeevrg"
