"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","path"
"1","RT @ANI_news: Want to congratulate Kiran Bedi ji, appeal her that a debate on basis of issues will be a good tradition for democracy: Arvin…",FALSE,0,NA,2015-01-20 06:06:03,FALSE,NA,"557418758478630912",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","rathoreIITB",93,TRUE,FALSE,NA,NA,"https://twitter.com/rathoreIITB"
"2","@taniameer she walked out on AAP because she was against Kejriwal joining politics. So what changed now? Kejriwal is going to rip her up",FALSE,0,"taniameer",2015-01-20 06:06:02,FALSE,"557417074184560640","557418755253235712","44314192","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Mohansinha",0,FALSE,FALSE,NA,NA,"https://twitter.com/Mohansinha"
"3","RT @ANI_news: Arvind Kejriwal seeks his mother's blessings before filing nomination http://t.co/XAdhfgB5h1",FALSE,0,NA,2015-01-20 06:06:01,FALSE,NA,"557418752766001152",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","kaushal_pks",178,TRUE,FALSE,NA,NA,"https://twitter.com/kaushal_pks"
"4","RT @javedmansari: After eyeball to eyeball with Kejriwal, Bedi blinks. Backs out of a public debate, says will debate him on the floor of t…",FALSE,0,NA,2015-01-20 06:06:01,FALSE,NA,"557418752363356161",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bharatkodali",576,TRUE,FALSE,NA,NA,"https://twitter.com/bharatkodali"
"5","RT @ANI_news: Arvind Kejriwal seeks his mother's blessings before filing nomination http://t.co/XAdhfgB5h1",FALSE,0,NA,2015-01-20 06:06:01,FALSE,NA,"557418750795071488",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rschaubey",178,TRUE,FALSE,NA,NA,"https://twitter.com/rschaubey"
"6","RT @ANI_news: At least now she (Kiran Bedi) should unblock me from Twitter: Arvind Kejriwal http://t.co/fos7oXktSZ",FALSE,0,NA,2015-01-20 06:06:00,FALSE,NA,"557418749708357634",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rajkshroff",96,TRUE,FALSE,NA,NA,"https://twitter.com/rajkshroff"
"7","RT @ankitlal: 10 reasons why @maheshperi of @careers360 wants @ArvindKejriwal to win in Delhi!

#WalkWithKejriwal 

http://t.co/D3MiISt0Ta",FALSE,0,NA,2015-01-20 06:06:00,FALSE,NA,"557418746789117952",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","mohit_spk",41,TRUE,FALSE,NA,NA,"https://twitter.com/mohit_spk"
"8","Without any sweat if CM post is offered anybody's face will be beautifulMrs Bedi mustThank Kejriwal because without him BJP would ignore her",FALSE,0,NA,2015-01-20 06:05:57,FALSE,NA,"557418737360306176",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","soumdaram",0,FALSE,FALSE,"80.1739077","12.9174793","https://twitter.com/soumdaram"
"9","RT @ANI_news: At least now she (Kiran Bedi) should unblock me from Twitter: Arvind Kejriwal http://t.co/fos7oXktSZ",FALSE,0,NA,2015-01-20 06:05:56,FALSE,NA,"557418732285210624",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>","satenderm",96,TRUE,FALSE,NA,NA,"https://twitter.com/satenderm"
"10","RT @mainbhiengineer: @thekiranbedi Yes mam, time for the new type of politics, please start it with a live debate with Kejriwal.",FALSE,0,NA,2015-01-20 06:05:54,FALSE,NA,"557418724043415552",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AngeloDias14",10,TRUE,FALSE,NA,NA,"https://twitter.com/AngeloDias14"
"11","RT @NBTDilli: Arvind Kejriwal to hold an election rally at Krishna Nagar today at 6 pm. BJP CM Candidate Kiran Bedi is contesting from here…",FALSE,0,NA,2015-01-20 06:05:49,FALSE,NA,"557418703550050304",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","push_cs",28,TRUE,FALSE,NA,NA,"https://twitter.com/push_cs"
