"","x"
"1","RT @doctoratlarge: Idiots are not those who support Kejriwal- that's their democratic right. Idiots are those who support him thinking he'sâ¦"
"2","Lesson from Kejriwal - You don't have to be talented to be famous, all u gotta do is constantly oppose someone great &amp; gain proxy publicity."
"3","RT @doctoratlarge: Idiots are not those who support Kejriwal- that's their democratic right. Idiots are those who support him thinking he'sâ¦"
"4","RT @doctoratlarge: Idiots are not those who support Kejriwal- that's their democratic right. Idiots are those who support him thinking he'sâ¦"
"5","RT @doctoratlarge: Idiots are not those who support Kejriwal- that's their democratic right. Idiots are those who support him thinking he'sâ¦"
"6","RT @doctoratlarge: Idiots are not those who support Kejriwal- that's their democratic right. Idiots are those who support him thinking he'sâ¦"
"7","@thekiranbedi congrats! You are the right choice Ms. Bedi. speak positive, do not raise to Mr. Kejriwal's jibes, victory is yours. Good Luck"
"8","RT @doctoratlarge: Idiots are not those who support Kejriwal- that's their democratic right. Idiots are those who support him thinking he'sâ¦"
"9","RT @doctoratlarge: Idiots are not those who support Kejriwal- that's their democratic right. Idiots are those who support him thinking he'sâ¦"
"10","RT @MamtaDelhi: Kiran Bedi has divided BJP further. United AAP under great leader Kejriwal ready to win election match. 
#AAP #DelhiwithKejâ¦"
"11","RT @doctoratlarge: Idiots are not those who support Kejriwal- that's their democratic right. Idiots are those who support him thinking he'sâ¦"
"12","The people of Delhi want a CM like Kiran Bedi who can work rather than a person like Kejriwal who only knows how to debate and sit on dharna"
"13","RT @doctoratlarge: Idiots are not those who support Kejriwal- that's their democratic right. Idiots are those who support him thinking he'sâ¦"
"14","RT @doctoratlarge: Idiots are not those who support Kejriwal- that's their democratic right. Idiots are those who support him thinking he'sâ¦"
"15","Resurgent Kejriwal, popular Bedi: ABP snap poll proves BJP made right CM pick - Firstpost: FirstpostResurgent ... http://t.co/OFIBqu3Gqy"
"16","Resurgent Kejriwal, popular Bedi: ABP snap poll proves BJP made right CM pick - Firstpost: FirstpostResurgent ... http://t.co/ZIxMSTqHm5"
"17","RT @doctoratlarge: Idiots are not those who support Kejriwal- that's their democratic right. Idiots are those who support him thinking he'sâ¦"
"18","RT @doctoratlarge: Idiots are not those who support Kejriwal- that's their democratic right. Idiots are those who support him thinking he'sâ¦"
