"","analysis_score","analysis_text"
"1",2,"RT @ANI_news: Want to congratulate Kiran Bedi ji, appeal her that a debate on basis of issues will be a good tradition for democracy: Arvinâ¦"
"2",-1,"@taniameer she walked out on AAP because she was against Kejriwal joining politics. So what changed now? Kejriwal is going to rip her up"
"3",0,"RT @ANI_news: Arvind Kejriwal seeks his mother's blessings before filing nomination http://t.co/XAdhfgB5h1"
"4",0,"RT @javedmansari: After eyeball to eyeball with Kejriwal, Bedi blinks. Backs out of a public debate, says will debate him on the floor of tâ¦"
"5",0,"RT @ANI_news: Arvind Kejriwal seeks his mother's blessings before filing nomination http://t.co/XAdhfgB5h1"
"6",0,"RT @ANI_news: At least now she (Kiran Bedi) should unblock me from Twitter: Arvind Kejriwal http://t.co/fos7oXktSZ"
"7",1,"RT @ankitlal: 10 reasons why @maheshperi of @careers360 wants @ArvindKejriwal to win in Delhi!

#WalkWithKejriwal 

http://t.co/D3MiISt0Ta"
"8",-1,"Without any sweat if CM post is offered anybody's face will be beautifulMrs Bedi mustThank Kejriwal because without him BJP would ignore her"
"9",0,"RT @ANI_news: At least now she (Kiran Bedi) should unblock me from Twitter: Arvind Kejriwal http://t.co/fos7oXktSZ"
"10",0,"RT @mainbhiengineer: @thekiranbedi Yes mam, time for the new type of politics, please start it with a live debate with Kejriwal."
"11",0,"RT @NBTDilli: Arvind Kejriwal to hold an election rally at Krishna Nagar today at 6 pm. BJP CM Candidate Kiran Bedi is contesting from hereâ¦"
"12",1,"RT @ashu3page: Arvind kejriwal takes blessing from his mother this morning before leaving for filing his nomination from new delhi. http://â¦"
"13",0,"RT @chetan_bhaqat: #BediVsKejriwal debate
Kejriwal: Lokpal, Bring back black money, women safety, statehood ...
Bedi: But BJP has most beauâ¦"
"14",0,"RT @ANI_news: Arvind Kejriwal seeks his mother's blessings before filing nomination http://t.co/XAdhfgB5h1"
"15",2,"RT @ANI_news: Want to congratulate Kiran Bedi ji, appeal her that a debate on basis of issues will be a good tradition for democracy: Arvinâ¦"
"16",1,"RT @love4cow: #Kejriwal road show #AAP workers brought from other states Where is the support from #Delhi ? #media skirting it  #DelhiWithMâ¦"
"17",0,"RT @ANI_news: Arvind Kejriwal seeks his mother's blessings before filing nomination http://t.co/XAdhfgB5h1"
"18",0,"RT @ArvindKejriwal: Do read and RT  http://t.co/zVZbXqL9Ho"
"19",0,"RT @ANI_news: Arvind Kejriwal seeks his mother's blessings before filing nomination http://t.co/XAdhfgB5h1"
"20",0,"Learn #WomenEmpowerment from A Kejriwal, living on his wife's income for 9years (frm 2006), he is a househusbad #voteKejri #WalkWithKejriwal"
