"","word","freq"
"kejriwal","kejriwal",1413
"arvind","arvind",890
"debate","debate",828
"bedi","bedi",807
"kiran","kiran",668
"delhi","delhi",368
"kejriwals","kejriwals",339
"bjp","bjp",313
"public","public",307
"says","says",302
"twitter","twitter",293
"will","will",227
"nomination","nomination",191
"eyeball","eyeball",184
"filing","filing",184
"blocked","blocked",175
"aap","aap",168
"blessings","blessings",155
"mothers","mothers",155
"seeks","seeks",155
"now","now",152
"accepts","accepts",142
"bedivskejriwal","bedivskejriwal",133
"kiranbedi","kiranbedi",130
"leader","leader",127
"chief","chief",126
"maken","maken",124
"ajay","ajay",121
"floor","floor",113
"unblock","unblock",113
"ready","ready",107
"requests","requests",107
"candidate","candidate",101
"congress","congress",99
"fight","fight",98
"party","party",96
"election","election",95
"like","like",95
"backs","backs",93
"blinks","blinks",92
"challenge","challenge",92
"account","account",91
"one","one",91
"polluting","polluting",89
"spreading","spreading",89
"termed","termed",89
"negativity","negativity",87
"walkwithkejriwal","walkwithkejriwal",80
"accept","accept",77
"dont","dont",74
"people","people",71
"assembly","assembly",69
"see","see",69
"shes","shes",68
"today","today",68
"delivering","delivering",65
"good","good",65
"inspite","inspite",65
"need","need",65
"flexible","flexible",64
"repeated","repeated",64
"rigid","rigid",64
"unblocked","unblocked",64
"used","used",63
"already","already",61
"believe","believe",60
"say","say",60
"looks","looks",59
"challenges","challenges",58
"aadmi","aadmi",57
"invitation","invitation",57
"tweets","tweets",57
"aam","aam",56
"game","game",56
"krishna","krishna",56
"point","point",56
"losing","losing",55
"modi","modi",55
"nagar","nagar",55
"older","older",55
"officer","officer",50
"read","read",49
"win","win",49
"follow","follow",48
"polls","polls",48
"blog","blog",47
"ips","ips",47
"kindly","kindly",46
"political","political",46
"eyes","eyes",44
"politics","politics",44
"take","take",44
"believes","believes",43
"former","former",43
"new","new",43
"reasons","reasons",43
"contesting","contesting",42
"kiranji","kiranji",42
"issues","issues",41
"microblogging","microblogging",41
"rally","rally",41
"site","site",41
"tweeted","tweeted",41
"delhipo","delhipo",40
"even","even",38
"atpm","atpm",37
"hold","hold",37
"live","live",37
"whyofwantsto","whyofwantsto",37
"bjpcongress","bjpcongress",36
"chacko","chacko",36
"elections","elections",36
"betweenand","betweenand",35
"byon","byon",35
"campaign","campaign",35
"debatecnnibn","debatecnnibn",35
"debates","debates",35
"debating","debating",35
"http","http",35
