"","ti","age","id","au","ve","nC","nP","nR","at","msg","path"
"1",2015-01-19 14:01:42,0.664800153932086,"z12hjdqijkyfzjkru04cjjlicpnsthiw1pw0k","116377650075260291483","post",0,0,0,"video","VIDEO:#Air #Force Association Gujarat&#39;s Vayu Shakti Sandhya attended by #Governor OP #Kohli https://www.youtube.com/watch?v=dtwpaiEFaMI&amp;feature=youtu.be #Ahmedabad #Gujaratheadline﻿","https://plus.google.com/116377650075260291483"
"2",2015-01-19 03:53:44,1.08700235857732,"z13wuxoxinnrvr5o304cdll5cr3rgf2pee4","109588926321301478100","post",0,0,0,"article","कोहली-अनुष्का को होना पड़ेगा अलग, ICC ने लगाई गर्लफ्रेंड-वाइफ को साथ लाने पर रोकhttp://www.haribhoomi.com/news/20213-anushka-will-not-stay-with-virat-in-world-cup.html #haribhoomi #kohli #anushka #bcci #worldcup﻿","https://plus.google.com/109588926321301478100"
"3",2015-01-18 18:29:34,1.47878467766499,"z125c13joxj2tzzfa23wgx5oareicxrpz04","113663901986191790204","post",1,30,1,"photo"," #ViratKohli   #Interacting  With  #Crowd  During The  #IndvsAus   #Carlton   #TriSeries   #ODI  At   #Melbourne   #Cricket   #Ground ,  #Australia .  #Exclusive   #Virat   #Kohli   #MCG   #VK18FanClub Watch Here: http://instagram.com/p/yAI6UkP1_7/﻿","https://plus.google.com/113663901986191790204"
"4",2015-01-18 18:28:09,1.4797654010521,"z13wxpxjrnibchkls23wgx5oareicxrpz04","113663901986191790204","post",0,22,0,"album"," #ViratKohli  During The  #IndvsAus   #Carlton   #TriSeries   #ODI  At  #Melbourne   #Cricket   #Ground ,  #Australia .  #Exclusive   #Virat   #Kohli   #MCG   #VK18FanClub More Pics Here: wp.me/p3YCsB-Y5﻿","https://plus.google.com/113663901986191790204"
"5",2015-01-18 09:57:09,1.83462781595963,"z13du5whnqygxdjhz04cjjlicpnsthiw1pw0k","116377650075260291483","post",0,0,0,"video","VIDEO:#Vadodara #Governor OP #Kohli at #Hospital #opening and Think Big #Seminar https://www.youtube.com/watch?v=P6JtSsSkqs0&amp;list=UUnR7Biuuwv-Fl1Mh-OWlxoQ #Gujaratheadline﻿","https://plus.google.com/116377650075260291483"
"6",2015-01-18 03:37:12,2.09849119117139,"z120g54gsxnpvtzch22mw1gahw2xzjd10","114691404831407818290","post",0,0,0,"article","VIDEO OF THE DAYWatch out for the mini Kohli dancing at the end since it&#39;s all figured out that no.4 is his best batting position!  #viratkohli   #cricket   #india   #odicricket   #worldcup2015   #kohli  ﻿","https://plus.google.com/114691404831407818290"
"7",2015-01-17 20:30:06,2.39508325265238,"z13ltxliewjpcr1rg04cgb1z5lf5evrgzwg0k","104238088580971796685","post",0,0,0,"article","Watch India vs Australia Live ODI match Tomorrow live at :-  http://www.bkbenchers.com/watch-india-vs-australia-live-stream-match/ …#INDvsAUS #AusvsInd #India #Australia #Kohli #Dhoni﻿","https://plus.google.com/104238088580971796685"
"8",2015-01-17 19:32:58,2.43476003886925,"z12afdcw4nr0fxvd223dyddojumcwvkpd04","108023284968633852843","post",1,3,0,"video"," #bigboss8   #kiranbedi   #wilson   #indiancricket   #kohli   #leelasamson   #sensorboard  Muskurane ki Vajah and Tu Zaroori mashup with accoustic Guitar by Sanjeev Babbar and Rahul Raj ﻿","https://plus.google.com/108023284968633852843"
"9",2015-01-17 11:57:09,2.75129617781827,"z124sfqqwpe1ihuvz23kj5vo2t3eupq4f04","105004784275836909288","post",0,10,0,"photo","#kohli #cwc15﻿","https://plus.google.com/105004784275836909288"
"10",2015-01-16 17:23:56,3.52436545806075,"z12wjzqg5neuita4e04cjjlicpnsthiw1pw0k","116377650075260291483","post",0,0,0,"video","VIDEO:#Oil &amp; #Gas #Protection #Week inaugurated by #Governor #Kohli in Ahmedabad https://www.youtube.com/watch?v=fYsn65NTfdI&amp;feature=youtu.be #Gujaratheadline﻿","https://plus.google.com/116377650075260291483"
"11",2015-01-16 17:16:30,3.52952907103907,"z135stmx5kqxu3fml23vwfm5gyaffr0hj04","116377650075260291483","post",0,0,0,"video","VIDEO:#Governor OP #Kohli visits #Origami,#Japanese #Flower Art #Exhibition in Ahmedabad https://www.youtube.com/watch?v=qnNSiu7khwE&amp;feature=youtu.be #Gujaratheadline﻿","https://plus.google.com/116377650075260291483"
"12",2015-01-16 17:10:59,3.53335909825784,"z123g3cjarvkijiqe04cjjlicpnsthiw1pw0k","116377650075260291483","post",0,0,0,"video","VIDEO:4th #Japan #Festival in #Ahmedabad opened by Gujarat #Governor OP #Kohli https://www.youtube.com/watch?v=avEhsOfpk_4&amp;feature=youtu.be #Gujaratheadline﻿","https://plus.google.com/116377650075260291483"
"13",2015-01-16 06:24:09,3.98254403757828,"z13tivybcyb0sjzfi23iyb1rdzv3vz3id04","104851070044778838603","post",0,2,0,"article","Watch Boost #Cricket Cup Anthem – Hey Champion, Stay Champion Song: #Dhoni &amp; #Kohli appealed to bring ICC Cricket World Cup 2015 title! #ICCCricketWorldCup2015Anthem   #ICCWorldCup2015   #MSDhoni  ﻿","https://plus.google.com/104851070044778838603"
"14",2015-01-15 19:36:14,4.43248982505114,"z130zvsj1muauvxhy04cjjlicpnsthiw1pw0k","116377650075260291483","post",0,0,0,"video","VIDEO:#Navsari 10th Annual #Convocation of Agriculture #University by #Governor #Kohli https://www.youtube.com/watch?v=i0BBUdkP6-s&amp;list=UUnR7Biuuwv-Fl1Mh-OWlxoQ #Gujaratheadline﻿","https://plus.google.com/116377650075260291483"
"15",2015-01-14 08:59:50,5.87443557703385,"z13ui13w1zvjjrpmp22ggde5sxv2speml","109588926321301478100","post",0,0,0,"article","धोनी और कोहली के बल्लों को रास ऑता है कंगारू देश, दोनों के नाम है हजारों रनhttp://www.haribhoomi.com/news/20029-dhoni-kohli-australia-tour.html #unfair #compare #dhoni #kohli #ganguly #australiatour #runs ﻿","https://plus.google.com/109588926321301478100"
"16",2015-01-13 04:13:16,7.0734362488378,"z13fwjlzoqbmh5bth22qtreikpbrzzu2d","106181787224625706387","post",0,1,0,"article"," #india   #cricket   #kohli   #15squad   #yuvrajsingh  ﻿","https://plus.google.com/106181787224625706387"
"17",2015-01-12 18:24:04,7.48261077491222,"z12qyh4ibxjotzygi04cjjlicpnsthiw1pw0k","116377650075260291483","post",0,0,0,"video","VIDEO:#Afghani #Ambassador visited #Governor #Kohli at Raj Bhavan, #Gandhinagar https://www.youtube.com/watch?v=kJIIkwsIvgI&amp;feature=youtu.be #Gujaratheadline﻿","https://plus.google.com/116377650075260291483"
"18",2015-01-12 15:31:23,7.60253099707266,"z13nvjxhztfxsjbyu04cfr4rnx3tuvljsxk0k","111062552356154858205","share",0,0,0,"album"," #ViratKohli  At &#39; #OneNightWithRogerFedererAndLleytonHewitt &#39; In  #Qantas .  #Exclusive   #Virat   #Kohli   #RogerFederer   #Sydney   #Australia   #Tennis   #VK18FanClub More Pics Here: http://wp.me/p3YCsB-XG﻿","https://plus.google.com/111062552356154858205"
"19",2015-01-12 14:48:55,7.63201590594594,"z12igf3xisfofl0wu04cjxqybma5exvxysk0k","106450755213412206616","share",0,1,0,"album"," #ViratKohli  At &#39; #OneNightWithRogerFedererAndLleytonHewitt &#39; In  #Qantas .  #Exclusive   #Virat   #Kohli   #RogerFederer   #Sydney   #Australia   #Tennis   #VK18FanClub More Pics Here: http://wp.me/p3YCsB-XG﻿","https://plus.google.com/106450755213412206616"
"20",2015-01-12 14:36:12,7.64085146032826,"z12thprjrraozpka304cjjlicpnsthiw1pw0k","116377650075260291483","post",0,0,0,"video","VIDEO:Bhartiya #Sindhu #Sabha attended by Gujarat #Governor OP #Kohli https://www.youtube.com/watch?v=Q0bbi6xfYaQ&amp;feature=youtu.be #Gujaratheadline﻿","https://plus.google.com/116377650075260291483"
"21",2015-01-12 14:23:19,7.64979843993982,"z13suhrxgyz5h3jyp04chzqrrwarjfgwrj4","106593335647227936571","share",0,1,0,"album"," #ViratKohli  At &#39; #OneNightWithRogerFedererAndLleytonHewitt &#39; In  #Qantas .  #Exclusive   #Virat   #Kohli   #RogerFederer   #Sydney   #Australia   #Tennis   #VK18FanClub More Pics Here: http://wp.me/p3YCsB-XG﻿","https://plus.google.com/106593335647227936571"
"22",2015-01-12 14:22:14,7.65054406744463,"z12rihfa3tadzxe5004cjlnoqkuxdt3qyrw0k","113663901986191790204","post",1,60,4,"album"," #ViratKohli  At &#39; #OneNightWithRogerFedererAndLleytonHewitt &#39; In  #Qantas .  #Exclusive   #Virat   #Kohli   #RogerFederer   #Sydney   #Australia   #Tennis   #VK18FanClub More Pics Here: http://wp.me/p3YCsB-XG﻿","https://plus.google.com/113663901986191790204"
"23",2015-01-12 07:19:52,7.94385705498358,"z12bc10gywzzcjjav04cjlnoqkuxdt3qyrw0k","113663901986191790204","post",1,36,0,"photo"," #ViratKohli  Will  #Lead  With  #Passion  &amp;  #Aggression :  #SouravGanguly .  #Exclusive   #Article   #Virat   #Kohli   #Ganguly   #CaptainKohli   #TheViratEra   #VK18FanClub Read More Here: http://wp.me/p3YCsB-XB﻿","https://plus.google.com/113663901986191790204"
"24",2015-01-12 05:11:59,8.03266338768381,"z12pe3s50nf1wpih204chdii3kj1xpcxjhs","114427961365410671460","post",0,0,0,"article","Gone in three sessions: The story of India’s tour Down Under | Cricket News  #cricketnews    #india    #kohli  ﻿","https://plus.google.com/114427961365410671460"
