"","score","text","path"
"11",-2,"India's top order:
Dhawan's a loser
Rohit is talented.
Rahane has split personality.
Kohli has a chronic problem against Eng.
AAA!
#INDvsENG","https://twitter.com/Sickbasturd"
"18",-1,"RT @CraziestSex: on a scale of 1-10 my stress level is at 150","https://twitter.com/brooke_kohli"
"26",-2,"RT @UnusualFactPage: Arguing over text is the worst way to argue because the lack of tone decreases the meaning of the words. Talk it out iâ¦","https://twitter.com/brooke_kohli"
"32",-2,"May be i was wrong.. Kohli @ 4 is already a defensive move expecting top 3 to fail...","https://twitter.com/prasdbZ"
"34",-2,"So #viratkohli #Kohli fails again against England #ENGvIND . The most overrated batsman in the last ten years #flattrackbully","https://twitter.com/Rodfather73"
"41",-1,"LIVE: India v/s England ODI, Tri-series, Brisbane: Virat Kohli fails at No 4 again ... #TweetsNow http://t.co/QQKFPM8WjM","https://twitter.com/TweetsNowIn"
"42",-1,"Can't ignore technique. Rahane and Kohli also struggle when they don't apply, Dhoni is barely his prolific self. #NeedVijay in Aus.","https://twitter.com/MiratTrivedi"
"50",-2,"@WWOS9 @mj_slats hey Slats, noticed you were critical on Kohli's shot choice the other day, has nothing on the crap you used to swing at!","https://twitter.com/MIAN669"
"70",-1,"RT @dna: LIVE: India v/s England ODI, Tri-series, Brisbane: Virat #Kohli fails at No 4 again http://t.co/QUtIQcLcTk","https://twitter.com/amitkumarchy"
"77",-1,"LIVE: India v/s England ODI, Tri-series, Brisbane: Virat Kohli fails at No 4 again http://t.co/EyErqrvK5Y #cheeku http://t.co/nD8y85UeVW","https://twitter.com/CheekuV"
"81",-1,"RT @cricketingview: The two worst shots in India's innings to date - Kohli and Rayudu.","https://twitter.com/Gautaamm"
"83",-1,"@sudhanks there is a sign of over dependence on Kohli,  Dhawan ll never score, Rahane Raina failure always on the cards,","https://twitter.com/Im_Ratish"
"87",-1,"RT @cricketingview: The two worst shots in India's innings to date - Kohli and Rayudu.","https://twitter.com/feat_gautham"
"88",-1,"The two worst shots in India's innings to date - Kohli and Rayudu.","https://twitter.com/cricketingview"
"104",-1,"@imVKshukla Hawn ...I hate diz weather :/","https://twitter.com/piya_kohli"
"113",-1,"India crumble again.. Is kohli doing this On purpose?","https://twitter.com/TheDehaati"
"128",-1,"Virat Kohli or flat track bully ? #AUSvIND","https://twitter.com/ajjuofficial"
"136",-1,"@piya_kohli hmm agar 230-240+ bana le to chance hae .....Eng weak h against SPIN so ......","https://twitter.com/imVKshukla"
"139",-1,"""@brooke_kohli: what the hell did I just read í ½í¸í ½í²""","https://twitter.com/MeganCrummel"
"148",-2,"Something for pacers and Kohli fails again. Pure flat track bully. #EngvInd","https://twitter.com/ItzIshfaq34"
"151",-1,"Which is more irritating -  Giving away wicket to Moeen or Kohli calling out Maadar/Behan every time","https://twitter.com/Mr_iCric"
"160",-1,"Rayudu after eating so many balls.. I knew you will definitely shit.. Bring Virat Kohli back at no 3.
#INDvsENG","https://twitter.com/imsharmarahul"
"161",-1,"@bcci #INDvsENG Y u always change Kohli's batting position? mad r what?","https://twitter.com/ImAbhiM"
"163",-1,"Too bad no kohli in that list. That English summer #LRT","https://twitter.com/an_usa_bar"
"164",-1,"RT @BrokenCricket: Brilliant Crafted Century from Kane Williamson and He Scored that in a tricky Chase vs Sri Lanka...

#NZvsSL","https://twitter.com/piya_kohli"
"168",-1,"So Another failure at 4 #Kohli","https://twitter.com/Str8tDrive"
"171",-1,"RT @BeingCricketFan: Rahane, Kohli, Raina, Rayudu haven't let us miss Rohit Sharma!! Nothing shots to get out. BRAIN FADE!! #IndvEng","https://twitter.com/ImKazKohli"
"173",-1,"RT @BeingCricketFan: Rahane, Kohli, Raina, Rayudu haven't let us miss Rohit Sharma!! Nothing shots to get out. BRAIN FADE!! #IndvEng","https://twitter.com/suhaiali"
