"","score","text","path"
"4",1,"kohli is in good mood to spend some time with AK ...","https://twitter.com/pavanvoice"
"5",1,"RT @clutchplay: Conspiracy theory No.1 (Overheard at work): Kohli is puprosely not batting under Dhoni #IndvEng","https://twitter.com/HowzzatUmp"
"7",1,"RT @mkkhedawat: Virat kohli is like my childhood friends, bandi ke saamne show off karne ko 4-6, Warna phir wahi regular game. #IndvsEng","https://twitter.com/AnimeshKherwar"
"8",1,"Virat kohli is best choice for MC of delhi.

#BediVsKejriwal","https://twitter.com/itsdhruvism"
"15",1,"Virat kohli is like my childhood friends, bandi ke saamne show off karne ko 4-6, Warna phir wahi regular game. #IndvsEng","https://twitter.com/mkkhedawat"
"17",1,"Not sure if Harsha is praising Viv Richard and Ponting or trolling Virat Kohli. :p

Missed his tentury by 6 runs.... http://t.co/rzZVrosqMg","https://twitter.com/SLTCRICKET"
"23",1,"RT @spandanmohanty: @hrsanjaynegi @keyresourcing @anish_kohli our target is to win the match on 15th Feb. That's it!","https://twitter.com/hrsanjaynegi"
"27",1,"RT @flirtinii: if she's important to you, show her she is","https://twitter.com/brooke_kohli"
"43",1,"@QararaRasha You dont trust Sohail Khan's Capabilities? How very Kohli of you.. :P","https://twitter.com/Aadii_"
"44",1,"@keyresourcing @hrsanjaynegi @anish_kohli your top 4 this time?","https://twitter.com/spandanmohanty"
"47",1,"@spandanmohanty @hrsanjaynegi @anish_kohli Yes, 15 Feb is the target, we will be screening the match in our office, everyone so excited","https://twitter.com/keyresourcing"
"51",1,"Familiar dismissals for Dhawan &amp; Kohli today.You trust Virat to overcome that but Dhawan has already got a long rope #IndvEng","https://twitter.com/iAhmer"
"55",1,"@hrsanjaynegi @keyresourcing @anish_kohli our target is to win the match on 15th Feb. That's it!","https://twitter.com/spandanmohanty"
"56",1,"the stuff me and @MeganCrummel are saying right now í ½í¸í ½í²","https://twitter.com/brooke_kohli"
"58",1,"RT @DrNaumanNiaz: Phenomenal AB De Villiers, just perfect &amp; High ended on consistency Brendon McCullum and Kane Williamson, packed by fire â¦","https://twitter.com/KinjalRaysoni"
"72",1,"RT @DrNaumanNiaz: Phenomenal AB De Villiers, just perfect &amp; High ended on consistency Brendon McCullum and Kane Williamson, packed by fire â¦","https://twitter.com/beckh_23"
"78",1,"I think Kohli is not happy playing under Dhoni... rather he preferred to play under Anushka Sharma #Lolwa","https://twitter.com/archnasingh781"
"79",1,"RT @clutchplay: Conspiracy theory No.1 (Overheard at work): Kohli is puprosely not batting under Dhoni #IndvEng","https://twitter.com/duskymangala"
"92",1,"RT @faf1307: Was an absolute pleasure to see a masterclass from @ABdeVilliers17 today.thats way he is the best.great knocks from @amlahash â¦","https://twitter.com/piya_kohli"
"93",1,"No Indian players can b trusted except Kohli and Dhoni í ½í¸do need the lyks of Gauti n Yuvi   wht are the lyks of dhawan  n raina doing í ½í¸í ½í¸","https://twitter.com/MaazinoBeckham"
"111",2,"@costasports at least India also appears.
No wonder Kohli kept pointing to it - a luxury not afforded our captain as Australia Day nears.","https://twitter.com/tony_debolfo"
"116",2,"RT @ESPNcricinfo: ESPNcricinfo awards: Azhar Ali? McCullum? Sangakkara? Warner? Kohli? Vote for the winners here http://t.co/l2MAfkby8c","https://twitter.com/DinisuruRodrigo"
