"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","path"
"1","RT @SirStuartBinny: Virat Kohli in this series 682 runs in 8 innings , 
Suresh Raina in his Test career 768 runs in 31 innings . #AUSvIND",FALSE,0,NA,2015-01-20 05:58:14,FALSE,NA,"557416793606602752",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SirBinny",4,TRUE,FALSE,NA,NA,"https://twitter.com/SirBinny"
"2","RT @SirStuartBinny: Dhawan :- Bro need to call the police what is the number ? 
Kohli :- Bro just dial 1 RAINA RAINA . 
#AUSvIND",FALSE,0,NA,2015-01-20 05:58:10,FALSE,NA,"557416774954545152",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SirBinny",58,TRUE,FALSE,NA,NA,"https://twitter.com/SirBinny"
"3","RT @rr_only4you: @rjjyotika No anushka want to do shopping in Australia with Kohli so he got out early... :P :P",FALSE,0,NA,2015-01-20 05:57:36,FALSE,NA,"557416635489730560",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Lalitkumarsirvi",2,TRUE,FALSE,NA,NA,"https://twitter.com/Lalitkumarsirvi"
"4","kohli is in good mood to spend some time with AK ...",FALSE,0,NA,2015-01-20 05:57:12,FALSE,NA,"557416532272115712",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pavanvoice",0,FALSE,FALSE,NA,NA,"https://twitter.com/pavanvoice"
"5","RT @clutchplay: Conspiracy theory No.1 (Overheard at work): Kohli is puprosely not batting under Dhoni #IndvEng",FALSE,0,NA,2015-01-20 05:56:55,FALSE,NA,"557416462214627328",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HowzzatUmp",6,TRUE,FALSE,NA,NA,"https://twitter.com/HowzzatUmp"
"6","RT @Vaishu_Vk: Ì†ΩÌ∏°Ì†ΩÌ∏°Ì†ΩÌ∏°Ì†ΩÌ∏°Ì†ΩÌ∏°""@BaluMahe: Hope That BCCI ll allow Anushka Sharma For #CWC15. Particular For Virat Kohli. Ì†ΩÌ∏ú""",FALSE,0,NA,2015-01-20 05:56:10,FALSE,NA,"557416272116195328",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","worldcup__15",1,TRUE,FALSE,NA,NA,"https://twitter.com/worldcup__15"
"7","RT @mkkhedawat: Virat kohli is like my childhood friends, bandi ke saamne show off karne ko 4-6, Warna phir wahi regular game. #IndvsEng",FALSE,0,NA,2015-01-20 05:55:51,FALSE,NA,"557416192382492672",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AnimeshKherwar",1,TRUE,FALSE,NA,NA,"https://twitter.com/AnimeshKherwar"
"8","Virat kohli is best choice for MC of delhi.#BediVsKejriwal",FALSE,0,NA,2015-01-20 05:55:49,FALSE,NA,"557416183834492928",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","itsdhruvism",0,FALSE,FALSE,NA,NA,"https://twitter.com/itsdhruvism"
"9","@Nirmalogy And 22 more than Kohli. Ì†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏Ç",FALSE,0,"Nirmalogy",2015-01-20 05:55:23,FALSE,"557415713967583233","557416077785714688","558414534","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_Alisha_Francis",0,FALSE,FALSE,NA,NA,"https://twitter.com/_Alisha_Francis"
"10","Tri_SerieS
ENG_vS_IND
IND_137/7
Over_36.3
Dhoni_34
Binny_37*
Patel_0
ThiS_Ovr
0 W w
-
Aziz Sarparah",FALSE,0,NA,2015-01-20 05:55:00,FALSE,NA,"557415979039600640",NA,"<a href=""http://www.cloudhopper.com/"" rel=""nofollow"">Cloudhopper</a>","KOHLI_WCUP2015",0,FALSE,FALSE,NA,NA,"https://twitter.com/KOHLI_WCUP2015"
